cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,1.3,0,3389.52,-0.00560548,8.30999,9.39519,98.437,0.0164924,0.66052,3.97269e-11,2.34212,-1.23669,-3.32007,-4.04008,-3.59081,-74.6891,149.12,4.8626,3497.38,2541.92,2.81242,-0.766395,-2.37948,-3.56978,-3.12052,0.661224,253.879,12.6225,3602.14,0.0782694,0.919957,0.00641365,3243.65,-0.000116843,0.046662,7.46452,7.28896,98.1758,68.318,0.455362,9.25063,9.59025,98.0603,118.27,0.115502,-49.9516 
1,1.35,1,2920.88,-0.0533935,-7.3877,9.40761,98.7877,-0.0688536,37.895,45.6765,-0.688987,-0.51129,-7.65661,-2.46188,-2.61694,-41.3525,134.998,11.6612,3113.19,2347.41,-0.428601,-0.250904,-7.13584,-2.20149,-2.35655,0.423291,192.998,15.9576,3171.19,0.068316,0.873596,0.00918442,2825.08,-0.000174103,0.0442143,7.631,6.55912,98.745,67.9856,0.431041,9.15658,9.0364,98.4407,117.604,0.304249,-49.6186 
2,1.5,2,3542.34,-0.0131336,8.76677,8.94677,98.7676,0.014409,7.30073,41.3384,-1.73063,-1.43714,-3.16134,-2.02007,-2.56668,-63.3335,613.015,21.0274,2996.94,2556.72,-1.33184,-1.03834,-2.36375,-1.62128,-2.16788,0.722665,701.846,27.6075,3085.77,0.21509,0.935596,0.0162136,3263.04,0.000109763,0.132116,8.33808,7.67184,98.688,69.8098,0.40727,8.69102,9.5059,98.3087,119.084,0.379255,-49.2743 
4,1.25,4,3634.59,-0.0241189,8.70722,9.38116,98.5237,0.0640667,-2.51429,26.0215,-0.598744,-1.45713,-3.49327,-2.81521,-0.90185,-30.9793,-25.0719,23.0327,3721.82,2664.32,-0.403676,-1.26206,-3.10313,-2.62014,-0.706782,0.616698,18.3797,26.2513,3765.27,0.00584678,0.285756,0.0126802,3143.55,0.000194786,-0.166005,0.424304,-0.346051,91.6305,61.3781,0.493424,9.1083,9.39665,97.9922,118.37,-6.36162,-56.9914 
5,1.6,5,3314.88,-0.0287644,-8.04674,9.35362,98.8042,-0.00764506,14.0668,71.4205,0.28372,0.32971,-4.64596,-6.13351,-1.20218,-49.062,469.944,28.2221,3056.57,2453.66,0.592651,0.63864,-4.0281,-5.82458,-0.893249,0.576642,538.758,33.3194,3125.38,0.171972,0.902341,0.0192603,3132.83,-3.27179e-05,0.0965563,8.3331,7.68579,98.8623,68.0413,0.41305,9.18126,9.18472,98.4078,117.775,0.454532,-49.7337 
6,0,6,3312.73,-0.0197866,8.04376,9.2247,98.5891,0.0171875,-2.2876,79.7728,-1.84032,0.730222,0.458234,-1.55595,-1.52484,-46.0736,-73.2908,15.3553,3451.61,2416.78,-1.5502,1.02034,1.03846,-1.26584,-1.23473,1.52132,-8.6681,20.1422,3516.23,-0.00297893,-0.326104,0.010442,2909.8,-0.000145157,0.00446822,-6.94889,-5052.12,110.696,67.9779,0.490226,8.81644,9.03679,98.1184,118.56,12.5772,-50.5816 
7,1.45,7,3429.62,0.00330253,8.35875,9.26477,98.5554,-0.00505067,9.22873,3.6704e-11,0.327227,0.0566706,1.36577,-4.11677,-2.73614,-22.0388,432.845,24.1147,3105.31,2522.51,0.466,0.195443,1.64331,-3.978,-2.59737,1.3848,463.757,26.4045,3136.23,0.151217,0.90939,0.0152722,3066.82,4.96652e-05,0.100323,8.00773,7.18098,98.7275,68.5272,0.431747,9.09297,9.08513,98.2462,118.409,0.48131,-49.8818 
8,2,8,3359.86,0.0106894,8.28216,9.24864,98.6856,-0.00501695,3.79194,0.00117901,-1.54192,-0.641664,-8.42348,-5.60247,-3.81221,-56.6115,439.174,22.8856,3104.62,2494.16,-1.18546,-0.285196,-7.71054,-5.246,-3.45574,0.568832,518.577,28.7673,3184.03,0.164038,0.911512,0.0163708,3161.32,-6.76529e-05,0.100631,8.29137,7.29811,98.7135,68.281,0.428274,9.08629,9.2242,98.192,117.639,0.521498,-49.3578 
9,1.65,9,3320.76,-0.0419595,8.13507,9.45168,98.6872,0.0315401,-35.5591,485.786,-1.42691,-0.645624,-3.98151,-2.8372,-1.22448,-44.6183,308.736,36.4976,3152.09,2539.54,-1.14596,-0.364674,-3.41961,-2.55625,-0.943528,0.594353,371.317,41.1332,3214.67,0.122164,0.83762,0.0230278,3039.49,-1.32929e-05,0.0814745,7.81819,7.55911,98.0386,68.8446,0.422711,9.29203,9.17552,98.3991,118.126,-0.360521,-49.2814 
10,1.15,10,3496.6,-0.0115525,8.32731,9.34552,98.4727,0.0492601,-14.198,2.55659,-1.01345,-1.18739,-5.08094,-3.27748,-0.946809,-44.5471,-59.9267,25.2986,3596.91,2556.17,-0.732946,-0.906886,-4.51993,-2.99698,-0.666308,0.539865,2.55496,29.9269,3659.39,0.000840489,0.0465155,0.0148413,3039.85,0.000106077,0.0284691,13.8066,0.154451,122.266,60.1605,0.491547,9.08492,9.29459,98.1716,118.474,24.0939,-58.3133 
