cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
53,-2,47.5356,0,53,15486.4,0.00204484,25.4487,12.8267,96.2491,0.00212634,13.3322,0.37901,-0.621845,-2.18223,6.20115,-1.07506,-1.20113,-118.21,12.25,-7.95591,14531.1,10627.1,0.122491,-1.43789,7.68982,-0.330724,-0.456798,-0.376402,178.051,4.32564,14696.9,0.0135799,0.959219,0.000541879,13111.3,8879.3,863.132,223372,0.000915721,0.016677,12.0982,9.21147,117.895,58.2428,1.17356,12.5398,12.0257,95.9731,122.797,21.9222,-64.5541 
54,-2,47.5356,1.2,54,14821.1,0.033588,24.88,12.5824,96.7578,-0.0653702,186.364,499.902,3.11937,2.44159,3.06136,1.88037,6.55167,-157.73,422.695,0.856103,13576.2,10587.4,4.11255,3.43478,5.04773,2.87355,7.54485,0.780662,643.927,17.2437,13797.4,0.0503632,0.955235,0.00229693,12785.6,7975.8,1309.27,199470,0.000849052,0.0752509,9.69411,7.88871,97.4798,70.9816,1.1186,12.3985,11.949,96.3867,122.655,1.09314,-51.6731 
55,-2,47.5356,1.1,55,16127.9,0.112464,26.4638,12.7559,96.4016,-0.250705,170.013,270.369,1.41559,0.831311,-0.290081,1.17165,-1.35764,-132.619,-23.8045,18.3212,15196.2,12376.5,2.25066,1.66638,1.38005,2.00672,-0.522568,0.796489,162.207,32.0999,15382.2,0.0118412,0.742768,0.00382942,13698.5,9821.18,870.303,247289,0.00107497,0.0153032,13.098,7.30698,118.475,58.3682,1.25492,12.5198,11.6682,96.0915,123.088,22.3834,-64.7198 
56,-2,47.5356,0,56,15999.2,0.109562,26.5646,12.6146,96.6919,0.0137345,-167.299,320.967,-0.0688685,2.98952,2.63261,6.72995,2.34117,-145.102,-71.3203,28.5662,15174.3,10983.5,0.844801,3.90319,4.45995,7.64361,3.25484,0.778183,132.2,43.6418,15377.8,0.00967454,0.63383,0.00520065,13664.7,9970.8,849.234,251479,0.000992404,0.0188629,10.3659,7.7771,120.233,56.8727,1.27972,12.2787,11.6256,96.3511,123.044,23.8823,-66.1718 
57,-2,47.5356,1.3,57,13353.2,0.0163687,23.5205,11.8055,96.7431,0.0110626,-0.40716,75.5102,3.46979,0.0127698,3.00715,1.97546,-0.663593,-156.705,3805.28,20.7746,8709.07,9039.22,4.45652,0.999499,4.98061,2.96219,0.323137,0.637034,4025.07,37.0556,8928.86,0.33874,0.984145,0.00758691,11882.5,4497.25,24211.3,85715.5,0.00110121,0.469294,10.6315,9.27049,97.1121,72.6835,0.757375,11.7998,11.6612,96.2825,123.227,0.829652,-50.5435 
58,-2,47.5356,1.16,58,16202.2,0.00488403,26.1797,13.0044,96.4869,-0.00904719,-1.10689,1.37818e-11,0.989184,1.43507,4.65688,0.762708,-0.7811,-103.509,-9.95596,17.9276,15280.2,11083.1,1.64095,2.08683,5.96041,1.41447,-0.129334,0.456828,135.225,28.6818,15425.4,0.00986352,0.729298,0.00341348,13709.6,9437.01,895.014,237468,0.00105866,0.0275336,8.67321,-4.98522,96.0758,70.9531,1.19532,12.7462,12.1229,96.1668,123.29,-0.0909577,-52.3365 
59,-2,47.5356,1.6,59,13672.3,-0.00343461,23.494,12.1352,96.5775,0.00255037,-18.4183,500,-0.835815,0.243394,3.8597,0.641748,1.36806,-173.208,4305.76,52.3958,8489.14,9282.64,0.254827,1.33404,6.04098,1.73239,2.45871,0.488959,4548.7,70.3914,8732.08,0.37184,0.973633,0.0146324,12232.9,4361.82,28793.4,77738.2,0.00106675,0.486479,11.2317,9.74478,97.0904,73.5333,0.704919,12.1811,11.826,95.9259,124.318,1.16453,-50.785 
60,-2,47.5356,0,60,16135.7,0.147864,26.047,12.8124,96.726,0.708991,-347.73,18.5929,3.94748,-2.74976,5.04317,5.0017,1.30174,-186.721,-93.1678,18.2066,15193.5,18889.4,5.12321,-1.57402,7.39464,6.17744,2.47747,0.622698,168.727,37.6062,15455.4,0.0122537,0.719402,0.00446224,13769.4,9575.96,952.243,241041,0.00108704,0.0212827,11.126,7.42195,118.417,56.1601,1.22342,12.5727,11.896,96.4743,123.013,21.9427,-66.8528 
61,-2,47.5356,1.24,61,13815,0.133242,23.0731,12.3508,96.333,-0.138435,78.2339,466.935,2.40614,-3.04073,6.88087,0.62264,-2.32432,-153.032,2214.05,16.4567,10763,9629.33,3.36974,-2.07713,8.80807,1.58624,-1.36072,0.147018,2428.69,32.3561,10977.6,0.200901,0.977217,0.0054002,12089,5476.98,9012.56,126743,0.00110086,0.27805,10.8275,9.01736,96.7677,72.7931,0.910478,12.2808,11.5357,95.9091,123.519,0.858542,-50.7256 
62,-2,47.5356,1.18,62,16248.5,0.125497,26.5911,12.7377,96.4343,0.210955,-200.714,77.8879,4.0592,-1.62349,2.27617,1.45559,-0.21157,-141.401,105.661,26.0969,15119.7,12404.5,4.94957,-0.733121,4.0569,2.34596,0.678796,0.640922,303.99,40.788,15318.1,0.022054,0.809843,0.0048811,13783.9,9722.77,998.844,244903,0.00123472,0.037624,8.56149,6.56923,97.9176,71.3847,1.24922,12.4254,11.7404,96.1256,123.94,1.79206,-52.5553 
63,-2,47.5356,2,63,12644.6,0.0159457,21.4372,12.2,96.5219,0.0433633,-41.799,500,1.02731,-1.27102,2.36636,-0.0996642,-1.05741,-145.978,3816.46,42.4649,8027.99,8572.79,1.94649,-0.351835,4.20472,0.819519,-0.138223,0.351191,4021.21,57.6314,8232.74,0.356933,0.975533,0.0127311,11266,3788.06,22725.5,69424.2,0.00102974,0.434485,11.369,9.49612,96.593,72.0378,0.66666,12.1143,11.8537,96.0912,122.311,0.50187,-50.2732 
64,-2,47.5356,1.4,64,13405.2,-0.00724574,23.0508,12.0547,96.4702,0.0264224,4.15655,1.71529e-09,4.34723,1.44873,-2.65244,-0.7131,0.272236,-120.051,3896.01,61.5716,8636.67,9049.21,5.10315,2.20466,-1.14059,0.0428268,1.02816,1.15758,4064.39,74.0444,8805.06,0.344066,0.969104,0.0152545,11812.8,4348.05,25075.1,81437.6,0.00136308,0.483562,10.5244,9.13043,96.8631,73.1823,0.738004,12.0103,11.4521,95.8879,123.809,0.975221,-50.6264 
