cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,0,47.2227,1.35,12,7495.1,-0.988679,20.8103,13.2358,112.16,-8.73947,6992.14,205.018,-3.30102,2.04465,-4.11577,-6.1086,-5.13989,159.873,3205.44,74.2554,8724.62,1.99822e+06,-4.3077,1.03797,-6.12912,-7.11527,-6.14657,0.729526,3078.1,62.6787,8597.27,0.267581,0.965591,0.0132519,11503.4,-0.00440665,0.295932,12.6823,11.0815,111.803,90.6443,0.660258,13.3976,12.5984,111.321,140.59,0.481913,-49.9453 
13,0,47.2227,1.4,13,7424.9,-0.0274103,19.6968,12.4017,112.363,-0.0368103,24.3036,500,-2.80897,-4.49556,-6.33968,0.360305,-3.16338,109.261,3975.57,56.9786,7717.52,7981.06,-3.49696,-5.18354,-7.71565,-0.327681,-3.85137,0.625002,3888.54,49.0667,7630.49,0.342108,0.978395,0.0117067,11366.4,-0.0042382,0.373524,12.6085,10.8483,111.792,89.7023,0.593423,13.4154,12.4034,111.503,139.54,0.288295,-49.8375 
14,0,47.2227,1.5,14,7622.36,-0.0125741,19.987,12.3594,112.648,-0.00710629,6.60074,500,-2.13135,-0.31256,-1.91101,-0.481556,-4.6663,122.274,4047.78,84.0049,7905.49,8043.08,-2.90128,-1.08248,-3.45086,-1.25148,-5.43622,0.755645,3950.38,75.1508,7808.1,0.340482,0.967781,0.0174209,11602.3,-0.00437056,0.374692,12.6913,-10.9327,112.281,90.3324,0.595108,13.6378,12.5805,111.66,139.864,0.620926,-49.5314 
15,0,47.2227,1.275,15,8577.77,-0.951017,22.1328,13.2914,112.343,1.82721,-251.512,400.982,-5.01581,-6.2332,-5.55606,-3.18983,-3.70596,39.262,2583.88,78.4525,10105.5,24536.8,-5.26303,-6.48042,-6.05051,-3.43705,-3.95318,0.75975,2552.61,75.6094,10074.2,0.205436,0.950719,0.013637,12425.3,-0.00413665,0.228701,12.4774,11.7634,111.837,90.1373,0.767577,13.3339,12.6026,111.485,139.953,0.35282,-49.8155 
16,0,47.2227,1.15,16,10181.6,-0.288513,22.9433,13.494,112.391,0.156693,814.368,500,-0.86364,-0.101959,-3.07235,-6.40336,-3.22949,86.6291,249.318,100.829,13868,14232.4,-1.40912,-0.647439,-4.16331,-6.94884,-3.77497,0.754285,180.315,94.5556,13799,0.0131584,0.521462,0.0124654,13703.4,-0.248531,0.253041,795.578,386.443,113.022,97.9999,0.995549,13.7272,12.7207,111.629,140.54,1.39266,-42.5405 
17,0,47.2227,1.3,17,7703.79,-0.105391,19.9597,12.5296,112.544,0.692239,-91.5166,0.000212328,-2.3413,-2.08204,-6.6349,-1.26764,-6.10455,98.8272,3043.51,67.2562,8814.45,10203.5,-2.96359,-2.70433,-7.87947,-1.88993,-6.72684,0.644495,2964.79,60.0999,8735.73,0.257231,0.965741,0.0125147,11525.8,-0.00419224,0.281247,-12.689,11.0623,111.859,89.738,0.657667,13.5975,12.6513,111.707,139.441,0.15212,-49.7027 
18,0,47.2227,1.125,18,10183,-0.977958,24.4093,13.6052,112.213,-0.1299,-502.344,0.692728,-0.850396,0.405097,-8.5076,-0.0650124,-4.05432,38.133,276.028,288.29,13966.4,12935,-1.09051,0.164983,-8.98782,-0.305126,-4.29443,0.380701,245.654,285.529,13936,0.0176692,0.329591,0.0363695,13902.9,-9.42041,9.42372,4934.13,2616.09,110.46,97.879,1.05154,13.3412,12.4505,111.285,139.744,-0.825198,-41.8646 
19,0,47.2227,1.175,19,7892.89,-0.987756,20.6863,13.7027,112.434,0.676987,-2810.34,373.826,-1.87672,-0.688369,-1.71928,-0.901655,-0.333683,-2.17254,423.853,87.4597,11714,71162.3,-1.86304,-0.674689,-1.69192,-0.887975,-0.320003,0.68885,425.583,87.617,11715.8,0.0357422,0.735142,0.0135891,11907,-0.00509914,0.0236025,-14.2631,72.6684,118.664,98,0.873585,13.5044,-12.2072,111.365,141.264,7.29961,-43.2639 
20,0,47.2227,1.25,20,9273.11,-1.00787,23.3245,13.536,112.261,-0.280417,313.661,150.107,-1.79402,-1.40532,-2.05221,0.165142,-4.08116,70.9821,1244.49,98.1471,12393.3,13141,-2.24097,-1.85228,-2.94612,-0.281813,-4.52811,0.751367,1187.95,93.0071,12336.7,0.0894681,0.879499,0.0136975,13278,-0.00447986,0.102937,12.7389,13.6665,112.021,90.3863,0.934494,13.5445,12.4765,111.375,140.018,0.645758,-49.6312 
21,0,47.2227,1.2,21,8396.29,-0.984115,21.633,13.5894,112.306,1.14873,899.618,422.02,0.930191,-3.36414,-5.07565,-6.2247,-3.78688,110.397,660.157,60.6505,11814.8,43211.2,0.23505,-4.05928,-6.46593,-6.91984,-4.48202,0.701921,572.222,52.6564,11726.8,0.0474301,0.861299,0.00820364,12064.5,-0.00429141,0.0488215,13.5189,17.3645,112.793,89.0711,0.872749,13.6052,12.7183,111.391,140.477,1.40212,-51.4061 
22,0,47.2227,1.225,22,8609.75,-1.00451,21.5553,13.9454,112.316,1.22302,-44.0371,302.14,-1.30169,-1.99464,-4.56245,-3.88291,-4.58897,102.04,712.244,75.2663,12042.9,11538.7,-1.94421,-2.63716,-5.84749,-4.52543,-5.23149,0.710316,630.965,67.8774,11961.6,0.0510763,0.841567,0.010345,12353.4,-0.00508711,0.0312183,13.9783,68.7611,116.687,98,0.857287,13.8153,12.4132,111.221,139.539,5.46514,-41.5391 
23,0,47.2227,1.1,23,9530.57,-0.91843,22.8426,13.6954,112.146,1.52479,-1412.08,0.0857017,0.962607,-0.265465,-5.15007,-2.28026,-5.19695,74.3186,189.572,256.61,13253.5,80275.3,0.494643,-0.733429,-6.086,-2.74822,-5.66491,0.587052,130.374,251.229,13194.3,0.00998208,0.228717,0.0338863,13060.8,-7.62593,7.62834,4951.51,2504.18,112.042,97.8953,0.990503,13.5511,12.4216,111.252,139.903,0.790012,-42.0081 
24,0,47.2227,1.325,24,7698.64,-0.977404,21.4408,12.969,112.301,-0.0276142,2418.74,285.34,-0.920862,-2.9924,-3.493,-0.480401,-4.01536,94.5545,3656.8,101.496,8332.46,11226.2,-1.51625,-3.58779,-4.68376,-1.07578,-4.61075,0.69732,3581.48,94.649,8257.14,0.306805,0.955797,0.0206788,11673.5,-0.00430183,0.336673,12.2357,-11.3648,111.744,89.9395,0.620255,13.2673,13.0338,111.422,139.558,0.321947,-49.6183 
