cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ROIsqsum,c5cwc,c9cwc,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,7,0,11613.6,-0.133414,17.2868,15.4681,98.6124,0.297952,-209.329,5.10752,-1.42467,0.120185,-1.56765,-2.3337,-3.29936,-70.5393,4055.85,86.573,7596.69,10734.9,-0.9805,0.564352,-0.679314,-1.88953,-2.85519,0.883683,4154.79,93.9017,7695.63,0.380234,0.961953,0.0219832,10926.9,2466.25,14947.1,45040.1,-8.61544e-05,0.277472,14.5427,12.0929,98.606,71.5488,0.441899,15.4082,13.8876,98.0272,122.607,0.57876,-51.0584 
1,0,1,12955.9,-0.018998,20.8613,13.5934,98.3008,-0.00728761,1.58067,7.96257,0.998432,0.111031,-1.96297,-0.323843,-0.112714,-75.0386,-152.971,25.6674,12755.5,9231.72,1.47093,0.583529,-1.01797,0.148655,0.359784,1.65891,-47.7217,33.4637,12860.7,-0.00423452,-4.40249,0.00477031,11269.7,6234.96,541.06,157089,0.000134396,0.01293,13.098,8.18939,120.828,57.4685,0.941111,13.3675,12.3829,97.857,122.457,22.9706,-64.989 
3,0,3,13321.2,-0.000298402,21.5141,13.5713,98.1461,0.00853424,5.41885,2.13279e-10,2.41544,3.22375,2.66045,0.699134,-3.27293,-74.8894,-202.426,-3.75393,13229.4,9506.28,2.88699,3.69531,3.60357,1.17069,-2.80137,0.578786,-97.3861,4.02679,13334.4,-0.00836872,1.078,0.000555978,11636.9,6539.84,564.707,165211,-3.44906e-05,0.0119974,-15.0821,-8.99896,123.291,57.2784,0.952159,13.48,12.6244,97.6891,122.669,25.6021,-65.3906 
4,6,4,11694.8,-0.0602589,17.2585,15.115,98.3381,0.0182441,18.5497,3.81563,-2.85144,1.62619,-4.1189,1.39477,-4.16561,-94.8025,3482.15,57.683,8048.97,8502.93,-2.25449,2.22313,-2.92501,1.99172,-3.56866,0.354775,3615.12,67.5326,8181.94,0.334262,0.968344,0.0149768,10815.2,2547.4,11781.4,50473.6,0.000114987,0.249445,14.2965,11.8916,98.5804,71.5835,0.470998,14.95,14.1359,97.8194,122.889,0.760915,-51.3058 
5,8,5,11386.1,-0.0181461,16.6642,15.4247,98.3175,0.000684879,-8.45926,500,1.96791,0.449397,-0.468347,-3.12307,-1.19384,-55.9781,4225.46,81.351,7142.94,8367.69,2.32039,0.801876,0.236611,-2.7706,-0.841365,1.93493,4303.97,87.1669,7221.45,0.403793,0.965771,0.0217516,10658.9,2205.01,15407.6,38029.9,-6.73627e-05,0.271606,15.1527,12.5596,98.2822,71.3967,0.397986,15.269,14.5887,97.8738,122.942,0.408452,-51.5456 
6,4,6,12649.8,-0.0550609,19.2787,14.5765,98.6446,-0.0157245,193.939,99.2904,1.92802,0.58996,-2.25593,-1.13756,-3.15596,-71.8067,2163.23,57.9201,10291.2,9247.31,2.38017,1.04211,-1.35164,-0.685416,-2.70381,-0.0250653,2263.95,65.3805,10391.9,0.198438,0.951893,0.0114568,11408.8,3784.15,5537.63,88739.9,0.00028091,0.180389,13.1178,11.011,99.0887,71.3361,0.657405,14.2621,13.3968,98.1659,122.538,0.922797,-51.2017 
7,2,7,13533.3,-0.0297616,21.3188,13.9473,98.5892,-0.0644877,134.113,472.859,-0.00661091,0.594207,-3.00082,-0.144988,0.489743,-39.5089,194.13,9.34449,12974.6,9960.9,0.242166,0.842984,-2.50326,0.103789,0.738519,-3.34741,249.545,13.4493,13030,0.0212996,0.913812,0.00189778,11715.9,6201.98,644.631,156323,0.000448259,0.0307902,9.91882,9.19498,98.8868,69.4974,0.924539,13.6143,12.5272,98.174,123.309,0.712778,-53.8119 
8,5,8,12270.6,-0.0555001,18.2108,14.9818,98.3572,0.0323855,46.9102,127.093,-3.8456,0.643332,-3.41136,-3.4758,-1.97463,-58.5996,2873.45,40.228,9200.03,8931,-3.47661,1.01232,-2.67339,-3.10681,-1.60564,0.728594,2955.64,46.3162,9282.22,0.265699,0.973309,0.00910798,11124,3080.47,8722.64,67394.1,0.000205753,0.221861,13.4505,11.6651,98.4565,71.9392,0.553899,14.9628,13.6471,97.8333,123.607,0.623199,-51.6681 
9,0,9,12861.3,-0.0337297,20.9573,13.5129,98.2068,0.0358604,-31.9557,123.382,2.36598,0.420057,-1.04677,2.39242,-0.936699,-45.2009,-103.575,-10.2561,12700.7,9256.16,2.6506,0.704675,-0.477537,2.67704,-0.652081,1.0974,-40.176,-5.55994,12764.1,-0.00358962,0.805035,-0.000803049,11192.3,6164.79,526.19,155435,5.26634e-05,0.00886366,-19.1326,-10.2641,123.214,57.0959,0.935039,13.3113,12.4729,97.8801,123.86,25.3344,-66.7637 
10,10,10,11933.3,-0.0452197,16.8964,16.0777,98.386,-0.0695227,50.3875,9.71059e-06,0.0990939,0.279797,-1.79587,-4.90965,-4.51588,-61.9212,4906.58,110.569,6976.75,8957.28,0.488995,0.669699,-1.01607,-4.51975,-4.12598,0.880506,4993.43,117.002,7063.6,0.445468,0.96061,0.0296094,11209.4,2228.47,19570.1,34254,-5.41551e-05,0.298828,15.6818,12.8022,98.3305,71.3888,0.363776,15.8968,15.0267,97.9267,122.825,0.4038,-51.4361 
