cyc,detuning,ODT1,ODT2,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
10,0,0.07,1.4,47.2227,1.55,10,5326.26,-0.583468,16.2465,11.1938,113.312,1.18287,-764.67,235.179,1.53658,2.03693,-0.0970495,1.44668,-1.53059,181.02,2669.48,34.4279,5346.39,35364.8,0.39674,0.897088,-2.37673,0.306842,-2.67043,0.310392,2525.29,21.3197,5202.2,0.331254,0.985441,0.00749278,7623.45,-0.00237389,0.362221,10.5517,8.68948,112.681,87.5991,0.587356,11.0818,9.98934,112.193,136.571,0.487575,-48.9722 
11,0,0.07,1.4,47.2227,1.68,11,5821.57,-0.110226,16.1805,11.1621,113.378,0.0035005,127.93,3.07247e-05,2.11169,1.44471,2.12579,-0.651505,0.776643,161.421,3061.49,22.1719,5331.55,5894,1.09527,0.428281,0.0929346,-1.66793,-0.239784,1.3191,2932.92,10.483,5202.97,0.365162,0.993784,0.00369778,8031.83,-0.00230425,0.384242,11.0073,9.14187,112.955,88.5713,0.548538,11.3942,-10.3469,112.438,137.756,0.516786,-49.1848 
12,0,0.07,1.4,47.2227,1.33,12,6962.24,-0.577521,18.3256,11.8262,112.848,-0.805527,1478.83,195.922,1.16116,1.15506,0.0138151,-1.08277,-1.0922,86.2068,278.221,34.0312,9107.93,45833.8,0.618338,0.612239,-1.07183,-1.62559,-1.63502,0.654456,209.554,27.7887,9039.26,0.0231091,0.811645,0.00563115,9068.03,-0.00213098,0.0507342,9.19648,-8.96877,112.311,87.502,0.941894,11.5569,10.1718,111.911,136.011,0.400128,-48.5093 
13,0,0.07,1.4,47.2227,1.35,13,5242.51,-0.132661,15.0765,11.1238,113.016,0.0577817,53.8487,500,1.22026,2.39181,4.28035,1.06755,1.62012,101.315,297.902,20.441,7420.9,5560.74,0.582306,1.75386,3.00444,0.429592,0.982169,0.555054,217.2,13.1045,7340.2,0.0293094,0.904499,0.00327794,7410.6,-0.00224308,0.0585144,-9.98404,-8.04766,112.417,86.1979,0.814489,11.2836,9.86773,111.979,135.593,0.438365,-49.3955 
14,0,0.07,1.4,47.2227,0,14,6277.49,-0.291633,16.8785,11.5559,113.199,0.0546699,-1081.41,500,0.315198,2.07543,3.68503,1.08251,-1.17769,106.191,-37.7591,34.2656,8826.91,8273.96,-0.353457,1.40678,2.34772,0.413856,-1.84634,-0.192611,-122.344,26.5761,8742.33,-0.0144869,1.61327,0.00556869,8445.14,-0.00222748,0.0143118,9.63511,6.67867,123.76,69.0451,0.933375,11.2707,10.1651,112.228,136.981,11.5314,-67.9359 
15,0,0.07,1.4,47.2227,0,15,6584.55,-0.0382797,16.9315,11.198,113.183,0.0276498,43.5653,500,0.99852,2.66012,2.50852,0.203206,-1.6681,160.895,-48.2014,30.6889,8841.45,6211.26,-0.0145918,1.64701,0.4823,-0.809906,-2.68121,1.35041,-176.36,19.0382,8713.29,-0.021089,1.23291,0.00400879,8362.67,-0.00191782,-0.0682009,3.26311,0.181603,134.529,78.6478,0.931865,11.2491,10.2381,112.205,135.726,22.3239,-57.0781 
16,0,0.07,1.4,47.2227,1.4,16,6616.69,-0.601937,18.2879,11.5913,113.085,0.636527,10.4913,438.333,0.817739,0.763887,-0.23257,0.213646,0.00483946,99.8937,824.673,34.9628,8421.63,7118.03,0.188735,0.134883,-1.49058,-0.415358,-0.624164,0.324455,745.104,27.7292,8342.06,0.0835289,0.938855,0.00608594,8920.32,-0.00232087,0.124548,10.0762,8.6221,112.74,87.6339,0.888249,11.4038,10.118,112.173,136.506,0.566994,-48.872 
17,0,0.07,1.4,47.2227,1.65,17,4849.53,-0.565158,15.4455,-10.9695,113.04,-0.355468,40.9924,0.0488791,0.889516,2.35817,-1.73718,0.115199,-0.928564,118.048,3327.6,26.7218,4174.05,5989.83,0.146201,1.61486,-3.22382,-0.628117,-1.67188,0.143229,3233.57,18.1737,4080.02,0.447121,0.99026,0.00813854,7232,-0.00235441,0.457752,10.3436,8.72813,112.594,87.5566,0.452111,11.0848,-10.1352,112.092,136.394,0.501698,-48.8378 
18,0,0.07,1.4,47.2227,1.6,18,4803.43,-0.0325519,14.8528,10.2562,113.236,-0.00652529,-24.3204,500,0.532933,2.86496,0.940467,2.72789,0.958389,133.553,2693.72,24.3936,4445.5,4964.15,-0.308014,2.02401,-0.741427,1.88694,0.117442,1.24889,2587.34,14.7227,4339.12,0.378284,0.99014,0.00621148,6839.68,-0.00207783,0.402308,9.97961,8.47966,112.718,87.245,0.517756,10.6488,9.73423,112.227,135.877,0.490429,-48.6317 
19,0,0.07,1.4,47.2227,0,19,5488.97,-0.577595,16.2143,11.393,113.083,1.20748,126.052,7.96916,2.06738,0.734551,-2.57163,1.96904,-0.798739,148.291,-94.0538,18.1326,8176.34,10968.3,1.13363,-0.199198,-4.43912,1.03529,-1.73249,-0.0564604,-212.173,7.39451,8058.22,-0.0276091,1.06495,0.00168753,7684.88,-0.00224466,-0.00517353,5116.84,0.83833,134.491,64.1311,0.926159,10.9723,9.73465,112.195,136.268,22.2965,-72.1365 
20,0,0.07,1.4,47.2227,1.63,20,4217.37,-0.365463,14.4868,10.3391,113.344,0.928357,-221.094,2.33698e-11,2.6852,0.575141,1.78279,0.64733,1.48878,193.024,2666.45,17.9941,4171.29,11557.6,1.46978,-0.640279,-0.64805,-0.56809,0.273361,-4.72109,2512.7,4.01678,4017.54,0.389573,0.99721,0.00183837,6449.89,-0.00237167,0.406376,9.94704,8.39498,112.887,86.8705,0.497521,10.5494,9.65543,112.279,135.726,0.608873,-48.8551 
21,0,0.07,1.4,47.2227,1.43,21,4775.78,-0.58418,15.2532,11.1596,113.179,-0.169048,712.512,399.659,-1.7167,0.442469,-0.24069,1.11255,0.149924,181.399,1065.4,21.675,6345.64,9462.24,-2.85892,-0.699751,-2.52513,-0.0296727,-0.992296,0.644637,920.912,8.53947,6201.15,0.131596,0.984032,0.00253031,6998.04,-0.0023602,0.17797,9.61671,8.14323,112.527,86.6977,0.707324,11.191,9.77287,112.164,135.763,0.363569,-49.0653 
22,0,0.07,1.4,47.2227,1.53,22,4597.03,-0.551837,14.8117,10.9655,113.265,2.41326,-632.589,0.28719,0.211585,0.395922,3.93425,0.696945,-0.782474,134.88,2497.97,34.3364,4602.67,54983.2,-0.63772,-0.453384,2.23564,-0.15236,-1.63178,4.49537,2390.54,24.5694,4495.23,0.351763,0.982332,0.00996797,6795.87,-0.00227704,0.337123,10.5649,8.96861,112.694,88.1218,0.510454,10.9109,-10.0561,112.331,137.029,0.363589,-48.9074 
