cyc,detuning,ODT1,ODT2,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
44,0,0.07,1.4,47.2227,1.3,44,5713.36,0.00272006,15.4867,10.9002,113.196,-0.00871749,11.3325,0.153919,-0.0568066,-0.09625,-2.28312,0.208067,0.847247,84.3456,79.9808,24.2298,7872.88,5498.48,-0.587908,-0.627352,-3.34532,-0.323035,0.316145,0.267577,12.7964,18.1222,7805.69,0.00167003,0.287494,0.00425853,7662.37,-0.00250731,0.0148301,9.66179,-84.927,121.108,98,0.850735,11.0132,9.98778,112.177,135.78,8.93124,-37.7801 
45,0,0.07,1.4,47.2227,1.45,45,3840.33,0.0203871,12.9576,10.0972,113.045,0.00365213,-13.6775,4.76987e-12,2.70171,-2.08427,0.245371,-1.66491,-0.328017,135.263,1354.37,-1.8451,4967.86,4260.75,1.85,-2.93599,-1.45806,-2.51663,-1.17973,0.766352,1246.63,-11.6398,4860.12,0.207442,1.01661,-0.00443134,6009.54,-0.0022607,0.208138,10.1767,-8.58046,112.401,87.2135,0.584709,10.6108,-9.71529,112.082,135.982,0.318919,-48.7686 
46,0,0.07,1.4,47.2227,1.48,46,5259.94,-0.524598,15.84,10.9687,113.023,-0.840734,695.713,295.407,-0.137043,0.0805597,1.75275,2.9408,-0.202737,118.581,1701.22,36.3731,6021.63,24696.7,-0.883718,-0.666115,0.259405,2.19412,-0.949411,6.67443,1606.77,27.7864,5927.18,0.21668,0.970626,0.00856178,7415.4,-0.000528337,-0.0248819,-0.909925,0.121135,106.722,92.5322,0.673632,10.67,-9.98886,112.063,137.059,-5.3411,-44.5266 
47,0,0.07,1.4,47.2227,1.7,47,4631.15,-0.213521,14.9786,10.1004,112.993,-1.21801,120.449,0.00150548,1.7784,0.242973,-2.23088,2.63088,-0.87294,163.556,2943.09,27.5026,4097.41,9700.81,0.748526,-0.786897,-4.29062,1.60101,-1.90281,0.073458,2812.81,15.659,3967.13,0.419785,0.990352,0.00721866,6700.6,-0.00212174,0.437836,10.0322,8.44575,112.394,87.7975,0.484686,10.218,-9.91718,112.161,136.81,0.233685,-49.012 
48,0,0.07,1.4,47.2227,0,48,6033.79,0.0124392,16.1868,10.7606,113.181,8.33936e-05,8.32382,0.188076,-0.388072,-0.228044,-1.28049,2.69311,0.638123,113.593,-68.1377,23.4993,8255.65,5670.15,-1.10334,-0.943309,-2.71102,1.97784,-0.077142,0.0510834,-158.619,15.2737,8165.17,-0.0202236,1.20266,0.003434,7843.25,-0.71221,0.712897,2211.67,1227.31,123.374,97.1161,0.940864,10.7918,9.73698,112.171,135.958,11.2035,-38.8416 
49,0,0.07,1.4,47.2227,1.38,49,5045.24,-0.012572,15.1385,-10.5975,113.272,0.00981668,-29.2748,500,2.33448,1.38256,5.53989,0.932295,-0.0655239,144.114,531.957,27.5953,7084.01,5231.88,1.42703,0.475109,3.72499,0.0248475,-0.972972,0.203892,417.165,17.1597,6969.21,0.0575639,0.932849,0.00451518,7247,-0.0022656,0.0941505,9.66215,8.51446,112.889,86.9909,0.786151,10.9198,9.96421,112.262,136.21,0.627088,-49.2194 
50,0,0.07,1.4,47.2227,1.58,50,5636.43,-0.401423,16.0624,11.0222,113.32,-0.25953,463.082,0.00155873,0.120746,1.2892,3.16105,1.84826,1.02989,120.522,2889.2,32.5186,5097.44,9675.73,-0.638151,0.530301,1.64326,1.08936,0.270989,0.43253,2793.2,23.7913,5001.44,0.363007,0.985313,0.00868658,7694.6,-0.00207549,0.400207,10.4222,8.70192,112.991,87.8224,0.559741,11.1324,-9.88472,112.302,136.704,0.689001,-48.8818 
51,0,0.07,1.4,47.2227,1.5,51,3325.85,0.00238181,12.4861,9.72162,113.333,0.00240057,-2.75587,1.15191e-10,0.556126,-0.231725,3.15743,-1.03624,-0.410145,108.784,1824.16,14.9785,4068.79,3951.69,-0.128855,-0.916707,1.78746,-1.72122,-1.09513,1.86166,1737.51,7.10119,3982.14,0.308068,0.992899,0.0032742,5640,-0.0022943,0.293047,9.617,8.29432,112.733,86.8749,0.509449,10.3294,9.35645,112.357,135.618,0.37583,-48.7433 
52,0,0.07,1.4,47.2227,1.55,52,5182.76,-0.546791,16.0563,10.8733,113.154,0.270715,-248.955,269.942,1.42064,1.7685,0.635121,0.951455,1.57212,131.899,2510.59,28.7372,5221.37,7877.26,0.59011,0.937963,-1.02595,0.120921,0.741587,1.75181,2405.52,19.1861,5116.31,0.324216,0.986234,0.00686046,7419.51,-0.00231852,0.363294,10.4163,8.54198,112.6,86.3473,0.588541,10.9065,9.874,112.218,135.105,0.381474,-48.7574 
53,0,0.07,1.4,47.2227,1.68,53,4682.91,-0.00113934,14.351,-10.3845,113.259,0.000496902,-18.7857,500,1.51258,0.869707,1.58219,0.762182,0.314969,153.358,2964.43,22.0638,4156.43,4851.66,0.546929,-0.0959462,-0.349118,-0.203472,-0.650685,0.535927,2842.28,10.9587,4034.28,0.418236,0.993298,0.004979,6795.87,-0.00222489,0.427916,10.1285,8.6317,112.78,88.455,0.457397,11.1135,-10.007,112.173,137.326,0.606963,-48.8712 
54,0,0.07,1.4,47.2227,1.33,54,4542.36,-0.546007,14.192,11.0091,113.374,0.239341,-665.776,279.556,0.590395,1.79174,0.554343,0.441989,2.22381,123.49,233.929,18.6929,6675.97,10273.5,-0.187191,1.01416,-1.00083,-0.335596,1.44622,2.06839,135.565,9.75064,6577.61,0.0205975,0.888201,0.0027233,6581.62,-0.00209785,0.0501678,-9.23167,-8.14973,111.752,86.1686,0.753598,11.0188,9.75686,112.324,135.507,-0.572743,-49.338 
55,0,0.07,1.4,47.2227,1.35,55,5459.38,-0.514933,16.1375,10.967,113.05,0.0351397,64.1963,90.1743,2.54311,0.871502,3.29853,-0.271199,-2.22786,122.042,362.21,17.5805,7507.43,5834.73,1.77464,0.103035,1.7616,-1.03967,-2.99632,5.4405,264.999,8.7431,7410.22,0.0352063,0.945414,0.00216873,7527.01,-0.00264606,0.0224688,11.3469,66.7701,117.582,98,0.84436,10.6822,9.65088,112.107,136.39,5.47461,-38.3903 
56,0,0.07,1.4,47.2227,0,56,5219.68,-0.512376,15.2117,11.1232,112.882,0.505837,-452.112,1.97005,1.51074,-2.25996,3.13303,-1.29587,0.0853761,97.8836,-82.3586,23.3855,7559.77,12952.9,0.894388,-2.87631,1.90034,-1.91222,-0.530971,1.75268,-160.326,16.2975,7481.8,-0.022355,1.21638,0.00399658,7171.84,-0.515627,0.515974,1689.22,1131.86,113.169,97.4762,0.843396,10.8117,9.93549,112.161,136.405,1.00784,-38.929 
57,0,0.07,1.4,47.2227,0,57,5291.41,-0.50624,15.3877,11.2003,112.997,-0.394287,350.065,287.027,0.593271,1.49975,3.56979,0.049034,0.101537,85.25,-55.3697,23.0667,7653.34,10103.6,0.056475,0.962956,2.49619,-0.487762,-0.43526,0.0371861,-123.274,16.8935,7585.44,-0.0168628,1.31548,0.00408578,7310.46,-0.00237887,0.00576846,-32.0554,25.8722,143.407,55.1122,0.850969,10.8107,10.1223,112.102,136.157,31.3045,-81.0445 
58,0,0.07,1.4,47.2227,1.4,58,4951.34,-0.523602,15.5073,10.7645,113.323,2.39977,-2217.51,11.1657,-0.791897,0.831994,2.83083,-0.423928,0.286092,118.852,787.37,18.4773,6589.17,178667,-1.54028,0.0836141,1.33407,-1.17231,-0.462288,1.75921,692.7,9.87095,6494.5,0.0981536,0.975669,0.00279199,7057.31,-0.0020962,0.119281,9.67721,9.01305,113.398,88.1067,0.743663,10.4657,10.1989,112.418,137.091,0.980263,-48.9847 
59,0,0.07,1.4,47.2227,1.65,59,3656.47,-0.0444683,13.6594,9.83198,113.202,0.0976136,-39.7152,0.00043183,2.49662,0.193137,2.05849,0.548434,0.322921,146.437,2714.47,19.6726,3672.38,4498.07,1.57455,-0.728937,0.214346,-0.37364,-0.599153,-1.45907,2597.83,9.06879,3555.74,0.427102,0.993928,0.00467625,6082.45,-0.00250967,0.418355,10.2325,8.24126,112.774,87.9952,0.468766,10.1454,-9.33054,112.302,136.672,0.472805,-48.6766 
60,0,0.07,1.4,47.2227,1.6,60,3808.83,0.00107465,13.4693,9.62713,113.22,0.0134094,-7.9799,499.746,-2.25424,1.02965,2.08357,1.61909,1.73749,139.076,2873.92,10.913,3426.81,4224.7,-3.12996,0.153931,0.332124,0.743371,0.861769,1.31973,2763.15,0.84224,3316.03,0.45954,0.999467,0.000467659,6012.85,-0.00223982,0.416699,9.99415,8.70874,112.641,87.3367,0.411684,10.1187,-9.96381,112.35,136.189,0.29116,-48.8527 
61,0,0.07,1.4,47.2227,0,61,5219.75,-0.382396,15.1372,10.9095,113.145,0.722753,513.842,500,0.481845,1.20628,2.86749,3.41536,1.36682,72.2956,-29.7842,26.8717,7468.66,17465.5,0.0266183,0.751056,1.95704,2.96014,0.911596,0.703769,-87.3703,21.6366,7411.07,-0.0121762,1.76483,0.00534925,7175.48,-0.00225791,0.00544678,35.8297,25.3167,148,55.002,0.851394,10.6484,9.97881,112.333,136.062,35.667,-81.0599 
62,0,0.07,1.4,47.2227,1.63,62,6114.69,-0.495038,16.9968,11.1173,113.155,-0.754527,1343.44,392.652,0.246806,0.170045,2.37383,-0.404118,0.551441,109.143,3181.07,25.2865,5235.06,39149.2,-0.440437,-0.517198,0.999342,-1.09136,-0.135803,1.843,3094.13,17.3832,5148.12,0.380147,0.990264,0.00618164,8139.29,-0.00205877,0.426828,10.5694,8.83925,112.672,86.5566,0.561911,11.1407,10.1664,112.225,135.442,0.446984,-48.8855 
63,100,0.07,1.4,47.3227,1.4,63,5209.46,-0.0959291,14.4738,10.7793,113.055,0.0536912,-27.0891,499.359,1.91963,1.55606,-0.680744,0.159997,-1.4178,78.9588,-35.8227,16.7962,7425.55,5126.22,1.42245,1.05887,-1.67511,-0.337185,-1.91498,-0.158478,-98.7163,11.0786,7362.65,-0.0138711,1.2444,0.00276417,7116.68,-0.00186446,-0.017472,-0.953678,-7.42378,131.676,82.7289,0.84282,-10.759,9.90872,112.067,136.269,19.6088,-53.5403 
64,100,0.07,1.4,47.3227,0,64,5734.38,-0.0107519,15.9368,10.6475,113.187,0.0026984,11.7538,7.61177e-11,-0.0210961,-1.06391,2.91463,1.12353,-2.79441,63.6145,-74.3128,20.5924,8116.54,5524.89,-0.421659,-1.46447,2.1135,0.722963,-3.19498,1.94157,-124.984,15.9859,8065.87,-0.0160657,1.28838,0.00363763,7779.56,-0.00276762,0.0041608,-125.82,27.045,136.003,55,0.90099,11.0048,9.95818,112.288,135.685,23.7152,-80.6852 
65,100,0.07,1.4,47.3227,5,65,5273.54,-0.22797,13.1866,12.6755,113.341,0.330836,-180.175,500,-0.254815,0.321321,0.438121,-1.47674,-0.472933,149.565,2555.95,29.4971,5062.9,7381.62,-1.19659,-0.62045,-1.44542,-2.41852,-1.4147,0.796296,2436.81,18.6667,4943.77,0.334649,0.986772,0.00690738,7281.71,-0.00230995,0.230312,13.3225,10.6917,112.527,86.7577,0.423125,12.8929,11.712,112.511,136.183,0.0156986,-49.4251 
66,100,0.07,1.4,47.3227,3,66,4227.15,-0.482598,12.3027,-11.9118,113.004,-1.12792,531.201,126.444,2.97089,-1.18232,1.00547,1.70107,-0.386756,91.8293,745.551,17.2084,5712.5,24274.9,2.39266,-1.76055,-0.150975,1.12285,-0.964981,1.23627,672.405,10.5588,5639.36,0.10847,0.973255,0.00343718,6198.98,-0.00205258,0.0837342,12.2755,10.0543,112.417,86.811,0.597322,11.4459,10.2338,112.018,135.821,0.398545,-49.0099 
67,100,0.07,1.4,47.3227,9,67,5041.34,-0.078506,11.2965,13.8177,113.359,-0.220658,-1696.52,500,3.19965,2.44714,4.12754,1.89039,-1.39902,143.231,4072.45,50.9295,3071.37,17267.7,2.29776,1.54525,2.32377,0.988504,-2.30091,0.521304,3958.37,40.5578,2957.28,0.577316,0.982385,0.0246411,6856.5,-0.00232603,0.290289,14.888,12.2884,112.703,86.2959,0.214518,14.565,13.1118,112.569,135.291,0.134316,-48.9947 
68,100,0.07,1.4,47.3227,2.3,68,5662.77,-0.498101,15.4891,11.5882,112.911,-0.0296153,292.257,11.1677,2.41696,-1.93384,-0.405371,-1.74058,-0.545198,90.781,378.727,17.8,7537,6124.74,1.84534,-2.50547,-1.54862,-2.3122,-1.11682,0.725314,306.417,11.2264,7464.69,0.0402026,0.939747,0.00276274,7621.82,-0.002008,0.0579126,10.8181,8.70634,111.291,85.3488,0.794574,11.2477,10.2741,112.067,135.686,-0.776193,-50.3373 
69,100,0.07,1.4,47.3227,1.7,69,5671.07,-0.143951,15.9534,11.0103,113.271,-0.0955178,142.553,499.944,-0.595051,1.8321,5.98774,-0.382491,1.91584,81.4215,71.5655,133.546,7976.24,6161.29,-1.10774,1.31941,4.96236,-0.895181,1.40315,0.126651,6.71023,127.65,7911.38,0.000864736,0.0291624,0.0288645,7759.87,-1.40906,1.40895,3656.25,2007.8,114.343,96.2426,0.863056,10.8997,10.2116,112.335,137.176,2.00859,-40.9332 
70,100,0.07,1.4,47.3227,7,70,4708.89,-0.0321541,11.7773,12.9469,112.848,0.0055263,-1.53711,494.491,0.386778,0.049745,1.24855,0.0189966,0.0794494,81.6973,3215.09,30.245,3872.24,4963.96,-0.127649,-0.464681,0.219693,-0.49543,-0.434977,1.1686,3150.01,24.3291,3807.16,0.457782,0.986664,0.0116347,6881.03,-0.00250699,0.24379,14.3319,12.0531,112.164,87.3254,0.291861,13.5581,12.7368,112.199,136.645,-0.0347771,-49.3198 
71,100,0.07,1.4,47.3227,8,71,3939.04,-0.0187912,10.1535,12.7406,112.943,0.0427849,2.23191,500,2.49542,2.81351,2.66733,1.54149,-1.213,149.568,2918.12,23.6761,3225.67,4214.27,1.55362,1.87171,0.783751,0.5997,-2.15479,0.70469,2798.98,12.8455,3106.53,0.479,0.992033,0.00755955,5843.38,-0.00227076,0.223502,14.1666,12.0017,112.569,87.334,0.250197,13.543,12.3358,112.054,136.202,0.515829,-48.8682 
72,100,0.07,1.4,47.3227,3.5,72,6256.4,-0.293295,15.501,12.099,113.283,0.266131,-379.893,500,-0.326119,2.18469,0.926704,-0.106743,-0.162846,70.4985,1649.8,35.2268,6856.05,9396.48,-0.770029,1.74078,0.0388835,-0.550653,-0.606756,1.26312,1593.65,30.1219,6799.89,0.192993,0.967982,0.00809403,8257.54,-0.0020935,0.165022,12.0826,10.5628,112.682,88.0633,0.617588,12.2394,11.2023,112.383,137.24,0.298495,-49.1771 
73,100,0.07,1.4,47.3227,2,73,5113.65,-0.00116759,14.6973,-10.7971,112.967,-0.00651411,14.1664,1.05492e-11,1.35497,1.38912,2.57174,-1.65924,1.39933,96.6072,183.306,19.5752,7389.3,5168.83,0.746664,0.780812,1.35512,-2.26755,0.791016,0.0362283,106.355,12.5796,7312.35,0.0146244,0.828508,0.00315901,7272.46,-0.00267756,0.0160892,10.334,78.0262,119.769,97.9996,0.799882,11.0502,9.9065,111.978,136.269,7.79153,-38.2697 
74,100,0.07,1.4,47.3227,4,74,5815.4,-0.571783,14.0594,13.1982,112.981,0.130222,-135.231,142.978,2.98648,0.625118,-0.5412,1.34386,0.126252,93.8719,2006.59,33.455,6091.1,6613.82,2.39539,0.0340316,-1.72337,0.752773,-0.464835,2.73379,1931.81,26.6575,6016.33,0.246788,0.976421,0.00809603,7827.82,-0.00218969,0.19133,12.5851,10.6439,112.652,86.6303,0.533556,12.6543,11.2621,112.203,135.673,0.448926,-49.0427 
75,100,0.07,1.4,47.3227,10,75,5000.26,-0.539032,11.4078,14.408,113.181,1.42057,-851.066,457.414,2.74514,0.551467,1.08254,1.19832,-0.314492,143.054,3945.45,63.691,3119.93,44707.5,1.84436,-0.349308,-0.71901,0.297547,-1.21527,-4.07503,3831.5,53.3321,3005.98,0.565338,0.97622,0.0316482,6777.37,-0.0023366,0.273676,15.3866,12.3833,112.518,86.9066,0.220275,14.2482,13.2463,112.206,136.231,0.311916,-49.3246 
76,100,0.07,1.4,47.3227,0,76,5945.74,-0.0876616,16.3645,10.9484,113.137,0.55459,-187.864,500,0.057189,1.23695,0.0468013,-0.834005,-0.319755,88.4884,-21.3324,27.1936,8343.76,9224.1,-0.499999,0.679762,-1.06757,-1.39119,-0.876943,0.661726,-91.8166,20.7859,8273.28,-0.0114542,1.65611,0.00460682,8016,-0.893443,0.894405,2088.07,1305.45,120.879,97.9582,0.923475,10.8857,9.92002,112.275,136.718,8.60364,-38.7596 
77,100,0.07,1.4,47.3227,2.6,77,4226.47,-0.00731034,12.5921,-11.1825,112.815,-0.00690296,-10.9021,500,1.42359,2.09166,-1.4602,-1.37853,0.337975,45.6759,424.084,16.0762,6275.52,4586.32,1.13598,1.80405,-2.03541,-1.66614,0.0503659,-1.86209,387.701,12.7687,6239.13,0.0596275,0.945506,0.00375579,6502.05,-0.00224488,0.0571414,10.9566,10.467,112.777,87.1984,0.652497,11.4538,10.224,111.932,136.335,0.845074,-49.1367 
78,100,0.07,1.4,47.3227,6,78,4559.08,-0.557686,12.0692,13.4822,113.098,-0.490262,859.714,470.904,2.51103,-0.490899,0.801264,-0.133326,-1.73444,134.136,2656.62,31.9025,4273.17,19017.8,1.66641,-1.33552,-0.887977,-0.977946,-2.57906,0.784162,2549.78,22.1894,4166.33,0.384421,0.984999,0.00971551,6632.78,-0.0023817,0.215133,13.9603,11.5637,113.132,87.0844,0.355821,12.9204,11.7914,111.943,136.171,1.18975,-49.0861 
79,100,0.07,1.4,47.3227,1.5,79,5326.22,-0.0826033,15.2462,10.8969,112.902,0.000207661,-2.38525,500,1.77898,-0.459327,1.35391,1.57506,2.62624,84.2328,-48.0278,11.9373,7719.34,5408.31,1.24859,-0.989719,0.293124,1.04467,2.09585,0.920617,-115.122,5.83778,7652.25,-0.0155906,1.09738,0.00140334,7384.08,-0.00219939,0.00878454,18.1411,8.24038,116.89,70.8837,0.821194,11.1453,10.3246,112.045,135.934,4.84432,-65.05 
80,100,0.07,1.4,47.3227,1.4,80,5461.43,-0.576408,16.7171,11.0065,113.02,-0.958866,399.072,216.959,1.1153,-2.32401,3.48063,1.08813,2.33968,49.3768,-50.6968,9.10368,8063.17,18446.4,0.80439,-2.63492,2.85881,0.777222,2.02877,0.254406,-90.0272,5.52818,8023.84,-0.0115816,1.1204,0.00126755,7773.33,-0.00233474,0.00964002,16.6759,7.85429,115.767,71.0169,0.900363,10.7405,10.1426,112.232,135.685,3.53515,-64.668 
81,100,0.07,1.4,47.3227,0,81,5105.59,-0.58629,15.7152,11.2876,113.285,1.06847,-791.655,4.99917,1.09051,-0.173325,1.7534,-2.14523,1.44561,125.015,-93.9348,28.0197,7848.37,33309.9,0.303319,-0.960513,0.179022,-2.93242,0.658423,1.06505,-193.514,18.967,7748.79,-0.0261495,1.20704,0.00448876,7400.3,-0.00232413,0.0104686,-1.45074,7.83239,146.831,77.6916,0.883961,10.8044,9.91742,112.37,136.298,34.4612,-58.6068 
82,100,0.07,1.4,47.3227,5,82,5063.37,-0.0362431,12.6927,12.2955,113.163,0.0518245,-95.0571,0.102257,0.171828,0.769756,-3.44108,-1.03143,-0.53605,83.548,2489.72,28.4965,4845.97,5240.74,-0.354251,0.243676,-4.49324,-1.55751,-1.06213,0.377965,2423.17,22.4466,4779.42,0.340955,0.984048,0.00857727,7107,-0.00225236,0.213463,13.315,11.3113,112.621,87.5491,0.40445,12.7886,11.8269,112.393,136.715,0.227755,-49.1662 
83,100,0.07,1.4,47.3227,3,83,5456.19,-0.58307,15.1546,12.1836,113.066,2.17088,-28.9177,367.209,1.88007,-1.63732,-0.229576,2.17803,0.454268,64.0203,1050.17,20.6364,6935.77,8054.17,1.47695,-2.04044,-1.03581,1.77491,0.051149,5.568,999.173,16.0006,6884.78,0.128988,0.97274,0.0042629,7746.25,-0.00233883,0.120769,11.4327,10.1803,112.387,87.7056,0.671743,11.9475,10.6261,112.151,136.143,0.236174,-48.4377 
84,100,0.07,1.4,47.3227,9,84,5219.85,-0.130973,12.0619,14.0279,112.98,0.123752,-62.7565,500,0.754814,-0.232941,-2.3132,-0.0712755,-2.35077,108.019,4366.3,52.5977,3287.85,5760.94,0.0746465,-0.913109,-3.67353,-0.751443,-3.03094,0.557106,4280.26,44.7757,3201.81,0.577008,0.982022,0.025114,7418.03,-0.00270868,0.301926,15.3317,12.4903,112.709,86.8122,0.235173,14.2492,13.0581,112.131,135.901,0.578145,-49.0883 
85,100,0.07,1.4,47.3227,2.3,85,5743.65,0.00463617,14.968,11.3086,112.884,-0.00702916,17.3936,1.97832e-12,-1.40012,-0.472037,5.45162,1.7811,-0.277982,68.0209,466.549,20.9533,7588.95,5514.21,-1.82843,-0.900346,4.595,1.35279,-0.706291,-0.828695,412.368,16.0277,7534.77,0.0528918,0.936314,0.00390317,7796.44,-0.00207422,0.0479036,11.4604,11.9391,113.144,86.85,0.765955,11.5389,10.4808,111.983,136.207,1.16128,-49.3572 
86,100,0.07,1.4,47.3227,1.7,86,5295.47,-0.537526,15.8719,11.0876,113.244,0.656463,-22.2259,41.5575,-0.511102,-0.545181,1.1869,-0.502983,-1.2661,102.71,121.532,141.856,7398.74,6203.77,-1.15784,-1.19192,-0.106578,-1.14972,-1.91284,0.980689,39.7192,134.419,7316.92,0.00550867,0.144459,0.0327334,7210.3,-2.10919,2.10918,4858.34,2220.29,122.714,97.4218,0.894255,10.7795,9.76178,112.303,136.515,10.4107,-39.0928 
87,100,0.07,1.4,47.3227,7,87,5423.84,-0.597398,13.2415,14.0422,113.244,3.94367,73.3184,320.042,3.55103,1.53123,-0.542943,-2.58822,-2.18829,143.486,3787.35,56.3486,4067.94,15465.5,2.64753,0.627733,-2.34993,-3.49171,-3.09179,0.584683,3673.05,45.9584,3953.65,0.48665,0.978573,0.0209642,7547.63,-0.00258321,0.288112,14.0999,12.0761,112.61,87.3609,0.297768,14.0595,12.7259,112.35,136.71,0.260481,-49.3492 
88,100,0.07,1.4,47.3227,8,88,3908.15,-0.197196,10.6661,14.0808,112.568,-0.175518,259.043,48.4304,0.942537,1.01616,-1.26228,-0.603933,-0.21,150.283,2994.99,29.1999,3575.97,6369.17,-0.00375257,0.0698703,-3.15486,-1.55022,-1.15629,0.455613,2875.29,18.3175,3456.27,0.459133,0.988974,0.0096684,6262.43,-0.00272447,0.223262,14.5097,12.2321,112.65,87.887,0.280779,13.5514,12.1145,112.183,137.11,0.466563,-49.2231 
89,100,0.07,1.4,47.3227,3.5,89,4241.65,-0.0747775,12.2857,11.4896,113.171,0.0140303,4.88734,500,-1.29288,1.32884,-1.58202,-1.22144,-0.70988,95.3964,1060.67,16.1347,5598.1,4597.38,-1.89357,0.72815,-2.78339,-1.82213,-1.31057,0.606949,984.683,9.22684,5522.12,0.153944,0.983866,0.00306851,6396.36,-0.00122315,-2.08529,8.0689,-0.04196,113.5,87.4721,0.540393,11.9669,10.6642,112.192,135.662,1.30745,-48.19 
90,100,0.07,1.4,47.3227,2,90,5647.52,-0.534556,15.9466,11.4951,113.284,0.0517585,56.0171,199.46,0.914463,1.94384,-1.44015,-1.20995,0.89336,110.179,157.363,26.8316,7897.77,6061.65,0.220696,1.25007,-2.82768,-1.90372,0.199593,0.076233,69.6013,18.8533,7810.01,0.00901174,0.678411,0.00442715,7723.41,-0.00274365,0.0159889,11.2971,83.3196,121.019,98,0.846177,11.0381,9.99027,112.224,136.927,8.79508,-38.9269 
91,100,0.07,1.4,47.3227,4,91,5298.18,-0.311365,14.1573,12.4006,113.196,-0.309189,253.827,500,1.34376,-0.0885706,-1.26761,-0.916522,1.31014,132.545,1985.33,18.0941,5888.89,8269.83,0.509157,-0.923174,-2.93682,-1.75113,0.475536,0.365208,1879.76,8.49619,5783.31,0.24906,0.992152,0.00269891,7547.4,-0.00249946,0.195931,12.757,10.3497,112.747,86.4807,0.524108,12.4779,11.2791,112.157,135.416,0.589897,-48.9349 
92,100,0.07,1.4,47.3227,10,92,3665.76,-0.125797,9.92648,13.5852,113.318,-0.349299,-5.15876,4.76665e-05,0.377597,0.285601,-3.22102,-1.22638,2.89403,172.68,3194.65,20.5232,3031.47,4448.57,-0.709724,-0.80172,-5.39566,-2.3137,1.8067,0.272244,3057.11,8.01901,2893.92,0.518756,0.995431,0.00507852,5893.15,-0.00267191,0.226264,15.1476,12.3705,112.889,87.5214,0.230514,13.7942,12.4607,112.356,136.64,0.532721,-49.1182 
93,100,0.07,1.4,47.3227,0,93,5237.08,-0.555204,15.8248,11.1672,113.107,0.0822521,277.913,363.236,1.60239,0.829749,-1.6241,-0.259853,-0.227128,85.6408,-111.69,11.2705,7900.79,6496.91,1.06313,0.290492,-2.70261,-0.79911,-0.766385,0.0726956,-179.906,5.06907,7832.57,-0.0240003,1.05187,0.00119075,7496.01,-0.00228372,0.00934134,-10.0629,7.53886,120.763,68.2077,0.885219,10.8201,9.93694,112.242,136.3,8.52103,-68.0922 
94,100,0.07,1.4,47.3227,2.6,94,5529.75,-0.519876,15.2352,11.7537,113.035,-0.284273,845.123,168.543,1.7969,1.37557,1.27737,0.927983,0.6521,72.9587,602.265,21.7802,7267.79,13650.1,1.3375,0.91617,0.358565,0.468581,0.192698,0.890465,544.151,16.4971,7209.68,0.0715081,0.949618,0.0041974,7609.64,-0.00210273,0.0747761,10.6086,10.3913,112.408,86.5915,0.734722,11.5318,10.4711,112.097,136.189,0.310542,-49.5973 
95,100,0.07,1.4,47.3227,6,95,5332.24,-0.582362,13.2628,13.7124,112.857,0.38596,14.4398,22.3523,1.72924,0.351316,-2.19258,1.7174,-0.832411,122.577,3098.84,44.0346,4594.05,6101.74,0.957401,-0.420519,-3.73625,0.945567,-1.60425,0.0315699,3001.21,35.1585,4496.42,0.405147,0.979911,0.0141993,7407.69,-0.00242257,0.253339,13.895,11.4289,112.356,87.9888,0.362185,13.2303,12.2604,112.046,136.866,0.309939,-48.8771 
96,100,0.07,1.4,47.3227,1.5,96,5810.91,-0.547844,16.152,11.661,113.002,-0.211914,134.274,195.553,0.414529,0.554793,0.36854,0.978259,-1.4851,102.194,-47.7408,17.9054,8217.78,7057.65,-0.22896,-0.0886957,-0.918437,0.33477,-2.12858,0.696876,-129.142,10.5053,8136.38,-0.0164627,1.16599,0.00237279,7844.51,-0.00253849,0.00559846,43.0377,26.393,146.851,55.0245,0.884019,11.215,10.1206,112.117,135.817,34.7338,-80.7924 
97,100,0.07,1.4,47.3227,1.4,97,5001.63,-0.0620891,14.6751,10.8598,113.283,-0.0760678,16.9456,500,0.0779616,-1.50632,4.71512,-0.907284,1.25334,94.7595,-36.0499,17.8553,7563.52,5229.94,-0.518714,-2.103,3.52177,-1.50396,0.65666,-65.7509,-111.529,10.9935,7488.04,-0.0154328,1.20846,0.00269719,7226.75,-0.00255069,0.00391834,41.1204,30.6588,148,62.6837,0.823586,11.0578,10.0955,112.403,137.399,35.5971,-74.715 
98,100,0.07,1.4,47.3227,0,98,6400.07,-0.23824,17.1841,-11.3348,112.98,-0.208688,519.899,1.9219e-06,3.05537,-0.558194,-3.01087,1.66269,1.46747,60.632,-93.6839,34.2153,8871.72,9872.61,2.67359,-0.939977,-3.77444,1.28091,1.08569,12.5862,-141.98,29.8248,8823.43,-0.0166937,1.58131,0.00618812,8504.98,-0.00218094,0.00962311,21.6337,3.3509,110.257,73.517,0.950033,11.2474,10.1086,112.039,135.733,-1.7815,-62.2164 
