cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
12,1.35,12,12071.4,0.00214479,20.1988,13.1294,98.0855,-0.00602531,2.74752,3.92526e-11,-1.46164,1.45705,-0.68749,1.12327,-2.76025,-91.3178,2183.45,46.972,9733.28,8633.59,-0.886636,2.03206,0.462519,1.69827,-2.18524,0.587394,2311.53,56.4596,9861.36,0.22022,0.959008,0.0104366,10496.5,0.000263805,0.2325,11.5753,10.0451,98.1242,70.5215,0.715878,13.1869,12.4727,97.5879,120.64,0.53627,-50.1184 
13,0,13,12525.9,-0.0429323,20.6424,13.4166,98.3908,0.0291216,23.2436,225.092,-0.421863,-0.194207,-0.995148,-2.18367,1.52813,-73.0481,-76.2008,8.7792,12461,9037.68,0.0381014,0.265758,-0.0752197,-1.7237,1.98809,1.15257,26.2563,16.3686,12563.4,0.00251163,0.478245,0.00239429,10453.9,8.70983e-06,0.0133048,-13.7681,9.94435,121.558,54.1891,0.930641,13.1292,12.4057,98.0552,121.4,23.5027,-67.2105 
14,1.55,14,11138.7,-0.0840147,19.3693,12.9833,98.5431,0.118436,-79.9715,482,-1.08657,-0.0308496,-1.64194,-2.12123,-2.40796,-44.0998,2679.23,29.5149,8612.21,8494.71,-0.808886,0.246835,-1.08657,-1.84355,-2.13028,0.806744,2741.09,34.0967,8674.06,0.275748,0.978695,0.00718903,9940.56,-9.38938e-05,0.294512,11.4734,9.80335,98.2986,71.6612,0.654065,13.0536,12.2398,98.1732,122.339,0.125384,-50.6776 
15,1.475,15,10799.8,-0.0392328,18.6362,12.8265,98.3433,0.025403,2.77369,433.111,-0.174006,-0.890215,-3.62871,-1.22176,0.429442,-77.04,2907.08,30.6386,7844.25,7783.72,0.311094,-0.405115,-2.65851,-0.736661,0.914543,-0.0325717,3015.13,38.6427,7952.3,0.313569,0.978064,0.00887195,9615.54,0.000220786,0.313317,11.5768,9.79399,98.4199,71.1828,0.610622,12.6648,12.1791,97.845,121.497,0.574923,-50.3141 
16,1.275,16,11654.3,-0.0325974,19.6281,13.0856,97.8958,-0.200507,-86.6113,186.524,0.526654,0.649772,-1.99094,-0.849766,0.78603,-70.3045,1023.7,22.1468,10493.5,8926.49,0.969342,1.09246,-1.10556,-0.407078,1.22872,1.62184,1122.31,29.4512,10592.1,0.113207,0.956093,0.00509583,9913.78,0.000184823,0.11987,10.9033,9.86643,98.0213,69.8731,0.797473,13.1062,12.2196,97.4817,120.158,0.539567,-50.2846 
17,0,17,12750.6,-0.0161791,20.9023,13.4797,98.3426,-0.0172131,28.6925,491.294,-1.95921,-1.75975,-1.06477,-1.06123,0.711265,-64.0022,-123.538,6.47832,12711.9,9188.14,-1.55621,-1.35675,-0.25876,-0.658224,1.11427,0.904716,-33.7688,13.1279,12801.7,-0.00318826,3.1282,0.00188549,10591.6,1.17002e-05,0.0107412,-13.1469,-8.81929,120.882,53.7828,0.938098,13.3416,12.3743,98.0484,121.05,22.8333,-67.2676 
18,0,18,12024.2,0.000633656,19.6373,13.3859,98.1436,-0.00659034,8.83084,2.61169e-11,1.13224,2.54441,-4.43067,-1.31398,1.86155,-69.1396,-31.8741,35.7478,11851.5,8558.98,1.5676,2.97976,-3.55996,-0.878626,2.2969,2.47982,65.101,42.9311,11948.4,0.00652164,0.464243,0.00657523,9982.3,0.00020969,0.0153353,-11.2092,7.64303,120.471,53.3577,0.906182,13.1065,12.0852,97.8047,122.186,22.6658,-68.8278 
19,1.25,19,12649.7,-0.012909,20.6632,13.3685,98.5577,-0.00417418,21.4437,270.557,1.36799,0.707424,-0.889399,-1.84664,-3.68078,-88.32,377.456,2.12107,11978.4,8995.29,1.92412,1.26355,0.222856,-1.29052,-3.12465,1.22183,501.334,11.2972,12102.2,0.047537,0.962061,0.00171661,10546.2,0.000316588,0.0618556,9.32889,8.88373,99.4218,70.2523,0.888445,13.1912,12.467,98.155,121.803,1.26681,-51.5505 
20,1.425,20,10775.8,-0.00888491,18.5583,12.8694,98.4835,0.000629018,-10.8593,500,1.37252,0.876892,-2.80419,-0.454601,-1.09899,-56.8984,3380.82,53.3056,7404.86,7775.05,1.73079,1.23517,-2.08764,-0.0963273,-0.740712,51.574,3460.62,59.2171,7484.66,0.357765,0.970925,0.014365,9672.9,0.000113907,0.345666,11.7793,10.1877,98.3851,71.4884,0.562239,12.9784,12.2261,98.0376,122.218,0.347502,-50.7297 
21,1.325,21,10992,-0.0251175,18.6551,12.9911,98.4292,-0.00259932,4.00601,1.21573e-10,-2.89304,-0.848012,-1.37592,-0.817814,-0.425762,-71.9669,2089.85,22.7256,8880.62,7889.64,-2.43989,-0.394856,-0.469609,-0.364658,0.0273942,0.871044,2190.79,30.2026,8981.56,0.227131,0.976442,0.00615638,9645.49,0.000165961,0.236381,11.3283,9.42168,98.4864,71.5715,0.68417,12.9473,12.1349,97.9966,122.211,0.489814,-50.6394 
22,1.3,22,12147.2,-0.0194894,20.4451,13.1639,98.5487,-0.0166931,59.4703,500,-0.500621,-2.74687,-2.76342,0.0781639,-3.85849,-66.2498,2908.59,51.3598,9155.56,8793.57,-0.0834636,-2.32972,-1.9291,0.495321,-3.44133,0.735315,3001.51,58.2429,9248.48,0.2811,0.967157,0.0114677,10677.8,0.000140889,0.303635,11.843,10.0555,98.529,70.2782,0.684501,13.2318,12.2578,98.0013,120.677,0.527641,-50.3986 
23,1.225,23,12743.6,-0.0212768,20.8885,13.4065,98.1648,-0.0084789,17.2345,2.96345,-0.856845,-0.746645,-2.81108,2.59748,-2.48428,-26.5837,68.7434,13.4255,12457.9,9121.08,-0.689455,-0.579254,-2.4763,2.76487,-2.31689,0.24893,106.03,16.1875,12495.2,0.0101202,0.789159,0.00238076,10477,0.000277826,0.0288826,-7.05548,7.23294,96.481,68.8752,0.935421,13.1242,12.3303,97.803,121.441,-1.32199,-52.5654 
24,0,24,12802.5,-0.0414148,20.8692,13.5504,98.4978,0.0176868,25.6822,454.898,1.56164,0.0425559,-1.27181,-0.681995,-0.796015,-33.414,-71.3192,-8.8261,12640.4,9220.39,1.77204,0.252955,-0.851013,-0.471597,-0.585616,8.28779,-24.4529,-5.35452,12687.3,-0.00232752,0.72296,-0.000778046,10506,4.31825e-05,0.00931079,-18.3766,-10.4907,123.143,57.3076,0.911402,13.3494,12.7054,98.192,122.225,24.9513,-64.9178 
25,1.45,25,11134.5,-0.0218968,19.0036,12.8576,97.9817,0.000867796,3.07949,383.607,3.26363,-1.4996,-0.265208,1.22384,0.769061,-59.6859,3030.21,49.2357,7993.68,7954.17,3.63946,-1.12377,0.486444,1.59967,1.14489,0.915352,3113.92,55.4368,8077.39,0.317159,0.969786,0.0124849,9818.15,0.000321179,0.320167,11.7495,9.72721,98.0297,71.5535,0.615489,12.8513,12.1391,97.4646,122.077,0.565126,-50.5239 
