cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,5,0,23124.3,-0.00411968,37.7109,13.3535,97.3541,-0.0457347,-14.3107,1.07754e-10,1.33641,-0.1686,-1.05532,0.70902,1.98378,-137.95,10357.4,84.7737,12558.6,16414.2,2.20504,0.700036,0.681948,1.57766,2.85241,0.914938,10550.9,99.1062,12752.1,0.49921,0.983828,0.0141143,21135.1,0.00071842,0.942318,12.7972,10.2851,97.4078,73.808,0.900745,13.3695,12.5195,96.8823,125.319,0.525479,-51.5107 
1,0,1,24645.3,-0.0604649,40.7316,13.32,97.0607,0.683856,-398.782,498.639,-1.83647,0.75799,2.86951,-0.6303,-1.93376,-161.009,11512.6,88.4209,13016.1,26539.3,-0.822634,1.77182,4.89717,0.383532,-0.919928,0.0777391,11738.5,105.149,13242,0.516447,0.984566,0.0144165,22729.3,0.00048768,1.04795,12.6424,10.404,97.1171,73.2587,0.935088,13.4426,12.5979,96.4772,124.31,0.639851,-51.0514 
2,3,2,25257.9,0.0637354,41.0676,13.4006,96.882,-0.188348,29.2908,500,0.393656,2.89798,0.83134,-0.394274,2.80471,-186.797,11859.7,88.2794,13197.4,18094.6,1.56987,4.07419,3.18376,0.781937,3.98092,0.765739,12121.7,107.687,13459.4,0.520402,0.984691,0.0145244,23293,0.000535663,1.07285,12.9273,10.2849,96.9716,72.3678,0.950041,13.5913,12.4289,96.3267,123.218,0.644856,-50.8497 
3,4,3,24284.4,0.0276076,40.0182,13.3064,97.0762,0.0462369,-74.8594,500,1.1318,4.81271,2.05566,1.27389,-0.559176,-149.135,11244.4,71.4315,12969.2,17447.2,2.07087,5.75177,3.93379,2.21296,0.379889,0.725855,11453.6,86.9261,13178.4,0.511512,0.986893,0.0120049,22391.6,0.000355857,1.03762,12.633,10.3097,97.1013,73.4757,0.925998,13.5899,12.5718,96.5815,124.777,0.519762,-51.3012 
4,10,4,20740,-0.0727918,33.413,13.661,96.9733,0.128044,19.5263,2.11448e-11,1.02081,-1.02942,-6.13992,-2.16164,1.55961,-128.482,9251.61,60.6037,11322.7,14940.5,1.82982,-0.22041,-4.52189,-1.35263,2.36863,-1.38436,9431.82,73.9525,11502.9,0.496954,0.986464,0.0117043,18979.2,0.000302932,0.810098,13.1572,10.5289,97.1017,72.8822,0.787136,13.7835,12.7492,96.4326,124.092,0.669154,-51.2095 
5,6,5,22882.1,0.0241693,37.5695,13.2713,97.2243,-0.0774435,20.0352,3.37907e-12,0.415706,-1.28355,-4.62167,3.6128,-1.16858,-175.575,10569.1,63.4341,12151.9,16281.5,1.52126,-0.177994,-2.41057,4.71835,-0.0630302,1.67184,10815.4,81.6757,12398.2,0.512435,0.986957,0.0119898,21105.9,0.000465755,0.957072,12.8523,10.343,97.4229,73.8957,0.872919,13.3573,12.6609,96.5727,125.447,0.850151,-51.5513 
6,2,6,24803.6,0.0363152,40.6917,13.3485,97.0464,-0.0383491,-17.3919,2.2938e-11,1.34585,3.7296,-0.472979,-2.56898,-1.76241,-184.313,11345,75.8098,13385,17703.8,2.50643,4.89017,1.84817,-1.4084,-0.601841,0.744535,11603.5,94.9592,13643.5,0.506092,0.985881,0.0126588,22927.6,0.000293094,1.02483,12.8331,10.4089,97.1112,72.7033,0.952381,13.5498,12.6752,96.6132,123.69,0.49805,-50.9871 
7,0,7,24881.9,-0.0386242,40.3834,13.492,97.2887,-0.00321265,-143.072,27.3298,-3.05802,0.106818,0.377862,1.48515,1.42052,-129.102,11105.5,75.2591,13528.1,17751.7,-2.24509,0.91974,2.00371,2.29807,2.23344,0.615401,11286.6,88.6723,13709.2,0.49797,0.986438,0.0117746,22665.3,0.000309163,0.967723,13.0441,10.7072,97.446,74.1324,0.943333,13.6081,12.9371,96.6479,125.809,0.798102,-51.6768 
8,8,8,20742.1,0.00734864,33.9394,13.3827,97.4184,0.00218578,67.6246,500,3.02261,-0.407766,-0.251089,0.5322,2.08682,-174.703,9515.23,73.5363,11181.5,14790.5,4.12266,0.692292,1.94903,1.63226,3.18687,0.831735,9760.27,91.6873,11426.6,0.507176,0.983827,0.0145658,19244.3,0.000197392,0.84955,13.0164,10.4387,97.5388,73.2587,0.805943,13.4888,12.5471,96.8246,124.331,0.714224,-51.0725 
9,9,9,19498.9,-0.0238407,31.8561,13.3804,97.3277,-0.0452803,76.2072,149.528,0.0940634,0.532156,4.99507,0.646771,0.540797,-148.551,8312.71,81.9565,10912.2,13988.1,1.02945,1.46754,6.86584,1.58216,1.47618,0.447247,8521.07,97.3904,11120.6,0.480029,0.980391,0.0158764,17751.2,0.000397627,0.778211,12.6651,10.286,97.5498,73.4108,0.787873,13.5154,12.4734,96.6516,124.77,0.898143,-51.3594 
