cyc,freq (MHz),wiggle time pre,wiggle time post,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,44.623,0.4,0.58,0,35368.7,-0.0760117,51.913,15.4451,80.4531,-0.133014,-54.7046,500,1.49701,0.333683,2.21518,-0.349594,0.907983,-0.749817,537.492,-74.5965,36574.1,26338.2,1.50173,0.338405,2.22463,-0.344872,0.912705,0.519788,538.544,-74.5186,36575.2,0.0187637,1.31952,-0.00376726,28701.4 
1,44.648,0.4,0.58,1,34163.5,-0.362922,52.6451,14.8777,80.5985,-0.320561,448.835,434.111,0.940272,-0.787394,2.57511,3.70586,2.24665,39.3988,357.586,-115.827,35687,30180.7,0.692188,-1.03548,2.07894,3.45777,1.99856,0.710937,302.325,-119.921,35631.8,0.010899,3.26966,-0.00623838,27738.8 
2,44.673,0.4,0.58,2,31512.2,-0.348339,49.3373,14.674,80.0343,0.037855,-86.3506,146.677,-0.531399,-2.49915,1.43571,-2.03094,-0.247198,-56.231,601.785,-72.9257,32763.2,23674.2,-0.177327,-2.14508,2.14386,-1.67687,0.106874,2.22608,680.654,-67.0835,32842.1,0.0262102,1.20842,-0.00377691,25969.1 
3,44.698,0.4,0.58,3,32794.4,-0.344766,50.9519,14.7423,80.2517,-0.597981,1118.19,365.462,-0.529469,3.09998,4.86335,0.802103,1.46526,-26.5778,907.177,-103.885,33559.9,46219.3,-0.362116,3.26734,5.19806,0.969456,1.63261,0.514443,944.455,-101.124,33597.2,0.0352221,1.23058,-0.00557546,26814.3 
4,44.723,0.4,0.58,4,32294.1,-0.066927,50.1919,14.5947,80.041,-0.0616255,249.068,500,1.34997,0.1854,1.70716,0.401232,0.869596,13.0009,611.026,-54.046,33463.2,24346.1,1.2681,0.103537,1.54344,0.319369,0.787734,0.616268,592.791,-55.3967,33445,0.0225007,1.19551,-0.00306051,26345.4 
5,44.748,0.4,0.58,5,34262,-0.272392,52.2485,14.848,80.3042,-0.235544,331.118,469.575,1.59059,1.0637,0.437128,-0.900422,1.10714,30.052,530.358,-98.5663,35474.4,27793.3,1.40136,0.87447,0.0586684,-1.08965,0.917909,0.972873,488.207,-101.689,35432.3,0.0175797,1.57358,-0.00531483,27771.1 
6,44.773,0.4,0.58,6,33399.4,-0.344409,51.7905,14.7622,80.1114,-2.7805,4957.57,388.308,0.79453,2.58437,-0.015745,2.52557,1.46233,-2.69962,1822.99,-55.305,33288.5,473621,0.811529,2.60136,0.0182526,2.54257,1.47932,0.997551,1826.77,-55.0245,33292.3,0.0665204,1.05565,-0.00305388,27461.8 
7,44.798,0.4,0.58,7,29470.8,-0.0645001,48.2781,13.7728,80.3216,-0.0493731,59.883,499.986,-0.530389,-3.49431,-0.551031,1.01921,-0.858479,1.31959,5616.22,7.89158,25474.1,21741.8,-0.538698,-3.50262,-0.567649,1.01091,-0.866788,0.872863,5614.37,7.75448,25472.3,0.222545,0.997589,0.000560474,25228 
8,44.823,0.4,0.58,8,25178.8,-0.179261,41.9584,-13.7155,80.4851,-0.389515,575.766,500,-1.3767,0.394364,2.90653,-0.81762,1.84169,-10.4579,9098.98,83.1238,17596.2,26034.5,-1.31085,0.460214,3.03824,-0.751769,1.90754,0.0912675,9113.64,84.2104,17610.9,0.401942,0.984087,0.00873153,22674 
9,44.848,0.4,0.58,9,27494.1,-0.15695,45.5919,13.7065,80.3255,0.00260847,479.71,13.4896,3.09049,1.29107,-1.83408,-0.338726,3.17053,-6.70065,11464.6,102.901,17478.6,20383.5,3.13269,1.33326,-1.74969,-0.296534,3.21273,1.31065,11474,103.597,17488,0.460069,0.984445,0.0107946,24939.8 
10,44.873,0.4,0.58,10,31062.3,-0.0625961,49.4851,14.1558,80.3114,-0.0178144,82.6604,500,3.04467,0.985926,0.741219,0.433248,-0.682167,16.8821,7971.43,41.7905,24520.4,22851.6,2.93837,0.879624,0.528615,0.326946,-0.788469,0.863937,7947.76,40.0365,24496.7,0.296445,0.991261,0.00300163,26810.2 
11,44.898,0.4,0.58,11,31703,-0.0261765,49.0388,14.5264,80.2617,-0.0162264,9.59558,0.142215,0.678211,0.830378,3.39607,2.01078,3.79145,40.3405,2793.48,-36.0278,30370.7,23194.7,0.424197,0.576365,2.88805,1.75677,3.53744,0.685494,2736.9,-40.219,30314.1,0.104947,1.0264,-0.00244999,26078.8 
12,44.923,0.4,0.58,12,32663.3,-0.354067,49.558,15.1267,79.9897,-0.421032,695.46,1.25621,1.00957,0.00817025,3.97808,4.15072,1.44837,-48.8849,537.17,-62.6875,33882.7,33935.5,1.31738,0.315985,4.59371,4.45854,1.75619,0.630784,605.735,-57.6086,33951.3,0.0226458,1.19967,-0.00313548,26748.2 
13,44.948,0.4,0.58,13,34440.9,-0.0937787,51.6839,15.1198,80.0891,0.0875553,-86.3918,5.32202e-06,1.70575,0.976862,3.47808,2.50095,2.23153,38.9342,504.031,-71.8394,35655.3,25685,1.46059,0.731704,2.98776,2.25579,1.98637,0.682903,449.422,-75.8845,35600.7,0.0161303,1.41942,-0.00394201,27862 
14,44.973,0.4,0.58,14,35482.1,-0.0572429,52.9711,15.1244,80.2088,0.323845,443.813,461.619,-1.25588,1.08147,2.71388,1.78918,2.72254,47.794,1016.51,-68.3979,36114.2,30759.1,-1.55682,0.780523,2.11199,1.48823,2.42159,0.597372,949.47,-73.3635,36047.2,0.0330759,1.15636,-0.00376318,28705.8 
15,44.998,0.4,0.58,15,32056.6,-0.027101,48.7332,14.8812,79.9825,-0.029676,7.75223,499.998,-1.17957,1.07264,1.44978,1.60583,3.28306,-7.12255,589.275,-31.5252,33287.8,23615.4,-1.13472,1.11748,1.53948,1.65068,3.32791,0.763188,599.265,-30.7852,33297.8,0.0228391,1.09878,-0.00170601,26238.6 
16,45.023,0.4,0.58,16,31890.1,-0.0159785,48.8408,14.7845,80.3276,0.0586562,-380.575,0.000732911,-0.360214,1.74213,1.6186,1.71139,-0.764936,25.356,325.608,-29.7361,33395.2,24232.9,-0.519874,1.58247,1.29928,1.55173,-0.924596,0.565314,290.044,-32.3704,33359.7,0.0111654,1.24271,-0.00179068,25977 
17,44.785,0.4,0.58,17,33320.6,-0.158115,51.279,14.7041,79.9115,-0.217482,593.523,20.9873,0.362515,0.728423,2.47069,3.52419,1.0164,13.2679,3837.05,8.37694,31039.2,28747.5,0.27897,0.644879,2.3036,3.44065,0.93286,0.696933,3818.44,6.99846,31020.6,0.137829,0.996803,0.000415419,27704.3 
18,44.76,0.4,0.58,18,35692.7,-0.38076,51.7054,15.8296,79.8704,-0.226848,-2417.01,130.865,1.02744,-1.94341,1.32828,-0.656607,0.657227,-15.7503,1055.24,-28.6033,36237.2,44493,1.12662,-1.84424,1.52664,-0.557432,0.756402,-0.514541,1077.33,-26.9669,36259.3,0.037153,1.04581,-0.00137189,28997 
19,44.735,0.4,0.58,19,34322.8,-0.357995,51.7105,15.1526,80.0515,26.0497,-35946.9,492.079,-1.66916,-2.27946,0.782143,3.35582,1.57154,55.9746,412.165,-21.5391,35661.4,3.05086e+07,-2.02161,-2.63192,0.077229,3.00337,1.21908,1.21825,333.656,-27.3547,35582.9,0.0120312,1.16751,-0.00141814,27732.5 
20,44.71,0.4,0.58,20,32301.1,-0.022674,50.3812,14.5094,80.264,-0.0207651,56.1035,499.999,1.93873,-1.00621,3.53551,-0.34488,-1.45384,21.8706,754.822,-51.6342,33389.8,23834.4,1.80101,-1.14392,3.26009,-0.482593,-1.59156,-0.768877,724.146,-53.9065,33359.1,0.0274187,1.14979,-0.00298563,26410.7 
21,44.81,0.4,0.58,21,28169,-0.111092,45.9974,13.8831,80.2389,-0.107775,482.494,500,1.70759,-1.01991,2.7451,-1.70531,-1.27211,-10.8055,8122.95,102.554,21528.2,22481,1.77563,-0.951866,2.88118,-1.63727,-1.20407,-2.33623,8138.1,103.677,21543.3,0.329125,0.978192,0.00878722,24726.5 
22,44.835,0.4,0.58,22,21961.3,-0.29894,37.0089,13.8057,79.9669,0.468771,-1130.26,480.055,0.0901819,2.60441,1.72802,0.372054,-1.19223,-29.6865,9515.84,112.14,13929.3,33880.4,0.27711,2.79134,2.10188,0.558982,-1.0053,0.555065,9557.48,115.224,13970.9,0.470462,0.979338,0.0149652,20315.1 
23,44.86,0.4,0.58,23,27910.9,-0.284374,45.5393,14.0212,80.31,-0.0129388,203.986,83.705,2.09916,0.434137,3.76818,2.55077,1.44553,2.33971,9418.35,92.1745,20079.2,20871.7,2.08443,0.419405,3.73872,2.53604,1.4308,0.633796,9415.07,91.9314,20075.9,0.378517,0.9832,0.00836478,24873.5 
24,44.885,0.4,0.58,24,30422.7,-0.301103,48.31,14.3856,80.3509,0.251198,223.999,181.403,1.61975,-0.559266,-0.721908,-1.18076,0.652384,41.0708,5000.23,30.0234,27074.6,24455.3,1.36114,-0.817878,-1.23913,-1.43937,0.393772,0.288455,4942.62,25.7563,27017,0.191978,0.990963,0.00175307,25745.7 
