cyc,freq (MHz),wiggle time pre,wiggle time post,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
75,44.623,0.56,0.42,75,32961,-0.386125,50.1945,15.1361,79.7905,-0.441984,818.649,203.996,1.00026,1.45341,1.24609,1.10218,-0.540158,11.5044,467.233,124.977,34031,36511.1,0.927819,1.38097,1.10121,1.02974,-0.612598,0.712263,451.097,123.782,34014.8,0.0169315,0.675583,0.00665888,26642.5 
76,44.648,0.56,0.42,76,31976.1,-0.372144,49.5542,14.868,79.8742,-0.211088,426.959,0.3961,0.91168,-1.07252,-1.15273,-0.437437,0.120578,-18.611,353.364,-30.8304,33489.5,26918.2,1.02887,-0.955327,-0.918356,-0.320248,0.237767,0.00964076,379.468,-28.8968,33515.6,0.014491,1.15375,-0.00159077,26186.5 
77,44.673,0.56,0.42,77,29496.4,-0.361492,46.7879,14.57,79.6592,-0.101105,192.67,227.219,0.658369,-1.36649,2.10836,-0.993813,1.42775,-18.3466,423.725,32.5882,30911.1,22825.7,0.773893,-1.25096,2.3394,-0.878289,1.54327,0.074352,449.458,34.4944,30936.8,0.0185184,0.881596,0.00204973,24270.8 
78,44.698,0.56,0.42,78,32426.8,-0.115239,47.9285,15.3737,79.7415,0.0580821,-69.0784,499.998,-2.5597,-0.729634,1.83638,3.82295,2.84499,26.299,894.742,-7.96199,33249.9,24117.1,-2.7253,-0.895232,1.50519,3.65735,2.67939,0.643439,857.855,-10.6944,33213,0.0324553,1.0223,-0.000593497,26431.9 
79,44.723,0.56,0.42,79,33052.5,-0.132874,49.6475,15.1556,79.7115,0.112252,731.436,500,1.28705,0.0129896,4.38078,2.15858,4.13767,21.3401,666.553,71.5347,34024.3,27167.1,1.15268,-0.121383,4.11203,2.0242,4.0033,0.631896,636.622,69.3176,33994.4,0.0237436,0.839951,0.00374216,26812.3 
80,44.748,0.56,0.42,80,33972.2,-0.38409,51.4665,15.1843,79.9182,0.417466,-361.417,17.2819,-0.396123,1.64409,5.2466,2.5548,-0.662952,2.01423,353.334,59.7075,35365.5,30351.5,-0.408806,1.63141,5.22123,2.54211,-0.675635,0.371717,350.509,59.4982,35362.7,0.0127089,0.770975,0.00308979,27579.8 
81,44.773,0.56,0.42,81,33378.6,-0.355796,51.3099,14.9169,79.7898,-0.421514,676.638,59.286,1.28346,-1.02606,-0.803388,1.39993,5.21175,16.0064,1808.71,52.8688,33190.9,34200.3,1.18267,-1.12685,-1.00496,1.29915,5.11096,1.18403,1786.26,51.2058,33168.5,0.0653684,0.95223,0.00283579,27326 
82,44.798,0.56,0.42,82,30654.9,-0.323634,48.9662,14.3481,79.9531,-0.439464,1229.16,441.789,-0.911621,2.81896,5.81827,1.50687,0.951337,-13.9791,5606.76,88.3282,26661.7,40455.5,-0.823599,2.90698,5.99431,1.59489,1.03936,0.440409,5626.37,89.7805,26681.3,0.214985,0.972834,0.00616036,26171 
83,44.823,0.56,0.42,83,28115.9,-0.298802,46.562,13.844,80.1297,-0.0037784,178.338,404.061,-0.108588,0.861609,1.89774,0.642825,0.367588,-58.1924,10502.5,109.753,19109.6,21005.9,0.257835,1.22803,2.63059,1.00925,0.73401,0.551072,10584.2,115.798,19191.2,0.417334,0.981213,0.0109929,25361.4 
84,44.848,0.56,0.42,84,25825,-0.277905,43.6174,13.5834,80.0874,-0.146223,-87.5213,435.217,1.44469,-0.41487,2.66671,-0.262191,0.341453,-7.46723,11788.1,104.062,15541.4,19703.6,1.49171,-0.367851,2.76075,-0.215172,0.388472,0.319662,11798.6,104.838,15551.9,0.49629,0.984688,0.0122657,23773.5 
