cyc,freq (MHz),wiggle time pre,wiggle time post,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,44.923,0.34,0.64,0,34448.2,0.0206098,52.083,14.9047,80.4538,-0.0222999,-3.20762,500,1.05599,-0.174717,2.83931,1.49338,1.60179,44.1777,489.388,-41.6559,35579.5,25272.8,0.777815,-0.452892,2.28296,1.2152,1.32361,0.556423,427.424,-46.2457,35517.5,0.0153883,1.23357,-0.00240429,27775.9 
1,44.873,0.34,0.64,1,29205.9,-0.0784292,46.895,14.1038,80.7622,-0.0834386,199.325,500,1.29812,1.51874,2.23408,0.598443,0.60308,-6.07193,3102,-0.88664,27796.2,22072.1,1.33636,1.55697,2.31055,0.636676,0.641313,0.643537,3110.52,-0.255789,27804.7,0.126855,1.00014,-1.69467e-05,24520.1 
2,45.023,0.34,0.64,2,33975.4,-0.371196,51.8631,15.0387,80.3986,-0.0152685,-226.588,6.59511,-0.7682,-0.948817,3.97224,3.84815,3.84571,25.6914,336.361,13.6332,35428,25502.8,-0.929972,-1.11059,3.64869,3.68638,3.68393,0.593616,300.327,10.964,35392,0.0109003,0.939949,0.000570336,27552.2 
3,44.748,0.34,0.64,3,34671.9,-0.0286831,53.1384,14.7097,80.5085,0.00769908,-52.7339,500,3.8696,-0.122831,-0.274292,1.66359,0.0824377,75.5366,1149.44,-13.693,35169.3,25458.5,3.39396,-0.598465,-1.22556,1.18795,-0.393196,1.51827,1043.49,-21.5409,35063.4,0.0372115,1.03748,-0.00113297,28042.3 
4,44.848,0.34,0.64,4,25586.3,-0.256091,42.7778,13.671,80.5895,0.0578594,-21.5372,180.632,-0.28536,1.3503,0.809411,1.5149,-0.297722,0.436516,7290.55,99.8339,19733.7,19078.2,-0.288109,1.34756,0.803913,1.51215,-0.30047,0.738568,7289.93,99.7886,19733.1,0.324222,0.976605,0.00922941,22484.4 
5,44.898,0.34,0.64,5,33233,-0.236944,50.6366,14.8959,80.6845,0.595499,-143.036,500,0.887348,0.901131,2.7175,3.53891,2.85539,25.9397,1011.85,-10.6261,33792.8,27327.1,0.724013,0.737796,2.39083,3.37557,2.69205,0.758995,975.466,-13.3211,33756.5,0.0361713,1.02448,-0.000727467,26967.9 
6,44.998,0.34,0.64,6,34887.6,-0.370504,52.2638,15.3036,80.2985,0.0897135,13.765,4.63769,0.963652,0.931237,6.2422,2.11327,3.73109,-14.0248,606.966,-11.2374,35866.9,26077.2,1.05196,1.01955,6.41882,2.20158,3.8194,0.557668,626.637,-9.78027,35886.6,0.0221745,1.02808,-0.000502286,28259.3 
7,44.648,0.34,0.64,7,33396.6,-0.072431,50.7052,14.8729,80.471,-0.0096251,-62.8379,5.39315e-05,1.50406,1.95433,6.79493,0.244206,2.19558,24.1005,517.581,-39.0468,34511.6,24569.2,1.35231,1.80258,6.49142,0.0924517,2.04382,0.449066,483.778,-41.5507,34477.8,0.0178967,1.17689,-0.00222494,27031.7 
8,44.773,0.34,0.64,8,28145.9,-0.0463257,45.9303,13.8872,80.6272,-0.0284869,6.35057,500,-0.218519,0.442451,3.97391,2.77917,3.73939,-21.5229,3071.65,37.9393,26728.2,20769.8,-0.0829956,0.577975,4.24496,2.9147,3.87491,0.631819,3101.84,40.1754,26758.4,0.130847,0.977836,0.00275814,23705.8 
9,44.798,0.34,0.64,9,27979.9,-0.0760573,46.0527,13.7126,80.4409,-0.0427764,94.636,500,-1.21641,-1.02573,-1.58425,0.302202,-1.16829,-38.4141,8618.3,47.4784,20794.2,20689.2,-0.974523,-0.783842,-1.10049,0.544086,-0.926408,0.660467,8672.18,51.4695,20848.1,0.350743,0.98972,0.00452718,24725.2 
10,44.623,0.34,0.64,10,35227.6,-0.364816,53.4679,15.0851,80.4597,1.22413,-1057.05,146.567,-3.08398,-2.35642,2.81533,0.160419,-0.670725,30.8582,466.388,-32.8026,36422.4,68379.3,-3.27829,-2.55073,2.42672,-0.0338864,-0.86503,1.5642,423.106,-36.0087,36379.1,0.0148798,1.175,-0.00182668,28435 
11,44.673,0.34,0.64,11,33727.8,0.00740558,52.0507,14.6487,80.6509,0.0708294,-62.0315,500,-0.272657,0.408159,-1.30791,0.203255,0.421511,3.05851,800.067,-21.5708,34714.8,24964.1,-0.291915,0.3889,-1.34643,0.183997,0.402253,-1.03022,795.778,-21.8885,34710.5,0.0289133,1.05057,-0.00116299,27522.9 
12,44.948,0.34,0.64,12,33637.8,-0.316223,51.7465,14.8131,80.5818,-0.639686,21.8166,251.685,0.418362,2.16606,4.6264,3.99954,0.67689,57.7555,675.672,94.5048,34474.4,25407.2,0.0546913,1.80239,3.89906,3.63586,0.313219,0.598252,594.664,88.5042,34393.4,0.0219615,0.793365,0.00471791,27077.6 
13,44.698,0.34,0.64,13,34569.8,0.0483947,52.4326,14.872,80.6161,-0.0110871,-13.7149,3.51565e-12,-1.38593,1.87645,4.74028,1.47522,1.58722,29.2815,755.402,-9.21886,35556.5,25389.3,-1.57031,1.69207,4.37153,1.29085,1.40285,0.391743,714.331,-12.2611,35515.4,0.0254562,1.03097,-0.00063636,28061.2 
14,44.973,0.34,0.64,14,33705,-0.097466,51.428,14.8621,80.2841,0.00306057,-16.1047,0.226476,-0.259866,0.683452,2.94182,2.6586,1.59412,14.0929,862.218,-4.84185,34483.8,24883,-0.348606,0.594713,2.76434,2.56986,1.50538,0.60987,842.451,-6.30605,34464.1,0.0307691,1.01327,-0.000337172,27379.8 
15,44.823,0.34,0.64,15,23182.8,-0.26849,39.7769,13.4252,80.7754,0.143104,18.98,110.478,-1.60768,-0.344501,-2.12132,-0.0849516,-2.17496,-44.7495,8991.45,84.6084,15603.9,17472.3,-1.32591,-0.0627253,-1.55777,0.196824,-1.89319,0.664473,9054.21,89.2577,15666.7,0.428753,0.983041,0.010386,21117.6 
16,44.723,0.34,0.64,16,34533.9,0.0467341,52.2278,14.9305,80.4564,-0.0126398,-29.3783,4.78645e-12,-0.950786,-0.344113,0.719121,3.69545,-0.441951,8.65008,446.839,-35.1557,35761.8,25396.8,-1.00525,-0.398581,0.610186,3.64098,-0.496419,0.740447,434.706,-36.0544,35749.7,0.0155463,1.16979,-0.00186126,27962 
