cyc,freq (MHz),wiggle time pre,wiggle time post,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
36,44.81,0.52,0.46,36,24179.5,-0.247375,41.0649,13.473,80.3946,0.0195482,94.5896,445.96,-0.819986,0.831468,2.10595,3.54762,-0.553705,-33.2491,9405.91,110.363,16202,18070.9,-0.610625,1.04083,2.52467,3.75698,-0.344345,0.603508,9452.54,113.817,16248.7,0.430365,0.979363,0.0127391,21964 
37,44.835,0.52,0.46,37,25254.2,-0.0622152,42.6152,-13.3855,80.4561,0.0411627,4.87907,500,2.26473,1.4056,1.13919,0.0571016,-1.17149,-2.80769,9825.47,80.4089,16896,18575.8,2.28241,1.42328,1.17455,0.0747809,-1.15381,0.691006,9829.41,80.7006,16900,0.430315,0.985836,0.00871971,22842.4 
38,44.86,0.52,0.46,38,31312.4,-0.103932,49.0521,14.4611,80.26,-0.0807789,178.325,500,1.53886,-0.173253,-0.597788,-0.6864,-0.97887,12.3776,6037.29,48.0434,26749.2,23560.5,1.46092,-0.251192,-0.753665,-0.764339,-1.05681,0.4479,6019.93,46.7574,26731.9,0.226284,0.98659,0.00321173,26603.5 
39,44.885,0.52,0.46,39,32665.3,-0.331584,51.0417,14.639,80.1334,0.134147,64.0438,247.289,-2.37973,-2.78093,2.29116,-0.123085,-1.78548,8.76549,1809.93,-17.415,32543.3,24603.5,-2.43493,-2.83612,2.18077,-0.178279,-1.84068,1.42683,1797.63,-18.3257,32531,0.0669596,1.01816,-0.00103879,26846.5 
76,44.785,0.52,0.46,76,29049.9,-0.0539379,47.5215,13.8576,80.7631,-0.0251003,23.101,500,1.83366,2.09573,0.281217,-0.919906,-0.960144,-35.35,6667.23,80.5495,24016.5,21456.3,2.05625,2.31832,0.726397,-0.697316,-0.737555,0.801861,6716.81,84.2223,24066.1,0.266037,0.978528,0.00640538,25247.7 
77,44.76,0.52,0.46,77,32647.6,-0.344595,49.6439,15.072,80.203,0.0663368,523.425,148.915,0.0732211,-0.0392081,6.48968,2.05275,1.6426,-48.9021,2405.24,18.3021,31831.7,25487.8,0.381144,0.268715,7.10553,2.36068,1.95053,0.41114,2473.83,23.3828,31900.3,0.0914978,0.983728,0.00134844,27037 
78,44.735,0.52,0.46,78,34088.5,-0.3527,50.0425,15.616,80.3616,-0.151849,162.339,461.61,-1.26749,-0.877611,2.97404,1.9678,0.504243,-38.3144,616.241,-26.7597,35143.3,26241.7,-1.02624,-0.636355,3.45655,2.20906,0.745499,0.272077,669.981,-22.779,35197,0.0241246,1.06326,-0.00119361,27771.7 
79,44.71,0.52,0.46,79,34952.8,-0.316688,50.5147,15.7408,80.3957,0.630569,800.453,16.4075,2.10123,1.94778,1.57286,-0.289457,2.71053,-7.11154,641.934,-41.512,35788.6,42315.5,2.14601,1.99256,1.66242,-0.244678,2.75531,0.799989,651.908,-40.7731,35798.5,0.0231036,1.1229,-0.0021025,28216.8 
80,44.71,0.52,0.46,80,34156.3,-0.138993,50.1046,15.5242,79.9765,-0.174105,-85.1662,499.998,-0.0190073,0.597761,5.92817,1.79917,2.05358,-41.9366,531.922,-17.9785,35419.2,25803.8,0.245056,0.861824,6.45629,2.06323,2.31764,0.459455,590.743,-13.6214,35478,0.0211669,1.04205,-0.000707759,27908.8 
81,44.71,0.52,0.46,81,34063.3,-0.0821678,50.1129,15.3659,79.9936,-0.0737592,65.0447,500,0.744916,0.271311,-0.769517,-1.40327,2.59019,12.8373,500.377,29.9235,35137.7,25223.2,0.664082,0.190478,-0.931184,-1.4841,2.50936,1.9816,482.371,28.5897,35119.7,0.0175251,0.906026,0.00149735,27524.6 
82,44.71,0.52,0.46,82,32945,0.0140353,49.5201,14.9854,80.0438,-0.0192826,17.6706,4.0786e-11,-0.384179,-0.792086,1.17626,1.99259,1.22114,-1.58733,419.601,-30.3024,34239.3,24168.3,-0.374184,-0.782091,1.19625,2.00258,1.23113,0.634587,421.828,-30.1374,34241.5,0.015747,1.14289,-0.00162395,26787.8 
