cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
17,46.9298,17,22408.9,0.094831,50.5651,11.2896,127.059,-0.0555367,143.793,1.32051e-11,4.19058,-3.65776,-4.68676,-2.78055,-3.12205,-6.78449,385.178,32.9576,25234.2,18843.3,4.2333,-3.61504,-4.60132,-2.73783,-3.07933,0.530488,392.505,33.2567,25241.5,0.0175597,0.87087,0.00242117,22352.6 
18,46.8948,18,19173.3,-0.985525,46.1894,-11.4335,126.954,0.370111,176.732,425.19,-0.768411,-0.565027,-4.66164,-1.07643,-0.372495,11.3162,432.09,26.8622,22176.7,19321,-0.839666,-0.636282,-4.80415,-1.14768,-0.44375,0.38968,419.87,26.3634,22164.5,0.02131,0.900997,0.00218629,19703 
19,47.0298,19,20168,-0.742207,49.1627,10.8141,127.249,1.62506,-1483.81,10.5732,2.51466,-3.06508,-9.49373,0.100968,-3.02028,47.3116,196.718,22.4556,23389.5,95801.9,2.21675,-3.36298,-10.0895,-0.196941,-3.31819,0.316005,145.627,20.3702,23338.4,0.00712112,0.803349,0.00160525,20450 
20,46.8098,20,19167,-0.0781636,47.232,-10.6587,127.088,-0.101651,64.5296,500,-2.25181,-3.79325,-7.00402,0.343953,0.858559,11.6343,2579.18,52.0474,19981.2,16602,-2.32507,-3.86651,-7.15054,0.270695,0.7853,0.417999,2566.61,51.5346,19968.6,0.128721,0.966055,0.00473158,19939.3 
21,47.0798,21,17788,-0.0385562,44.7643,10.8642,126.733,0.107649,-112.973,10.9626,-0.47548,-1.45469,-3.77578,1.83347,-7.11997,30.9107,138.647,15.7178,21234.4,16227.4,-0.670116,-1.64932,-4.16505,1.63884,-7.31461,0.657487,105.267,14.3553,21201,0.00567471,0.807331,0.00124575,18550.1 
22,47.0098,22,20431.6,-1.02459,50.5388,11.0805,127.074,-0.172498,519.121,352.088,-0.745044,1.86193,-6.18705,2.31103,-5.32548,-12.3632,98.598,37.3591,23967.4,21144.8,-0.667196,1.93978,-6.03135,2.38888,-5.24763,0.208227,111.949,37.904,23980.7,0.00533721,0.627935,0.00290318,20975.2 
23,46.9498,23,20161.7,0.117558,49.7264,-10.4831,127.138,-0.0441579,-65.0394,5.28416e-05,-4.32184,-5.16412,-1.40151,-0.0795226,1.98544,52.4927,262.046,36.7844,23410.6,17063.1,-4.65237,-5.49465,-2.06257,-0.410055,1.65491,0.811891,205.36,34.4707,23353.9,0.0100062,0.772949,0.0027116,20523.3 
24,46.8198,24,24570.6,0.0125282,53.7176,11.6341,127.014,-0.0480508,42.3279,5.529e-12,1.81088,-5.09239,-1.73508,-4.03289,-0.858758,109.977,1328.42,46.3945,26550.3,20410.6,1.11839,-5.78489,-3.12006,-4.72539,-1.55125,0.77814,1209.66,41.547,26431.5,0.0499755,0.943302,0.0028872,24205.1 
25,47.0498,25,21545.2,-1.09189,51.2116,11.5563,127.084,-1.38176,1850.94,479.913,-3.34551,1.26682,-4.64164,0.88551,-5.37654,71.5742,204.428,41.6684,25301.8,102522,-3.79619,0.816133,-5.543,0.434826,-5.82723,0.601666,127.136,38.5136,25224.5,0.00575993,0.653538,0.0028047,22072.5 
26,46.8898,26,21464.8,-0.0794285,49.9833,11.2031,127.163,-0.175289,108.942,500,-0.293411,0.531699,-3.62811,4.30176,-2.91378,70.7226,471.426,33.3571,24559.1,18850.4,-0.738733,0.0863771,-4.51875,3.85644,-3.3591,0.0331668,395.054,30.2399,24482.7,0.0182094,0.881868,0.00227012,21695 
27,46.7798,27,22345.3,-0.871347,54.0702,-10.719,127.317,2.30657,2125.13,63.1552,-0.740549,1.14482,-4.88624,-1.69784,-2.21106,52.7742,9965.75,66.3453,15482.2,178436,-1.07285,0.812515,-5.55085,-2.03015,-2.54336,0.465478,9908.76,64.0192,15425.3,0.424745,0.98882,0.00758726,23328.7 
29,46.7598,29,23138.2,-0.0520651,53.4872,11.3685,126.992,-0.196406,-8.05336,500,-2.70109,0.423682,-4.38098,-4.3954,0.0680791,123.283,119.36,30.0715,27123.7,19846.2,-3.47738,-0.3526,-5.93355,-5.17168,-0.708203,0.6207,-13.7721,24.6375,26990.6,-0.000586844,-0.469339,0.00167869,23468.1 
30,46.8498,30,21155.1,-0.168001,47.9712,11.5058,127.058,0.17041,-89.755,1.72876e-12,-3.54045,-0.759597,-5.96852,-1.62681,-4.19787,65.3485,1015.67,33.3186,23469,18465.6,-3.95194,-1.17108,-6.79149,-2.03829,-4.60935,0.634122,945.104,30.4383,23398.4,0.0443674,0.946646,0.00239061,21301.7 
31,46.9598,31,18652.5,-0.115681,45.9015,10.9706,126.946,-0.250402,-85.2434,499.999,-0.247934,-1.35576,-0.207988,-5.90917,-4.85059,67.411,332.13,25.8999,21941.4,17087.6,-0.672403,-1.78023,-1.05693,-6.33363,-5.27506,0.930089,259.334,22.9287,21868.6,0.0134474,0.866008,0.00192768,19285 
32,46.8848,32,19646.8,-0.0343038,46.193,-11.0165,127.071,0.0169863,-97.7906,500,-1.20544,2.34781,-4.03514,1.95413,-3.73191,63.2005,538.965,24.2627,22330.1,16620,-1.6034,1.94986,-4.83106,1.55617,-4.12987,0.315549,470.715,21.477,22261.9,0.0237273,0.926058,0.00177401,19838.6 
33,46.8298,33,20767.2,-1.02139,48.2848,-11.7413,127.118,0.442139,847.36,104.655,-1.03002,-4.48575,0.884533,-1.27205,-0.84332,69.6056,1191.98,41.1678,23127,30651.4,-1.46831,-4.92404,0.00795734,-1.71034,-1.28161,1.00085,1116.81,38.0998,23051.9,0.0527497,0.943663,0.00303537,21171.9 
34,46.9998,34,22485.4,-0.0639676,51.3956,11.4301,127.023,0.0909876,-71.6352,500,-4.24567,-1.04291,3.02141,-0.914158,-4.68247,49.9169,247.742,32.8102,26023.3,19335.8,-4.55998,-1.35723,2.39279,-1.22847,-4.99679,1.24542,193.838,30.61,25969.4,0.00850643,0.783483,0.00216657,22787.2 
35,46.9248,35,22371.7,0.0130868,51.1478,11.2912,126.973,-0.0460209,35.0099,7.72032e-12,-1.85294,-6.0859,-5.05933,-5.37945,-3.89222,56.9486,317.004,28.7762,25464.8,18852.6,-2.21153,-6.44449,-5.77651,-5.73804,-4.25082,0.763465,255.506,26.266,25403.4,0.0114287,0.847529,0.00190104,22356.4 
36,47.0398,36,21275.4,-0.914885,50.5327,11.1984,127.113,0.626645,-823.141,380.847,-1.92081,-6.23296,-2.83108,-1.31511,-2.17187,3.52103,140.372,26.8785,24554.2,35213,-1.94299,-6.25513,-2.87543,-1.33728,-2.19404,0.803119,136.57,26.7233,24550.3,0.00635345,0.744917,0.00200114,21495.4 
37,46.9698,37,22588,-0.222818,51.4791,-11.3478,127.108,0.188673,435.968,499.98,-4.51646,-1.71863,-5.97188,-1.40384,-1.10177,86.7374,257.705,42.1376,25600.6,21694.5,-5.06262,-2.26479,-7.06421,-1.95001,-1.64793,0.607316,164.038,38.3145,25506.9,0.00733784,0.709849,0.00275943,22355 
38,46.7998,38,22179.8,-0.247008,53.0717,10.8816,127.479,0.382394,-269.64,1.89504,-3.93455,-2.26002,-14.6387,-3.29824,-3.88875,1.02242,14386.3,79.531,11272.3,22156.3,-3.94098,-2.26645,-14.6515,-3.30468,-3.89519,0.477828,14385.2,79.4859,11271.2,0.594648,0.990423,0.0128242,24191.1 
39,46.7698,39,21177.2,-0.446841,50.6793,10.9293,127.147,0.0417627,522.436,499.993,-3.3115,0.77852,-7.59766,-4.39708,-7.30893,22.6103,965.476,34.4052,23546.5,18741.1,-3.45387,0.636149,-7.8824,-4.53945,-7.4513,0.652618,941.06,33.4086,23522.1,0.043964,0.941507,0.00260953,21405.2 
40,47.0198,40,19971.2,-0.189211,48.1236,11.1229,126.867,0.385829,24.9724,500,-3.58749,0.777985,-2.22953,-2.27591,-3.27738,82.2734,186.938,33.0172,23511.5,17738.5,-4.10554,0.259931,-3.26564,-2.79397,-3.79543,0.761643,98.0921,29.3908,23422.6,0.00479064,0.65602,0.00230615,20475.8 
41,46.9198,41,20164,0.587608,47.2447,-10.8914,126.983,-0.930246,-80.6531,3.57974e-05,-4.77631,-2.61324,-4.47786,1.99968,-5.12288,55.1908,355.289,29.9579,23414.9,19193,-5.12383,-2.96076,-5.1729,1.65215,-5.4704,0.697061,295.689,27.5253,23355.3,0.0143435,0.859915,0.0021663,20614.8 
42,47.0898,42,20442.3,-1.00524,50.9315,10.9517,127.014,0.197713,5.17533,212.902,1.46553,-3.12132,-4.08539,-3.01182,-5.20595,16.6119,113.807,26.3409,23945.8,18191.1,1.36093,-3.22592,-4.29459,-3.11642,-5.31055,0.705579,95.8679,25.6087,23927.9,0.00458411,0.681446,0.00196762,20913.1 
43,46.8648,43,19569,-0.0243236,45.6591,11.3552,127.158,-0.0674944,45.4947,8.90715e-10,-7.00223,-2.18505,-9.07339,-3.73315,-2.57184,48.7833,735.071,40.0034,22434.8,16977.8,-7.3094,-2.49222,-9.68774,-4.04032,-2.87902,0.633161,682.39,37.8532,22382.2,0.0338573,0.911515,0.00310573,20154.9 
44,46.9898,44,18489.2,0.059413,46.9394,-10.4925,127.032,-0.135195,-41.8733,9.97036e-06,-1.331,-4.22223,-1.00663,-2.31921,-1.72088,79.7239,163.186,17.7565,22059.1,16217.2,-1.833,-4.72423,-2.01063,-2.82121,-2.22288,0.852289,77.0931,14.2425,21973,0.0040166,0.755685,0.0011926,19193.6 
45,46.8398,45,20438.9,-0.139484,48.1333,-11.1863,127.204,-0.107271,136.167,500,-2.51152,-5.29728,-0.803131,-1.49865,-1.57802,80.6042,1004.8,41.1697,22875.6,18003.3,-3.01906,-5.80482,-1.81822,-2.00619,-2.08556,0.876596,917.761,37.6169,22788.6,0.0442426,0.933072,0.00303153,20743.8 
46,46,46,19821.3,-0.010508,47.6458,10.75,127.064,-0.101809,13.3304,500,-0.752763,-2.10998,-1.61026,-3.71115,-0.131584,19.9489,100.112,22.1908,23075.7,16717.7,-0.878376,-2.2356,-1.86148,-3.83676,-0.257197,0.794751,78.5693,21.3115,23054.1,0.00390199,0.678113,0.00169997,20135.7 
47,46.9098,47,18817.3,-0.924686,46.9205,10.9462,127.06,0.15647,560.246,453.52,0.563927,-3.0764,2.17635,-2.56992,-3.04167,45.4,275.113,32.471,21959.1,19573.1,0.278055,-3.36228,1.60461,-2.85579,-3.32754,1.2094,226.086,30.4699,21910,0.0117217,0.80916,0.00255524,19287.8 
48,46.8748,48,20374.9,0.312164,46.5423,-11.2526,127.031,-0.0687901,-9.87897,2.25456e-12,-0.661844,-7.09825,-9.41497,1.08789,-0.110124,28.4473,631.783,35.6644,23088.4,17071,-0.840969,-7.27737,-9.77322,0.908765,-0.28925,0.43416,601.063,34.4105,23057.6,0.0290914,0.908937,0.00274156,20661.2 
49,46.8548,49,20206.3,0.0156562,47.2135,11.1317,126.983,-0.0128052,-0.882273,2.40581e-12,-2.04036,-4.36507,-6.7679,-4.09426,-4.44641,7.1737,904.698,41.3693,22531.1,17109.3,-2.08553,-4.41024,-6.85824,-4.13943,-4.49158,0.688049,896.951,41.0531,22523.4,0.0437702,0.925843,0.00334635,20492.3 
50,46.9798,50,18669.1,-0.321538,47.4534,-10.4732,126.954,1.15881,-415.821,0.443753,0.521129,-2.95427,-9.47548,-3.75115,-5.86064,-3.21412,167.356,24.2082,21939.3,31864.8,0.541367,-2.93403,-9.43501,-3.73091,-5.8404,0.559091,170.827,24.3499,21942.7,0.00886904,0.800353,0.00204002,19261 
51,46.8998,51,21712.7,-1.04352,51.0818,11.5495,127.259,0.804402,68.7643,61.1733,-6.44986,-3.6364,-0.667111,-2.05094,-3.54434,66.089,551.405,47.2158,24805.4,21006.1,-6.86601,-4.05255,-1.4994,-2.46708,-3.96049,0.920437,480.036,44.3028,24734,0.0218212,0.860949,0.00328867,21998.6 
52,47.0598,52,21952.1,-1.0406,50.1211,11.8724,127.11,1.03412,-878.421,88.636,0.629426,-3.69562,-2.82999,-0.171596,-4.44758,76.9378,346.448,47.3454,25125.5,48942.2,0.14497,-4.18007,-3.7989,-0.656053,-4.93203,0.716966,263.363,43.9542,25042.4,0.0119438,0.773953,0.00322282,22050.3 
53,46.9048,53,21765.6,-0.183194,49.6847,11.2476,127.014,3.3809,-450.731,474.144,-2.8673,-1.50543,-10.6938,-1.92503,-7.28484,61.3302,463.006,44.8753,24767.3,67799.1,-3.25348,-1.89161,-11.4661,-2.31121,-7.67102,0.568837,396.777,42.1721,24701,0.0181287,0.843169,0.00313517,21886.7 
54,46.8798,54,19607.6,-0.063008,45.5692,11.4667,126.713,-0.300734,148.26,499.917,-5.36762,-5.56334,-7.51828,-2.8359,-6.01412,35.3647,537.114,32.8017,22700.1,18461.5,-5.5903,-5.78602,-7.96364,-3.05858,-6.2368,0.721895,498.924,31.243,22661.9,0.0246812,0.901237,0.0025332,20214.7 
55,46.7898,55,20779.6,-0.0998689,49.4707,-10.7661,127.804,-1.03253,808.844,0.0107044,-6.01232,-6.90621,-10.1164,-2.7,-2.78238,8.28709,21330.4,51.8252,2444.63,44525.1,-6.0645,-6.95839,-10.2208,-2.75218,-2.83456,0.645486,21321.4,51.4599,2435.68,0.909599,0.995794,0.0374611,23440.5 
56,46.8448,56,18917.6,-0.260596,45.412,11.3867,126.912,0.239159,-164.751,2.86247e-06,-3.34008,-4.16652,-7.78996,-2.10176,-4.13354,138.868,951.762,32.419,21680.1,18115.8,-4.21449,-5.04093,-9.53878,-2.97617,-5.00795,0.643787,801.8,26.2982,21530.2,0.0410484,0.945718,0.002245,19533.1 
57,46.9148,57,23666.3,-0.0526127,51.9948,11.6775,126.784,0.0355626,-38.4345,500,-0.118086,2.26285,-6.82135,-1.05153,-0.532338,30.2891,407.067,40.262,26585.6,19809.9,-0.308808,2.07213,-7.20279,-1.24226,-0.72306,0.0272791,374.358,38.9269,26552.9,0.0159468,0.846045,0.00269328,23475.4 
58,46.8598,58,21110.3,-0.30828,48.4667,11.5246,126.921,0.0252533,64.8921,39.7691,-2.80043,-2.3136,-10.8463,-5.5337,-3.99841,111.074,806.518,38.6986,23910.6,18236.4,-3.49984,-3.01301,-12.2451,-6.2331,-4.69781,0.587553,686.57,33.8028,23790.7,0.032106,0.920675,0.00261051,21384.5 
59,47.0698,59,19396.1,-0.0734965,47.7396,10.7225,126.987,0.160633,26.872,500,-1.67582,-5.78031,1.72527,-4.60969,-4.24217,119.173,120.708,28.184,22958.6,16804.2,-2.42622,-6.53071,0.224468,-5.3601,-4.99257,1.01176,-7.98621,22.9312,22829.9,-0.000402247,-0.248456,0.00184686,19854 
60,46.9398,60,21074.1,-0.105252,49.3616,-11.2938,126.829,-0.00569389,14.6824,500,-2.70671,-5.42396,-2.15489,-3.80428,-0.685734,17.7449,203.8,25.8435,24645.7,18150.5,-2.81845,-5.53569,-2.37835,-3.91601,-0.797469,0.846021,184.638,25.0613,24626.5,0.00854419,0.80806,0.00187112,21609.7 
61,46.9448,61,22632.4,-0.0481379,52.4073,-11.2327,126.992,0.00115112,238.103,499.596,1.71015,-0.639813,-10.4471,-3.76071,-5.07589,93.8719,370.841,40.1894,25966,19172.3,1.11906,-1.2309,-11.6292,-4.35179,-5.66697,0.465564,269.47,36.0518,25864.6,0.0118336,0.810288,0.00256107,22771.7 
62,46.8698,62,21445.3,-0.327096,49.0598,11.7183,126.898,0.303682,-80.9471,15.7851,-3.33983,-3.36139,-6.13969,-0.642175,-5.52037,45.3723,772.194,39.1225,24411.6,19515.1,-3.62553,-3.64709,-6.71108,-0.927872,-5.80607,0.676069,723.197,37.1226,24362.6,0.0329946,0.917574,0.00279906,21918.6 
63,46.9298,63,21598.3,-0.0475214,49.8218,11.1983,127.055,0.134787,-454.185,500,1.75065,-2.94034,-7.96872,0.815399,-4.8383,86.0992,357.737,36.2328,24599.2,20155,1.20851,-3.48248,-9.053,0.273255,-5.38044,0.449135,264.76,32.4378,24506.2,0.0122658,0.823448,0.00243238,21585.2 
64,46.8948,64,19858.6,-0.429509,46.5564,11.6261,127.185,0.0907163,-575.819,500,-1.47513,-1.8566,-3.2275,-0.0948827,-1.49895,71.5048,437.935,30.6342,23286,19320.5,-1.92538,-2.30685,-4.128,-0.545129,-1.94919,0.619699,360.718,27.4824,23208.7,0.0175512,0.882356,0.00217657,20552.3 
65,47.0298,65,21973.3,-0.0943656,50.6992,11.1705,126.941,0.14276,3.12866,0.163451,-0.494856,-4.25581,-4.69502,-3.2798,-8.4226,70.8684,218.39,30.1308,25065.2,18450.7,-0.941095,-4.70205,-5.5875,-3.72604,-8.86884,0.765483,141.86,27.0071,24988.7,0.00648296,0.750097,0.00198694,21882 
66,46.8098,66,22412.8,-0.0375949,51.5922,11.349,127.156,-0.0242671,79.165,500,1.2645,-4.65609,-5.74021,-4.42962,-4.61209,22.4794,2426.04,52.3642,23773.3,19123.1,1.12295,-4.79764,-6.0233,-4.57117,-4.75363,0.683364,2401.77,51.3734,23749,0.104138,0.963918,0.00396899,23063.4 
67,47.0798,67,20508.8,-0.0159278,49.0995,-11.0293,126.691,-0.0187556,-26.5949,9.97079e-12,-0.809131,-5.25305,-7.96438,-3.1587,-2.11912,58.4494,163.166,23.1232,24221,17645,-1.17717,-5.62109,-8.70046,-3.52674,-2.48716,0.595565,100.047,20.5469,24157.9,0.00473764,0.735617,0.00156431,21117.4 
68,47.0098,68,21773.6,-0.152201,51.5951,10.9592,127.033,0.38871,-331.058,3.76717e-10,3.8926,-4.08713,1.95837,-2.47289,-4.07969,17.6551,200.148,32.1788,25117.6,22596.2,3.78143,-4.1983,1.73603,-2.58406,-4.19086,1.3182,181.083,31.4006,25098.5,0.00822476,0.76719,0.00229935,22016.8 
69,46.9498,69,18683.9,-0.0602482,46.1467,10.6409,126.899,0.0245579,-14.9621,500,1.56439,-2.19148,4.5437,-4.47285,-7.00876,35.177,172.54,24.3672,21934.7,15996.9,1.34288,-2.41298,4.1007,-4.69435,-7.23026,1.46106,134.553,22.8167,21896.7,0.00701354,0.771155,0.00191582,19184.7 
70,46.8198,70,19321.2,-0.933128,46.0434,11.4132,126.861,-1.62755,863.668,1.61896,0.266668,-3.61728,-1.04175,-4.40387,-5.71713,38.6503,1024.54,33.1209,21574.7,62866,0.0232973,-3.86065,-1.52849,-4.64724,-5.9605,0.904311,982.801,31.4173,21533,0.0498467,0.947021,0.00268049,19716.5 
71,47.0498,71,21245.9,-0.208318,48.184,-11.5597,126.707,0.167229,-19.4973,5.0643e-06,-3.14059,-5.4658,4.31664,-3.31421,-7.77203,64.5673,250.019,38.7241,24438.4,18238.1,-3.54715,-5.87237,3.50351,-3.72078,-8.1786,1.19666,180.293,35.8781,24368.7,0.00843238,0.741704,0.0027048,21381.1 
72,46.8898,72,17289.4,-0.904328,43.6555,10.9517,127.11,-1.66603,459.046,343.33,-2.03682,-3.08952,-5.52753,-7.41849,-1.90755,32.5994,451.79,34.851,20125.7,40460.1,-2.24209,-3.29478,-5.93807,-7.62376,-2.11282,0.720055,416.587,33.4141,20090.5,0.0232791,0.876911,0.0030544,17895.3 
73,46.7798,73,22178.7,-0.179899,53.1594,10.5092,127.298,-0.0396187,297.055,495.91,-2.33412,-4.04588,-3.8077,-4.90224,-6.41818,0.470533,11191,80.6262,13896.4,18569.4,-2.33708,-4.04884,-3.81363,-4.9052,-6.42114,0.822835,11190.5,80.6055,13895.9,0.480693,0.987552,0.0105725,23279.9 
74,46.9348,74,17416.1,-0.371138,43.9495,10.6517,126.861,-1.1972,595.7,499.912,-2.89286,-0.483411,-4.49023,-2.02222,-6.48541,53.79,128.218,32.3867,20570.9,38455.6,-3.23156,-0.822112,-5.16763,-2.36092,-6.82412,0.719247,70.1312,30.0158,20512.8,0.00391439,0.571758,0.00268826,17916.2 
75,46.7598,75,19768.2,-0.896563,48.4591,-10.9591,126.877,1.1687,117.645,496.629,-1.95973,-0.891607,-6.21181,-4.3062,-1.57764,41.354,120.452,29.9357,23006.1,21763.8,-2.22013,-1.152,-6.7326,-4.56659,-1.83804,0.592195,75.7941,28.1129,22961.5,0.00377983,0.606393,0.00225031,20052.3 
76,46.8498,76,18149.9,-0.0244428,43.5266,10.9298,127.191,-0.0170338,-41.6038,1.42001e-05,-2.77574,-1.1764,-2.00031,-5.23385,-5.84312,63.8722,824.886,30.856,20424.6,15509.9,-3.17793,-1.57859,-2.80468,-5.63604,-6.2453,0.855745,755.911,28.0407,20355.6,0.0409369,0.939041,0.00253115,18465.3 
77,46.9598,77,18626.6,-0.0344645,46.2081,10.4241,126.959,0.0611835,-49.1378,500,-0.334868,-0.777583,-4.08511,-5.06143,-3.09294,78.5535,198.296,24.1431,21461.7,15778,-0.829499,-1.27221,-5.07437,-5.55606,-3.58757,0.689065,113.466,20.6806,21376.8,0.00606405,0.758174,0.00177894,18711.3 
78,46.8848,78,18180.7,-0.00579689,43.7961,10.9635,126.921,0.0015001,13.9582,2.97772e-11,-0.635624,0.887521,-6.14208,-6.99832,-6.06455,17.1253,454.397,25.8022,21052.8,15631.4,-0.743457,0.779688,-6.35774,-7.10615,-6.17239,0.675626,435.904,25.0473,21034.4,0.0232658,0.908631,0.00218874,18735.8 
79,46.8298,79,18840.2,-0.39553,44.6776,-11.0669,127,-0.337042,848.74,500,-2.91276,-5.47059,-2.903,-3.37303,-2.22126,-3.94395,1038.51,32.2161,20815.5,25407.9,-2.88793,-5.44575,-2.85333,-3.34819,-2.19643,0.829465,1042.77,32.3899,20819.8,0.0544355,0.948445,0.00285763,19156 
