,index,time,pulse_length,B,e_B,A,x0,sigma,C,e_A,e_x0,e_sigma,e_C
0,0,345.0,10,202.1579840761409,0.0028824765137471786,0.5109499516687168,44.82579435753964,0.09130850942438941,0.021690791896640693,0.0062003875891670935,0.0004501879727107646,0.0012977337397097224,0.0032384308349598582
1,2,375.0,10,202.153568685498,0.0027985530720968654,0.4960317669462636,44.825104750010446,0.09460565644182235,0.022337440865277995,0.005652478262971217,0.00043708656885363314,0.001278005803738131,0.0030333127904153467
2,4,405.0,10,202.16003053576637,0.0029282341891132546,0.4999435058664858,44.82611397598562,0.09314820729672724,0.023367038378249314,0.006028102308855625,0.0004573316141407147,0.001324012759906363,0.0031970593894663116
3,6,435.0,10,202.15377483090944,0.0025949740341957295,0.5066179918922677,44.82513694655595,0.0912595983683423,0.02228704406141124,0.005556430895457009,0.00040529084585234676,0.0011715512885959814,0.0028997089176897714
4,8,465.0,10,202.1595924503872,0.0026648078429332145,0.5034398822768845,44.82604555546629,0.09270929667587627,0.017978000819679776,0.0055528282775357445,0.0004161903982290376,0.0012036624001105448,0.002934418218499185
5,10,485.0,10,202.1583398762601,0.002804439131722347,0.5026025887245158,44.82584992695709,0.09328249838088724,0.01941189946477,0.0058028658402816905,0.000437999602997184,0.0012702962308577775,0.0030808239694682794
6,12,515.0,10,202.1696650637008,0.007499510928766995,0.48432631710206575,44.82761868142726,0.09270774678657755,0.023329181142111313,0.014915818237686538,0.0011712317594403032,0.0033600994810391084,0.007884860689927288
7,14,545.0,10,202.15756860853773,0.002555075707789456,0.5134286223114908,44.8257294690863,0.09232808956758294,0.02262045797216888,0.0054614087754218344,0.00039905489069049665,0.0011544893451629083,0.0028767604084230587
8,16,575.0,10,202.15817737405865,0.0031313711339180372,0.5196579508665992,44.825824547117186,0.0909996415832341,0.016669637546156833,0.006873584993861357,0.0004890601097924189,0.0014082029369737,0.00358084108972131
9,18,605.0,10,202.15970954033875,0.002325993380907221,0.5136429047456078,44.826063842676064,0.09306755281200568,0.02040873759317931,0.004925101533121513,0.00036327432208637457,0.001051712185175089,0.0026103347210575155
