cyc,HF AM 1,HF AM 2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ODmean,refmean,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
19,46.2227,3,19,11834,-0.0421389,20.7017,12.6478,92.0461,-0.0992185,14.1599,458.621,-0.882838,-2.18929,-3.37674,-2.84882,-2.83951,-36.0203,546.442,23.7279,12002.2,8569.21,-0.656027,-1.96248,-2.92312,-2.62201,-2.6127,0.728747,592.286,24.6635,12048,0.0529084,0.932077,0.00375681,11194.6,0.0121216,2677.22,-0.000174771,0.948928,12.8429,12.0696,92.0685,120.389,-81898.9,5.85499,11.4873,100.398,233.822,-8.32899,-113.432 
20,46.2227,0,20,11208.4,-0.0541045,19.8638,12.5655,92.2154,-0.00748776,-20.5868,229.316,-2.59577,-0.252999,-1.43153,0.0281487,-0.761191,-64.6803,441.638,21.6764,11536.1,8130.31,-2.1885,0.154276,-0.616978,0.435424,-0.353916,0.759902,523.959,23.3564,11618.5,0.0487485,0.927636,0.00368949,10748.2,0.0114808,2594.16,0.0113493,0.0975372,0.538118,25.8591,102.568,86.8521,-81891.9,5.90503,10.8009,100.185,232.957,2.38303,-146.105 
21,45.2227,3,21,12169.7,-0.0405314,21.2443,12.6594,91.9284,0.0743615,-6.30541,35.128,-2.33746,0.707281,2.40014,-1.42265,-2.54614,-74.62,528.448,25.0418,12362,8770.15,-1.8676,1.17714,3.33987,-0.952791,-2.07628,9.7968,623.419,26.98,12457,0.0538101,0.929596,0.00397388,11585.5,0.0124654,2712.7,0.0125798,-0.0341379,-4.00147,-12.788,104.952,47.1057,-90274,5.18674,9.74887,100.015,228.6,4.93636,-181.495 
22,45.2227,0,22,11845.9,-0.0390859,21.0782,12.5068,92.1028,0.0634999,-33.91,500,-2.67179,-2.16721,-3.42936,-1.30314,-3.00345,-48.5549,511.322,27.2542,12096.4,8651.88,-2.36605,-1.86147,-2.81789,-0.997401,-2.69771,0.737639,573.119,28.5154,12158.2,0.050843,0.919903,0.00430181,11272.3,0.0121337,2627.97,0.0123608,-0.0296163,-7.06126,-13.0993,105.783,42.7675,-90870.1,5.31928,10.8699,100.056,229.425,5.72715,-186.657 
23,47.3227,3,23,10226.1,-0.0658847,17.2289,13.3263,92.0704,0.0776617,-15.809,161.659,-1.72189,-1.25334,-4.33764,-2.2454,-1.81882,-43.3033,1586.72,21.5174,9295.62,7514.15,-1.44922,-0.980666,-3.7923,-1.97273,-1.54615,0.61069,1641.83,22.6422,9350.73,0.166337,0.976435,0.00444073,9870.47,0.0104746,2515.68,0.0105072,-0.00655538,-4.99405,-18.0234,105.052,46.9646,-86206.3,5.11044,9.88858,99.9943,228.933,5.05736,-181.968 
24,47.3227,0,24,12912.4,-0.048868,22.6268,12.6406,92.1305,0.0307174,-48.2789,5.93749,-1.87427,-3.84465,-2.26948,-1.51882,0.296792,-46.4777,568.66,24.6515,13103.6,9359.09,-1.58161,-3.55199,-1.68416,-1.22616,0.58945,0.774073,627.814,25.8588,13162.7,0.0514137,0.932766,0.00360585,12211,0.0132261,2495.87,0.0132682,-0.0127981,-7.20085,-6.09019,106.202,41.7861,-99730.3,5.30004,11.4083,100.112,230.48,6.0899,-188.694 
25,46.2227,3,25,11230.3,-0.00100554,20.0439,12.357,91.853,0.00537378,-8.60279,3.53045e-11,-2.80145,-0.937707,-3.27451,-2.42014,-0.131471,-41.9404,581.488,18.663,11399.1,8064.39,-2.53736,-0.673619,-2.74633,-2.15605,0.132617,0.65588,634.867,19.7524,11452.5,0.059261,0.948364,0.00316706,10713.1,0.0115032,2494.44,0.0117594,-0.0225225,-10.8941,-15.2087,107.504,35.6294,-162421,5.17776,11.1422,100.045,231.608,7.45971,-195.978 
26,46.2227,0,26,11779.6,-0.0716048,21.0177,12.5604,91.9496,-0.142493,-157.216,3.16153,-3.61502,-1.15466,-1.80825,-0.813967,-1.51038,-32.2239,471.792,25.6346,12162.4,9323.05,-3.41211,-0.95176,-1.40244,-0.611062,-1.30748,0.817506,512.805,26.4716,12203.4,0.0455752,0.917148,0.00397997,11251.8,0.0120659,2645.58,0.0195975,-0.0306361,-89.4474,-40.0882,91.2543,41.6072,-5.09933e+06,16.0523,13.5821,108.882,245.72,-17.6274,-204.113 
27,45.2227,3,27,11311.9,-0.0454432,20.0411,12.5201,92.0505,0.0438401,-22.991,0.246274,-1.3611,-1.17304,-3.19172,-2.6629,-3.76324,-28.1343,517.264,22.8577,11430.5,8200.99,-1.18395,-0.995887,-2.83741,-2.48574,-3.58608,0.744126,553.072,23.5885,11466.3,0.0519638,0.930546,0.00377528,10643.4,0.0115868,2625.88,0.0116957,-0.0307491,-4.15258,-12.9475,105.144,47.0235,-98666.9,5.07629,9.92844,100.059,229.497,5.0849,-182.474 
28,45.2227,0,28,11288.3,-0.0152895,20.2009,12.3387,91.8934,-0.0268599,9.95618,500,-3.11427,-1.38425,-3.35646,0.0526956,-2.19046,-81.4913,507.948,30.3414,11476.8,8122.68,-2.60114,-0.871117,-2.3302,0.565825,-1.67733,0.662971,611.664,32.4581,11580.5,0.0566224,0.915027,0.00513657,10802.5,0.0115626,2530.88,0.0117329,-0.0235933,-6.02904,-13.9918,106.089,42.5244,-117910,5.22442,10.5779,100.139,230.242,5.9492,-187.718 
29,47.3227,3,29,11531.7,-0.0726107,19.9775,12.9506,92.1502,0.0511839,-33.2946,471.645,-0.700828,1.57852,-2.91981,-1.13288,0.0734874,-20.583,1597.53,23.3849,10681.4,8477.7,-0.571222,1.70812,-2.6606,-1.00327,0.203093,-0.144896,1623.72,23.9195,10707.6,0.146991,0.974868,0.00409816,11046.4,0.011812,2520.98,0.0118673,-0.0102706,-3.69707,-17.2898,104.633,50.6412,-82399.2,5.13238,9.73967,100.104,228.553,4.52894,-177.912 
30,47.3227,0,30,10603.5,0.000518063,18.9814,12.3892,91.9242,-0.00587701,5.70826,1.11776e-12,-2.38141,-0.914965,0.571412,0.235286,-2.09005,-29.7275,574.916,19.745,10704.8,7656.46,-2.19422,-0.727779,0.945785,0.422473,-1.90287,1.27362,612.751,20.5172,10742.7,0.0608716,0.944647,0.00350586,10066.3,0.0108611,2562.08,0.0180947,-0.0254265,-103.134,-48.6943,95.3153,30.9023,-4.7052e+06,21.0176,13.8597,110.466,247.369,-15.1505,-216.467 
31,46.2227,3,31,10838,-0.0456204,19.111,12.5891,91.849,-0.00861068,12.146,19.2133,-2.82048,-2.78586,-2.17782,-0.804281,0.728457,-31.8488,592.707,19.5853,10831.7,7835.43,-2.61993,-2.58532,-1.77674,-0.603738,0.929,0.733092,633.242,20.4125,10872.3,0.0620774,0.946601,0.00344661,10200.8,0.0111013,2609.05,0.0112092,-0.0234276,-17.3557,-2.97281,113.247,13.68,-132281,5.5226,11.1956,100.187,232.414,13.0602,-218.734 
32,46.2227,0,32,11140.4,0.0719695,19.6429,12.374,91.8921,0.0164349,-31.142,0.379072,-4.57479,-0.724321,2.23661,-1.81578,-0.389205,-78.9784,641.317,26.0879,11222.7,7929.11,-4.07748,-0.227015,3.23122,-1.31848,0.108101,2.41494,741.835,28.1393,11323.2,0.0692898,0.937751,0.00455695,10706.3,0.0114111,2580,0.0115982,-0.0239858,-8.28886,-14.458,106.75,37.1875,-127412,5.23886,10.4272,100.051,229.614,6.6998,-192.426 
33,45.2227,3,33,10021.9,-0.0434504,18.4451,-12.2004,91.689,0.105692,30.9347,500,-1.11588,-1.84496,-3.04798,-0.132094,0.769796,-49.6784,415.346,20.7386,10395.1,7432.15,-0.803068,-1.53215,-2.42236,0.180718,1.08261,0.306759,478.573,22.0289,10458.3,0.0494297,0.925452,0.00386512,9681.9,0.0102655,2578.86,0.0104906,-0.0248534,-6.94997,-14.6797,106.225,43.9095,-105542,5.19728,11.2437,100.002,230.681,6.22257,-186.772 
34,45.2227,0,34,11756.3,-0.0136671,20.8587,12.5109,91.7443,0.0187229,2.1144,8.87873e-12,-1.1945,-1.49878,-4.42875,-1.30324,-0.173834,-44.3526,609.476,29.1266,11899.7,8496.42,-0.915226,-1.2195,-3.87019,-1.02396,0.105442,0.441001,665.925,30.2787,11956.2,0.0595247,0.926295,0.00464342,11187.4,0.012042,2577.78,0.0122414,-0.0280459,-6.55545,-13.4294,106.122,42.7895,-99717.5,5.15274,10.2608,100.008,228.999,6.11381,-186.21 
35,47.3227,3,35,9798.4,-0.0701459,16.92,13.0561,91.7955,-0.0784988,-4.77002,0.706219,-0.665984,-1.24424,-2.98076,-1.96764,1.29777,-39.7255,1538.56,21.3699,8894.24,7203.51,-0.415843,-0.994104,-2.48048,-1.7175,1.54791,0.389046,1589.12,22.4018,8944.8,0.167974,0.975924,0.00459226,9460.55,0.0100365,2553.08,0.016059,-0.0193643,-430.971,-43.3108,117.779,23.383,2545.1,3.50527,5.73574,99.607,215.822,18.1725,-192.439 
36,47.3227,0,36,11107.1,-0.0529423,19.3002,12.8116,91.8034,0.0568988,-20.2133,0.375827,0.358271,-1.5797,0.246207,-0.150422,-2.0572,-12.9009,565.049,22.6808,11228.8,8086.77,0.439504,-1.49846,0.408674,-0.069188,-1.97597,1.15162,581.468,23.0159,11245.2,0.0554981,0.935218,0.00375613,10477.3,0.011377,2605.94,0.0201599,-0.0255316,-354.305,-43.1938,112.395,33.996,1271.63,4.39489,6.01801,99.7683,216.293,12.6266,-182.297 
37,46.2227,3,37,11514.9,-0.0248626,20.3351,12.5761,91.7612,-0.0417616,29.3424,6.44877e-07,-2.5709,-2.41297,2.3264,0.671175,-0.816465,-43.1753,538.87,21.6398,11627.6,8364.98,-2.29904,-2.1411,2.87012,0.943038,-0.544602,3.44979,593.82,22.7612,11682.5,0.054607,0.937139,0.00357616,10874.4,0.0117947,2633.59,0.011971,-0.0278395,-5.82761,-12.8608,106.025,43.7386,-99465.8,5.13117,10.3239,100.057,229.466,5.96824,-185.728 
