cyc,HF AM 1,HF AM 2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ODmean,refmean,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,47.3227,0,0,19566.6,-0.0201326,33.5898,12.8485,92.4261,-0.0432499,32.8105,500,-2.73694,-1.48538,-2.07975,0.46749,-3.81643,-43.4947,1100.72,46.6428,19522,14095.5,-2.46307,-1.21151,-1.532,0.741365,-3.54256,0.808686,1156.08,47.7725,19577.4,0.0628844,0.932562,0.00447497,18384.2,0.020042,2693.29,0.000131307,1.55623,12.9123,11.8566,92.4172,118.906,-81905,5.12537,10.2483,100.123,228.409,-7.70595,-109.503 
1,46.2227,3,1,19316.7,-0.0583911,33.2176,12.8308,92.5683,-0.0221656,11.4153,375.502,-5.00713,-4.56427,-7.28338,-2.0393,-2.03674,-124.417,952.135,46.743,19373.9,13882.8,-4.22371,-3.78086,-5.71654,-1.25588,-1.25332,0.647786,1110.48,49.9746,19532.2,0.060686,0.926995,0.00469105,18298.8,0.0197861,2730.13,1.26811e-05,1.51947,12.8895,12.0814,92.621,120.445,-81905.1,5.06317,10.2845,100.185,228.299,-7.56373,-107.854 
2,46.2227,0,2,19695.8,-0.00417856,33.5288,12.9513,92.4636,-0.0021125,-9.01155,500,-8.53021,-2.06394,-2.05676,-2.75929,-3.42095,-88.619,1019.95,42.1978,19772.5,14136.7,-7.9722,-1.50593,-0.940735,-2.20128,-2.86294,0.939241,1132.74,44.4996,19885.3,0.0607957,0.935674,0.00410535,18631.8,0.0201744,2784.93,-0.000114521,1.51662,13.143,12.1835,92.4472,119.723,-81905.7,5.19117,10.5609,100.185,228.196,-7.73754,-108.472 
3,45.2227,3,3,15754.6,-0.0175549,27.04,12.7295,92.5406,-0.00158603,5.28374,38.5963,-0.493665,-2.50467,-0.646483,-1.01124,-4.77718,-117.178,947.666,33.0961,15702.9,11205.3,0.244173,-1.76683,0.829194,-0.273402,-4.03934,1.16563,1096.8,36.1397,15852,0.0728936,0.945481,0.00418209,15046.6,0.0161375,2681.62,0.0161656,-0.0286711,-8.47274,1.35994,107.605,39.0711,-90939.2,5.15137,9.97742,99.9932,229.442,7.61154,-190.371 
4,45.2227,0,4,16980,-0.0445798,29.2004,12.8296,92.3885,0.00342179,34.9945,500,-0.345745,-3.41502,-2.02375,-2.51141,-4.19809,-66.9967,963.123,33.2504,16924.1,12199.3,0.076115,-2.99316,-1.18002,-2.08955,-3.77623,0.881558,1048.39,34.9906,17009.4,0.0654563,0.944816,0.00377514,16016.7,0.0173926,2681.29,0.0174913,-0.046267,1.88059,-6.04189,101.197,63.1595,-383172,5.30915,11.8613,100.128,233.138,1.0688,-169.979 
5,47.3227,3,5,16580.5,-0.047213,28.0689,13.1226,92.5409,-0.0246176,23.971,500,-4.74864,-1.96979,-0.340361,0.880264,-1.26608,-50.8985,2372.26,27.9832,15164.6,12009.8,-4.42815,-1.6493,0.300628,1.20076,-0.945589,1.05445,2437.04,29.3053,15229.4,0.153865,0.97939,0.00353217,15838.9,0.0169834,2667.09,0.0170614,-0.0424005,-10.2737,3.97001,106.934,45.8642,-115575,5.22497,10.6362,100.062,230.066,6.87237,-184.201 
6,47.3227,0,6,18568.2,-0.00954886,32.3704,12.603,92.3729,0.0270321,-7.7108,500,1.07702,-1.29791,-2.7362,0.277003,-1.59308,-48.6859,920.532,39.7142,18707.2,13287.4,1.38358,-0.991344,-2.12307,0.583566,-1.28651,0.127666,982.496,40.9787,18769.2,0.0561447,0.931975,0.00400576,17499.4,0.0190194,2666.99,-0.000187231,1.51208,12.816,11.8593,92.4084,118.69,-83471.3,5.17478,10.4637,99.9887,229.796,-7.58034,-111.107 
7,46.2227,3,7,16811.5,-0.0361484,29.5698,12.6462,92.315,-0.0135944,4.88934,500,-2.18943,-2.27584,-4.91306,-1.24433,-0.0371575,-163.757,846.825,41.5299,17086.3,12175.4,-1.1583,-1.24471,-2.85079,-0.213199,0.993978,0.362669,1055.24,45.7833,17294.7,0.0648398,0.929432,0.00485283,16274.6,0.01722,2640.38,0.018041,-0.0353099,-12.872,21.0106,108.104,43.6483,-837353,5.29153,11.731,100.217,235.329,7.8869,-191.681 
8,46.2227,0,8,17277.2,-0.00756215,30.4392,12.4437,92.3166,-4.34326e-05,-5.54456,6.34941e-12,0.477541,-1.04998,4.57215,-1.23568,-1.04857,-39.2237,895.43,30.9177,17305.6,12330.4,0.724522,-0.802995,5.06611,-0.988696,-0.801585,-0.584468,945.351,31.9365,17355.5,0.0582894,0.94418,0.00337826,16218.2,0.0176971,2641.42,-5.82366e-05,1.39676,12.722,11.9547,92.3793,119.038,38155.7,5.20304,12.1386,100.059,246.17,-7.68001,-127.133 
9,45.2227,3,9,18166.6,-0.106507,32.582,12.4819,92.219,-0.0381965,132.648,399.977,-0.0175255,2.23582,-0.59316,-0.206755,-0.350238,-92.7852,916.194,41.4242,18398.9,13403.9,0.566718,2.82006,0.575328,0.377488,0.234006,0.874207,1034.28,43.8342,18517,0.0596843,0.930954,0.00434177,17329.3,0.0186081,2654.73,-0.000288401,1.47986,12.7709,11.9654,92.1966,119.459,-81901.6,5.38442,11.2444,100.38,232.012,-8.18344,-112.554 
