cyc,HF AM,HF AM img2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,ODmean,refmean,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
12,0.95,0.95,12,35130,0,5,101,125,0,5,135,-0.556448,1.34605,2.48452,0.958583,-1.35865,52.1043,-7.57419,34048.1,-4.11091,16439.4,-0.757768,1.14473,2.08188,0.757262,-1.55997,-0.249529,-10.6192,33819.8,-7.15588,0.552902,-0.000179457,1.00011,-19.2062,0.015761,2613.26,434.855,424.489,0.366174,41358.4,9.15723e-07,0.469182,132.323,93.1703,24.6687,24.1174,1.02286,553.241,538.386,0.595992 
13,0.65,0.65,13,49127.5,0,5,101,125,0,5,135,-0.76698,5.43467,-0.404877,-2.38975,-2.0782,37.5787,-8.13353,46709.4,-1.03167,16439.4,-0.912177,5.28947,-0.695271,-2.53495,-2.2234,0.354034,-10.3296,46544.7,-3.22777,0.727287,-0.000126833,1.00004,-14.203,0.022041,-247.346,397.455,390.668,0.286624,56099.3,1.01367e-06,0.388734,131.076,92.0803,25.2223,24.7892,1.01747,578.354,568.795,0.565822 
14,0.675,0.675,14,46705.1,0,5,101,125,0,5,135,-3.64663,-0.944203,2.88164,-1.54929,-2.72482,74.501,-10.2443,44882.7,30.5834,16439.4,-3.93449,-1.23206,2.30593,-1.83715,-3.01268,1.29907,-14.5981,44556.1,26.2295,-0.864953,-0.000187254,0.999681,16.8773,0.0209542,-51.8551,369.161,380.389,0.282273,53723.4,9.9915e-07,0.375052,131.447,92.2396,24.4021,24.5626,0.993466,541.35,558.445,0.550299 
15,0.7,0.7,15,47487.6,0,5,101,125,0,5,135,-3.32837,-2.57134,-3.53604,1.09305,2.91261,-30.7795,-27.1558,45796.4,4.77795,16439.4,-3.20945,-2.45242,-3.29819,1.21198,3.03154,0.300718,-25.357,45931.3,6.5767,1.45188,-0.000315565,0.999922,-17.465,0.0213053,138.421,377.03,374.017,0.278311,55084,1.00751e-06,0.372719,131.857,92.0411,24.7815,24.4603,1.01313,558.317,553.803,0.551908 
16,0.725,0.725,16,42475.5,0,5,101,125,0,5,135,0.771927,-2.93861,-0.785066,-3.47092,-0.187082,31.4141,-9.02075,41436.6,-22.8174,16439.4,0.650549,-3.05999,-1.02782,-3.59229,-0.30846,0.859932,-10.8566,41298.9,-24.6532,0.268459,-0.000150239,1.00032,-40.4405,0.0190566,378.118,311.34,330.009,0.247472,49380.8,9.71469e-07,0.329953,131.803,92.2571,23.3683,23.8448,0.980017,496.453,526.283,0.526162 
17,0.75,0.75,17,41250,0,5,101,125,0,5,135,0.999732,-1.51724,2.61856,-0.691146,-3.39011,-7.50016,-13.2964,40792.5,-14.4937,16439.4,1.02871,-1.48826,2.67652,-0.662167,-3.36113,2.48174,-12.8581,40825.4,-14.0554,0.432574,-0.000180005,1.00019,-29.7246,0.0185068,679.746,288.01,308.504,0.226184,48563.2,9.66077e-07,0.308548,131.292,92.7563,23.206,23.7789,0.975908,489.58,523.377,0.523971 
18,0.775,0.775,18,42913.3,0,5,101,125,0,5,135,-1.87593,0.741555,3.51756,1.80444,-2.31225,-15.7595,-13.2749,42175.5,-9.40716,16439.4,-1.81504,0.802446,3.63934,1.86534,-2.25136,-0.624179,-12.3539,42244.6,-8.48617,0.548153,-0.000167135,1.00011,-22.5373,0.019253,854.925,325.402,335.944,0.249043,50348.4,9.77773e-07,0.338147,131.343,92.9564,23.8718,24.013,0.994122,518.079,533.734,0.537802 
19,0.8,0.8,19,42308.3,0,5,101,125,0,5,135,0.403673,-0.859186,-2.76647,1.00413,-2.17285,-17.6966,-14.7012,41164.5,3.27469,16439.4,0.47205,-0.79081,-2.62971,1.07251,-2.10448,0.339341,-13.667,41242.1,4.30888,1.60857,-0.000189399,0.999943,-8.49636,0.0189816,1209.79,341.881,354.564,0.263311,49112.8,9.69708e-07,0.359041,131.473,92.8101,23.994,24.2095,0.9911,523.394,542.504,0.549509 
20,0.825,0.825,20,41025.8,0,5,101,125,0,5,135,-2.73831,-3.14335,-4.02605,-3.117,-2.23725,-92.9202,0.204964,39760.6,-1.02798,16439.4,-2.37928,-2.78433,-3.308,-2.75798,-1.87822,0.747632,5.63522,40167.8,4.40227,0.516143,8.01603e-05,0.999941,10.9179,0.0184062,1574.79,360.948,360.435,0.260112,48064,9.62755e-07,0.374645,131.938,93.1299,24.766,24.5167,1.01017,557.616,556.362,0.578536 
21,0.85,0.85,21,37317.8,0,5,101,125,0,5,135,0.589492,-1.53477,0.469159,-0.511091,1.32242,-14.823,-12.5222,36559.9,-9.05806,16439.4,0.646765,-1.4775,0.583706,-0.453818,1.3797,0.140161,-11.656,36624.9,-8.19181,0.542488,-0.000181892,1.00012,-21.4861,0.0167426,1793.31,366.553,377.595,0.302979,43772,9.332e-07,0.398663,132.057,92.8096,23.7974,23.9067,0.995429,514.852,529.018,0.559244 
22,0.875,0.875,22,36748.9,0,5,101,125,0,5,135,-3.37161,-0.820217,-0.118039,-1.46045,-1.06475,121.946,-6.08505,35798.3,-1.85093,16439.4,-3.84278,-1.29139,-1.06039,-1.93163,-1.53593,0.890253,-13.2116,35263.8,-8.97746,0.550837,-0.000214131,1.00014,-23.9845,0.0164873,2094.05,398.252,396.481,0.323752,42946.6,9.27297e-07,0.42852,131.931,92.819,24.3437,24.0547,1.01202,538.764,535.59,0.57929 
23,0.9,0.9,23,35058.9,0,5,101,125,0,5,135,-2.54958,0.0495098,-1.94677,-1.32254,0.226318,62.365,-3.28233,34154.1,-3.57369,16439.4,-2.79055,-0.191456,-2.4287,-1.56351,-0.0146476,0.65249,-6.92694,33880.8,-7.2183,0.444351,-0.000116842,1.00012,-15.5889,0.0157291,2286.09,361.176,375.461,0.304221,41212.5,9.14645e-07,0.402614,131.973,93.2011,23.5867,23.7923,0.991359,505.776,523.968,0.562833 
24,0.925,0.925,24,35279.9,0,5,101,125,0,5,135,-1.25061,-1.12989,1.3176,-2.24593,-1.76042,158.976,5.17205,34366.4,-6.37262,16439.4,-1.86486,-1.74415,0.0890968,-2.86018,-2.37467,1.01018,-4.11851,33669.6,-15.6632,0.179735,-6.99029e-05,1.00025,-22.9143,0.0158283,2604.69,393.686,395.662,0.317632,41117.6,9.13942e-07,0.431836,132.011,93.117,24.3377,24.1636,1.00721,538.498,540.449,0.590269 
25,0.95,0.95,25,33796.5,0,5,101,125,0,5,135,-2.09487,0.128004,0.960213,-1.38841,-0.228231,100.656,-7.86108,33024.7,1.3879,16439.4,-2.48379,-0.260909,0.182386,-1.77732,-0.617145,1.0368,-13.7434,32583.5,-4.49442,0.71817,-0.000241081,1.00007,-19.1367,0.0151628,2650.99,374.913,388.493,0.319711,39584.6,9.0244e-07,0.422901,132.241,92.9292,23.6936,23.8817,0.992124,510.373,527.915,0.575185 
26,0.65,0.65,26,40478.1,0,5,101,125,0,5,135,-2.58678,2.33183,1.84201,-5.03122,4.32322,-73.5342,9.64059,39256,9.13815,16439.4,-2.30266,2.61595,2.41025,-4.7471,4.60734,0.0671629,13.9379,39578.3,13.4355,0.463662,0.000201194,0.999816,30.0605,0.0181605,-248.58,299.532,323.993,0.233748,46890.2,9.54854e-07,0.326251,131.429,91.4061,23.3976,24.1255,0.969826,497.698,538.749,0.5423 
27,0.675,0.675,27,44307.3,0,5,101,125,0,5,135,-4.63614,-3.08812,6.67932,-2.25081,2.65981,-17.1656,-20.7395,42888.4,1.0371,16439.4,-4.56981,-3.0218,6.81196,-2.18448,2.72613,29.622,-19.7364,42963.6,2.04025,1.14162,-0.000262568,0.999974,-17.2881,0.0198784,-94.2625,337.848,352.032,0.2644,51042.8,9.82247e-07,0.3511,131.483,92.6304,23.825,24.1224,0.987674,516.05,538.608,0.536736 
