cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,-4.04,43.1827,4,11,3266.89,-0.34464,-14.7872,7.43702,118.439,0.20673,-208.053,389.549,-2.67407,-3.38859,-2.59726,-0.967378,1.49826,-200.052,2822.46,-14.0491,2246.06,4980.11,-1.41439,-2.12892,-0.07791,0.292298,2.75794,0.863551,2981.81,0.437209,2405.41,0.553498,0.999743,0.000334711,5387.22,-0.00157242,0.633312,7.56154,-7.34084,118.303,87.7578,0.448491,7.28674,-8.17406,117.898,136.72,0.405759,-48.9625 
12,-5,42.2227,0,12,3068.46,0.00194919,-14.6748,7.15512,118.403,0.00921936,5.44018,1.22933e-12,-3.18612,-2.06173,-4.54189,-3.62709,-3.21851,-123.644,2917.72,-30.201,2096.49,3419.72,-2.40757,-1.28318,-2.98479,-2.84854,-2.43995,0.75052,3016.21,-21.2476,2194.98,0.578795,1.01248,-0.0181555,5211.18,-0.00182084,0.658392,7.68069,7.35817,118.118,86.8529,0.434585,7.33127,8.05843,117.701,135.552,0.416976,-48.6988 
13,-3.88,43.3427,4,13,2842.43,-0.390766,-14.6571,7.23576,118.435,0.0160678,299.277,73.3328,-0.765466,-6.08743,-8.66669,-0.6652,-2.45687,-153.043,2794.26,-20.1608,2069.21,3609,0.198205,-5.12376,-6.73934,0.298471,-1.4932,0.47593,2916.17,-9.07854,2191.12,0.570982,1.00548,-0.00769116,5107.29,-0.00182892,0.644428,7.49041,-7.33651,118.202,87.244,0.432868,7.19009,-7.9723,117.763,136.102,0.439054,-48.8578 
14,-4.16,43.0627,4,14,3419.8,-0.00385345,-15.3027,7.24025,118.589,0.0484948,-34.4393,500,-3.59735,-3.54434,-11.4399,-4.62154,-2.09408,-180.705,3110.39,-24.5047,2243.41,3661.12,-2.4595,-2.40649,-9.1642,-3.48369,-0.956232,0.503836,3254.32,-11.4194,2387.35,0.576837,1.00618,-0.00888965,5641.67,-0.0017828,0.668056,7.78995,7.55663,118.373,87.6349,0.456016,7.34211,8.16464,117.976,136.404,0.396669,-48.7696 
15,-4.02,43.2027,4,15,3366.43,-0.0304516,-14.5364,7.15381,118.468,0.0187983,-64.2314,500,-5.49555,-0.449366,-8.23276,-5.22439,-5.10313,-223.855,2948.02,-16.2082,2089.38,3424.54,-4.08599,0.960192,-5.41364,-3.81484,-3.69357,0.662656,3126.33,0.00176097,2267.69,0.579592,0.999999,1.43048e-06,5394.02,-0.00149006,0.65322,7.56087,7.40806,118.211,87.4125,0.424619,7.33951,8.13593,117.821,136.282,0.390119,-48.8696 
16,-3.86,43.3627,4,16,3212.08,-0.0317968,-14.2813,7.0814,118.632,0.0207515,9.33712,3.09635e-12,-0.566134,-2.40469,-9.0429,-2.91948,-2.77832,-181.305,2831.02,-19.4297,2021.78,3298.47,0.575495,-1.26306,-6.75964,-1.77785,-1.63669,0.377665,2975.44,-6.30095,2166.19,0.578695,1.00372,-0.00538712,5141.63,-0.00147642,0.643739,7.43423,-7.44313,118.461,87.6447,0.418663,7.22524,-8.01397,117.95,136.383,0.511636,-48.7378 
17,-3.71,43.5127,4,17,3186.99,-0.381247,-15.3939,7.30551,118.273,-0.0206618,-319.502,15.5677,-8.47446,-3.99943,-6.31855,-3.64254,-3.10052,-231.778,2980.74,-20.2274,2099.97,3875.86,-7.01502,-2.53998,-3.39967,-2.18309,-1.64108,0.797384,3165.36,-3.44381,2284.59,0.580805,1.00191,-0.00278453,5449.95,-0.00179726,0.700106,7.52516,7.30491,118.094,86.9245,0.44258,7.22653,7.98049,117.61,135.504,0.484311,-48.5799 
18,-3.59,43.6327,4,18,3335.04,0.0069892,-14.7983,7.14504,118.444,0.0109721,10.9638,5.43592e-08,-4.36394,-2.84891,-7.48685,-1.98292,-5.39471,-163.597,2899.95,-25.4466,2227.58,3445.91,-3.33382,-1.81878,-5.4266,-0.952789,-4.36458,0.658631,3030.26,-13.6001,2357.89,0.562393,1.00792,-0.0107392,5388.15,-0.00162037,0.652321,7.61771,-7.42867,118.272,87.8733,0.440571,7.29948,8.2257,117.803,136.986,0.468926,-49.113 
19,-3.98,43.2427,4,19,2775.46,-0.00546697,-13.5464,7.1915,118.468,0.0047425,6.62661,4.30815e-12,-0.0108955,-3.23121,-3.83917,-5.14379,-4.34111,-197.543,2672.45,-33.8438,1958.83,3172.34,1.23298,-1.98734,-1.35141,-3.89991,-3.09723,0.851541,2829.8,-19.5392,2116.18,0.572142,1.01223,-0.0173029,4945.98,-0.00172749,0.589851,7.78511,-7.48838,118.266,88.0031,0.412249,7.10698,8.05855,117.752,136.481,0.513502,-48.4775 
20,-4,43.2227,4,20,3118.59,-0.308987,-14.6848,7.18606,118.164,0.0732522,-377.821,500,-1.2163,-3.0129,-4.24883,-3.75744,-4.9071,-188.833,2861.94,-26.5319,2027.21,4336.18,-0.0272703,-1.82387,-1.87077,-2.56841,-3.71807,0.81308,3012.35,-12.8581,2177.63,0.580417,1.00753,-0.0109966,5189.98,-0.00162436,0.648443,7.51264,7.43883,117.856,86.8358,0.415969,7.18992,8.20259,117.607,135.407,0.249492,-48.5717 
21,-5,42.2227,0,21,3189.19,0.0128377,-13.9191,7.36626,118.94,0.0197617,28.7566,9.5423e-12,-4.44755,-3.82381,-10.222,-2.49267,-4.92656,-178.321,2749.43,-22.7514,2194.79,3356.24,-3.32471,-2.70097,-7.97629,-1.36983,-3.80372,0.584038,2891.47,-9.83874,2336.83,0.553042,1.00599,-0.00781641,5228.3,-0.00163922,0.618426,7.89905,7.25897,118.695,87.6825,0.43486,7.54665,8.03908,118.173,136.416,0.521331,-48.7336 
22,-3.82,43.4027,4,22,3315.87,-0.025629,-14.7835,-7.33905,118.76,-0.0422519,47.4987,7.13519e-13,-5.38377,-0.684987,-6.05241,-5.88237,-2.17047,-146.307,2890.57,-29.4881,2228.27,3597.26,-4.46251,0.236269,-4.2099,-4.96112,-1.24921,0.712566,3007.11,-18.8936,2344.81,0.561875,1.01112,-0.0150666,5351.92,-0.00173197,0.642157,7.76124,7.55245,118.577,87.1521,0.425611,7.58751,8.37369,117.935,135.936,0.642002,-48.7836 
23,-4.06,43.1627,4,23,3241.23,0.00257063,-14.6497,7.12212,118.899,0.0023955,10.1666,3.16667e-12,-2.75335,-4.61944,-7.95714,-4.21885,-3.83023,-203.168,2782.3,-14.221,2196.08,3397.3,-1.47405,-3.34015,-5.39856,-2.93956,-2.55093,0.656214,2944.13,0.490869,2357.91,0.555283,0.999708,0.000383342,5302.04,-0.00161555,0.645268,7.64321,7.24329,118.718,87.291,0.44466,7.33392,8.10399,118.307,136.126,0.410851,-48.8353 
24,-3.68,43.5427,4,24,3234.55,-0.00491541,-14.0774,7.0847,118.595,0.0182009,4.15677,4.2099e-06,-5.43759,-0.231607,-4.56859,-4.48614,-4.08993,-152.757,2810.97,-7.48292,1976.29,3249.15,-4.47572,0.730263,-2.64485,-3.52427,-3.12806,0.797215,2932.65,3.57859,2097.97,0.58296,0.997869,0.00313231,5030.61,-0.00138066,0.61541,7.5098,7.65571,118.468,85.595,0.409902,7.0818,-8.07022,117.9,134.111,0.568235,-48.5158 
25,-3.84,43.3827,4,25,3291.35,-0.0285528,-14.7539,6.95324,118.468,-0.056168,65.203,2.69429e-05,-6.77418,-1.22627,-7.76778,-4.38446,-3.3389,-215.221,2839.87,-21.2088,2069.7,3458.78,-5.419,0.128915,-5.0574,-3.02927,-1.98371,0.670752,3011.3,-5.62419,2241.13,0.573315,1.00328,-0.00464429,5252.43,-0.00150675,0.686951,7.3651,7.15721,118.275,86.7772,0.457665,7.05394,7.75733,117.829,135.367,0.446529,-48.5895 
