,filename,ToTF,popt,perr,SR,FM,CS,Ctilde,chi2,FDnorm,Convnorm
0,2024-08-11_K_e.dat,0.4165,[ 0.00873888 -0.41355205],[0.00131948 0.0863171 ],0.009160377144537,-3.084079239287816,-6.168158478575632,1.251508989120639,2.7349008881531134,1.0192473622494953,1.0331846721556497
0,2024-08-11_L_e.dat,0.4165,[ 0.00435862 -1.04409705],[0.00296459 0.65641933],0.0045748790482623,-1.5435759428685765,-3.087151885737153,0.6263779293610128,3.100555424442441,1.0192473622494953,1.0121726945523375
0,2024-08-11_M_e.dat,0.4165,[ 0.01512382 -4.51813873],[0.00290441 0.64358791],0.015086648077485,-5.1365141953221105,-10.27302839064422,2.084380195651474,3.2836298708812035,1.0192473622494953,1.1039741513592998
0,2024-08-11_O_e.dat,0.4165,[ 0.03535926 -0.38436632],[0.00231782 0.12291506],0.0360070257257256,-12.121492784212943,-24.24298556842589,4.918861029169471,2.8312786155087943,1.0192473622494953,1.0183365813742111
0,2024-08-11_P_e.dat,0.4165,[ 0.07081509 -0.65991967],[0.00488308 0.0752908 ],0.0721117857574967,-24.295759994225413,-48.59151998845083,9.859137742943412,2.3729333030019424,1.0192473622494953,1.0183365813742111
0,2024-08-11_P_e.dat,0.4165,[ 0.02124453 -0.65991967],[0.00146492 0.07529079],0.0216335357213187,-7.28872799626407,-14.57745599252814,2.957741322069988,2.3729333030019433,1.0192473622494953,1.0183365813742111
0,2024-08-11_P_e.dat,0.4165,[ 0.02331007 -0.65991967],[0.00160735 0.07529326],0.0237368992886684,-7.997389082302289,-15.994778164604575,3.2453136088383494,2.3729333030019437,1.0192473622494953,1.0183365813742111
0,2024-08-12_L_e.dat,0.399,[0.07004948 0.84302047],[0.00936744 0.41350103],0.0713492635668328,-23.632122848350747,-47.264245696701494,9.589836019759314,4.381801095121595,1.0192909550028189,1.018509452392896
0,2024-08-11_O_e.dat,0.4165,[ 0.01060778 -0.38436633],[0.00069535 0.12291628],0.0108021077127038,-3.63644783365864,-7.27289566731728,1.4756583080994388,2.8312786155087943,1.0192473622494953,1.0183365813742111
0,2024-08-12_L_e.dat,0.399,[0.05488991 1.10352008],[0.0065166  0.41474899],0.0559079940852571,-18.503168062923375,-37.00633612584675,7.508523407234497,2.237881410630161,1.0192909550028189,1.018509452392896
0,2024-08-11_P_e.dat,0.4165,[ 0.02331007 -0.65991967],[0.00160735 0.07529326],0.0237368992886684,-7.997389082302289,-15.994778164604575,3.2453136088383494,2.3729333030019437,1.0192473622494953,1.0183365813742111
0,2024-08-11_P_e.dat,0.4165,[  0.02168128 -12.0642489 ],[0.00147197 0.83593538],0.0236570961945372,-94.44938033171924,-188.89876066343845,38.32724107611345,2.310768237312038,0.0,1.0911583142811017
0,2024-08-11_P_e.dat,0.4165,[  0.02168128 -12.0642489 ],[0.00147197 0.83593538],0.0236570961945372,-94.44938033171924,-188.89876066343845,38.32724107611345,2.310768237312038,0.0,1.0911583142811017
0,2024-08-11_P_e.dat,0.4165,[  4.00630868 -12.06424891],[0.27199367 0.83592754],4.371403635491074,-17452.537756837344,-34905.07551367469,7082.181160394928,2.310768237312039,0.0,1.0911583142811017
0,2024-08-11_P_e.dat,0.4165,[  4.00630868 -12.06424891],[0.27199367 0.83592754],4.371403635491074,-17452.537756837344,-34905.07551367469,7082.181160394928,2.310768237312039,0.0,1.0911583142811017
0,2024-08-11_P_e.dat,0.4165,[  4.00630868 -12.06424891],[0.27199367 0.83592754],4.371403635491074,-17452.537756837344,-34905.07551367469,7082.181160394928,2.310768237312039,0.0,1.0911583142811017
0,2024-08-11_P_e.dat,0.4165,[  0.63762383 -12.06424891],[0.04328914 0.83593537],0.6957304970638503,-2777.657654403274,-5555.315308806548,1127.1641399162609,2.3107682373120113,0.0,1.0911583142811017
0,2024-08-11_P_e.dat,0.4165,[  7.97029787 -12.0642489 ],[0.54111422 0.83593325],8.696631208056488,-34720.72065903868,-69441.44131807736,14089.55174043062,2.310768237312038,0.0,1.0911583142811017
0,2024-08-11_P_e.dat,0.4165,[  7.97029787 -12.0642489 ],[0.54111422 0.83593325],8.696631208056488,-34720.72065903868,-69441.44131807736,14089.55174043062,2.310768237312038,0.0,1.0911583142811017
0,2024-08-11_P_e.dat,0.4165,[  7.20727935 -12.04782844],[0.48922734 0.83617815],8.691766386867743,-34701.20267669099,-69402.40535338198,14081.631408797612,2.310749259423211,0.0,1.2060017655549145
0,2024-08-11_P_e.dat,0.4165,[ 0.72312741 -0.65991967],[0.0498635  0.07529217],0.7363685888204089,-248.0958460986828,-496.1916921973656,100.67646044908118,2.3729333030019433,1.0192473622494953,1.0183365813742111
0,2024-08-11_P_e.dat,0.4165,[ 0.04637391 -0.65991967],[0.00319773 0.07529074],0.0472230607075288,-15.910300058327836,-31.820600116655672,6.456346286096729,2.372933303001943,1.0192473622494953,1.0183365813742111
0,2024-08-11_P_e.dat,0.4165,[ 0.04726648 -0.65991967],[0.00325928 0.07529074],0.0472230606336206,-15.910300033492938,-31.820600066985875,6.45634627601881,2.3729333029953765,1.0192473622494953,0.9991064176220824
0,2024-07-17_J_e.dat,0.34,[ 0.00208268 -0.52520313],[0.00015062 0.03239303],0.0021242207146587974,-0.6376157584506001,-1.2752315169012003,0.25874233163028987,10.307567766896215,1.0190966609868364,1.0198084811572723
