cyc,field,#2,#3,#4,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
10,201,2.701,44.6446,2.024,10,22327.4,-0.108549,46.6366,12.0378,121.608,0.14883,-27.2332,499.99,-6.74401,-7.52668,-10.2665,-3.97843,-6.67602,150.613,10491.3,43.664,14102.7,18407.4,-7.69238,-8.47505,-12.1632,-4.9268,-7.62439,0.702479,10280.1,35.8399,13891.4,0.46251,0.993936,0.00473017,22226.7,-0.00249384,0.977886,12.0793,10.7951,121.986,93.6974,1.20212,12.3594,12.1645,120.429,145.191,1.55717,-51.4936 
11,202.2,3.365,44.8324,2.02,11,22004.6,-0.17848,48.3173,11.6133,121.797,-0.181914,197.269,500,-7.22213,-7.55102,-1.45564,4.98122,-8.89975,148.611,10668,41.4826,14118.7,19434.6,-8.15789,-8.48679,-3.32717,4.04546,-9.83552,0.870849,10459.5,33.7625,13910.2,0.466478,0.994383,0.0044512,22422.3,-0.00316342,1.04753,11.7249,10.6633,121.818,94.0279,1.29271,11.8729,11.8984,121.023,145.365,0.795265,-51.3371 
12,201.8,3.143,44.7699,2.022,12,19296.9,0.0154858,40.1818,12.1977,121.743,0.321155,-164.353,5.8725e-12,-5.83992,-5.97182,-6.24232,-3.86469,-5.35383,181.501,9430.48,37.917,12327.3,17673.4,-6.98278,-7.11468,-8.52804,-5.00755,-6.49669,0.750129,9175.91,28.4884,12072.8,0.469152,0.994596,0.00432804,19558.5,-0.00259807,0.819386,12.4082,11.1747,121.831,94.4217,1.02954,12.469,12.3811,120.65,145.817,1.18104,-51.3948 
13,203,3.807,44.9571,2.018,13,21841.4,-0.809125,50.3076,11.2544,121.826,1.75807,-666.368,466.064,-4.204,-7.15909,-2.33811,-2.1421,-1.25273,180.624,10599,16.2986,13832.5,56568.1,-5.34134,-8.29643,-4.61279,-3.27944,-2.39007,0.807158,10345.7,6.91557,13579.2,0.469751,0.998832,0.000937263,22023.8,-0.00304768,1.17571,11.1871,9.88902,121.679,93.6475,1.40888,11.4304,11.1718,121.201,144.723,0.47799,-51.0753 
14,202.1,3.309,44.8167,2.021,14,19761.6,-0.116377,43.9918,11.4512,121.7,0.117131,614.642,4.25878e-12,-10.3428,-2.0671,-8.80132,-2.86111,-5.61319,170.184,9425.62,25.3112,12859.3,18742.7,-11.4144,-3.1387,-10.9445,-3.93271,-6.68479,0.696955,9186.92,16.4704,12620.6,0.458414,0.996872,0.00239826,20040.7,-0.00276434,0.95289,11.5159,10.4493,121.842,93.775,1.22951,11.6245,11.6072,120.965,144.943,0.877279,-51.1682 
15,202.8,3.696,44.926,2.019,15,22659.8,-0.629753,51.491,11.1576,121.468,0.899809,-148.446,4.30279e-09,-7.70455,-7.5386,-9.15143,-1.00186,-1.29779,124.374,10511.1,22.6261,14361.4,23050.7,-8.4877,-8.32175,-10.7177,-1.785,-2.08094,0.658596,10336.7,16.1651,14187,0.458644,0.997271,0.00209456,22537.5,-0.00266763,1.16057,10.9571,10.0623,121.353,94.0204,1.46539,11.2857,11.2937,120.813,145.11,0.539514,-51.0895 
16,201.5,2.978,44.7229,2.022,16,19640.4,0.00237346,39.5989,12.8443,121.649,0.110759,-57.5588,8.8617e-11,-3.91904,-2.36559,-5.9317,-6.63228,-5.25478,151.041,9140.07,40.1376,12927.2,16764.8,-4.87011,-3.31666,-7.83384,-7.58335,-6.20585,0.737206,8928.22,32.2912,12715.3,0.449481,0.99371,0.00465634,19863.4,-0.0026736,0.741954,12.9365,11.6176,121.901,93.291,0.962121,13.266,13.0297,120.407,144.767,1.49371,-51.4762 
17,201.7,3.088,44.7542,2.022,17,19832,-0.0197489,40.3082,-12.6309,121.856,-0.0988172,7.37088,500,-6.69262,-3.90393,-1.3934,-2.56565,-6.00755,254.951,9470.44,47.485,12983.1,16597.5,-8.29798,-5.50929,-4.60412,-4.17101,-7.61291,0.847522,9112.85,34.2407,12625.5,0.456309,0.993467,0.00497101,19970.8,-0.00279667,0.784516,12.7564,11.5217,122.03,94.0211,1.01512,12.9121,12.7079,120.71,145.433,1.32006,-51.4122 
18,202.4,3.475,44.8636,2.02,18,20501.4,-0.093251,46.2125,11.2646,121.709,-0.0611835,-18.8423,500,-2.48584,-8.04865,-7.37918,-6.47083,-2.71248,155.884,10113.5,25.2573,12893.6,16983.6,-3.4674,-9.03021,-9.34229,-7.45239,-3.69404,0.716783,9894.89,17.1595,12675,0.475821,0.996974,0.00248765,20795.4,-0.00298706,1.0646,11.3094,10.3496,121.635,93.9406,1.26382,11.6264,11.4408,120.989,145.092,0.64692,-51.1515 
19,201.6,3.033,44.7386,2.022,19,22340,-1.02242,44.521,13.4027,122.245,1.80491,-1942.14,496.679,-7.21691,-3.35077,-15.6779,-4.96564,-5.17344,154.408,10505.4,57.1516,14305.9,133537,-8.18918,-4.32304,-17.6224,-5.9379,-6.14571,0.582587,10288.8,49.1304,14089.4,0.459207,0.991713,0.00638253,22405.7,-0.00273113,0.830602,13.2539,11.6927,122.278,93.2419,1.05614,13.2437,13.0815,120.9,144.653,1.37793,-51.4116 
