cyc,field,#2,#3,#4,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
51,201.3,2.867,44.6916,2.023,51,19103.5,-0.0025846,40.2176,12.1316,121.67,0.0331255,-90.5751,500,-9.10027,-3.76093,-6.88847,0.576827,-2.77951,75.7539,9386.22,39.4419,12094.9,15980.6,-9.57727,-4.23794,-7.84248,0.0998247,-3.25651,0.683954,9279.97,35.5066,11988.6,0.473706,0.993349,0.00542616,19590.2,-0.00258594,0.829328,12.4437,11.14,122.01,92.2662,0.995158,12.4421,12.5226,120.437,143.077,1.57329,-50.8107 
52,201,2.701,44.6446,2.024,52,20447.4,-0.1084,44.4415,11.6256,121.558,0.211729,1144.19,500,-10.3451,-6.17356,-4.56873,-9.11574,-4.037,106.608,9690.25,27.8937,13319.5,24705.3,-11.0164,-6.84484,-5.91129,-9.78702,-4.70828,0.845528,9540.72,22.3557,13170,0.457218,0.995916,0.00311718,20866.9,-0.00276705,0.940744,11.7916,10.6385,122.088,92.9227,1.23014,11.8022,11.7774,120.475,143.711,1.61335,-50.7879 
53,202.2,3.365,44.8324,2.02,53,20281.3,-0.291331,45.3885,11.3558,121.585,0.242548,-212.214,2.91743e-05,-6.24313,-8.69071,-19.0908,-6.0939,-3.56039,116.453,9811.61,29.5099,12764,18454.3,-6.9764,-9.42398,-20.5573,-6.82718,-4.29366,0.572422,9648.28,23.4603,12600.7,0.470996,0.995763,0.00341798,20484.8,-0.00259138,1.0214,11.3726,10.3007,121.574,92.977,1.24627,11.5615,11.4426,120.797,143.849,0.777542,-50.872 
54,201.8,3.143,44.7699,2.022,54,19796.9,-0.131872,41.4065,12.1765,121.753,-0.0604096,-66.8198,500,-6.76471,-4.98228,-4.6911,-5.39883,-1.21956,45.5761,9702.23,41.8148,12381.2,16544.3,-7.05169,-5.26926,-5.26507,-5.68581,-1.50654,0.787514,9638.3,39.4472,12317.3,0.476408,0.992889,0.0058649,20231.2,-0.00245674,0.854431,12.3703,11.2438,121.91,92.6868,1.00622,12.5054,12.5468,120.68,143.914,1.22999,-51.227 
55,203,3.807,44.9571,2.018,55,20202,-0.496054,46.6477,-11.0976,121.729,-0.23348,-505.525,485.344,-7.09379,-3.80134,-7.19016,-4.66263,-1.73689,95.4208,9989.2,18.7798,12555.9,20694.4,-7.69463,-4.40218,-8.39184,-5.26347,-2.33773,0.70125,9855.36,13.8229,12422,0.479852,0.997552,0.00204565,20538.3,-0.00284298,1.10628,11.0041,10.0893,121.669,92.691,1.32047,11.2163,11.0881,120.953,143.264,0.715401,-50.5729 
56,202.1,3.309,44.8167,2.021,56,21983.9,-0.269123,46.9916,11.8001,121.657,0.561786,-200.208,500,-3.84345,-4.73468,-10.851,-1.06656,-4.47258,114.471,10417.8,31.4362,13704.5,21712.4,-4.56424,-5.45548,-12.2926,-1.78736,-5.19338,0.580359,10257.3,25.4896,13543.9,0.468261,0.99567,0.00345486,21905.1,-0.00250679,1.02898,11.6994,10.5534,121.691,93.3147,1.26347,11.9858,11.6994,120.791,144.206,0.899701,-50.891 
57,202.8,3.696,44.926,2.019,57,19096.6,-0.0362913,44.3819,-10.9014,121.467,0.0183544,-1.87904,500,-1.77953,-5.8345,-10.6147,-6.12834,-3.36745,122.275,9047.4,7.67376,12364.6,15751.3,-2.54946,-6.60443,-12.1546,-6.89827,-4.13739,0.62421,8875.9,1.32182,12193.1,0.458419,0.999739,0.000199657,19362,-0.00278133,1.03736,10.9109,9.76223,121.383,92.8444,1.31231,11.238,10.9949,120.856,143.617,0.527984,-50.7729 
58,201.5,2.978,44.7229,2.022,58,18766.6,-0.0530698,38.0264,12.6558,121.782,0.0103296,-38.0301,500,-2.14902,-9.16838,-6.6655,-1.91649,-0.690206,154.508,9189.7,47.6461,11816.2,15679.2,-3.12192,-10.1413,-8.61129,-2.88939,-1.6631,0.674148,8972.99,39.6197,11599.4,0.473546,0.992332,0.00625265,18948.5,-0.0025445,0.770353,12.7551,11.4841,122.182,92.0326,0.932915,12.8291,12.7393,120.651,143.161,1.53059,-51.1289 
59,201.7,3.088,44.7542,2.022,59,17706.4,-0.00812942,36.4198,12.4828,121.474,0.017026,-56.1331,1.03277e-11,-0.723796,-5.07849,-4.9979,-2.52652,-2.35607,158.045,8276.52,26.4508,11693.1,14830.6,-1.71896,-6.07366,-6.98823,-3.52168,-3.35123,0.677274,8054.85,18.2406,11471.4,0.449483,0.996053,0.00292058,17920.2,-0.00247224,0.692667,12.712,11.4414,121.638,93.001,0.921712,12.7961,12.7667,120.403,144.199,1.23464,-51.1976 
60,202.4,3.475,44.8636,2.02,60,21265.7,-0.19174,48.2559,11.1656,122.113,-0.119968,-20.3775,3.35516e-09,-4.36843,-5.40224,-9.79047,-7.12247,-4.86565,113.679,10489.3,26.9353,13174,17619.5,-5.08424,-6.11805,-11.2221,-7.83827,-5.58146,0.68692,10329.9,21.03,13014.5,0.47996,0.99645,0.0029678,21522.3,-0.00283055,1.11074,11.2651,10.321,122.106,92.3992,1.27842,11.4892,11.6265,121.418,143.129,0.687775,-50.7299 
61,201.6,3.033,44.7386,2.022,61,18250.1,-0.0563046,37.6838,-12.5199,121.577,0.0373388,-5.41893,500,-5.73118,-3.67805,-13.2075,-10.0833,-6.20344,179.486,8907.6,41.0897,11712.6,15365.1,-6.86135,-4.80822,-15.4679,-11.2135,-7.33361,0.66142,8655.85,31.7658,11460.8,0.467577,0.993619,0.00507981,18512.2,-0.00248327,0.764358,12.5996,11.2285,121.889,92.1941,0.930272,12.7851,12.6114,120.32,143.267,1.56892,-51.0727 
62,201.4,2.922,44.7073,2.023,62,20036.8,-0.873161,41.3721,12.9383,121.566,0.399104,-1902.43,430.698,-6.93939,-6.21714,-11.2529,-9.52308,-5.01671,112.127,9097.73,24.1212,13190.6,42142,-7.64542,-6.92318,-12.6649,-10.2291,-5.72274,0.706731,8940.46,18.2964,13033.3,0.443715,0.996431,0.00257931,20149.1,-0.00258367,0.756321,12.8649,11.5529,121.836,92.9708,1.03298,12.8478,12.735,120.352,144.194,1.48372,-51.2235 
63,202.3,3.42,44.848,2.02,63,23258.1,-0.0420074,50.4659,11.3256,121.84,0.0949671,-170.475,500,-7.34412,-4.88063,-5.28063,-3.36764,-10.4081,126.389,10813.8,50.5062,14469.6,19133,-8.13997,-5.67647,-6.87231,-4.16348,-11.2039,0.8094,10636.5,43.9405,14292.3,0.463912,0.992822,0.0056315,22927.9,-0.00228833,1.12295,11.3733,10.3129,121.806,92.1777,1.37851,11.5782,11.5965,121.109,142.766,0.696667,-50.588 
64,202.5,3.53,44.8792,2.019,64,23693.4,0.0498136,52.7399,11.1153,121.697,-0.0408783,-27.8082,1.87593e-11,-7.37248,-3.73327,-1.20567,-3.17592,-2.06655,84.0212,11441.5,31.1298,14672.7,19120.4,-7.90154,-4.26233,-2.26379,-3.70498,-2.59561,0.890787,11323.7,26.7651,14554.8,0.474971,0.995881,0.00337604,23840.8,-0.00290803,1.23857,11.2825,10.0889,121.662,92.4762,1.45278,11.4891,11.3686,121.038,143.162,0.623693,-50.6859 
65,201.9,3.199,44.7855,2.021,65,19795.9,-0.811225,42.3195,12.3333,121.997,-0.502844,787.846,266.284,-8.66837,-8.04334,-8.39443,-0.291346,-4.1165,51.529,9611.66,19.9834,12604.4,29887.3,-8.99283,-8.36781,-9.04336,-0.615811,-4.44096,0.712551,9539.38,17.3066,12532.1,0.469526,0.996835,0.00253745,20317,-0.00276056,0.850195,12.4081,11.2043,122.108,93.0932,1.0761,12.3054,12.2889,120.99,144.071,1.11878,-50.9777 
66,202,3.254,44.8011,2.021,66,20441.8,-0.0962692,44.5658,11.6748,121.829,-0.0278898,-93.3641,6.00153e-13,-5.23838,-8.49948,-8.09897,-0.467915,-3.76562,139.878,9844.15,47.4709,13112.4,17022.1,-6.11915,-9.38026,-9.86051,-1.34869,-4.6464,0.68552,9647.96,40.2045,12916.2,0.464829,0.99276,0.00570125,20755.9,-0.00283202,0.948166,11.8093,10.7934,121.847,92.5753,1.16912,11.9488,12.0963,120.91,143.301,0.936932,-50.7262 
67,201.2,2.812,44.676,2.023,67,21244.1,0.0172606,43.3274,12.3132,121.993,0.0710314,-71.8613,2.52472e-11,-8.22171,-8.23902,-16.8476,-3.90308,-5.99864,113.059,10252.1,38.3026,13306.4,17533.3,-8.93362,-8.95092,-18.2714,-4.61499,-6.71054,0.615189,10093.5,32.4294,13147.8,0.471646,0.994409,0.00452303,21400.7,-0.00266071,0.906246,12.4445,11.1403,122.391,91.8846,1.10477,12.5948,12.3362,120.762,142.614,1.62853,-50.7298 
68,201.1,2.756,44.6603,2.024,68,23070.7,-0.067906,47.1332,12.2457,121.853,-10.5152,3415.04,499.999,-6.2125,-1.87207,-11.9296,-6.01731,-4.84327,74.1231,10882,29.9541,14517.2,1.18778e+06,-6.67923,-2.33881,-12.863,-6.48404,-5.31,0.618026,10778,26.1036,14413.2,0.465103,0.99578,0.00332511,23173.4,-0.00269279,0.957615,12.4277,11.21,122.212,92.1971,1.20187,12.5778,12.351,120.816,143.013,1.39551,-50.8158 
69,202.7,3.641,44.9104,2.019,69,22420.6,-0.354627,51.3929,11.0656,121.802,0.18201,616.727,0.00803407,-8.37828,-4.0795,-6.34467,-4.71311,-3.35036,90.7919,10693.2,16.9476,14267.4,22167,-8.94997,-4.65119,-7.48805,-5.2848,-3.92205,0.752837,10565.8,12.2311,14140,0.464918,0.997978,0.00159089,22726.2,-0.00303592,1.17298,11.136,10.0769,121.772,92.7063,1.46194,11.2866,11.2293,121.198,143.381,0.574098,-50.6748 
70,202.9,3.752,44.9416,2.018,70,22416.9,-0.73417,51.5301,11.1982,121.606,1.29113,2176.87,499.997,-6.97598,-6.65147,-11.9826,-0.462668,-5.56965,157.628,10875.8,28.8212,13905.4,110280,-7.96853,-7.64402,-13.9677,-1.45521,-6.5622,0.628496,10654.7,20.6327,13684.3,0.475165,0.996623,0.00276977,22423.2,-0.00289313,1.21503,11.0859,9.96296,121.634,92.2559,1.43213,11.2929,11.1723,120.964,142.679,0.669512,-50.4226 
71,202.6,3.586,44.8948,2.019,71,18984.2,-0.0451228,45.0279,10.762,121.491,-0.0542428,-15.1176,500,-5.7438,-6.93766,-6.41404,-6.4422,-2.44109,138.201,9294.53,13.3067,12236.4,15801.8,-6.61402,-7.80788,-8.15447,-7.31242,-3.3113,0.754384,9100.69,6.12745,12042.6,0.467726,0.998823,0.000936413,19457.3,-0.00294052,1.0457,10.9726,9.90502,121.328,92.7996,1.29122,11.0778,11.1736,120.833,143.359,0.495791,-50.5591 
72,201.3,2.867,44.6916,2.023,72,19950.2,0.00306323,40.7242,12.2967,122.036,-0.0277996,-77.7853,0.689854,-10.7706,-5.23125,-3.6387,-8.70076,-4.64087,84.1247,9258.32,34.884,12836.1,16372.2,-11.3003,-5.76096,-4.69812,-9.23047,-5.17058,0.870076,9140.33,30.5139,12718.2,0.455242,0.994192,0.0044002,20077.9,-0.002473,0.791347,12.5367,11.4724,122.285,92.8957,1.05335,12.582,12.4504,120.962,143.976,1.32311,-51.0802 
73,201,2.701,44.6446,2.024,73,20825.4,-0.499017,44.162,-12.2223,121.737,0.384221,-319.156,0.00101851,-2.85196,-0.591054,-7.09062,-5.40007,-0.74712,65.8882,9877.07,44.3345,13299.1,21562.9,-3.26684,-1.00593,-7.92038,-5.81495,-1.162,0.586837,9784.65,40.9117,13206.6,0.462798,0.992736,0.00567412,21142.4,-0.00281105,0.918708,12.1776,10.9486,122.077,92.7842,1.13238,12.3544,12.2771,120.526,143.562,1.5514,-50.7776 
74,202.2,3.365,44.8324,2.02,74,20609.8,-0.240192,45.919,-11.3212,121.651,-0.0421817,2611.27,500,-8.4097,-6.07489,-7.9606,-2.56278,-7.52917,103.127,9884.72,26.1786,12946.8,20508.7,-9.05906,-6.72426,-9.25933,-3.21215,-8.17854,0.745856,9740.07,20.8213,12802.2,0.469403,0.996273,0.00298703,20749.9,-0.00260707,1.04824,11.3549,10.1819,121.689,92.6307,1.26483,11.5896,11.432,120.885,143.205,0.804682,-50.5741 
75,201.8,3.143,44.7699,2.022,75,20362.7,-0.0875909,41.6752,12.3074,121.722,0.0194093,-47.4646,500,-2.94164,-1.58706,-8.74938,-0.972609,-5.74159,101.854,9443.81,36.679,13173.5,16727.1,-3.58299,-2.22841,-10.0321,-1.61396,-6.38294,0.579198,9300.95,31.3878,13030.7,0.453543,0.994129,0.0044176,20507.3,-0.00239438,0.820361,12.5365,11.1574,121.954,92.5458,1.07677,12.5061,12.4788,120.62,143.473,1.33434,-50.9269 
76,203,3.807,44.9571,2.018,76,21730.2,-0.282629,50.1057,10.9663,121.76,0.843948,-578.11,500,-3.63735,-7.32787,-11.4582,-8.02671,0.168819,134.97,10536.6,22.6663,13768.6,33769.7,-4.48722,-8.17774,-13.1579,-8.87658,-0.68105,0.628103,10347.3,15.6549,13579.2,0.469787,0.997359,0.00211918,22025.4,-0.00285686,1.19276,10.9685,9.80498,121.673,92.6123,1.43153,11.1992,11.0836,121.158,143.308,0.51463,-50.6959 
77,202.1,3.309,44.8167,2.021,77,20489.1,-0.808993,45.041,11.9104,121.871,-0.0250448,671.346,106.957,-5.0483,-2.53717,-7.26267,-4.80679,-4.92095,126.16,10099.6,33.1071,12841.9,18010.7,-5.8427,-3.33156,-8.85147,-5.60118,-5.71535,0.698337,9922.63,26.5533,12665,0.476717,0.995339,0.00384728,20814.5,-0.00283626,0.993888,11.7394,10.6118,121.77,92.3948,1.16529,12.0269,11.8915,120.951,143.09,0.818955,-50.6947 
78,202.8,3.696,44.926,2.019,78,20567.9,-0.0487756,47.6327,10.8943,121.708,-0.0367567,1.99583,1.88101e-11,-5.80713,3.59642,-13.5184,-6.16435,-0.223109,114.249,10328.1,26.7693,12694.3,16895.1,-6.52653,2.87702,-14.9572,-6.88374,-0.942502,0.434146,10167.9,20.8343,12534.1,0.485406,0.996427,0.00305262,20947.2,-0.00295061,1.15682,11.0033,9.91896,121.64,92.4915,1.30361,11.2841,11.3371,120.998,143.22,0.64251,-50.7287 
79,201.5,2.978,44.7229,2.022,79,19408.9,-0.0550044,39.3929,12.5299,121.93,-0.0298266,247.32,500,-4.91439,-10.538,-13.8911,-1.56986,-5.06157,125.485,9319.55,38.9348,12371.1,16308.1,-5.70453,-11.3282,-15.4714,-2.36001,-5.85171,0.620015,9143.55,32.4161,12195.1,0.465763,0.993834,0.00487269,19631.3,-0.00249535,0.777137,12.6363,11.5834,122.081,92.1388,0.949296,12.9296,12.9339,120.658,143.048,1.4228,-50.9089 
80,201.7,3.088,44.7542,2.022,80,18804.9,-0.856004,39.0205,12.9558,121.901,0.602964,287.927,385.005,-1.53171,-9.33541,-16.2708,-0.966111,-4.23349,170.058,9480.29,36.5857,11797.7,22108.6,-2.60252,-10.4062,-18.4124,-2.03692,-5.30429,0.524992,9241.77,27.7516,11559.2,0.481777,0.994772,0.0044031,19182.7,-0.00267817,0.78515,12.8525,11.4666,121.998,91.875,0.920836,12.911,12.7789,120.881,142.987,1.11758,-51.1124 
81,202.4,3.475,44.8636,2.02,81,23257.6,0.000944416,51.2964,11.3251,121.704,-0.0524338,-22.6291,389.276,-2.32552,-6.20652,-4.68572,-1.27396,-4.70231,126.965,11345.2,48.4204,14196.3,18950,-3.12498,-7.00598,-6.28464,-2.07342,-5.50178,0.73804,11167.2,41.8248,14018.2,0.480871,0.993488,0.00546608,23222.8,-0.00273361,1.17551,11.478,10.3384,121.694,92.0918,1.3541,11.5928,11.6885,120.942,142.786,0.751556,-50.694 
82,201.6,3.033,44.7386,2.022,82,19220.9,-0.400004,39.6668,12.7541,121.846,1.46002,765.601,499.894,1.04025,-1.37654,-9.12365,-7.64908,-5.92425,69.3672,9294.76,20.9618,12485,52857,0.603461,-1.81332,-9.99722,-8.08586,-6.36104,0.610305,9197.47,17.3583,12387.7,0.463327,0.996708,0.00257461,19850.9,-0.00291568,0.775686,12.8367,11.5186,122.139,93.0598,0.962229,12.9636,12.9341,120.726,144.214,1.41296,-51.154 
83,201.4,2.922,44.7073,2.023,83,18775.3,-0.141475,38.7112,12.5216,122.161,0.120238,121.13,0.000129003,-5.88704,-5.48456,-13.1081,-3.98328,-3.08871,121.933,9260.86,34.8006,12068.1,16253.6,-6.65481,-6.25233,-14.6437,-4.75105,-3.85649,0.595013,9089.84,28.4664,11897.1,0.470457,0.994549,0.00438832,19321.3,-0.00278347,0.775237,12.7274,11.498,122.472,92.3852,0.972027,12.7616,12.5186,120.946,143.421,1.52557,-51.0357 
84,202.3,3.42,44.848,2.02,84,20417.1,-0.058567,46.3287,11.2336,121.755,-0.0330523,168.122,500,-3.70771,-4.87663,-6.14859,-1.09395,-5.79307,108.441,9635.78,22.3334,13526.3,17122.9,-4.39053,-5.55945,-7.51423,-1.77678,-6.47589,0.707809,9483.68,16.7001,13374.2,0.451916,0.996928,0.00229493,20985.5,-0.00306934,0.993009,11.4325,10.3597,121.702,93.1075,1.33349,11.5285,11.3976,121.017,143.926,0.684305,-50.818 
85,202.5,3.53,44.8792,2.019,85,22282.6,-0.788351,50.6492,11.3212,121.819,1.05835,-34.875,299.35,-9.37596,-12.0632,-15.1188,-5.70219,-5.92433,160.983,10597.6,17.8689,14165.9,19868,-10.3896,-13.0768,-17.1461,-6.71586,-6.938,0.684038,10371.8,9.50617,13940.1,0.46385,0.998399,0.00125461,22360.3,-0.0028428,1.1528,11.1992,10.0489,121.808,92.4276,1.39619,11.4407,11.4445,121.07,143.193,0.737467,-50.7654 
86,201.9,3.199,44.7855,2.021,86,21464.6,-0.00918908,44.2749,12.1405,121.765,0.0481996,-59.0968,500,-5.80089,-10.6294,-4.28214,-4.75552,-10.0966,102.991,10144.3,32.8702,13620.2,17590.7,-6.4494,-11.2779,-5.57916,-5.40403,-10.7451,0.858596,9999.84,27.52,13475.8,0.463191,0.995207,0.00374782,21589,-0.00253272,0.916749,12.2278,11.0236,122.065,92.336,1.1353,12.4596,12.3461,120.761,143.275,1.30354,-50.9394 
87,202,3.254,44.8011,2.021,87,19654.8,-0.000816215,42.5402,-11.851,121.916,-0.00876422,-6.13953,7.94337e-11,-7.34929,-3.83058,-13.5418,-1.5101,-4.42031,133.704,9819.26,34.8777,12526.5,16413.3,-8.19119,-4.67247,-15.2255,-2.352,-5.26221,0.573555,9631.72,27.9321,12338.9,0.4758,0.994951,0.00415273,20243.2,-0.00304057,0.922562,12.0458,10.8779,121.977,92.8621,1.10974,12.2184,11.9622,120.957,143.701,1.01996,-50.8394 
88,201.2,2.812,44.676,2.023,88,20301.6,-0.811866,42.6633,12.4943,121.776,-0.279315,1047.57,375.903,-7.5618,-7.28284,-11.0589,-6.31404,-9.96466,115.967,9824.93,45.4802,12833.3,26877.7,-8.29201,-8.01305,-12.5194,-7.04425,-10.6949,0.731134,9662.27,39.4559,12670.7,0.469977,0.992905,0.00570352,20559,-0.00252984,0.89728,12.1732,10.9493,122.176,91.8876,1.07089,12.4616,12.3135,120.614,142.54,1.5624,-50.6526 
89,201.1,2.756,44.6603,2.024,89,19569.6,-0.257848,43.5153,11.8333,122.169,-0.177274,154.776,86.981,-1.21069,-6.53775,-13.1158,-7.09869,-8.98261,103.609,9870.01,26.0511,12383.7,17655.8,-1.86309,-7.19015,-14.4206,-7.75109,-9.63501,0.647073,9724.69,20.6688,12238.4,0.480239,0.996294,0.0031014,20249.7,-0.0030197,0.922516,12.1791,10.7969,122.215,92.2269,1.0752,12.2534,12.178,120.667,143.065,1.54817,-50.8385 
90,202.7,3.641,44.9104,2.019,90,18599.6,-0.286728,44.3912,-10.9133,121.827,-0.0394174,143.372,0.847477,-5.46365,-8.20785,-7.65041,-2.09866,-3.12877,141.272,9496.92,30.9223,11725.8,15954.5,-6.3532,-9.0974,-9.42951,-2.98821,-4.01832,0.70428,9298.77,23.5835,11527.7,0.483994,0.995581,0.00375446,19212.6,-0.00294812,1.08105,10.7864,9.90844,121.711,92.2417,1.23247,11.2277,11.0806,121.056,142.759,0.655698,-50.5173 
91,202.9,3.752,44.9416,2.018,91,21193.6,-0.821334,49.7316,-11.1289,122.008,0.829162,114.812,227.577,-7.05178,-2.87548,-12.0157,-7.8834,-2.801,164.502,10460.8,37.7741,13402.5,21115.9,-8.08761,-3.9113,-14.0873,-8.91922,-3.83683,0.63732,10230.1,29.2286,13171.8,0.474541,0.995025,0.00407103,21557.9,-0.00307205,1.17244,10.9002,9.95814,121.82,92.0582,1.3959,11.3458,11.057,121.276,142.67,0.544253,-50.6119 
92,202.6,3.586,44.8948,2.019,92,20261.1,-0.256066,47.2553,11.0068,121.882,-3.43595,-1094.58,499.848,-4.07387,-4.52092,-8.71868,-5.78973,-8.28947,130.453,10202.4,29.6246,12725.2,139362,-4.8953,-5.34235,-10.3615,-6.61116,-9.1109,0.714725,10019.5,22.8478,12542.2,0.481572,0.996025,0.00334449,20805.7,-0.003007,1.1363,10.9902,9.94815,121.699,91.9987,1.30487,11.2872,11.2582,121.173,142.453,0.526057,-50.4545 
93,201.3,2.867,44.6916,2.023,93,19661.3,-0.049459,41.1398,12.1895,122.006,-0.0225165,-1.18652,500,0.670929,0.310747,2.98963,-4.8486,-1.29082,101.409,9505.18,44.8979,12493.1,16325.4,0.0323855,-0.327796,1.71254,-5.48714,-1.92937,1.28545,9362.94,39.63,12350.9,0.468505,0.992647,0.00587598,19984.7,-0.002588,0.839223,12.3871,11.181,122.362,92.4007,1.02216,12.5747,12.4986,120.775,143.578,1.58706,-51.1769 
94,201,2.701,44.6446,2.024,94,20599.1,-0.0655062,45.6198,-11.5556,122.078,-0.0720078,19.0308,18.9752,-6.50543,-6.52048,-10.7929,-1.7156,-6.56708,173.294,10171.7,35.7034,13056.3,17205.5,-7.59662,-7.61167,-12.9752,-2.80679,-7.65827,0.664277,9928.65,26.7011,12813.2,0.473967,0.995316,0.00382404,20948,-0.00282805,0.977414,11.9448,10.6308,122.262,92.3227,1.16446,11.9521,12.0416,120.822,143.123,1.43993,-50.8006 
95,202.2,3.365,44.8324,2.02,95,19912.4,0.0577256,44.5574,-11.188,121.46,-0.0487184,-54.3488,1.01721e-11,-4.11419,-0.431192,-9.7079,-5.07418,-9.58686,199.848,9599.83,39.5055,12713.4,16314.2,-5.37258,-1.68958,-12.2247,-6.33257,-10.8452,0.664753,9319.52,29.1238,12433,0.465698,0.994561,0.00429649,20011.9,-0.00261076,1.02015,11.2874,10.128,121.464,91.9303,1.24018,11.5688,11.4064,120.631,142.504,0.832844,-50.5733 
96,201.8,3.143,44.7699,2.022,96,19923.1,-0.891288,42.3934,12.5924,121.924,1.14766,-223.308,16.6678,-6.58131,-7.12117,-11.2161,-1.8258,-7.03939,153.449,9888.06,36.7192,12621,25720.9,-7.54754,-8.08739,-13.1485,-2.79203,-8.00562,0.667808,9672.84,28.7478,12405.8,0.475514,0.994826,0.00425053,20341.8,-0.0028142,0.868592,12.5427,11.0927,122.032,91.9917,1.05937,12.3865,12.3748,120.861,142.688,1.17133,-50.6958 
97,203,3.807,44.9571,2.018,97,18958.4,-0.0964715,45.3033,10.7447,121.4,-0.123394,111.472,4.2531e-12,-5.29323,-5.49334,-5.2152,-5.34281,-7.94783,140.304,9463.02,18.7698,12185.3,16293.7,-6.17669,-6.3768,-6.98212,-6.22627,-8.83129,0.798165,9266.23,11.4813,11988.5,0.473339,0.997836,0.00176107,19576.3,-0.00309859,1.09688,10.816,9.69196,121.274,92.3596,1.3254,11.1183,10.8829,120.648,142.966,0.626125,-50.6061 
98,202.1,3.309,44.8167,2.021,98,16894.7,0.0508699,38.3693,11.3475,121.638,0.0129555,-63.7173,500,-2.71602,-4.90566,-17.2115,-2.02197,-2.77182,47.0907,8604.05,13.1829,10831.9,14200.5,-3.01253,-5.20218,-17.8045,-2.31849,-3.06834,0.433087,8538,10.7366,10765.9,0.479753,0.997804,0.00183373,17796.6,-0.00288737,0.859552,11.7161,10.4988,121.666,92.8077,1.03707,11.6807,11.673,120.776,143.587,0.889882,-50.7793 
99,202.8,3.696,44.926,2.019,99,19148.3,-0.00873642,45.6939,10.7426,121.982,-0.0545171,7.87367,500,-7.19422,-5.44905,-11.6981,-3.66356,-2.69778,171.108,9905.19,25.83,11906.8,15993.5,-8.27164,-6.52647,-13.853,-4.74097,-3.7752,0.62728,9665.2,16.9413,11666.8,0.490652,0.996942,0.00266777,19698.7,-0.00308899,1.13744,10.9248,9.78145,121.817,92.0801,1.25595,11.1394,11.1505,121.293,142.622,0.524518,-50.5415 
100,201.5,2.978,44.7229,2.022,100,17979,-0.824765,37.3661,-12.9545,121.554,-0.793563,315.56,123.355,-2.94473,-12.2458,-8.34785,-9.30481,-1.46591,163.805,8680.5,37.4112,11655,23909.6,-3.97617,-13.2772,-10.4107,-10.3362,-2.49735,0.742931,8450.75,28.9018,11425.2,0.462385,0.994051,0.00463827,18276.4,-0.00260816,0.727363,12.7461,11.4078,121.741,92.6754,0.905511,13.0285,12.7809,120.262,143.956,1.47874,-51.2804 
101,201.7,3.088,44.7542,2.022,101,21547.7,-0.0745416,43.1482,-12.5444,121.582,0.131188,-59.3716,500,-3.53789,-1.91076,-2.04616,-5.78679,-1.95756,78.47,10273.1,43.1961,13657.1,17873.6,-4.032,-2.40486,-3.03437,-6.2809,-2.45167,0.833311,10163.1,39.1197,13547,0.465908,0.993309,0.00529131,21813.5,-0.00261079,0.83066,12.8931,11.7508,121.593,93.0148,1.04414,12.8681,12.985,120.409,144.511,1.18444,-51.4965 
102,202.4,3.475,44.8636,2.02,102,20282.9,-0.856439,47.463,11.3288,121.677,-1.55362,4701.86,301.549,-1.0624,-6.16415,-15.6856,-7.2926,-1.47877,148.648,10188.2,43.3939,12852.7,255303,-1.99839,-7.10015,-17.5576,-8.22859,-2.41477,0.52928,9979.7,35.6719,12644.2,0.478557,0.993784,0.00517009,20853.7,-0.00312577,1.10923,11.168,10.0325,121.726,92.0749,1.29891,11.4052,11.3191,120.898,142.503,0.827494,-50.4277 
103,201.6,3.033,44.7386,2.022,103,20732.1,-0.278222,41.7218,12.8728,121.811,-0.152018,132.293,4.66397e-12,-3.91885,-5.44144,-7.75234,-3.63585,-1.40905,153.257,10145.8,37.9357,13099.6,18138.2,-4.88387,-6.40646,-9.68237,-4.60087,-2.37407,0.653553,9930.84,29.9743,12884.7,0.472635,0.994746,0.00426711,21011.6,-0.00274612,0.829037,12.9143,11.5412,121.802,92.0269,0.988473,13.1254,12.9977,120.625,143.312,1.17774,-51.2848 
104,201.4,2.922,44.7073,2.023,104,18171,-0.0440038,36.901,-12.7237,121.486,0.0280824,-0.294943,500,-7.0287,-9.11623,-9.42053,-9.74816,-8.90611,179.007,8547.74,53.2364,12109.4,15284.6,-8.15587,-10.2434,-11.6749,-10.8753,-10.0333,0.771004,8296.66,43.9373,11858.3,0.448594,0.990817,0.00677908,18494.8,-0.00268812,0.70279,12.9844,11.4664,121.787,92.1572,0.933024,12.9817,12.8277,120.226,142.935,1.56109,-50.7779 
