cyc,field,2,3,4,5,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
10,202.05,3.28,44.8089,2.027,43.2065,10,21907.3,-0.0402041,45.2219,11.9275,120.612,0.0339883,2.30915,500,-8.89634,-6.56895,-8.77141,-5.8659,-4.94932,57.5508,10293.4,63.6014,13923.1,17561.3,-9.25872,-6.93133,-9.49617,-6.22828,-5.3117,0.744906,10212.7,60.6117,13842.3,0.520378,0.989721,0.00800152,19625.4,-0.0026975,0.957603,12.2382,10.9228,120.925,87.0647,1.17853,12.2881,12.2856,119.521,136.803,1.404,-49.7385 
11,202.4,3.471,44.8636,2.025,43.3076,11,23188.2,-0.681542,50.7978,11.4531,120.428,0.832511,-199.947,428.455,-8.67718,-3.02699,-10.2146,-4.45389,-1.30484,51.0255,11252.5,49.6763,14289,24358.1,-8.99847,-3.34828,-10.8572,-4.77518,-1.62614,0.633268,11181,47.0256,14217.5,0.536287,0.992694,0.00605604,20848.8,-0.00277341,1.20186,11.4209,10.1183,120.658,87.6296,1.39578,11.5775,11.3734,119.474,137.384,1.18367,-49.7546 
12,201.8,3.144,44.7699,2.029,43.1343,12,17016.7,-0.0166271,35.4791,12.33,120.735,0.0106623,-18.6298,0.261117,-5.93697,-4.97877,-2.58797,-1.0854,-1.736,39.6431,7939.6,51.3901,11650.4,14247.1,-6.18659,-5.22839,-3.08721,-1.33502,-1.98563,0.826783,7884,49.3307,11594.8,0.499986,0.989169,0.0077764,15768.5,-0.00294558,0.677985,12.846,11.3599,121.302,87.1528,0.946032,12.604,12.6217,119.577,136.869,1.72495,-49.7158 
13,202.15,3.335,44.8246,2.026,43.2354,13,21524,-0.718133,46.8552,11.7287,120.52,1.98483,-724.872,64.503,-2.10837,-3.65974,-3.47278,-9.34284,-3.53237,46.0562,10281.6,50.5278,13734.5,64725.6,-2.39837,-3.94975,-4.05279,-9.63285,-3.82238,0.830115,10217,48.1353,13669.9,0.523611,0.991823,0.00644472,19512.5,-0.00298686,1.04279,11.8107,10.365,120.721,87.3498,1.2608,11.8975,11.839,119.595,137.062,1.12549,-49.712 
14,202,3.253,44.8011,2.027,43.1921,14,17284.5,-0.765669,38.4482,12.0233,121.017,0.308549,28.8299,458.915,-8.77764,-3.44359,-4.32489,-1.38868,-1.00845,41.376,8413.78,27.2901,11509.5,15338.1,-9.03818,-3.70412,-4.84596,-1.64922,-1.26899,0.763686,8355.74,25.1407,11451.5,0.517616,0.994762,0.0040279,16142.7,-0.00316197,0.804975,12.1105,10.826,121.458,87.1614,1.03174,12.1342,11.9962,119.88,137.098,1.57838,-49.937 
15,202.3,3.417,44.848,2.025,43.2788,15,22917.4,-0.215802,49.5208,11.5102,120.537,0.00963138,-11.8763,480.682,-7.75422,-6.36413,-10.6622,-1.26031,-0.70196,36.7349,11085.6,51.2383,14400.3,18558.9,-7.98553,-6.59544,-11.1248,-1.49162,-0.93327,0.604531,11034.1,49.33,14348.8,0.530708,0.992237,0.00629315,20791.3,-0.0029627,1.17249,11.5235,10.161,120.594,87.1153,1.38078,11.6443,11.4875,119.549,136.8,1.04435,-49.6852 
16,202.25,3.389,44.8402,2.026,43.2643,16,20471.8,-0.100354,44.7738,-11.3268,120.132,-0.0258584,26.7681,10.1867,-12.8041,-3.93148,-7.91272,-5.76718,-2.12785,43.7193,9828.57,48.0089,13023.9,16531.7,-13.0794,-4.20677,-8.4633,-6.04247,-2.40314,0.752499,9767.25,45.7377,12962.6,0.525635,0.991872,0.00645778,18581.8,-0.00281131,1.02301,11.5413,10.2981,120.437,87.2638,1.24319,11.6719,11.6003,119.273,136.912,1.16389,-49.6484 
17,201.9,3.199,44.7855,2.028,43.1632,17,17638.7,-0.0860605,36.7547,12.1202,120.995,0.0391032,1.76573,499.997,-8.54067,-5.87148,-9.96112,-2.58316,1.96189,24.5274,8457.95,43.2405,11526.5,14503.9,-8.69511,-6.02592,-10.27,-2.73761,1.80745,0.603799,8423.55,41.9663,11492.1,0.518749,0.991357,0.00668194,16238.2,-0.00273212,0.758632,12.4911,11.1205,121.327,87.2135,0.943433,12.6269,12.4839,119.799,137.211,1.52849,-49.9977 
18,202.2,3.362,44.8324,2.026,43.2499,18,23629.8,-0.155326,49.1325,11.7401,120.564,-0.123222,151.141,0.00676815,-3.96988,-3.08769,-9.94295,-0.788024,0.608791,47.7402,10974.9,52.3874,14878,19383.8,-4.27048,-3.3883,-10.5442,-1.08863,0.308184,0.444558,10907.9,49.9074,14811.1,0.519934,0.992057,0.00616886,20979.5,-0.00265553,1.07664,12.0006,10.5548,120.859,87.0734,1.3237,12.0165,11.95,119.599,136.974,1.25994,-49.9002 
19,201.85,3.171,44.7777,2.028,43.1487,19,18051.6,-0.168453,37.0224,12.2664,120.786,0.128179,-126.352,500,-4.1517,-6.3686,-6.48608,-1.57368,-2.64178,11.5519,8623.5,56.7792,11616.1,15310.8,-4.22443,-6.44134,-6.63156,-1.64642,-2.71452,0.693809,8607.29,56.1791,11599.9,0.521806,0.988707,0.00884257,16495.2,-0.00248276,0.750809,12.5742,11.3344,121.298,86.94,0.93215,12.498,12.7629,119.643,136.774,1.65508,-49.8337 
20,201.95,3.226,44.7933,2.028,43.1776,20,20156.6,-0.0503466,41.1185,12.1029,120.844,-0.0701198,95.0375,499.996,0.325251,-2.14054,-9.58896,-4.69771,2.00516,51.4938,9519.71,61.1566,12730,16417.2,0.00100886,-2.46478,-10.2374,-5.02195,1.68092,0.361845,9447.49,58.4816,12657.8,0.523267,0.989283,0.00843907,18054.8,-0.00240553,0.856879,12.4636,11.0325,121.313,87.6548,1.07339,12.3711,12.2443,119.736,137.587,1.57635,-49.9322 
21,202.1,3.308,44.8167,2.027,43.221,21,22087.6,-0.676533,46.8777,11.8712,120.964,0.718984,-11.953,38.0425,-7.36219,-3.31829,-11.6402,-4.46956,1.49195,6.17086,10446.7,55.2132,13922.3,18395.6,-7.40105,-3.35715,-11.7179,-4.50842,1.4531,0.54104,10438.1,54.8927,13913.7,0.524543,0.990881,0.0072151,19899.4,-0.00269338,1.02153,11.9331,10.6142,121.259,87.6168,1.22356,11.9962,12.174,119.968,137.628,1.2906,-50.0111 
22,202.35,3.444,44.8558,2.025,43.2932,22,25398.9,-0.0215197,53.8578,11.4083,120.457,-0.0314637,2.20836,500,-8.32612,-5.69768,-5.63971,-3.07604,0.239902,52.6904,12481.4,60.3519,15357.6,20003.9,-8.6579,-6.02945,-6.30327,-3.40782,-0.0918754,0.742622,12407.5,57.6147,15283.7,0.544178,0.991939,0.00689625,22800.5,-0.0029208,1.29962,11.616,10.2627,120.677,87.1003,1.42372,11.744,11.7754,119.41,136.831,1.26731,-49.7305 
23,202.05,3.28,44.8089,2.027,43.2065,23,20644.8,-0.295608,43.6513,11.889,120.764,-0.106154,-990.788,499.331,-7.97769,-6.51704,-6.3121,-1.72142,-3.47368,66.8613,9686.75,37.0983,13260,20318.1,-8.3987,-6.93804,-7.15411,-2.14243,-3.89469,0.749225,9592.97,33.625,13166.2,0.517253,0.993903,0.00468249,18546,-0.00272363,0.934308,12.0543,10.6954,121.196,88.2684,1.15633,12.078,12.198,119.769,138.529,1.42699,-50.261 
24,202.4,3.471,44.8636,2.025,43.3076,24,27347.6,0.0063207,57.8382,11.2611,120.757,-0.145746,66.8417,499.338,-5.53742,-3.65727,-7.1678,-4.22106,-2.66128,13.4942,13158.1,66.1513,16376.5,21519.7,-5.62239,-3.74224,-7.33774,-4.30603,-2.74625,0.691103,13139.2,65.4503,16357.5,0.541547,0.991358,0.00731676,24262.3,-0.00254039,1.3734,11.4653,10.301,121.162,87.7035,1.54359,11.6498,11.5786,119.793,137.469,1.36915,-49.7654 
25,201.8,3.144,44.7699,2.029,43.1343,25,16085.3,-0.611864,33.4901,12.5278,120.687,0.115655,221.247,9.31791e-10,-4.81419,-5.37368,-6.42988,-1.87773,-0.948368,16.6636,7612.18,38.1778,10558.3,14490.9,-4.91911,-5.4786,-6.63973,-1.98265,-1.05329,0.669227,7588.81,37.3122,10534.9,0.514406,0.991469,0.006482,14752.6,-0.00225583,0.661334,12.7083,11.141,121.072,86.9001,0.850468,12.4453,12.7369,119.558,137.134,1.51421,-50.2335 
26,201.7,3.089,44.7542,2.029,43.1054,26,18275.9,-0.026213,35.7431,12.5906,120.489,0.0052692,-12.7444,500,-5.59073,-7.57188,-14.1536,-4.80014,-1.65152,52.7792,8434.58,56.7309,11862.3,14652.1,-5.92307,-7.90422,-14.8183,-5.13248,-1.98385,0.58564,8360.55,53.9891,11788.3,0.510518,0.988825,0.00836605,16376.6,-0.00228469,0.676327,13.1125,11.7562,121.053,87.2354,0.883037,12.9453,13.2475,119.287,137.578,1.76581,-50.343 
27,201.6,3.035,44.7386,2.03,43.0765,27,17970.2,-0.0386181,35.3101,12.7545,120.676,0.0142071,92.7894,500,-2.47157,-4.75824,-7.83156,-0.259158,-1.91861,86.101,8638.23,56.9996,11587.2,14703.8,-3.01372,-5.30039,-8.91587,-0.801312,-2.46077,0.564911,8517.46,52.5268,11466.4,0.522076,0.989323,0.00836795,16314.6,-0.00253917,0.702705,13.1923,11.6457,121.279,87.1558,0.890938,12.8886,12.8469,119.269,137.129,2.00953,-49.9729 
28,202.5,3.526,44.8792,2.024,43.3365,28,23112.1,-0.186268,51.1277,10.971,120.629,0.287219,-86.0405,0.118107,-8.90948,-3.72558,-11.2845,-2.70566,-1.8647,40.712,11253.8,54.0823,14001,19064.4,-9.16583,-3.98193,-11.7973,-2.96202,-2.12105,0.607126,11196.7,51.9674,13943.9,0.541466,0.991943,0.00681853,20678.6,-0.00251939,1.25551,11.1332,9.95501,120.88,87.1558,1.37875,11.3367,11.4563,119.74,136.856,1.14015,-49.6998 
29,202.6,3.58,44.8948,2.023,43.3654,29,24296.8,-0.0166561,53.2488,11.0253,120.746,0.133382,-200.944,9.43458e-10,-8.49509,-7.53503,-12.3205,-3.55278,1.07409,1.73819,11981.8,52.8702,14570.8,19983.9,-8.50603,-7.54598,-12.3424,-3.56373,1.06314,0.600505,11979.3,52.7799,14568.4,0.547356,0.992349,0.00662954,21885.8,-0.00278608,1.33051,11.209,10.0173,121.043,86.836,1.44159,11.3982,11.3832,119.837,136.318,1.20527,-49.4824 
30,202.7,3.635,44.9104,2.023,43.3942,30,27740.4,-0.153519,58.895,11.2559,120.735,0.0118784,71.5481,500,-8.4883,-8.64329,-6.63415,-3.92308,-1.65359,17.5073,13224.7,60.6786,16582.5,21607.7,-8.59854,-8.75353,-6.85463,-4.03332,-1.76383,0.771542,13200.1,59.7691,16557.9,0.539672,0.992138,0.00660551,24459.5,-0.00266045,1.42352,11.4641,10.0982,120.969,86.9041,1.60626,11.5659,11.4169,119.816,136.417,1.15286,-49.513 
