cyc,field,wiggle time,wait time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
11,202.074,0.27,0.31,43.2125,11,16747.1,-0.0271737,36.7474,-11.8744,121.175,-0.0375079,4.6538,500,-8.51798,-3.4853,-7.19602,-2.63596,0.537033,216.872,10827.7,29.1493,8674.6,14210.4,-9.88356,-4.85088,-9.92718,-4.00154,-0.828549,0.663391,10523.5,17.8832,8370.42,0.593809,0.997035,0.00392019,17722.1,-0.00288172,1.00611,12.1707,10.8411,121.01,92.0914,0.758784,12.0442,12.3094,120.376,143.394,0.634143,-51.303 
12,202.003,0.02,0.56,43.1967,12,14852.7,-0.0201725,32.2582,12.006,121.056,-0.00610119,7.21717,500,-3.58047,-2.0038,-5.91218,-7.16258,-5.36303,162.201,9842.92,14.0592,7476.22,12609.1,-4.60181,-3.02514,-7.95485,-8.18392,-6.38437,0.736158,9615.41,5.63314,7248.72,0.606677,0.998976,0.00142949,15849.3,-0.00269015,0.917739,12.2171,10.8042,120.882,91.3587,0.6409,12.2134,12.5495,120.088,142.507,0.793931,-51.1481 
13,202.139,0.31,0.27,43.2268,13,16325.8,-0.473977,36.3086,-11.9934,121.01,0.346815,-94.1354,6.46564e-05,1.97801,-0.983247,-5.71798,-4.9419,-2.41548,149.52,10437,23.5509,8432.39,15238.6,1.03652,-1.92473,-7.60095,-5.88339,-3.35696,0.571283,10227.3,15.7836,8222.67,0.591214,0.997307,0.00352351,17298.8,-0.0027764,1.01424,11.9207,10.642,120.874,91.6634,0.747346,12.1744,12.0848,120.01,142.503,0.863819,-50.8401 
14,202.033,0.25,0.33,43.2034,14,17723.1,-0.47576,38.5266,12.2284,121.053,0.385734,-295.943,0.0378674,-2.29014,-7.41407,-6.73808,-9.04771,0.198304,179.564,11262.6,47.5489,9105.73,19052.6,-3.4208,-8.54474,-8.99941,-10.1784,-0.932363,0.719432,11010.7,38.221,8853.88,0.591178,0.993962,0.00788937,18625.1,-0.00292794,1.02142,12.3208,11.0679,120.845,91.1481,0.751071,12.2676,12.8678,120.091,142.078,0.753493,-50.9304 
15,202.07,0.37,0.21,43.2117,15,13206,-0.0831468,30.5191,11.6547,120.934,-0.0105177,124.984,5.28131,-5.76176,-3.74974,-9.16635,0.651663,-5.81696,137.791,8968.01,14.2524,6968.01,11621.7,-6.62939,-4.61737,-10.9016,-0.215973,-6.68459,0.624715,8774.74,7.09445,6774.75,0.600968,0.998587,0.00192532,14601,-0.00281737,0.893506,11.7421,10.4532,120.869,91.3734,0.653748,11.802,11.8313,120.103,142.037,0.765854,-50.6634 
16,202.129,0.3,0.28,43.2247,16,16226.9,-0.731564,36.7333,12.0196,121.19,-0.760872,144.702,0.01088,-2.57592,-3.00329,-8.78341,-5.87319,1.3761,192.47,10192.7,34.7256,8576.07,17957,-3.78786,-4.21523,-11.2073,-7.08513,0.164168,0.571117,9922.73,24.7272,8306.11,0.581433,0.995658,0.00545401,17066,-0.00276685,0.987362,11.9269,10.6933,120.994,92.5803,0.773174,11.7471,12.2597,120.325,143.826,0.668651,-51.2461 
17,202.017,0.04,0.54,43.1999,17,16416.4,-0.340797,36.2069,12.0312,120.945,0.341318,112.199,0.0145132,-5.44476,-3.48182,-4.96873,-2.57622,-5.79751,192.522,10766.8,24.2917,8177.69,15427.3,-6.65702,-4.69408,-7.39325,-3.78848,-7.00977,0.749743,10496.7,14.2905,7907.66,0.606841,0.997623,0.00331796,17297.3,-0.00281086,0.994727,12.1565,10.9554,120.869,92.2898,0.704577,12.1399,12.595,120.064,143.464,0.805065,-51.1738 
18,202.017,0.24,0.34,43.1999,18,16740.1,-0.104503,36.6565,11.9626,121.233,-0.454737,-238.434,500,-5.42331,-4.71724,-4.74733,-4.94727,-4.35819,145.264,11022.9,27.8569,8511.07,17804.4,-6.338,-5.63192,-6.5767,-5.86196,-5.27288,0.778424,10819.1,20.3108,8307.33,0.602286,0.996725,0.00448361,17963.4,-0.00299562,1.03091,12.011,10.9411,120.924,91.4503,0.723384,12.3154,12.4895,120.222,142.354,0.702159,-50.9035 
19,202.138,0.13,0.45,43.2266,19,15458.2,-0.0632237,34.2246,11.8428,121.281,0.0272078,7.31561,500,-3.08013,-10.8442,-12.703,-8.27612,-3.513,186.163,10365.9,29.4757,7774.18,13200.8,-4.25235,-12.0164,-15.0474,-9.44833,-4.68522,0.668922,10104.8,19.8049,7513.07,0.609971,0.996582,0.00483244,16566.1,-0.002867,0.986828,12.1242,10.6648,121.233,91.7148,0.68573,12.0665,12.2846,120.443,142.67,0.790678,-50.955 
20,202.049,0.38,0.2,43.207,20,13654.1,-0.0443608,31.598,11.649,120.818,0.00448107,-4.69964,500,-8.39635,-6.84025,-7.17341,-5.25745,-13.1107,206.811,9076.81,29.9423,7388.42,11983.1,-9.69858,-8.14248,-9.77788,-6.55969,-14.413,0.798774,8786.74,19.1989,7098.34,0.590058,0.996191,0.00495764,14891.3,-0.00294966,0.870458,11.8925,10.8038,120.748,92.0097,0.649823,11.9396,12.4306,119.824,142.806,0.923853,-50.7962 
