cyc,field,wiggle time,wait time,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
120,202.003,0.22,0.36,43.1967,120,15417.8,-0.663558,34.2355,12.1551,121.436,1.79578,1160.7,494.727,-3.53913,-4.87939,-6.66522,-6.83372,-10.0194,114.076,9958.9,29.6822,8031.91,81399.4,-4.25743,-5.59769,-8.10183,-7.55203,-10.7377,0.776481,9798.89,23.7562,7871.91,0.591409,0.995775,0.00552845,16568.7,-0.00265493,0.952073,11.8876,10.7626,121.188,91.6154,0.690705,12.215,12.3263,120.569,142.463,0.619017,-50.8477 
121,202.005,0.01,0.57,43.1974,121,13390.2,-0.746979,31.3481,12.1106,121.386,-0.07066,1050.97,485.355,-6.39977,-6.46666,-9.34402,1.71082,-2.76016,119.854,8853.46,26.6489,7348.15,14776.2,-7.15446,-7.22135,-10.8534,0.956132,-3.51485,0.60942,8685.36,20.4227,7180.04,0.584471,0.995902,0.00521232,14860.2,-0.00304518,0.856155,12.0568,10.6181,121.28,92.1741,0.657,12.0288,12.2448,120.472,143.249,0.808398,-51.0745 
122,202.114,0.29,0.29,43.2214,122,15165.6,-0.830005,34.929,12.1259,121.178,0.604122,2263.4,276.853,-9.20048,-4.50377,-12.2145,-6.01055,-2.08193,102.708,10036.5,37.4832,7948.65,58300.3,-9.8472,-5.1505,-13.508,-6.65728,-2.72865,0.64351,9892.42,32.1478,7804.59,0.595772,0.994345,0.00753065,16604.4,-0.00296204,0.972743,11.8869,10.6649,120.935,91.727,0.709042,12.0115,12.1717,120.256,142.653,0.678166,-50.9257 
123,202.111,0.35,0.23,43.2208,123,14545.4,0.0263002,33.4445,11.6721,121.22,-0.0139455,22.6055,0.0079163,-3.50452,-7.84493,-7.06211,-5.42858,-2.413,146.539,9663.57,29.3196,7827.67,12718,-4.42724,-8.76765,-8.90754,-6.35129,-3.33572,0.719796,9458.04,21.7071,7622.13,0.590645,0.996,0.00521877,16013.1,-0.00316105,0.917665,12.0486,10.7963,121.046,92.1496,0.702383,11.8289,12.3696,120.273,143.162,0.773525,-51.0119 
124,202.052,0.26,0.32,43.2077,124,14970.4,-0.304733,34.951,11.5058,120.786,-0.0125277,181.208,125.383,-4.21131,-9.7526,-15.8199,-6.34226,-3.80029,145.799,9867.44,40.1043,8174.68,13164.8,-5.12937,-10.6707,-17.656,-7.26032,-4.71835,0.611398,9662.94,32.5303,7970.18,0.58502,0.994143,0.00746245,16517.3,-0.00323217,0.935324,12.166,10.6739,121.026,91.3847,0.733019,11.9775,12.1733,120.284,142.073,0.742242,-50.6886 
125,202.114,0.09,0.49,43.2214,125,13014.9,-0.212081,30.8691,11.5642,121.288,0.0601635,-72.718,8.62002e-08,-1.62594,-4.63124,-10.8612,-4.85657,-4.02086,136.145,8804.45,25.6825,7094.14,11763.2,-2.48321,-5.48851,-12.5757,-5.71384,-4.87813,0.596148,8613.5,18.61,6903.19,0.591983,0.996233,0.00494152,14550.2,-0.00303904,0.872977,11.744,10.5872,121.161,92.3468,0.652051,11.855,12.0503,120.32,143.239,0.840547,-50.8922 
126,202.074,0.07,0.51,43.2125,126,14827.5,-0.049032,32.9578,11.7708,121.317,-0.00165479,-1.01741,500,-2.97958,-2.05912,-13.5792,-5.76135,-2.1595,127.081,9696.52,33.2332,7789.63,12628.8,-3.77977,-2.85931,-15.1796,-6.56154,-2.95969,0.515646,9518.27,26.6316,7611.39,0.59252,0.995127,0.0064041,16064.1,-0.00279994,0.909465,12.1307,10.8398,121.034,92.131,0.698296,11.8901,12.1641,120.449,143.126,0.584447,-50.9947 
127,202.03,0.19,0.39,43.2027,127,13988.1,-0.0234445,33.1101,11.5667,121.133,0.0201899,-54.2855,4.57486e-08,-4.44589,-1.23788,-7.76709,-4.88404,-5.3876,217.44,9522.33,35.9191,7510.45,12502.7,-5.81505,-2.60703,-10.5054,-6.2532,-6.75676,0.671063,9217.35,24.6236,7205.47,0.597983,0.995347,0.00625572,15414.1,-0.00332963,0.918527,11.9701,10.8018,121.081,92.079,0.680424,11.8909,12.2222,120.222,143.058,0.859046,-50.9785 
128,202.092,0.36,0.22,43.2165,128,15078.2,0.021961,34.3268,11.61,121.143,-0.0362216,-21.4136,500,-3.10875,-5.61239,-10.5925,-4.33367,0.465613,148.64,10120.5,44.7981,7705.09,12998.8,-4.0447,-6.54834,-12.4644,-5.26962,-0.470334,0.567169,9912.05,37.0766,7496.61,0.605903,0.993497,0.00902839,16359.1,-0.00297712,0.996687,11.7392,10.6864,120.973,91.5703,0.693203,12.0444,12.1069,120.213,142.433,0.760388,-50.8624 
129,202.052,0.06,0.52,43.2077,129,15933.5,-0.775426,35.5155,12.2201,121.405,0.0733865,-296.516,374.36,-7.23911,-1.81265,-10.3991,-6.72986,-5.73849,210.565,10371.7,32.625,8249.19,14836.6,-8.56499,-3.13853,-13.0508,-8.05574,-7.06436,0.672702,10076.4,21.6865,7953.85,0.595647,0.996248,0.00499748,16916.7,-0.00281053,0.972395,12.0308,10.85,121.11,91.7863,0.723524,12.1648,12.1974,120.474,142.724,0.636134,-50.9373 
130,202.127,0.14,0.44,43.2243,130,17079.4,-0.782167,37.4768,12.2659,121.394,0.352326,295.302,344.549,-1.37656,-2.8025,-6.50873,-7.78772,-7.77366,165.498,10906.5,41.1019,8778.36,18351.3,-2.41865,-3.84459,-8.59292,-8.82982,-8.81576,0.735617,10674.4,32.5047,8546.24,0.592227,0.994699,0.0069575,18024.2,-0.00272751,1.02178,12.1113,10.8128,121.237,91.8284,0.755074,12.1464,12.3609,120.481,142.62,0.756104,-50.7914 
131,202.139,0.11,0.47,43.2268,131,15783.4,-0.726563,35.2506,12.0632,121.197,-0.154186,188.729,0.0107115,-3.36689,-6.28187,-9.12215,-4.84689,-3.97464,130.938,9910.34,33.9554,8343,14790,-4.19137,-7.10635,-10.7711,-5.67138,-4.79912,0.668982,9726.69,27.1534,8159.34,0.580916,0.995138,0.00609298,16743.7,-0.00249763,0.939356,12.0169,10.787,121.089,91.6805,0.720275,11.9666,12.3372,120.261,142.478,0.82759,-50.7971 
132,202.015,0.4,0.18,43.1994,132,13424.7,-0.0214887,30.6528,-11.736,121.323,0.00477541,13.6654,500,-8.44993,-3.94055,-13.4185,-11.1941,-6.07272,188.705,9023.15,20.0061,7170.52,11712.9,-9.63816,-5.12878,-15.7949,-12.3823,-7.26095,0.685392,8758.47,10.2032,6905.85,0.595916,0.997965,0.00271427,14697.5,-0.00275314,0.860739,11.8916,10.7705,121.069,91.7714,0.625841,12.0088,12.308,120.333,142.572,0.735922,-50.8007 
133,202.07,0.17,0.41,43.2117,133,16038.8,-0.820568,36.44,12.1142,121.142,-0.0481219,1.13666,25.2537,-11.4684,-2.78439,-7.09886,-6.9017,-3.75122,154.036,10386.7,31.039,8468.07,14372.2,-12.4383,-3.75432,-9.03872,-7.87162,-4.72115,0.761033,10170.6,23.0371,8252.02,0.589009,0.996052,0.00511629,17267.4,-0.00298705,0.998369,12.0765,10.5908,120.959,91.6397,0.740872,11.9812,12.4302,120.318,142.657,0.641633,-51.0172 
134,202.095,0.08,0.5,43.2172,134,15348.7,-0.767859,34.5798,12.1595,121.314,0.532744,81.6668,391.945,-4.23188,-4.95584,-10.0137,-9.33655,-6.57002,236.817,10068.8,29.7395,7923.09,15104.1,-5.72306,-6.44702,-12.9961,-10.8277,-8.0612,0.705004,9736.65,17.4373,7590.93,0.598631,0.996876,0.00421371,16264.8,-0.00273566,0.957391,11.9285,10.8097,121.014,91.7947,0.686382,12.0419,12.4171,120.206,142.854,0.807357,-51.0588 
135,202.127,0.34,0.24,43.2243,135,15819.9,-0.0415939,35.6637,11.6316,121.385,-0.00911548,-74.8533,500,-3.99777,3.58864,-11.7992,-6.45989,-5.24393,240.713,10101.8,35.0062,8579.21,13526.2,-5.51347,2.07294,-14.8306,-7.97559,-6.75964,0.550675,9764.22,22.5016,8241.59,0.579411,0.995983,0.00500425,16852,-0.00289175,0.952268,11.9662,10.8914,121.207,91.9534,0.756259,11.8433,12.2718,120.545,142.936,0.661973,-50.9821 
136,200,0.45,0.13,40,136,21737.8,-0.0574687,46.7378,11.7286,121.302,-0.112348,283.617,0.00196284,-4.10645,1.7921,-6.26861,-9.30267,-4.67956,227.25,13864.9,54.9458,10552.4,18882,-5.53738,0.361172,-9.13047,-10.7336,-6.11049,0.706894,13546.2,43.1407,10233.6,0.606171,0.994458,0.00770569,22347.1,-0.00284147,1.33756,11.9412,10.621,121.198,91.6346,0.956766,11.8357,12.0284,120.302,142.526,0.896074,-50.891 
137,200,0.45,0.13,40,137,20581,-0.783999,45.4635,11.7876,121.147,0.233862,1641.48,155.964,-10.7286,-10.8404,-11.3275,-5.63958,-2.83521,177.81,13007.1,45.203,10314.4,29942,-11.8482,-11.96,-13.5668,-6.7592,-3.95483,0.717883,12757.7,35.9661,10065,0.595776,0.995091,0.0065395,21413.6,-0.00271705,1.28274,11.7261,10.5092,121.046,91.7917,0.937108,11.7139,12.0132,120.215,142.541,0.831973,-50.7496 
138,200,0.45,0.13,40,138,19376,-0.764485,42.6249,-11.9078,121.178,0.798919,-784.618,0.898342,-5.62982,-7.81676,-13.7961,-5.03612,-7.12973,192.765,12248.8,46.9496,9781.78,36929,-6.84361,-9.03055,-16.2236,-6.24991,-8.34352,0.652533,11978.5,36.9358,9511.41,0.594221,0.994633,0.00710267,20158.3,-0.00268278,1.2145,11.7553,10.4373,121.139,92.0998,0.903047,11.759,11.8364,120.18,142.779,0.958613,-50.6794 
139,200,0.45,0.13,40,139,22648.7,-0.802368,48.896,11.9223,121.256,0.387889,528.455,20.6773,-5.27855,-7.81451,-6.9239,-7.81906,-8.16568,153.639,13437.3,51.3642,11767.2,25650,-6.24598,-8.78194,-8.85875,-8.78649,-9.13311,0.7881,13221.9,43.383,11551.7,0.570983,0.994291,0.00687061,23156.3,-0.00267474,1.32596,11.8376,10.5043,121.192,91.9884,1.05806,11.8475,11.9518,120.32,142.817,0.871967,-50.8283 
140,200,0.45,0.13,40,140,22245.3,-0.106047,47.5675,11.5669,121.256,0.126301,0.820112,1.38628e-12,0.0824009,-3.1719,-0.804348,-3.68874,-1.59514,138.987,13476.4,51.7842,11205.3,17914.4,-0.792766,-4.04706,-2.55468,-4.5639,-2.47031,0.822945,13281.4,44.564,11010.4,0.583791,0.994162,0.00740068,22750.3,-0.00250929,1.30198,11.7057,10.7716,121.301,92.8576,1.00046,11.7081,12.233,120.366,143.82,0.934556,-50.9628 
141,200,0.45,0.13,40,141,22259.3,-0.675037,47.1738,11.8722,121.307,0.38293,-36.8471,258.742,-4.04867,-4.50836,-6.27936,-3.02097,-7.24799,142.675,13777.1,38.1572,10637.3,18691,-4.94705,-5.40675,-8.07613,-3.91936,-8.14637,0.735171,13577,30.7455,10437.2,0.602005,0.996053,0.00539712,22553,-0.00231944,1.35279,11.8204,10.5669,121.258,91.9673,0.972068,11.7331,11.9262,120.414,142.792,0.844164,-50.8252 
142,200,0.45,0.13,40,142,17646.4,-0.0191838,39.8116,11.4266,121.341,-0.0165363,-2.20604,500,-5.41449,-4.2037,-8.37628,-13.5827,-2.74345,203.448,11304.6,31.1326,9032.14,14810.1,-6.69555,-5.48476,-10.9384,-14.8637,-4.02451,0.739605,11019.2,20.5639,8746.79,0.594301,0.996745,0.00431215,18541.4,-0.00284827,1.15929,11.6386,10.2761,121.263,92.3772,0.857888,11.6385,11.7333,120.551,143.228,0.712062,-50.8504 
143,200,0.45,0.13,40,143,20935.5,-0.052866,45.4965,11.5331,121.046,-0.0530616,489.375,500,-1.11044,-7.00339,-7.84686,-5.86827,-4.89137,154.324,13133.3,41.6215,10370.8,17926.6,-2.08217,-7.97513,-9.79033,-6.84001,-5.86311,0.699229,12916.8,33.6047,10154.4,0.596632,0.995468,0.0060593,21649.6,-0.00260364,1.34006,11.648,10.2525,121.004,91.503,0.958671,11.7367,11.7923,120.147,142.219,0.857201,-50.7157 
144,202.015,0.2,0.38,43.1994,144,14932.4,-0.0115729,32.3604,11.8154,121.452,-0.0166189,-3.08788,2.3776e-11,-2.80022,-1.42064,-7.72438,1.16402,-3.21158,119.195,9604.43,37.6404,7598.79,12448.5,-3.55075,-2.17117,-9.22546,0.41348,-3.96212,0.501219,9437.25,31.4485,7431.61,0.596221,0.994202,0.00773497,15828.4,-0.00238623,0.898606,12.0621,10.8667,121.234,92.1493,0.66905,11.9975,12.2515,120.674,143.027,0.559768,-50.8773 
145,202.033,0.05,0.53,43.2034,145,13085.9,-0.549195,29.8832,12.1779,121.376,0.171192,-55.1293,499.999,-8.44788,-4.48298,-8.42867,-3.32165,-2.94371,126.364,8687.8,27.333,7042.38,12153.9,-9.24356,-5.27866,-10.02,-4.11733,-3.73939,0.69073,8510.57,20.7686,6865.14,0.590413,0.995748,0.00554189,14414.6,-0.00265931,0.833546,11.8681,10.7407,121.007,92.4454,0.630261,11.8682,12.1705,120.505,143.309,0.502032,-50.8635 
146,202.005,0.21,0.37,43.1974,146,15673.2,-0.641306,33.7152,12.2548,121.412,-0.828087,814.311,23.7682,-3.92674,0.204095,-9.8385,-7.99427,-0.890015,128.666,9973,34.9784,7935.92,35401.4,-4.73692,-0.606082,-11.4589,-8.80445,-1.70019,0.580362,9792.53,28.2944,7755.45,0.594849,0.994969,0.00667573,16462.2,-0.00229012,0.937439,12.1297,10.6985,121.236,91.8542,0.68597,12.0991,12.3163,120.512,142.721,0.723743,-50.8667 
147,202.03,0.39,0.19,43.2027,147,17348.9,-0.711812,37.6113,12.1656,121.258,0.628231,39.4301,34.9686,-3.18557,-4.43911,-5.85809,-7.02992,-4.70572,219.793,11134,32.4588,8644.09,15701.6,-4.56955,-5.82309,-8.62605,-8.4139,-6.0897,0.742677,10825.7,21.041,8335.81,0.601612,0.99661,0.00462827,17994.5,-0.00250215,1.02307,12.0652,11.0086,121.11,92.1469,0.71417,12.1665,12.8284,120.351,143.333,0.758367,-51.1861 
148,202.049,0.18,0.4,43.207,148,13423.4,-0.0202463,30.206,11.5238,121.311,-0.00940345,28.4734,500,-7.43596,-0.319373,-6.32322,-5.33168,-0.302389,120.823,8786.14,21.9555,7021.44,11340.1,-8.19675,-1.08016,-7.8448,-6.09247,-1.06318,0.676868,8616.67,15.6789,6851.98,0.593869,0.996826,0.00419748,14509.4,-0.00242677,0.848743,11.8843,10.6367,121.119,91.9444,0.620967,11.9117,12.2901,120.382,142.773,0.737297,-50.8288 
149,202.138,0.33,0.25,43.2266,149,19753.7,-0.0233817,41.242,-11.9837,121.404,0.0106456,-0.300238,500,-7.53501,-3.85224,-5.50446,-4.25366,-1.97588,155.865,12301.2,42.5853,9740.73,16089,-8.51645,-4.83368,-7.46734,-5.2351,-2.95732,0.742593,12082.6,34.4884,9522.11,0.596035,0.99503,0.00662775,20271.6,-0.00245965,1.12275,12.296,10.9495,121.366,92.1202,0.818505,12.1649,12.561,120.459,143.221,0.906775,-51.1004 
150,202.141,0.12,0.46,43.2274,150,18100.6,-0.0277043,39.2041,-11.8445,121.485,-0.000627424,10.0689,1.51895e-10,-15.227,-4.14305,-4.58355,-3.95585,-6.27146,124.101,11887.3,41.099,8915.66,15116.4,-16.0084,-4.92448,-6.14642,-4.73729,-7.0529,0.84187,11713.2,34.6522,8741.59,0.609081,0.99485,0.00724928,19231,-0.00278033,1.11367,12.0145,10.8721,121.315,91.8833,0.758898,12.1307,12.4869,120.632,143.029,0.682511,-51.1454 
151,202.006,0.23,0.35,43.1976,151,15674.6,-0.682914,34.2786,12.1999,121.492,0.536288,282.054,354.763,-5.96071,-3.22846,-8.26038,-8.56319,-0.766133,89.4999,9614.77,44.8338,8417.98,18537.7,-6.52427,-3.79202,-9.38749,-9.12674,-1.32969,0.688746,9489.24,40.1844,8292.45,0.570927,0.992644,0.00884769,16620.7,-0.00245091,0.876252,12.1737,11.0353,121.293,92.6142,0.714156,12.1553,12.488,120.642,143.722,0.651077,-51.1075 
152,202.095,0.28,0.3,43.2172,152,14532.9,-0.726085,32.9294,12.1193,121.488,0.20063,-436.634,500,-5.42631,-6.47215,-5.22731,-4.32421,-4.94273,140.138,9483.37,35.3751,7599.46,15843.1,-6.30872,-7.35457,-6.99214,-5.20663,-5.82514,0.779339,9286.81,28.0952,7402.9,0.593281,0.994734,0.00694255,15653.3,-0.00274329,0.904616,12.0815,10.7004,121.184,91.4833,0.665165,12.0863,12.3446,120.494,142.558,0.69048,-51.0742 
153,202.006,0.03,0.55,43.1976,153,15484.1,-0.20687,33.6787,11.9673,121.216,0.00664649,60.6022,1.55163e-08,-3.18955,0.296358,-4.77289,-5.33981,-6.77251,165.666,9956.24,38.412,7894.13,13133.5,-4.23271,-0.746799,-6.85921,-6.38297,-7.81567,0.736563,9723.87,29.806,7661.77,0.596082,0.994664,0.00711521,16313,-0.00243549,0.918578,12.2333,10.8562,121.105,92.0265,0.693589,12.0518,12.1519,120.207,142.799,0.897559,-50.773 
154,202.141,0.32,0.26,43.2274,154,17988.9,-0.781525,39.4511,12.1354,121.315,0.609521,-1177.12,313.991,-4.98294,-3.75119,-5.65973,-3.35766,-6.13816,133.163,11247.2,35.6303,9398.85,38941.5,-5.82143,-4.58968,-7.33672,-4.19615,-6.97665,0.746315,11060.4,28.7128,9212.08,0.582655,0.995478,0.00570881,18982.8,-0.00286016,1.06681,12.0266,10.8073,121.261,92.2495,0.815394,12.1101,12.305,120.492,143.167,0.769603,-50.9179 
155,202.074,0.27,0.31,43.2125,155,15846.8,-0.766667,35.2671,12.1779,121.261,-0.226184,709.778,482.024,-7.33081,-4.03242,-9.15074,0.00376712,-6.02988,115.699,9974.4,33.6454,8427.43,19207.1,-8.05934,-4.76094,-10.6078,-0.724757,-6.7584,0.656831,9812.12,27.6351,8265.15,0.579907,0.995095,0.0061215,16920.1,-0.0027087,0.933842,12.1882,10.8003,121.187,92.4023,0.723214,12.1961,12.3445,120.488,143.513,0.699035,-51.1106 
156,202.003,0.02,0.56,43.1967,156,17775.5,-0.194834,37.8314,12.0516,121.239,0.0648425,71.3813,1.55249e-11,-2.16412,-6.85146,-12.0711,-9.5985,-7.31018,173.288,11177.7,33.1273,8974.74,14992.7,-3.25527,-7.94261,-14.2534,-10.6897,-8.40133,0.680003,10934.7,24.1253,8731.68,0.59286,0.996154,0.0050639,18443.9,-0.00254841,1.02334,12.2316,11.0258,121.049,91.8853,0.753099,12.1458,12.5955,120.397,142.85,0.651698,-50.9643 
157,202.139,0.31,0.27,43.2268,157,16713.2,0.0564069,36.3246,11.907,121.406,-0.0681181,-10.3656,2.2125e-11,-6.28196,-6.65639,-15.5602,-5.38399,-8.81257,119.981,10531.1,42.6645,8892.26,14102.9,-7.03745,-7.41188,-17.0712,-6.13947,-9.56806,0.638537,10362.8,36.4318,8723.97,0.580047,0.993885,0.007634,17865.4,-0.00297351,0.973282,12.2463,10.9054,121.501,92.0903,0.763736,12.2721,12.3893,120.385,142.917,1.11585,-50.8267 
158,202.033,0.25,0.33,43.2034,158,14757.3,-0.48676,32.7756,12.0905,121.304,-0.105607,501.557,1.7001e-06,-8.56163,-8.62596,-7.51684,-4.79021,-7.74425,162.304,9108.62,16.9017,8077.92,14624.3,-9.58362,-9.64795,-9.56081,-5.81219,-8.76623,0.779556,8880.97,8.47032,7850.28,0.56812,0.998334,0.00198366,15632.2,-0.00264358,0.822447,12.1988,11.1948,121.101,92.765,0.699603,12.0763,12.4564,120.466,143.926,0.635294,-51.1608 
159,202.07,0.37,0.21,43.2117,159,16291.4,-0.16301,35.2729,-12.2163,121.272,0.167517,0.66279,436.511,-2.46985,-5.283,-9.48932,-5.37211,-3.00065,135.807,10297.9,26.7801,8348.47,14031,-3.32499,-6.13814,-11.1996,-6.22725,-3.85579,0.635735,10107.4,19.7252,8157.99,0.590274,0.996596,0.00443429,17123.3,-0.00256627,0.973089,12.0585,10.8493,121.138,91.4322,0.704623,12.2783,12.4805,120.332,142.235,0.806153,-50.8031 
160,202.129,0.3,0.28,43.2247,160,16713.9,0.0906334,36.5534,11.8168,121.366,-0.0979514,-8.75683,0.0112361,0.00443808,-1.77621,-13.1385,-6.5112,-2.2207,186.381,10581.2,36.6416,8906.19,14089.2,-1.16915,-2.9498,-15.4857,-7.68479,-3.39429,0.495313,10319.8,26.9595,8644.77,0.581257,0.995449,0.00571196,17754.3,-0.0028812,0.978809,12.1464,10.9561,121.308,92.3003,0.767988,12.0624,12.3679,120.518,143.256,0.789636,-50.9558 
161,202.017,0.04,0.54,43.1999,161,16215.6,0.0423137,35.5996,11.7537,121.446,0.0269465,-43.3729,0.0141598,-4.33445,-1.41797,-2.29475,-5.48743,-3.49741,74.3495,10286.7,40.5035,8537.59,13659.3,-4.80261,-1.88613,-3.23107,-5.95559,-3.96557,0.837152,10182.4,36.6412,8433.31,0.584019,0.993742,0.00794007,17435,-0.00275415,0.958127,12.1053,10.8941,121.359,92.2628,0.718136,12.2361,12.5872,120.54,143.278,0.818758,-51.015 
162,202.017,0.24,0.34,43.1999,162,13763.7,-0.701128,30.8197,12.2804,121.134,0.0908994,16.4693,431.381,-3.2595,-2.07302,-12.3006,-7.05021,-4.55486,160.448,8841.61,29.7932,7401.69,12369.5,-4.2698,-3.08332,-14.3212,-8.06051,-5.56516,0.594301,8616.57,21.4582,7176.64,0.582654,0.995661,0.00547773,14788.5,-0.00261641,0.832813,12.0689,10.7856,120.979,92.2002,0.641209,12.203,12.3446,120.36,143.165,0.618749,-50.9652 
163,202.138,0.13,0.45,43.2266,163,14092,-0.0871773,32.4638,11.4623,121.41,0.0620435,20.5479,500,-2.46652,-6.71455,-16.0388,-9.74473,-6.52755,145.806,9183.69,25.7478,7554.79,12154.9,-3.38462,-7.63265,-17.875,-10.6628,-7.44564,0.619687,8979.19,18.1734,7350.28,0.586858,0.996471,0.00453392,15300.4,-0.0026939,0.919545,11.6439,10.5165,121.337,92.0094,0.691047,11.7907,11.966,120.436,142.727,0.900963,-50.7171 
164,202.049,0.38,0.2,43.207,164,18122.2,-0.141799,39.5733,-11.9134,121.441,-0.0486984,11.8325,500,-1.34258,-1.31178,-12.5966,-9.89701,-2.75746,93.1885,11022.8,33.7663,9896.83,15366.1,-1.92936,-1.89856,-13.7702,-10.4838,-3.34424,0.561824,10892.1,28.9254,9766.12,0.564622,0.995374,0.00542636,19291,-0.00296137,1.00995,12.1375,11.0662,121.406,92.5337,0.839711,12.1864,12.4647,120.642,143.655,0.764252,-51.1215 
165,202.129,0.1,0.48,43.2247,165,14800.5,-0.757232,33.7901,12.0562,121.367,0.0769554,-304.636,467.58,-8.32441,-1.33605,-11.7369,-5.06622,-7.19434,156.414,9733.64,37.0327,7796.87,14024.7,-9.3093,-2.32095,-13.7067,-6.05111,-8.17924,0.653586,9514.26,28.9073,7577.48,0.593495,0.994711,0.00697839,16030.9,-0.00278256,0.925683,11.8997,10.8141,121.234,92.4334,0.70012,11.874,12.1363,120.303,143.356,0.930796,-50.9224 
166,202.092,0.16,0.42,43.2165,166,14568.1,-0.100206,32.9679,11.6653,121.187,-0.073422,331.11,499.981,-7.38455,-7.89956,-10.6364,-4.50086,-4.90855,129.671,9095.51,18.2447,8164.55,13310.8,-8.20105,-8.71606,-12.2694,-5.31737,-5.72506,0.695011,8913.63,11.5085,7982.67,0.564914,0.997746,0.0026487,15778.7,-0.00279857,0.869935,11.9152,10.7897,121.102,92.5068,0.721025,12.0344,12.1638,120.204,143.443,0.898392,-50.9365 
167,202.111,0.15,0.43,43.2208,167,17162.1,-0.558779,38.5417,11.8567,121.593,-0.0882012,97.9862,334.277,-5.89207,-3.27889,-9.41158,-1.95594,-2.9192,175.616,11043.5,40.4533,9016.13,15157.5,-6.99788,-4.3847,-11.6232,-3.06175,-4.02501,0.613752,10797.2,31.3304,8769.82,0.588748,0.994948,0.00653793,18339.2,-0.00307666,1.05072,12.092,10.6905,121.402,91.656,0.786263,12.128,12.2918,120.47,142.443,0.932438,-50.7873 
168,202.003,0.22,0.36,43.1967,168,15430.9,-0.153389,33.9572,11.8076,120.999,0.0464859,38.4208,500,-1.86853,-8.04178,-6.67621,-0.436691,-4.62743,177.1,9648.28,29.8201,8258.64,13110.5,-2.98369,-9.15693,-8.90651,-1.55185,-5.74259,0.685744,9399.88,20.6201,8010.24,0.57708,0.996176,0.0047196,16288.7,-0.00261693,0.913511,12.0571,10.7394,120.823,91.7227,0.724614,12.0646,12.257,120.069,142.812,0.754508,-51.0888 
169,202.005,0.01,0.57,43.1974,169,15865.8,0.00765249,34.6301,11.8637,121.491,-0.167973,-39.9306,1.4258e-12,-4.00072,-1.05361,-3.38866,0.786435,-1.52973,123.433,10265.7,46.3212,8225.11,13592.5,-4.77794,-1.83084,-4.9431,0.00921244,-2.30695,0.643087,10092.5,39.9091,8051.99,0.593077,0.993128,0.00904765,17017.3,-0.00272975,0.925411,12.163,11.1158,121.328,92.0556,0.689749,12.2072,12.7339,120.648,143.025,0.679444,-50.969 
170,202.114,0.29,0.29,43.2214,170,16144,-0.0906829,35.365,11.9304,121.49,0.227409,-43.9487,0.000133959,-8.96338,-4.84127,-7.05702,-8.56542,-9.51226,187.386,10550.1,40.9186,8339.05,14060.2,-10.1433,-6.02119,-9.41687,-9.74534,-10.6922,0.79537,10287.3,31.1843,8076.22,0.596959,0.994723,0.00706259,17232.9,-0.00281514,0.987743,12.0621,10.8653,121.363,91.6139,0.709538,12.1109,12.5075,120.509,142.44,0.853553,-50.8262 
171,202.111,0.35,0.23,43.2208,171,18065.3,0.00226993,39.5967,11.7916,121.297,0.00677943,-2.25643,1.73045e-12,-9.54232,-9.38395,-16.3861,-5.1458,-3.503,180.259,11544.9,37.8522,9442.54,15199.9,-10.6774,-10.519,-18.6562,-6.28084,-4.63804,0.632546,11292.1,28.4881,9189.71,0.588276,0.995604,0.0056781,19195.3,-0.00309104,1.10065,12.0117,10.7291,121.23,91.4584,0.82914,12.0888,12.2177,120.461,142.193,0.768508,-50.7346 
172,202.052,0.26,0.32,43.2077,172,13457.1,-0.0681628,31.1066,11.7049,121.3,-0.0153789,55.5004,500,-3.85703,-6.2261,-8.72888,-6.57782,-4.95459,219.544,8973.53,28.6515,7175.93,11880.4,-5.23944,-7.60851,-11.4937,-7.96023,-6.337,0.702535,8665.59,17.2466,6868,0.594671,0.996529,0.0046045,14572.1,-0.00280712,0.866445,11.9425,10.6822,121.146,91.9143,0.640617,11.8719,12.2751,120.478,142.935,0.667874,-51.021 
173,202.114,0.09,0.49,43.2214,173,17729.9,-0.0102557,38.1963,11.9391,121.282,-0.0294808,-7.22201,5.1042e-11,-4.47915,-9.6893,-13.031,1.39227,-2.53583,247.927,11114.8,30.2146,9294.62,14852.3,-6.04027,-11.2504,-16.1533,-0.168859,-4.09696,0.571643,10767,17.3353,8946.88,0.58322,0.99719,0.00355653,18461.4,-0.00272034,1.00959,12.2098,11.0222,121.196,91.5007,0.778757,12.1062,12.6413,120.243,142.283,0.953328,-50.7819 
