cyc,amplitude,wiggletime,waittime,T,TF,EF,ToTF,wx,wy,wz,q,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SN,tof,AR
37,1.2,10,1,4.07015e-07,7.26928e-07,1.00363e-29,0.559911,1062.49,2846.28,2770.88,-0.243194,4.72297e-13,34289,49380.3,1.54873,23.4582,1.44176,21.8379,2.03306e-23,0.0066,1.42181 
38,1.2,10,1,4.1025e-07,7.68311e-07,1.06077e-29,0.533964,1062.49,2846.28,2770.88,-0.116563,5.14703e-13,40484.8,58912,1.47006,23.5343,1.38589,22.1867,1.85031e-23,0.0066,1.415 
39,1.2,0.01,10.99,4.07164e-07,7.9313e-07,1.09503e-29,0.513364,1062.49,2846.28,2770.88,-0.0114792,8.26202e-14,44536.3,62814.9,1.40866,23.2797,1.34261,22.1882,1.69961e-23,0.0066,1.42126 
40,1.4,0.01,10.99,4.18834e-07,7.81537e-07,1.07903e-29,0.53591,1062.49,2846.28,2770.88,-0.126269,5.27645e-13,42611.9,62017.1,1.47591,24.0347,1.39002,22.636,1.86427e-23,0.0066,1.43265 
41,1.4,10,1,4.22396e-07,7.70167e-07,1.06333e-29,0.548447,1062.49,2846.28,2770.88,-0.187995,7.10617e-13,40779.1,60342.6,1.51379,24.2929,1.41689,22.7378,1.95324e-23,0.0066,1.40741 
42,1.4,0.01,10.99,4.24944e-07,7.88807e-07,1.08907e-29,0.538717,1062.49,2846.28,2770.88,-0.140226,1.27997e-13,43812,62691.6,1.48436,24.397,1.39601,22.9449,1.88435e-23,0.0066,1.42326 
43,1.4,10,1,4.26187e-07,7.94314e-07,1.09667e-29,0.536547,1062.49,2846.28,2770.88,-0.129449,1.15307e-12,44736.1,67585.8,1.47783,24.4593,1.39138,23.0285,1.86885e-23,0.0066,1.40531 
44,1.4,0.01,10.99,4.01087e-07,7.52473e-07,1.0389e-29,0.533025,1062.49,2846.28,2770.88,-0.111865,3.8666e-13,38032.5,55146.8,1.46725,23.005,1.38389,21.6981,1.84355e-23,0.0066,1.44331 
45,1.4,10,1,4.34271e-07,7.73056e-07,1.06732e-29,0.561759,1062.49,2846.28,2770.88,-0.251988,8.25135e-13,41239.7,61848.9,1.55438,25.0379,1.4458,23.2887,2.0458e-23,0.0066,1.42658 
46,1.4,0.01,10.99,4.10016e-07,7.95305e-07,1.09804e-29,0.515545,1062.49,2846.28,2770.88,-0.0228089,9.64371e-13,44903.7,66144.3,1.41512,23.4506,1.34715,22.3242,1.71582e-23,0.0066,1.43441 
47,1.4,10,1,4.36609e-07,8.02646e-07,1.10817e-29,0.543962,1062.49,2846.28,2770.88,-0.16608,1.10727e-12,46158.7,69396,1.5002,25.09,1.40724,23.5353,1.92162e-23,0.0066,1.42133 
48,1.4,10,1,4.28369e-07,8.02399e-07,1.10783e-29,0.53386,1062.49,2846.28,2770.88,-0.116042,6.85569e-14,46116.1,65235.4,1.46975,24.5732,1.38567,23.1674,1.84956e-23,0.0066,1.43291 
49,1.4,0.01,10.99,4.01838e-07,7.81977e-07,1.07964e-29,0.513875,1062.49,2846.28,2770.88,-0.0138933,8.03026e-13,42683.9,62153.5,1.41054,22.9831,1.34367,21.8935,1.70352e-23,0.0066,1.4519 
50,1.4,0.01,10.99,4.2078e-07,7.82479e-07,1.08033e-29,0.537752,1062.49,2846.28,2770.88,-0.135436,8.64435e-13,42766.2,63222.5,1.48146,24.154,1.39395,22.7273,1.87746e-23,0.0066,1.43563 
51,1.4,10,1,4.37682e-07,8.10736e-07,1.11934e-29,0.539858,1062.49,2846.28,2770.88,-0.145868,7.42656e-13,47568.5,70550.9,1.4878,25.1335,1.39845,23.624,1.89249e-23,0.0066,1.40719 
52,1.4,0.01,10.99,4.10066e-07,7.84962e-07,1.08376e-29,0.522402,1062.49,2846.28,2770.88,-0.0581034,8.84273e-13,43174.6,64131.9,1.43549,23.4788,1.36148,22.2683,1.76637e-23,0.0066,1.44382 
53,1.4,10,1,4.25732e-07,7.96468e-07,1.09964e-29,0.534524,1062.49,2846.28,2770.88,-0.11937,6.13671e-13,45101.1,65779.1,1.47175,24.4247,1.38708,23.0196,1.85434e-23,0.0066,1.44641 
54,1.4,0.01,10.99,4.16931e-07,8.00289e-07,1.10492e-29,0.520975,1062.49,2846.28,2770.88,-0.0508017,4.77114e-13,45753.2,66112.4,1.43124,23.8664,1.35849,22.6532,1.7559e-23,0.0066,1.43202 
55,1.4,10,1,4.19907e-07,7.73093e-07,1.06737e-29,0.543152,1062.49,2846.28,2770.88,-0.162106,-8.69573e-14,41245.5,57800.5,1.49775,24.1268,1.4055,22.6407,1.91589e-23,0.0066,1.42835 
56,1.4,0.01,10.99,4.16252e-07,7.82913e-07,1.08093e-29,0.531671,1062.49,2846.28,2770.88,-0.105072,5.70216e-13,42837.3,62512.3,1.46318,23.8693,1.38102,22.529,1.83379e-23,0.0066,1.43036 
57,1.4,10,1,4.17739e-07,7.81283e-07,1.07868e-29,0.534684,1062.49,2846.28,2770.88,-0.120166,5.58541e-13,42570.2,61199.4,1.47223,23.9668,1.38742,22.5862,1.85549e-23,0.0066,1.43578 
58,1.4,10,1,4.19238e-07,7.83934e-07,1.08234e-29,0.534787,1062.49,2846.28,2770.88,-0.120682,2.08248e-13,43005,60669.9,1.47254,24.0533,1.38764,22.6664,1.85623e-23,0.0066,1.43115 
59,1.4,0.01,10.99,4.00805e-07,7.50923e-07,1.03676e-29,0.53375,1062.49,2846.28,2770.88,-0.115494,6.75466e-13,37797.8,55276.7,1.46942,22.9916,1.38543,21.6775,1.84877e-23,0.0066,1.44125 
60,1.6,0.01,10.99,4.11035e-07,7.76979e-07,1.07274e-29,0.529017,1062.49,2846.28,2770.88,-0.0917167,5.02444e-13,41870.6,60266.2,1.45524,23.5597,1.37541,22.2673,1.8146e-23,0.0066,1.43759 
61,1.6,10,1,4.17667e-07,7.67059e-07,1.05904e-29,0.544505,1062.49,2846.28,2770.88,-0.168742,7.25677e-13,40287.3,59266.2,1.50184,24.0039,1.4084,22.5104,1.92546e-23,0.0066,1.41463 
62,1.6,0.01,10.99,4.15027e-07,7.90515e-07,1.09142e-29,0.525009,1062.49,2846.28,2770.88,-0.0714032,9.31854e-13,44097.3,65159,1.44326,23.7728,1.36696,22.5161,1.78544e-23,0.0066,1.44044 
63,1.6,10,1,4.30419e-07,7.84816e-07,1.08356e-29,0.548433,1062.49,2846.28,2770.88,-0.187926,9.95582e-13,43150.5,65089.3,1.51375,24.7542,1.41686,23.1698,1.95314e-23,0.0066,1.41462 
64,1.6,0.01,10.99,4.12631e-07,7.74441e-07,1.06923e-29,0.532811,1062.49,2846.28,2770.88,-0.110795,5.39444e-13,41461.7,60016.5,1.4666,23.6662,1.38344,22.3242,1.84201e-23,0.0066,1.4606 
65,1.6,10,1,4.17302e-07,7.61922e-07,1.05195e-29,0.547697,1062.49,2846.28,2770.88,-0.184341,1.2429e-13,39483.3,56100,1.51151,23.9967,1.41527,22.4687,1.94797e-23,0.0066,1.42465 
66,1.6,0.01,10.99,4.2591e-07,7.96434e-07,1.0996e-29,0.534771,1062.49,2846.28,2770.88,-0.120602,9.61194e-13,45095.3,67334.2,1.47249,24.436,1.3876,23.0273,1.85612e-23,0.0066,1.43629 
67,1.6,10,1,4.22665e-07,7.65024e-07,1.05623e-29,0.552486,1062.49,2846.28,2770.88,-0.20757,1.06708e-12,39967.5,59813.6,1.52607,24.3263,1.42562,22.7251,1.98152e-23,0.0066,1.44759 
68,1.6,10,1,4.36235e-07,8.00283e-07,1.10491e-29,0.5451,1062.49,2846.28,2770.88,-0.171659,3.6607e-13,45752.3,66194.3,1.50365,25.0736,1.40968,23.5068,1.92966e-23,0.0066,1.42045 
69,1.6,0.01,10.99,4.17382e-07,7.9907e-07,1.10324e-29,0.522336,1062.49,2846.28,2770.88,-0.0577669,7.96221e-13,45544.4,66997.9,1.43529,23.8975,1.36134,22.6662,1.76589e-23,0.0066,1.42882 
