cyc,amplitude,wiggletime,waittime,T,TF,EF,ToTF,wx,wy,wz,q,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SN,tof,AR
116,1,0.01,15.99,4.29155e-07,7.65552e-07,1.05696e-29,0.560583,1062.49,2846.28,2770.88,-0.246391,9.01167e-13,40050.3,59733,1.55078,24.7374,1.44322,23.0217,2.03769e-23,0.0066,1.43511 
117,1,15,1,4.26667e-07,7.64552e-07,1.05558e-29,0.558062,1062.49,2846.28,2770.88,-0.234367,1.43969e-13,39893.5,56455.8,1.54307,24.5822,1.43773,22.904,2.02028e-23,0.0066,1.4441 
118,1,15,1,4.44485e-07,7.68176e-07,1.06058e-29,0.578624,1062.49,2846.28,2770.88,-0.330929,9.9013e-13,40463.6,61132.1,1.60632,25.7111,1.48298,23.7369,2.16038e-23,0.0066,1.43033 
119,1,0.01,15.99,4.17812e-07,7.29733e-07,1.00751e-29,0.572554,1062.49,2846.28,2770.88,-0.302793,2.08396e-13,34687.5,50075.9,1.58754,24.1389,1.46953,22.3444,2.11947e-23,0.0066,1.44072 
120,1.2,0.01,15.99,4.26692e-07,7.63262e-07,1.0538e-29,0.559037,1062.49,2846.28,2770.88,-0.239027,1.09291e-13,39692,57069.2,1.54606,24.5882,1.43985,22.8992,2.02703e-23,0.0066,1.40782 
121,1.2,15,1,4.3533e-07,7.4706e-07,1.03143e-29,0.582724,1062.49,2846.28,2770.88,-0.349786,9.26012e-13,37217.6,55883.4,1.61902,25.2021,1.49212,23.2266,2.1878e-23,0.0066,1.42447 
122,1.2,0.01,15.99,4.26197e-07,7.21631e-07,9.96321e-30,0.590602,1062.49,2846.28,2770.88,-0.385663,5.35426e-13,33545,49295.2,1.6435,24.7123,1.50977,22.7014,2.24003e-23,0.0066,1.43016 
123,1.2,15,1,4.43431e-07,7.66385e-07,1.05811e-29,0.5786,1062.49,2846.28,2770.88,-0.330822,5.58259e-13,40181.2,59260.7,1.60625,25.65,1.48293,23.6807,2.16022e-23,0.0066,1.42483 
124,1.2,0.01,15.99,4.19684e-07,7.32176e-07,1.01088e-29,0.573201,1062.49,2846.28,2770.88,-0.3058,7.44049e-13,35037.1,51782.6,1.58955,24.2503,1.47095,22.441,2.12384e-23,0.0066,1.42975 
125,1.2,15,1,4.39854e-07,7.13748e-07,9.85436e-30,0.616259,1062.49,2846.28,2770.88,-0.499537,3.27623e-13,32457.6,47727.4,1.72371,25.6352,1.56819,23.3223,2.40602e-23,0.0066,1.38045 
126,1.2,0.01,15.99,4.28422e-07,7.41251e-07,1.02341e-29,0.577971,1062.49,2846.28,2770.88,-0.327912,9.02517e-13,36356.2,54581.4,1.6043,24.7787,1.48153,22.8825,2.15599e-23,0.0066,1.45293 
127,1.2,15,1,4.46706e-07,7.1035e-07,9.80745e-30,0.628854,1062.49,2846.28,2770.88,-0.553912,2.47852e-13,31996.2,46807.5,1.76323,26.0981,1.59738,23.6433,2.48528e-23,0.0066,1.40328 
128,1.2,15,1,4.30066e-07,7.53457e-07,1.04026e-29,0.570791,1062.49,2846.28,2770.88,-0.294553,5.96513e-13,38181.8,56223.6,1.58213,24.8387,1.46563,23.0097,2.10753e-23,0.0066,1.42492 
129,1.2,0.01,15.99,4.43181e-07,7.20891e-07,9.95298e-30,0.614769,1062.49,2846.28,2770.88,-0.493036,8.4479e-13,33441.8,51136.4,1.71904,25.8215,1.56476,23.5041,2.39654e-23,0.0066,1.38482 
130,1.2,0.01,15.99,4.28141e-07,7.70199e-07,1.06338e-29,0.555884,1062.49,2846.28,2770.88,-0.223933,7.42818e-13,40784.1,59736.9,1.53642,24.6571,1.43299,22.9971,2.00518e-23,0.0066,1.44827 
131,1.2,15,1,4.49137e-07,7.25805e-07,1.00208e-29,0.618813,1062.49,2846.28,2770.88,-0.510639,9.91062e-13,34130.4,52475.5,1.73172,26.1894,1.57408,23.8054,2.42221e-23,0.0066,1.41089 
132,1.2,0.01,15.99,4.31042e-07,7.5703e-07,1.04519e-29,0.569386,1062.49,2846.28,2770.88,-0.287973,4.98247e-13,38727.6,56719.6,1.57781,24.8883,1.46254,23.07,2.09798e-23,0.0066,1.41211 
