cyc,time,amplitude,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,tof,AR
0,2.5,1.7,3.99565e-07,8.2281e-07,1.13601e-29,0.48561,0.137294,-1.49951e-13,49725.7,65316.3,1.3275,0.0066,1.46962 
1,2.5,0.1,3.67052e-07,8.24906e-07,1.13891e-29,0.444962,0.373105,6.06043e-14,50106.6,65935.7,1.21275,0.0066,1.48595 
2,2.5,1.5,3.88869e-07,7.9272e-07,1.09447e-29,0.490551,0.110149,8.3137e-14,44467.3,59206.5,1.3418,0.0066,1.48916 
3,2.5,0.5,3.73288e-07,8.08317e-07,1.116e-29,0.461808,0.272508,6.05079e-13,47144.1,64807.6,1.25966,0.0066,1.46476 
4,2.5,0.2,3.73125e-07,8.20835e-07,1.13329e-29,0.454568,0.315219,-2.15224e-13,49368.4,64374.2,1.23939,0.0066,1.4751 
5,2.5,0.3,3.60642e-07,8.2804e-07,1.14323e-29,0.435536,0.43136,1.22382e-13,50679.9,65833.4,1.18693,0.0066,1.5154 
6,2.5,0.9,3.74459e-07,8.46192e-07,1.16829e-29,0.442522,0.388041,3.87807e-13,54086.4,72334,1.20603,0.0066,1.49367 
7,2.5,0.35,3.60779e-07,7.92084e-07,1.09359e-29,0.455481,0.309784,1.91261e-13,44360.4,59581.6,1.24193,0.0066,1.42809 
8,2.5,1.3,3.78006e-07,8.27123e-07,1.14197e-29,0.457013,0.300703,6.97081e-13,50511.7,68756.1,1.24621,0.0066,1.48514 
9,2.5,1.2,3.89008e-07,8.43403e-07,1.16444e-29,0.461237,0.275852,4.25524e-13,53553.3,72785.4,1.25805,0.0066,1.46351 
10,2.5,1.1,3.76645e-07,8.06444e-07,1.11342e-29,0.467044,0.2421,7.62443e-13,46817.1,64643.8,1.27443,0.0066,1.46624 
11,2.5,0.25,3.63637e-07,8.07204e-07,1.11447e-29,0.450489,0.339618,-1.50235e-13,46949.5,60675.8,1.22803,0.0066,1.49464 
12,2.5,0.4,3.58041e-07,8.10543e-07,1.11908e-29,0.44173,0.392917,4.73879e-14,47534.6,61915,1.20386,0.0066,1.49569 
13,2.5,0.8,3.66182e-07,8.11179e-07,1.11995e-29,0.451419,0.334032,-1.83195e-13,47646.6,61859,1.23061,0.0066,1.47244 
14,2.5,0.6,3.58534e-07,7.95582e-07,1.09842e-29,0.450656,0.338616,2.64369e-13,44950.7,60542.4,1.22849,0.0066,1.44697 
15,2.5,1,3.80137e-07,8.37985e-07,1.15696e-29,0.453632,0.320792,-9.79413e-14,52528,69239.4,1.23677,0.0066,1.49491 
16,2.5,0.7,3.69515e-07,8.1015e-07,1.11853e-29,0.456107,0.30607,-3.23113e-14,47465.5,61601.2,1.24368,0.0066,1.48261 
17,2.5,0.15,3.75667e-07,7.94702e-07,1.09721e-29,0.472715,0.209598,1.05344e-13,44801.7,58716.8,1.29053,0.0066,1.50735 
18,2.5,0.01,3.53712e-07,7.89882e-07,1.09055e-29,0.447803,0.35583,-2.26698e-13,43991.4,56515.5,1.22059,0.0066,1.50404 
