cyc,freq,amplitude,time,wait time,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,EkHz,tof,AR
153,60,0.3,5,6,5.65139e-07,8.34606e-07,1.1523e-29,0.677133,-0.754095,-1.30686e-13,28579,38773.6,1.91512,33.3047,0.0066,1.35437 
154,60,0.3,0.1,10.9,5.63321e-07,8.72037e-07,1.20398e-29,0.645983,-0.626432,-5.60166e-13,32599.2,42956.1,1.81699,33.0153,0.0066,1.38208 
155,60,0.3,3,8,5.74541e-07,7.99234e-07,1.10346e-29,0.718865,-0.917638,-1.32315e-12,25097.2,32149.3,2.04644,34.0801,0.0066,1.32535 
156,60,0.3,9,2,6.26599e-07,7.74191e-07,1.06889e-29,0.80936,-1.24641,-4.73029e-13,22811.1,31190.2,2.33016,37.589,0.0066,1.32098 
157,60,0.3,8,3,6.66543e-07,7.96357e-07,1.09949e-29,0.83699,-1.34058,-9.59387e-13,24827.1,33311.9,2.41624,40.0936,0.0066,1.33297 
158,60,0.3,7,4,6.14565e-07,8.16171e-07,1.12685e-29,0.752985,-1.04552,-4.19585e-13,26726.8,36339.4,2.15361,36.6249,0.0066,1.33332 
159,60,0.3,1,10,5.56676e-07,8.41282e-07,1.16152e-29,0.661699,-0.691454,-1.23968e-12,29270.3,37393.8,1.86654,32.7195,0.0066,1.3499 
160,60,0.3,6,5,5.91036e-07,8.17583e-07,1.1288e-29,0.722907,-0.933055,1.23168e-13,26865.6,37107.1,2.05915,35.079,0.0066,1.28812 
161,60,0.3,4,7,5.62757e-07,8.66073e-07,1.19574e-29,0.64978,-0.642233,-4.13984e-13,31934.9,42252,1.82903,33.0068,0.0066,1.40663 
162,60,0.3,10,1,5.84136e-07,8.63869e-07,1.1927e-29,0.676187,-0.750289,-5.06985e-13,31691.7,42386.1,1.91214,34.4188,0.0066,1.36185 
163,60,0.3,2,9,5.6454e-07,7.66181e-07,1.05783e-29,0.736823,-0.985551,8.77622e-13,22110.4,32345,2.1029,33.572,0.0066,1.32006 
164,60,0.3,5,6,5.58778e-07,8.53586e-07,1.1785e-29,0.654625,-0.662326,-3.81219e-13,30573.4,40916.6,1.84428,32.8021,0.0066,1.34499 
165,60,0.3,0.1,10.9,5.56992e-07,8.4017e-07,1.15998e-29,0.662951,-0.69658,8.1808e-13,29154.3,41479.8,1.87048,32.7453,0.0066,1.35988 
166,60,0.3,3,8,5.60216e-07,8.63969e-07,1.19284e-29,0.648422,-0.636569,3.50272e-13,31702.7,44674.9,1.82477,32.8498,0.0066,1.33523 
167,60,0.3,9,2,5.94238e-07,8.28019e-07,1.14321e-29,0.717662,-0.913038,1.60836e-13,27907.7,39157.4,2.04266,35.2423,0.0066,1.3235 
168,60,0.3,8,3,5.95998e-07,8.4663e-07,1.1689e-29,0.703965,-0.860193,-8.50269e-13,29832.1,39254.9,1.99957,35.2742,0.0066,1.3963 
169,60,0.3,7,4,6.34927e-07,8.19708e-07,1.13173e-29,0.774577,-1.12392,1.19128e-13,27075.7,38219.8,2.22134,37.9404,0.0066,1.34843 
170,60,0.3,1,10,5.59574e-07,8.24862e-07,1.13885e-29,0.678385,-0.759126,-3.5007e-13,27589.6,37128.5,1.91906,32.9836,0.0066,1.39531 
171,60,0.3,6,5,6.20185e-07,8.34171e-07,1.1517e-29,0.743475,-1.01037,-3.45873e-13,28534.3,39366.3,2.12378,36.914,0.0066,1.32932 
172,60,0.3,4,7,5.9595e-07,8.1954e-07,1.1315e-29,0.727176,-0.94925,3.9181e-14,27059.1,37582.2,2.07255,35.3919,0.0066,1.38371 
173,60,0.3,10,1,6.35818e-07,8.04498e-07,1.11073e-29,0.790329,-1.17996,-4.02742e-13,25596.3,35454.7,2.27066,38.0632,0.0066,1.30824 
174,60,0.3,2,9,5.39178e-07,8.77573e-07,1.21162e-29,0.614397,-0.491414,-8.67491e-13,33224,42945.1,1.71787,31.4124,0.0066,1.40464 
175,60,0.3,5,6,5.86794e-07,7.90748e-07,1.09175e-29,0.742074,-1.00516,-4.05527e-13,24306.2,33411.5,2.11939,34.9202,0.0066,1.34549 
176,80,0.25,0.1,10.9,5.62043e-07,8.61675e-07,1.18967e-29,0.652268,-0.652559,-3.76646e-13,31450.9,41961.1,1.83687,32.9799,0.0066,1.38935 
