cyc,freq,amplitude,time,wait time,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,EkHz,tof,AR
40,5,0.9,4,7,5.47555e-07,8.52601e-07,1.17714e-29,0.642217,-0.610582,2.27676e-13,30467.7,41048.2,1.80526,32.0712,0.0066,1.43435 
41,5,0.9,10,1,5.69094e-07,9.03218e-07,1.24703e-29,0.630074,-0.559128,-5.22023e-13,36222.6,48146.4,1.76708,33.2564,0.0066,1.34296 
42,5,0.9,2,9,5.90136e-07,8.65455e-07,1.19489e-29,0.68188,-0.773127,-1.11932e-12,31866.5,41672.2,1.93006,34.8051,0.0066,1.35764 
43,5,0.9,5,6,5.69646e-07,8.45835e-07,1.1678e-29,0.673471,-0.739285,-7.6744e-13,29748.1,39230,1.90371,33.5517,0.0066,1.31794 
44,20,0.7,0.1,10.9,5.59597e-07,8.87533e-07,1.22537e-29,0.630508,-0.560979,4.85262e-13,34368.1,46759.6,1.76844,32.7042,0.0066,1.44461 
45,20,0.7,3,8,5.64866e-07,8.99182e-07,1.24146e-29,0.628201,-0.551113,-9.66726e-13,35739.2,46121.6,1.76119,32.9975,0.0066,1.39857 
46,20,0.7,9,2,5.83703e-07,8.76183e-07,1.2097e-29,0.666188,-0.7098,-1.20091e-13,33066.4,44743.6,1.88067,34.3348,0.0066,1.37833 
47,20,0.7,8,3,5.86992e-07,8.27129e-07,1.14198e-29,0.709674,-0.882318,-5.18346e-14,27817.7,38646.2,2.01754,34.7715,0.0066,1.33029 
48,20,0.7,7,4,6.01625e-07,8.43975e-07,1.16523e-29,0.712847,-0.894558,-1.44239e-12,29552.3,38553.4,2.02752,35.6551,0.0066,1.32096 
49,20,0.7,1,10,5.72703e-07,8.44465e-07,1.16591e-29,0.678184,-0.758318,5.26057e-14,29603.8,40528.1,1.91843,33.7564,0.0066,1.43106 
50,20,0.7,6,5,5.86323e-07,8.69775e-07,1.20085e-29,0.674109,-0.741852,-1.11017e-13,32346.2,44007.7,1.90573,34.538,0.0066,1.37935 
51,20,0.7,4,7,5.88419e-07,8.31126e-07,1.1475e-29,0.707978,-0.875758,3.30449e-13,28223,39576.8,2.0122,34.8471,0.0066,1.37751 
52,20,0.7,10,1,6.11098e-07,8.84194e-07,1.22076e-29,0.691136,-0.809885,3.29324e-14,33981.6,47277.7,1.95921,36.0958,0.0066,1.31134 
53,20,0.7,2,9,5.58803e-07,8.89467e-07,1.22804e-29,0.628245,-0.551304,2.44801e-13,34593.3,46983.3,1.76132,32.6435,0.0066,1.42737 
54,20,0.7,5,6,6.09523e-07,8.24303e-07,1.13807e-29,0.739441,-0.995346,-5.3081e-13,27533.6,37225.8,2.11111,36.2598,0.0066,1.31764 
55,20,0.7,0.1,10.9,5.51913e-07,8.17846e-07,1.12916e-29,0.674837,-0.744853,-4.84893e-13,26891.6,35536,1.90789,32.5127,0.0066,1.3876 
56,20,0.7,3,8,5.45379e-07,8.58533e-07,1.18533e-29,0.635245,-0.581141,-7.05275e-13,31108.1,41113.8,1.78333,31.9019,0.0066,1.35545 
57,20,0.7,9,2,6.37142e-07,8.04029e-07,1.11008e-29,0.792437,-1.18739,-1.37802e-12,25551.5,33293.4,2.27726,38.1515,0.0066,1.3299 
58,20,0.7,8,3,6.20588e-07,8.19907e-07,1.132e-29,0.756901,-1.05986,-5.49199e-13,27095.4,36730.4,2.16593,37.0029,0.0066,1.33502 
59,20,0.7,7,4,6.15367e-07,8.45637e-07,1.16753e-29,0.727697,-0.951216,-9.48981e-13,29727.2,39456.8,2.07421,36.5481,0.0066,1.33635 
60,20,0.7,1,10,5.63206e-07,8.55494e-07,1.18114e-29,0.658341,-0.677661,-1.01012e-12,30778.9,40443.5,1.85597,33.0838,0.0066,1.34663 
61,20,0.7,6,5,5.86834e-07,8.65414e-07,1.19483e-29,0.678096,-0.757963,-2.28185e-13,31862.1,43055.9,1.91815,34.5888,0.0066,1.35919 
62,20,0.7,4,7,5.50239e-07,8.85371e-07,1.22239e-29,0.621478,-0.522184,-1.03488e-12,34117.6,44152.7,1.74008,32.1013,0.0066,1.39934 
63,20,0.7,10,1,6.1436e-07,7.87363e-07,1.08707e-29,0.780276,-1.14432,-1.55107e-13,23995.3,33615.1,2.23917,36.7358,0.0066,1.24947 
