cyc,amplitude,wiggle time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,meanEk,meanEk_kHz,meanEtof,meanEtof_kHz,meanEtot,meanEtot_kHz
15,1.4,0.5,15,11694.4,0,5,101,125,0,5,135,-0.391717,-0.814052,-2.26772,-2.01269,-1.6117,-135.549,28.0235,14056.2,-23.2609,16439.4,0.132017,-0.290317,-1.22025,-1.48895,-1.08797,0.691504,35.945,14650.4,-15.3394,2.04959,0.00140005,1.00057,17.5377,4.92417e-30,7.4315,8.11964e-30,12.2541,1.62393e-29,24.5082 
16,0.5,0.5,16,11110.7,0,5,101,125,0,5,135,0.556212,0.441254,-2.07034,-2.6258,-0.0176149,-99.024,31.9798,13590.7,-32.1452,16439.4,0.938821,0.823862,-1.30512,-2.24319,0.364994,0.0813107,37.7667,14024.7,-26.3582,6.15403,0.00153642,1.00102,6.13692,4.40104e-30,6.64201,7.40324e-30,11.1729,1.48065e-29,22.3458 
17,0.35,0.5,17,12840.9,0,5,101,125,0,5,135,-1.69935,1.36366,-2.33209,-1.87599,0.339509,-135.772,43.4182,15471.5,-37.2084,16439.4,-1.17475,1.88825,-1.2829,-1.3514,0.864105,-0.214069,51.3527,16066.5,-29.2739,3.16523,0.0018231,1.00099,16.224,4.97509e-30,7.50835,8.16891e-30,12.3284,1.63378e-29,24.6569 
18,0.8,0.5,18,14470,0,5,101,125,0,5,135,-0.926635,1.84494,-1.85168,0.934788,-0.770864,-153.471,26.0728,16973.6,-32.9468,16439.4,-0.333654,2.43792,-0.665716,1.52777,-0.177883,1.23874,35.0417,17646.3,-23.9779,5.59042,0.00113344,1.00074,6.26816,4.77496e-30,7.20633,7.87614e-30,11.8866,1.57523e-29,23.7732 
19,0.65,0.5,19,13329.3,0,5,101,125,0,5,135,-3.7259,-0.792161,-1.91539,-0.251298,1.86204,-87.9789,27.8208,15888.2,-30.1386,16439.4,-3.38597,-0.452228,-1.23552,0.0886346,2.20198,0.556064,32.9623,16273.8,-24.9972,11.1146,0.00115608,1.00083,2.96568,4.79045e-30,7.2297,7.96248e-30,12.0169,1.5925e-29,24.0338 
20,0.2,0.5,20,15306.7,0,5,101,125,0,5,135,0.610389,-0.965155,-3.57682,0.370932,-0.0864511,-147.17,20.0337,17861.5,-31.5381,16439.4,1.17902,-0.396519,-2.43955,0.939568,0.482185,-9.36815,28.6343,18506.6,-22.9374,25.8119,0.000883361,1.00067,1.10934,4.30841e-30,6.50221,7.29673e-30,11.0122,1.45935e-29,22.0243 
21,1.55,0.5,21,6812.68,0,5,101,125,0,5,135,-0.158512,0.160528,0.408208,-0.192096,0.234379,-132.093,11.0074,9436.44,-35.5753,16439.4,0.35187,0.670909,1.42897,0.318286,0.744761,0.593441,18.7269,10015.4,-27.8558,-1.27394,0.00106732,1.00151,-14.7,3.95337e-30,5.96638,6.75995e-30,10.202,1.35199e-29,20.4041 
22,1.1,0.5,22,10492.9,0,5,101,125,0,5,135,-2.63605,0.719505,-0.700398,0.385935,-0.0847395,-149.692,27.5727,13251.1,-46.27,16439.4,-2.05767,1.29788,0.45636,0.964314,0.49364,0.604722,36.3207,13907.2,-37.522,-4.17207,0.00149015,1.00147,-8.70567,3.67599e-30,5.54777,6.52821e-30,9.85231,1.30564e-29,19.7046 
23,1.25,0.5,23,15026.4,0,5,101,125,0,5,135,-0.796549,1.41045,2.29464,0.165029,1.88872,-177.271,35.4457,17912.3,-35.602,16439.4,-0.11161,2.09539,3.66452,0.849968,2.57366,0.596059,45.8054,18689.3,-25.2423,2.95239,0.00139855,1.00073,15.5147,4.2651e-30,6.43685,7.3277e-30,11.0589,1.46554e-29,22.1178 
24,1.7,0.5,24,8014.71,0,5,101,125,0,5,135,0.0269727,2.8492,-0.19041,-0.117022,-1.47678,-136.955,33.9821,10659.8,-39.3746,16439.4,0.556141,3.37837,0.867926,0.412146,-0.947612,0.796595,41.9858,11260.1,-31.371,9.67274,0.00212618,1.00151,4.34063,5.00298e-30,7.55045,8.19584e-30,12.3691,1.63917e-29,24.7382 
