cyc,wiggle time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
11,6,11,8139.05,0,5,101,125,0,5,135,-5.62072,-7.90097,-19.9035,-7.30553,-8.25961,211.353,18.8064,17628,24.904,16439.4,-6.43735,-8.7176,-21.5368,-8.12216,-9.07624,0.600358,6.45495,16701.7,12.5525,0.299979,0.0002208,0.999592,21.518,964.854,1096.11,0.261807,30272.7,1.11233e-06,0.924541,114.4,84.3676,42.3527,44.9138,0.942978,1642.28,1871.24,1.576 
12,12,12,7329.56,0,5,101,125,0,5,135,-8.12885,-7.01991,-13.2376,-12.8004,-13.1893,242.318,24.6712,16747.1,45.4342,16439.4,-9.06512,-7.95618,-15.1101,-13.7367,-14.1256,0.748138,10.5102,15685,31.2731,0.218789,0.000382755,0.998919,48.0379,1330.21,1575.86,0.413516,32234.1,1.13585e-06,1.27468,115.358,84.0544,43.1395,46.7498,0.922773,1703.86,2027.36,1.6363 
13,0.01,13,8049.13,0,5,101,125,0,5,135,-8.88548,-6.95522,-12.4419,-6.41244,-6.94693,229.554,25.1891,17244.3,35.5488,16439.4,-9.77243,-7.84217,-14.2158,-7.29939,-7.83389,0.697302,11.7739,16238.1,22.1337,0.307138,0.000414159,0.999261,38.3343,1128.2,1312.63,0.36207,30619.6,1.11656e-06,1.08989,114.088,84.9184,40.9511,43.9078,0.932662,1535.38,1788.36,1.48407 
14,3,14,9340.74,0,5,101,125,0,5,135,-14.3668,-9.55114,-22.3788,-7.35924,-11.4691,214.023,38.7294,18360.5,47.0232,16439.4,-15.1938,-10.3781,-24.0327,-8.18619,-12.296,0.657101,26.2219,17422.4,34.5156,0.387665,0.000859299,0.998926,67.6406,1383.99,1583.45,0.537608,34229.4,1.15882e-06,1.27748,114.347,84.6352,41.5456,44.1723,0.940537,1580.28,1809.97,1.45945 
15,18,15,6762.56,0,5,101,125,0,5,135,-4.1022,-10.4183,-19.7308,-7.32425,-14.7674,186.701,38.8109,16524.2,30.0609,16439.4,-4.82358,-11.1396,-21.1736,-8.04563,-15.4888,0.651011,27.9001,15705.9,19.1501,0.548348,0.00101406,0.999339,50.8802,1087.94,1222.1,0.279432,29974.4,1.10866e-06,1.04005,114.866,84.5677,44.1254,46.5529,0.947856,1782.64,2010.32,1.70752 
16,9,16,7910.83,0,5,101,125,0,5,135,-5.92511,-7.84907,-16.2252,-8.45338,-10.5833,190.369,33.7401,17207,24.6952,16439.4,-6.66066,-8.58462,-17.6963,-9.18893,-11.3189,0.668914,22.615,16372.6,13.5701,0.581376,0.000788675,0.99955,38.899,1283.64,1470.73,0.378983,32528.1,1.13929e-06,1.20602,114.993,85.8643,43.3285,46.1859,0.938132,1718.83,1978.75,1.61874 
17,15,17,5310.88,0,5,101,125,0,5,135,-2.75404,-6.41259,-13.7574,-8.61368,-14.7122,243.818,13.5026,15553.3,45.8872,16439.4,-3.6961,-7.35465,-15.6416,-9.55574,-15.6542,0.698635,-0.746119,14484.6,31.6385,-0.0200461,-2.94358e-05,0.998816,37.2201,1336.13,1583.81,0.407899,31428.1,1.1263e-06,1.29158,115.57,86.1113,43.3598,46.9774,0.922994,1721.31,2047.15,1.66667 
18,21,18,6158.5,0,5,101,125,0,5,135,-12.5928,-9.48655,-19.0473,-11.0255,-12.5452,207.125,12.3013,15285.9,60.6302,16439.4,-13.3931,-10.2868,-20.6479,-11.8258,-13.3455,0.702904,0.196911,14378.1,48.5258,0.00337016,7.82577e-06,0.998171,58.4278,1027.55,1152.41,0.232385,29195.5,1.09897e-06,0.990188,115.691,86.6178,46.5603,49.1833,0.946669,1984.8,2243.92,1.92033 
19,6,19,5992.31,0,5,101,125,0,5,135,-11.2028,-4.92995,-14.8741,-9.59667,-9.94966,277.643,23.9617,16388.6,25.1082,16439.4,-12.2755,-6.00271,-17.0197,-10.6694,-11.0224,0.701356,7.73628,15171.7,8.88277,0.42055,0.000291296,0.999682,18.3956,1234.12,1386.4,0.39227,29919.8,1.10799e-06,1.18056,114.631,84.209,41.9167,44.1898,0.94856,1608.64,1811.41,1.54065 
20,12,20,7943.07,0,5,101,125,0,5,135,-9.90381,-6.86329,-20.8927,-5.90085,-14.5127,182.281,18.2756,17364.4,42.3113,16439.4,-10.6081,-7.56759,-22.3013,-6.60515,-15.217,0.642029,7.62307,16565.5,31.6588,0.167123,0.00026289,0.998964,45.6136,1270.61,1425.2,0.358187,32512.7,1.13911e-06,1.18135,115.1,85.6586,43.8757,46.2347,0.948979,1762.51,1982.93,1.64117 
