cyc,dummy,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
13,13,13,21838.6,0,5,101,125,0,5,135,-5.40483,-4.32163,-7.87129,-6.27659,-3.23144,-23.0215,1.90833,28611.5,-12.7105,16439.4,-5.31588,-4.23268,-7.69339,-6.18764,-3.14249,0.710471,3.2537,28712.4,-11.3651,-0.313325,6.47503e-05,1.00021,-10.3844,422.311,488.536,0.480123,38095.9,8.93802e-07,0.508187,109.3,85.1898,23.059,24.5662,0.938647,483.334,558.842,0.58147 
14,14,14,19725.3,0,5,101,125,0,5,135,-8.82322,-7.03866,-6.49253,-3.63002,-6.84223,-107.541,-3.20204,26362,-2.17031,16439.4,-8.4077,-6.62315,-5.66149,-3.21451,-6.42671,0.813359,3.08264,26833.4,4.11437,0.384375,6.5642e-05,0.999917,8.01989,434.916,524.591,0.647007,34861.9,8.67759e-07,0.550445,109.391,85.2195,22.5781,24.5713,0.918881,463.385,559.075,0.586553 
15,15,15,19575.5,0,5,101,125,0,5,135,-4.92468,-2.8737,-4.6168,-4.96606,-4.75999,-84.7603,14.1532,25793,-3.49494,16439.4,-4.59718,-2.54621,-3.9618,-4.63857,-4.43249,0.80364,19.1066,26164.5,1.45845,0.916088,0.000417109,0.99997,20.8567,403.966,488.9,0.502744,33782.9,8.58712e-07,0.51753,109.4,86.0261,22.398,24.4171,0.917308,456.02,552.077,0.584311 
16,16,16,19173.4,0,5,101,125,0,5,135,-2.85513,-3.01464,-10.5578,-2.78933,-2.671,-79.4654,2.61839,25637.5,-7.31154,16439.4,-2.54809,-2.7076,-9.94375,-2.48229,-2.36396,0.503946,7.26234,25985.8,-2.66758,1.78821,0.000159674,1.00006,4.06125,429.906,498.76,0.548532,33962,8.60227e-07,0.538294,109.294,86.2666,22.8393,24.3733,0.93706,474.165,550.099,0.593707 
17,17,17,19241.9,0,5,101,125,0,5,135,-0.53138,-2.68894,-6.18951,-9.4838,-5.10686,-109.204,1.58505,25814.5,1.9276,16439.4,-0.109438,-2.267,-5.34562,-9.06186,-4.68492,0.751006,7.96692,26293.2,8.30947,0.444129,0.000173115,0.999828,17.9383,419.832,500.525,0.583904,34215.6,8.62363e-07,0.531571,109.691,85.5457,22.4,24.2325,0.924381,456.103,543.761,0.577492 
18,18,18,20355.1,0,5,101,125,0,5,135,-7.40092,-2.58277,-5.20128,-10.9621,-10.2756,-35.5045,1.10328,26568.5,6.78403,16439.4,-7.26374,-2.44559,-4.92692,-10.8249,-10.1384,0.861602,3.17816,26724.1,8.85891,0.230154,6.79525e-05,0.99982,13.8089,392.771,474.626,0.45163,35105,8.69771e-07,0.49641,109.613,85.6355,22.464,24.4627,0.918295,458.713,554.144,0.579665 
19,19,19,19335.1,0,5,101,125,0,5,135,-0.425385,1.59567,-2.23976,-3.24741,-5.43987,-115.404,8.40257,25430.9,0.74501,16439.4,0.0205153,2.04157,-1.34796,-2.80151,-4.99397,0.809646,15.1468,25936.8,7.48925,0.627615,0.000333597,0.999843,24.1339,430.463,495.362,0.633897,33277.1,8.54405e-07,0.540462,109.161,85.4984,22.5111,23.9171,0.941215,460.639,529.7,0.578138 
20,20,20,19779.5,0,5,101,125,0,5,135,-4.0056,-2.32777,-9.26113,-7.66288,-4.30975,-90.76,-1.23414,25775,-0.384768,16439.4,-3.65492,-1.97709,-8.55977,-7.3122,-3.95907,0.663836,4.06988,26172.8,4.91925,0.408091,8.88493e-05,0.999898,9.97297,394.885,476.684,0.446999,33992.1,8.60481e-07,0.504208,109.525,85.5322,22.5557,24.5557,0.918555,462.466,558.363,0.59055 
21,21,21,18507.6,0,5,101,125,0,5,135,-3.56285,-5.48547,-12.5783,-5.9124,-4.88324,-25.6155,-3.31693,24992.7,-4.83726,16439.4,-3.46388,-5.3865,-12.3804,-5.81343,-4.78426,0.611028,-1.81996,25105,-3.3403,0.312262,-4.14269e-05,1.00007,-5.82832,423.441,506.132,0.587969,33268.8,8.54334e-07,0.541877,109.556,85.4624,22.4849,24.3536,0.923268,459.567,549.212,0.588054 
22,22,22,19739.8,0,5,101,125,0,5,135,-1.45447,-6.2907,-7.41668,0.0971286,-1.84605,-15.0875,-3.11106,26168.4,-20.9175,16439.4,-1.39618,-6.2324,-7.30009,0.155424,-1.78775,0.5592,-2.22934,26234.5,-20.0358,0.0848552,-4.8561e-05,1.00041,-26.2723,416.383,490.492,0.523882,34479.2,8.64571e-07,0.522711,109.232,85.5881,22.606,24.3023,0.930201,464.529,546.897,0.582986 
