cyc,dummy,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
55,55,55,18279.2,0,5,101,125,0,5,135,-6.23995,-7.5033,-3.99674,-2.28037,-2.06852,-123.114,6.83336,24542.3,11.2012,16439.4,-5.76426,-7.02761,-3.04536,-1.80468,-1.59283,0.841674,14.0282,25081.9,18.396,0.388556,0.000319494,0.999602,36.1033,410.551,478.898,0.559609,32167,8.44797e-07,0.524871,109.528,85.8047,22.2561,23.8197,0.934356,450.261,525.396,0.575736 
56,56,56,18090.2,0,5,101,125,0,5,135,-4.33062,-5.07394,-8.37723,-6.81781,-6.0574,-85.7615,-0.845561,24193.4,7.41859,16439.4,-3.99926,-4.74257,-7.7145,-6.48645,-5.72603,0.73091,4.16634,24569.3,12.4305,0.218328,9.68908e-05,0.999725,19.0829,412.1,490.164,0.607776,31699.6,8.40685e-07,0.534612,109.395,85.9731,22.1118,23.8864,0.925704,444.439,528.342,0.576409 
57,57,57,18331.9,0,5,101,125,0,5,135,-7.09736,-0.895469,-9.48747,-6.52284,-3.72144,-18.6256,-0.560242,24610.4,-5.85719,16439.4,-7.02539,-0.823503,-9.34354,-6.45088,-3.64948,0.657655,0.528236,24692,-4.76872,-0.101697,1.22244e-05,1.0001,-5.19422,396.843,467.705,0.488429,32553.7,8.48168e-07,0.507941,109.377,85.8769,22.2841,23.977,0.929394,451.394,532.356,0.577959 
58,58,58,19503.4,0,5,101,125,0,5,135,-6.36932,-3.28455,-5.64936,-5.30619,-2.79955,-98.006,-6.71456,25586.6,-9.77171,16439.4,-5.99064,-2.90588,-4.89201,-4.92752,-2.42087,0.768556,-0.987087,26016.1,-4.04424,0.169017,-2.16812e-05,1.00008,-5.84017,429.396,499.766,0.656812,33955,8.60167e-07,0.538555,109.702,85.8643,22.4095,23.9516,0.935614,456.488,531.23,0.572497 
59,59,59,19241.9,0,5,101,125,0,5,135,-5.1907,-3.81181,-7.08013,-1.54295,-3.32877,-70.8961,0.615112,25349.8,-2.85742,16439.4,-4.91677,-3.53788,-6.53227,-1.26902,-3.05484,0.661729,4.75828,25660.5,1.28575,0.755141,0.00010595,0.999973,6.30118,418.986,488.58,0.533441,33393.5,8.554e-07,0.52893,109.467,85.9511,22.6182,24.1998,0.934643,465.029,542.295,0.587068 
60,60,60,20019.8,0,5,101,125,0,5,135,-7.27291,-7.19204,-7.36177,-2.7764,-8.29721,-6.2598,-5.98394,26458.2,-6.80731,16439.4,-7.24872,-7.16785,-7.3134,-2.75221,-8.27302,0.776726,-5.61811,26485.6,-6.44149,0.420899,-0.000121226,1.00013,-13.3479,425.121,517.458,0.574689,34855,8.67701e-07,0.540534,109.653,85.7046,22.581,24.6953,0.914385,463.501,564.728,0.589624 
61,61,61,18600.3,0,5,101,125,0,5,135,-1.31951,0.613781,-7.34068,-3.70637,-9.95173,-63.0536,4.56857,24853.9,2.52286,16439.4,-1.07589,0.857408,-6.85342,-3.46274,-9.7081,0.661438,8.25343,25130.3,6.20771,0.525606,0.000187637,0.999866,15.7027,392.677,470.166,0.48415,32543.1,8.48076e-07,0.50665,110.011,85.7322,22.2082,24.0711,0.922607,448.325,536.544,0.578315 
62,62,62,18014.1,0,5,101,125,0,5,135,-6.68774,-2.82322,-6.95162,-5.13295,-8.43668,-72.6073,-4.87819,24434,1.00725,16439.4,-6.4072,-2.54268,-6.39054,-4.85241,-8.15614,0.774576,-0.635022,24752.3,5.25043,-0.112086,-1.46603e-05,0.999885,5.66549,405.815,477.078,0.511225,32247.4,8.455e-07,0.52041,109.577,86.055,22.3943,24.0537,0.931013,455.869,535.767,0.584514 
63,63,63,18451.7,0,5,101,125,0,5,135,-7.43101,-3.10841,-0.235691,-3.96176,-1.91164,-71.4601,11.5588,24677.1,-5.01553,16439.4,-7.1549,-2.83231,0.316524,-3.68565,-1.63553,1.02111,15.735,24990.3,-0.839404,1.06839,0.000359666,1.00002,14.7277,421.793,486.394,0.623766,32470.5,8.47445e-07,0.534481,109.364,85.982,22.313,23.7401,0.939884,452.565,521.89,0.57348 
64,64,64,17172.2,0,5,101,125,0,5,135,-4.9048,-3.46275,-10.0476,-5.87999,-4.31348,-27.2444,-5.79618,24077.4,-12.3603,16439.4,-4.79953,-3.35748,-9.8371,-5.77472,-4.20821,0.648387,-4.20402,24196.8,-10.7682,0.245478,-9.92915e-05,1.00024,-17.1258,431.265,506.875,0.663803,31853.2,8.4204e-07,0.555251,109.859,85.799,22.4401,24.1062,0.930886,457.737,538.108,0.589399 
65,65,65,18976.4,0,5,101,125,0,5,135,-3.64963,-6.48197,-2.23622,-7.77975,-7.325,-134.63,3.71601,25248.5,-9.86033,16439.4,-3.12944,-5.96179,-1.19585,-7.25957,-6.80482,0.950892,11.5838,25838.6,-1.99254,1.2601,0.000256114,1.00004,9.19275,397.499,474.848,0.484283,33171.6,8.53501e-07,0.509028,109.705,85.5979,22.3281,24.1793,0.923437,453.179,541.379,0.580338 
66,66,66,19393.3,0,5,101,125,0,5,135,-3.0868,-1.14346,-10.1982,-5.64274,-5.03527,-139.548,-1.99636,25324.2,-0.558145,16439.4,-2.54762,-0.604275,-9.11986,-5.10355,-4.49609,0.583023,6.15884,25935.8,7.59705,0.403189,0.000135676,0.999841,15.2753,386.765,456.7,0.458425,32504.8,8.47743e-07,0.495764,109.381,85.5802,22.2431,23.9525,0.928633,449.733,531.268,0.576593 
67,67,67,16462.3,0,5,101,125,0,5,135,-4.6624,-0.228857,-14.7083,-0.836366,-0.540205,-56.9933,-5.19127,23229.7,-9.81941,16439.4,-4.44219,-0.00864647,-14.2678,-0.616155,-0.319995,0.27408,-1.86058,23479.5,-6.48872,0.192866,-4.52836e-05,1.00015,-9.64705,415.954,490.594,0.582526,30670,8.31483e-07,0.543289,109.498,85.4101,22.3012,24.0132,0.928705,452.085,533.963,0.590898 
68,68,68,18472.1,0,5,101,125,0,5,135,-6.90966,-1.30832,-7.54433,-5.73139,-4.6762,28.1532,-9.21488,24494.8,5.5768,16439.4,-7.01843,-1.4171,-7.76188,-5.84017,-4.78498,0.710621,-10.8602,24371.5,3.93152,1.76808,-0.000254699,0.999912,-6.14232,414.424,488.846,0.543277,32728.4,8.49683e-07,0.529727,109.318,85.6071,22.4401,24.1497,0.929212,457.738,540.05,0.585152 
69,69,69,17886.4,0,5,101,125,0,5,135,-3.46521,-3.51169,-4.32751,-10.5243,-9.67982,-95.9997,-1.97596,23832.3,-3.254,16439.4,-3.09429,-3.14077,-3.58567,-10.1533,-9.3089,0.877551,3.63427,24253.1,2.35622,0.562429,8.56198e-05,0.999947,6.46173,423.829,491.633,0.767219,31542.6,8.39295e-07,0.543878,109.274,85.6509,22.0257,23.5062,0.937018,440.986,511.654,0.565961 
70,70,70,18056.2,0,5,101,125,0,5,135,-3.91487,-3.77154,-7.76807,0.293433,-4.90924,-74.3906,3.77106,23706.8,-4.28374,16439.4,-3.62744,-3.48411,-7.19321,0.580863,-4.62181,0.607908,8.11844,24032.8,0.0636416,0.990681,0.000192995,0.999999,8.19481,417.705,482.576,0.677491,31117.9,8.35511e-07,0.53736,109.679,85.7409,22.048,23.4798,0.939021,441.88,510.506,0.568461 
71,71,71,19804,0,5,101,125,0,5,135,-4.8176,-1.19119,-4.94901,-5.1266,-7.8576,28.0443,8.66751,26238.6,-6.35154,16439.4,-4.92596,-1.29955,-5.16573,-5.23496,-7.96596,0.789944,7.0286,26115.7,-7.99045,-2.74561,0.000153767,1.00017,-2.55994,452.049,519.448,0.746366,34998.3,8.68889e-07,0.557698,110.096,85.4421,22.7868,24.2038,0.941458,471.99,542.473,0.58236 
72,72,72,20269.4,0,5,101,125,0,5,135,-8.15516,-3.15849,-8.03257,-7.16759,-6.35468,-41.5679,-17.884,27218.2,-9.13533,16439.4,-7.99455,-2.99788,-7.71135,-7.00698,-6.19407,0.758302,-15.4547,27400.4,-6.7061,0.65759,-0.000322408,1.00013,-23.502,449.711,515.086,0.647854,35847.8,8.75863e-07,0.549504,109.405,85.1466,22.9687,24.346,0.94343,479.556,548.867,0.585757 
73,73,73,21681,0,5,101,125,0,5,135,-5.58586,-6.32688,-8.72768,-5.09393,-6.87719,-117.085,-5.93413,27634.4,1.1985,16439.4,-5.13347,-5.87449,-7.8229,-4.64154,-6.4248,0.73834,0.908304,28147.6,8.04093,0.0860347,1.84393e-05,0.999845,10.5574,419.306,492.628,0.533888,36193.8,8.78672e-07,0.517248,109.54,85.5537,22.6312,24.3028,0.931217,465.566,546.923,0.574285 
74,74,74,19510.1,0,5,101,125,0,5,135,-8.79755,-2.86019,-6.79591,-6.74549,-7.63358,-58.4011,6.98091,26083.1,-7.70427,16439.4,-8.5719,-2.63454,-6.34461,-6.51984,-7.40793,0.798448,10.3939,26339.1,-4.29131,1.98193,0.000225445,1.00009,5.24431,425.902,490.913,0.554822,34302.3,8.6309e-07,0.529787,109.17,86.2657,22.693,24.1445,0.93988,468.11,539.822,0.582429 
75,75,75,20320.7,0,5,101,125,0,5,135,-6.40374,-0.36366,-6.05667,-6.62433,-6.61056,-101.544,0.364706,26283.4,-11.7844,16439.4,-6.01139,0.0286856,-5.27198,-6.23199,-6.21822,0.777599,6.29893,26728.5,-5.85013,-8.73356,0.000134647,1.00012,-0.721232,419.29,496.012,0.549321,34805.3,8.67289e-07,0.525823,109.422,85.4579,22.5487,24.2946,0.928139,462.179,546.551,0.579504 
76,76,76,20112.6,0,5,101,125,0,5,135,-7.1214,-0.44719,-3.41601,-3.57081,-8.7658,-113.453,-3.61088,26194.4,1.36609,16439.4,-6.68304,-0.00883091,-2.53929,-3.13245,-8.32744,0.877276,3.0193,26691.7,7.99627,0.239345,6.46345e-05,0.999837,12.6148,405.819,464.506,0.491089,34104.6,8.61429e-07,0.504014,109.704,86.0892,22.5265,23.8672,0.943826,461.268,527.492,0.572618 
77,77,77,21536.7,0,5,101,125,0,5,135,-5.47199,-1.57264,-8.87826,-8.59365,-4.3716,-107.745,4.17463,27238.8,-21.2931,16439.4,-5.05569,-1.15633,-8.04566,-8.17734,-3.95529,0.695128,10.4712,27711,-14.9965,-1.39159,0.00021588,1.00029,-7.52462,415.193,470.596,0.480791,35757.2,8.75125e-07,0.505102,109.628,85.4837,22.8546,24.1131,0.947806,474.802,538.419,0.577758 
78,78,78,17794.8,0,5,101,125,0,5,135,-8.87139,-1.87867,-4.57015,-8.28809,-7.13773,-109.731,-6.22349,23703.7,-6.72668,16439.4,-8.44741,-1.45469,-3.72219,-7.86411,-6.71376,0.868018,0.189189,24184.7,-0.313998,-1.00843,4.47009e-06,1.00001,-0.187608,425.615,507.972,0.72867,31254.5,8.36731e-07,0.555703,109.735,85.3965,22.1432,23.972,0.923711,445.702,532.132,0.582031 
79,79,79,18975.2,0,5,101,125,0,5,135,-1.84011,-5.40462,-7.39387,-0.784356,-5.58128,-99.5048,2.43926,24681.8,-3.3365,16439.4,-1.45564,-5.02015,-6.62494,-0.399889,-5.19681,0.645677,8.25431,25117.9,2.47856,0.735116,0.000187749,0.999946,11.2286,409.735,478.874,0.592093,32346.8,8.46367e-07,0.523363,109.752,85.5154,22.0996,23.6667,0.933785,443.95,518.666,0.566959 
80,80,80,18710.1,0,5,101,125,0,5,135,-5.05565,-3.00992,-2.77023,-6.49646,-6.42359,-115.539,-3.03011,24324.8,-9.39492,16439.4,-4.60923,-2.5635,-1.87739,-6.05004,-5.97717,0.910928,3.72198,24831.2,-2.64283,6.75999,8.56449e-05,1.00006,0.55059,413.555,462.68,0.524543,31888.2,8.42349e-07,0.519296,109.721,86.4652,22.5298,23.6179,0.953928,461.403,516.531,0.579557 
81,81,81,19662.2,0,5,101,125,0,5,135,-6.97554,-7.05459,-6.10696,-3.11952,-3.35841,-56.7003,6.79663,25636.6,7.9551,16439.4,-6.75647,-6.83551,-5.6688,-2.90044,-3.13934,0.775942,10.1102,25885.1,11.2687,0.427807,0.000223139,0.999764,23.6326,455.84,519.884,0.784579,33795,8.58814e-07,0.56684,109.653,85.3408,22.8182,24.1457,0.945023,473.291,539.871,0.588586 
83,83,83,20010.7,0,5,101,125,0,5,135,-5.30212,1.10725,-9.4169,-9.26552,-7.25626,-119.362,-5.44981,26166.3,1.25558,16439.4,-4.84092,1.56844,-8.49452,-8.80432,-6.79507,0.6896,1.52573,26689.5,8.23113,0.1338,3.26652e-05,0.999833,11.4031,437.393,500.782,0.602642,34322,8.63256e-07,0.542152,108.949,85.113,22.7924,24.1574,0.943496,472.223,540.399,0.585182 
84,84,84,19827.4,0,5,101,125,0,5,135,-1.84996,-3.95253,-1.50911,-7.42521,-5.97819,-33.8179,5.8988,25530.3,-9.40112,16439.4,-1.7193,-3.82186,-1.24778,-7.29454,-5.84753,0.937395,7.87511,25678.5,-7.4248,-7.61137,0.000175216,1.00016,-1.03465,418.536,482.709,0.538402,33742.6,8.58371e-07,0.523642,109.997,85.9607,22.5774,24.0218,0.939874,463.355,534.345,0.579687 
85,85,85,18436.5,0,5,101,125,0,5,135,-8.01997,-4.32112,-4.30338,-9.02706,-7.95873,-52.479,-2.59993,24479.4,-4.56801,16439.4,-7.8172,-4.11835,-3.89784,-8.82429,-7.75596,0.879747,0.466944,24709.4,-1.50113,-0.349923,1.07984e-05,1.00003,-1.33442,416.667,484.28,0.525364,32526.2,8.4793e-07,0.529764,109.542,85.1781,22.6057,24.1434,0.936307,464.516,539.772,0.590535 
86,86,86,20328.2,0,5,101,125,0,5,135,-4.32903,-2.40509,-8.30765,-2.41719,-7.87219,-98.0052,-3.08883,26176.6,11.2633,16439.4,-3.95035,-2.02642,-7.5503,-2.03851,-7.49352,0.672567,2.6386,26606.1,16.9907,0.114585,5.66669e-05,0.999653,23.0274,436.364,501.879,0.686447,34468.5,8.64482e-07,0.541338,109.721,85.4321,22.5126,23.923,0.941043,460.697,529.96,0.571575 
87,87,87,18220.6,0,5,101,125,0,5,135,-5.09518,-3.93435,-4.78386,-2.79024,-6.55783,-6.04024,11.3014,23961.7,-0.170371,16439.4,-5.07184,-3.91101,-4.73719,-2.7669,-6.53449,0.794227,11.6544,23988.1,0.182621,0.981543,0.000277546,0.999996,11.8735,398.88,460.847,0.493426,31219.3,8.36417e-07,0.512598,109.912,86.1175,22.3211,23.7634,0.939309,452.896,522.911,0.581822 
88,88,88,18023.9,0,5,101,125,0,5,135,-8.49267,-1.99596,-6.69893,-3.78361,-5.56356,-63.3,-8.59406,24036,21.41,16439.4,-8.24809,-1.75138,-6.20978,-3.53903,-5.31898,0.752275,-4.89481,24313.4,25.1093,-0.193959,-0.000115054,0.99944,25.2363,401.12,472.498,0.510812,31584.3,8.39664e-07,0.518479,109.431,85.676,22.2599,23.9349,0.930018,450.412,530.486,0.582152 
89,89,89,19510,0,5,101,125,0,5,135,-3.24002,-2.70606,-6.7228,-1.7342,-7.58717,-38.8307,13.9211,25454.6,-21.7544,16439.4,-3.08999,-2.55602,-6.42273,-1.58416,-7.43714,0.695461,16.1904,25624.8,-19.4851,-2.25125,0.000360912,1.00041,-7.19174,451.206,535.006,0.926604,33822.5,8.59047e-07,0.571939,109.651,85.1806,22.5427,24.3226,0.92682,461.93,547.813,0.585582 
90,90,90,19792.7,0,5,101,125,0,5,135,-9.58372,-4.32445,-4.05831,-3.44581,-5.74256,-34.2822,-1.22126,25439.8,-0.50801,16439.4,-9.45126,-4.19199,-3.79339,-3.31335,-5.6101,0.856094,0.782185,25590,1.49544,0.303559,1.7466e-05,0.999968,2.57671,429.505,496.712,0.5693,33894.7,8.59658e-07,0.537292,109.83,85.8901,22.7247,24.2081,0.938723,469.42,542.667,0.587113 
91,91,91,18157.3,0,5,101,125,0,5,135,-4.03317,-4.93322,-2.88353,-3.80373,-8.78982,-75.8045,8.33159,23978.8,1.05668,16439.4,-3.74028,-4.64033,-2.29775,-3.51083,-8.49693,0.898716,12.7616,24311.1,5.4867,0.659663,0.000299869,0.999877,19.3456,412.267,485.963,0.55827,31733.5,8.40984e-07,0.532234,109.362,85.5159,22.3159,24.0038,0.929682,452.683,533.546,0.58438 
92,92,92,18809.6,0,5,101,125,0,5,135,-6.52355,-1.9512,-2.81163,-3.37903,-8.41993,-94.745,11.7124,24680.7,-8.25658,16439.4,-6.15748,-1.58513,-2.07947,-3.01295,-8.05386,0.900451,17.2493,25095.9,-2.71968,1.23335,0.000392609,1.00006,13.9857,411.116,480.771,0.577495,32390.7,8.46751e-07,0.525044,109.385,86.0024,22.1971,23.7862,0.933196,447.878,523.915,0.572077 
93,93,93,18831.2,0,5,101,125,0,5,135,-0.764673,-3.48226,-1.13272,-2.8043,-7.45788,-77.7186,12.2515,24733.3,8.62229,16439.4,-0.464384,-3.18197,-0.532138,-2.50401,-7.15759,0.961551,16.7934,25073.9,13.1642,0.515287,0.000382571,0.999715,32.5904,421.64,487.945,0.529442,32530.5,8.47967e-07,0.534906,109.758,84.9911,22.7122,24.2082,0.938204,468.904,542.671,0.594883 
94,94,94,21780,0,5,101,125,0,5,135,-3.8857,0.0508896,-5.31664,-5.24331,-5.03695,-18.8329,3.78956,27595.2,-0.167064,16439.4,-3.81294,0.123656,-5.17111,-5.17054,-4.96419,0.727766,4.89015,27677.7,0.93353,0.813617,0.000100951,0.999982,6.01039,429.675,506.816,0.570968,36554.7,8.81583e-07,0.529337,109.709,86.0251,22.7226,24.4481,0.929422,469.335,553.483,0.578137 
95,95,95,20994.6,0,5,101,125,0,5,135,-5.60567,-3.87775,-11.7308,-0.814706,-5.07432,-26.1775,4.74705,27536.5,-4.62795,16439.4,-5.50452,-3.77661,-11.5286,-0.713561,-4.97318,0.564902,6.27687,27651.2,-3.09814,2.45276,0.000129698,1.00006,2.5591,413.698,484.457,0.499859,36403.6,8.80366e-07,0.508518,109.411,86.1159,22.6799,24.3192,0.93259,467.571,547.662,0.5748 
96,96,96,19371.4,0,5,101,125,0,5,135,-0.402304,-4.81357,-7.05678,-1.70968,-8.59381,-41.5818,8.53268,25058.2,8.79549,16439.4,-0.24164,-4.65291,-6.73545,-1.54901,-8.43314,0.688349,10.9627,25240.4,11.2255,0.448678,0.000248128,0.999759,24.4334,394.685,454.746,0.436016,32962.2,8.51701e-07,0.497419,109.646,86.0606,22.6563,24.1053,0.939888,466.597,538.068,0.588304 
97,97,97,19020.6,0,5,101,125,0,5,135,-3.4032,-0.622842,-5.01717,-4.76158,-5.26548,-56.5157,3.53073,25205.9,-3.53658,16439.4,-3.18484,-0.404477,-4.58044,-4.54322,-5.04711,0.742093,6.83351,25453.6,-0.233802,1.04281,0.000153387,1,6.55294,422.421,506.801,0.722258,33165.4,8.53447e-07,0.542144,109.755,86.2474,22.0711,23.9553,0.921342,442.805,531.395,0.568379 
98,98,98,18017.8,0,5,101,125,0,5,135,-6.19232,-5.48968,-6.55701,-3.00994,-0.461917,-13.4401,-0.826812,24230.6,9.46027,16439.4,-6.14039,-5.43775,-6.45315,-2.95801,-0.409987,0.698441,-0.041374,24289.6,10.2457,-0.00337651,-9.73353e-07,0.999771,12.2535,446.372,530.12,656.409,32041.1,8.43692e-07,0.576569,109.64,85.711,22.108,23.8266,0.92787,444.288,525.699,0.572818 
99,99,99,19927,0,5,101,125,0,5,135,-6.31261,-8.20061,-8.08432,-3.44924,-13.5636,-28.9212,12.1627,25887.1,2.60901,16439.4,-6.20086,-8.08886,-7.86082,-3.33749,-13.4518,0.798129,13.8529,26013.8,4.29916,0.728643,0.000304204,0.99991,19.0119,416.837,475.242,0.540846,34259.8,8.62734e-07,0.515898,109.492,85.9523,22.5162,23.8233,0.945132,460.844,525.553,0.570438 
100,100,100,18580.9,0,5,101,125,0,5,135,-5.94634,-5.15635,-9.34131,-4.10879,-10.0856,-1.65474,-0.52999,25052.2,1.89986,16439.4,-5.93995,-5.14995,-9.32853,-4.10239,-10.0792,0.73039,-0.433287,25059.4,1.99657,-0.220773,-9.88033e-06,0.999957,1.96259,421.798,495.31,0.534872,33376.5,8.55255e-07,0.534435,109.697,85.9736,22.6914,24.3558,0.931665,468.048,549.31,0.592868 
101,101,101,20483.6,0,5,101,125,0,5,135,-1.37593,-2.85176,1.49074,-3.98893,-2.70201,-38.6635,1.52262,26781.2,-12.9174,16439.4,-1.22654,-2.70238,1.78951,-3.83954,-2.55262,1.20975,3.78212,26950.7,-10.6579,-0.419891,8.01848e-05,1.00021,-9.00738,447.363,529.021,0.698866,35485.7,8.72904e-07,0.557314,109.647,86.0654,22.7669,24.5316,0.928062,471.164,557.269,0.587019 
102,102,102,21821.3,0,5,101,125,0,5,135,-3.85245,-4.45532,-10.4828,-5.8983,-7.66628,-77.2208,3.98919,27871.3,5.97162,16439.4,-3.55409,-4.15695,-9.88602,-5.59993,-7.36791,0.676556,8.50198,28209.7,10.4844,0.403257,0.00017219,0.999798,21.0833,406.859,493.868,0.496011,36720.8,8.82916e-07,0.507702,109.861,85.4584,22.5266,24.5764,0.916594,461.27,559.305,0.575285 
103,103,103,20538.9,0,5,101,125,0,5,135,-5.31786,-3.82273,-2.4217,-2.45585,-4.86822,-56.0059,8.73018,26600.7,6.82658,16439.4,-5.10147,-3.60634,-1.9889,-2.23946,-4.65182,0.886917,12.0032,26846.1,10.0996,0.497589,0.000255426,0.999796,24.1227,414.088,488.671,0.595635,34925,8.68282e-07,0.518076,109.387,85.651,22.2,23.8931,0.92914,447.994,528.636,0.560471 
104,104,104,20231.5,0,5,101,125,0,5,135,-5.04076,-4.54536,-2.07517,-3.4814,-3.63768,0.291481,11.4679,25995,8.24198,16439.4,-5.04188,-4.54649,-2.07742,-3.48252,-3.63881,0.889423,11.4509,25993.7,8.22495,0.537075,0.000251665,0.999828,21.3208,428.042,519.44,0.64646,34301.3,8.63082e-07,0.546335,109.741,85.4879,22.4108,24.4486,0.916649,456.542,553.504,0.582436 
105,105,105,20419.7,0,5,101,125,0,5,135,-1.26092,-5.27954,-8.64429,-2.86477,-2.67163,-73.9176,12.6453,26274.2,11.8581,16439.4,-0.975314,-4.99393,-8.07308,-2.57917,-2.38603,0.575269,16.965,26598.2,16.1778,0.466348,0.000364339,0.99967,36.3784,399.418,482.666,0.524302,34834.5,8.67531e-07,0.506118,109.42,85.7786,22.1316,24.1112,0.917898,445.236,538.33,0.564331 
106,106,106,17964.3,0,5,101,125,0,5,135,-5.95692,-2.6069,-6.71125,-6.8948,-6.9559,-14.3929,-3.28857,24117.2,7.67155,16439.4,-5.90131,-2.55129,-6.60003,-6.83919,-6.90029,0.77077,-2.44745,24180.2,8.51267,-0.315078,-5.78415e-05,0.999809,7.76775,435.996,513.75,0.755685,32269.3,8.45691e-07,0.559636,109.236,85.4278,22.3607,24.051,0.929718,454.502,535.648,0.58344 
107,107,107,18592.8,0,5,101,125,0,5,135,-8.09795,-1.62558,-6.68629,-4.27764,-10.5105,-110.857,1.79755,24618.2,19.8039,16439.4,-7.66962,-1.19725,-5.82963,-3.84931,-10.0822,0.796366,8.27606,25104,26.2824,0.207863,0.000188348,0.999432,39.815,415.28,479.372,0.555923,32710.5,8.49528e-07,0.525205,109.713,85.8909,22.4054,23.8541,0.93927,456.323,526.912,0.577202 
108,108,108,18271.5,0,5,101,125,0,5,135,-7.7667,-0.237972,-3.63596,-7.39205,-6.80053,-10.0914,4.81546,24398.3,11.3038,16439.4,-7.72771,-0.198981,-3.55798,-7.35306,-6.76154,0.861013,5.4052,24442.5,11.8935,0.274691,0.000126349,0.999736,19.6774,403.572,481.153,0.502365,32231.4,8.4536e-07,0.521267,109.744,85.3514,22.3926,24.2178,0.924637,455.802,543.1,0.588554 
109,109,109,18460.7,0,5,101,125,0,5,135,-6.82174,-1.32012,-11.0595,-6.47457,-4.98196,-48.7182,19.8442,24363.8,8.32923,16439.4,-6.6335,-1.13189,-10.6831,-6.28633,-4.79372,0.638212,22.6913,24577.3,11.1763,0.628518,0.000527301,0.999753,36.1029,402.72,487.544,0.515765,32238.7,8.45424e-07,0.524124,109.694,85.6196,22.2717,24.2863,0.917048,450.892,546.179,0.586988 
110,110,110,18198,0,5,101,125,0,5,135,-3.59711,-3.32892,-2.10184,-4.24646,-5.54688,-76.877,11.9606,24216.2,-11.5735,16439.4,-3.30008,-3.03189,-1.50776,-3.94942,-5.24985,0.911511,16.4533,24553.2,-7.08083,2.06796,0.000382773,1.00016,7.9563,425.955,498.61,0.66685,31965.8,8.43031e-07,0.546662,109.368,85.7058,22.2931,23.8966,0.9329,451.76,528.792,0.579766 
111,111,111,20610.7,0,5,101,125,0,5,135,-6.98665,-1.46887,-8.80615,-5.51645,-6.99964,-54.206,16.1588,26375.4,-3.10983,16439.4,-6.7772,-1.25943,-8.38726,-5.307,-6.7902,0.705928,19.3266,26613,0.0579746,0.996413,0.000414805,0.999999,19.3962,404.142,467.932,0.451739,34906.7,8.6813e-07,0.500925,109.728,85.8941,22.7859,24.2975,0.937785,471.951,546.685,0.585103 
112,112,112,20154.7,0,5,101,125,0,5,135,-3.72537,-1.04697,-0.0107677,-8.03008,-6.42112,-107.996,4.15906,26270.5,7.1626,16439.4,-3.30809,-0.629691,0.823784,-7.6128,-6.00384,1.04924,10.4704,26743.9,13.4739,0.393046,0.000223667,0.999727,26.639,426.801,501.52,0.617309,34414.9,8.64033e-07,0.535459,109.358,85.4333,22.4677,24.1292,0.93114,458.863,539.138,0.575653 
113,113,113,17179.6,0,5,101,125,0,5,135,-5.66617,-3.31826,-8.29377,-5.50953,-7.11423,-75.8697,7.63541,23158.2,-7.1436,16439.4,-5.37302,-3.02512,-7.70748,-5.21639,-6.82109,0.726132,12.0692,23490.7,-2.70977,1.36878,0.000293507,1.00006,8.81751,386.658,449.772,0.467906,30191.2,8.27133e-07,0.504179,109.493,86.0807,22.1516,23.6712,0.935803,446.042,518.864,0.58162 
114,114,114,19537.9,0,5,101,125,0,5,135,-1.96999,-4.48567,-12.5641,-6.52036,-8.58518,-86.2714,4.74306,25297.5,-4.1529,16439.4,-1.63665,-4.15234,-11.8975,-6.18703,-8.25184,0.629654,9.78476,25675.6,0.888797,0.901712,0.00021772,0.999981,10.8513,436.775,516.621,0.745444,33390,8.5537e-07,0.555343,109.425,85.7825,22.403,24.1393,0.928073,456.224,539.587,0.580051 
115,115,115,22261.6,0,5,101,125,0,5,135,-5.50026,-4.51152,-3.10479,-6.92343,-6.98732,-104.386,-4.39268,28071.7,-0.667346,16439.4,-5.09693,-4.10819,-2.29813,-6.5201,-6.58399,0.906608,1.70763,28529.2,5.43297,0.20756,3.4202e-05,0.999897,8.2272,428.228,505.992,0.604689,37218.1,8.86883e-07,0.524859,109.923,85.8481,22.5522,24.284,0.928686,462.322,546.076,0.566542 
116,116,116,17869.8,0,5,101,125,0,5,135,-7.44913,-4.65408,-9.63367,-5.42816,-9.02552,-89.3889,9.46898,24103,-0.689968,16439.4,-7.10375,-4.3087,-8.94291,-5.08278,-8.68014,0.737885,14.6929,24494.8,4.53392,0.72977,0.000342646,0.9999,20.1336,365.368,438.793,0.412433,31362.2,8.37691e-07,0.477981,109.08,85.7873,22.0392,23.9258,0.921146,441.527,530.086,0.577521 
