cyc,freq,amplitude,time,wait time,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
137,120,0.85,0.01,10,137,7.1181e-07,6.85318e-07,9.46184e-30,14.2797,1.03866,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.95411,-1.92042e-29,-8.41503e-13,28731.5,42939.9,3.04378,43.4643,2.71588,38.7821,-0.651667,0.0066,1.14829,6.683e-06 
138,120,0.85,10,0.01,138,7.62251e-07,7.18478e-07,9.91967e-30,14.9707,1.06092,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.01512,-2.12072e-29,-1.96379e-13,33107.1,52614.8,3.11283,46.6012,2.78534,41.6984,-0.711085,0.0066,1.15899,6.683e-06 
139,120,0.85,0.01,10,139,7.0955e-07,7.15881e-07,9.88382e-30,14.9166,0.991155,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.81993,-1.78288e-29,-1.38625e-13,32749.5,51410.3,2.89621,43.2016,2.57055,38.3438,-0.521239,0.0066,1.19295,6.683e-06 
140,140,0.75,0.01,10,140,7.16288e-07,7.16066e-07,9.88636e-30,14.9204,1.00031,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.84623,-1.82582e-29,-1.38342e-13,32774.8,51604.9,2.92468,43.6374,2.59826,38.7671,-0.54678,0.0066,1.16193,6.683e-06 
141,140,0.75,10,0.01,141,7.8544e-07,7.36038e-07,1.01621e-29,15.3366,1.06712,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.03188,-2.20341e-29,-5.57704e-13,35594.5,56168.9,3.13203,48.0345,2.8048,43.016,-0.727422,0.0066,1.13422,6.683e-06 
142,140,0.75,10,0.01,142,7.40559e-07,7.22506e-07,9.97528e-30,15.0546,1.02499,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.91607,-1.95909e-29,-9.4188e-13,33667.1,50740.5,3.00135,45.1841,2.67367,40.251,-0.614658,0.0066,1.14136,6.683e-06 
143,140,0.75,10,0.01,143,7.97305e-07,7.21032e-07,9.95493e-30,15.0239,1.10578,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-2.13458,-2.34974e-29,-1.01423e-12,33461.4,50862.1,3.2517,48.8532,2.92777,43.9864,-0.827634,0.0066,1.16955,6.683e-06 
144,140,0.75,10,0.01,144,7.40139e-07,7.42805e-07,1.02555e-29,15.4776,0.99641,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.83506,-1.8752e-29,-6.1047e-13,36585.3,56921.5,2.91256,45.0793,2.58644,40.0318,-0.535925,0.0066,1.10031,6.683e-06 
145,140,0.75,0.01,10,145,7.16728e-07,7.39531e-07,1.02103e-29,15.4093,0.969166,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.75586,-1.73751e-29,-3.67422e-13,36103.6,56306.3,2.82779,43.5744,2.50459,38.5941,-0.459075,0.0066,1.1645,6.683e-06 
146,140,0.75,0.01,10,146,7.10368e-07,7.46394e-07,1.03051e-29,15.5523,0.951733,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.70413,-1.67136e-29,-1.27951e-12,37118.1,54796,2.7735,43.1344,2.4529,38.1484,-0.408948,0.0066,1.18639,6.683e-06 
147,140,0.75,10,0.01,147,7.73206e-07,7.38313e-07,1.01935e-29,15.384,1.04726,1062.49,2846.28,2770.88,5.18941,21.1472,20.3169,-1.97782,-2.11138e-29,-3.10163e-13,35925.5,56436.7,3.07047,47.236,2.74262,42.1924,-0.674751,0.0066,1.2012,6.683e-06 
