cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,2.49,2.51,0,13986.5,0,5,101,125,0,5,135,-10.9725,-10.0619,-19.2914,-8.41365,-6.93486,354.58,-26.7537,27933.6,-60.9912,16439.4,-12.3426,-11.432,-22.0315,-9.78367,-8.30489,0.65519,-47.4753,26379.5,-81.7128,0.326222,-0.00102946,1.00168,-145.531,503.019,528.947,0.498351,37862.5,8.91973e-07,0.578291,111.38,86.5427,25.0192,25.4321,0.983766,569.002,598.931,0.654475 
1,4.99,0.01,1,18138.9,0,5,101,125,0,5,135,-10.7617,-7.9973,-21.1237,-9.33938,-11.8317,398.865,-21.4955,31411.6,-60.4156,16439.4,-12.3029,-9.53844,-24.206,-10.8805,-13.3728,0.655679,-44.8052,29663.3,-83.7252,0.308415,-0.000863863,1.00153,-145.275,546.188,578.81,0.623603,42398.7,9.26259e-07,0.607025,111.309,86.6906,25.3929,25.9053,0.980221,586.126,621.427,0.651565 
2,1.49,3.51,2,15711.1,0,5,101,125,0,5,135,-9.72654,-5.19443,-13.8589,-8.31922,-11.8415,392.305,-34.7777,29277.4,-44.8952,16439.4,-11.2423,-6.71022,-16.8905,-9.83501,-13.3573,0.708962,-57.704,27558,-67.8215,0.414869,-0.00119796,1.00134,-139.09,514.1,530.912,0.555024,39579.5,9.05257e-07,0.577116,111.359,86.5765,24.9271,25.12,0.992322,564.82,584.322,0.634614 
3,2.99,2.01,3,14718,0,5,101,125,0,5,135,-8.91124,-1.09134,-8.24444,-8.50841,-9.77996,303.509,-26.1001,27217.5,-61.1282,16439.4,-10.0839,-2.26404,-10.5898,-9.68111,-10.9527,0.756955,-43.8372,25887.2,-78.8652,0.31657,-0.000968592,1.00166,-138.476,521.762,541.093,0.632339,36855.1,8.8399e-07,0.601069,111.202,87.31,24.7795,25.0126,0.99068,558.148,579.334,0.643267 
4,4.49,0.51,4,15587.3,0,5,101,125,0,5,135,-8.37745,-7.26092,-23.1636,-8.59949,-9.32598,395.351,-18.6576,28882.1,-47.3236,16439.4,-9.90501,-8.78848,-26.2187,-10.127,-10.8535,0.602101,-41.7619,27149.3,-70.428,0.330721,-0.000879764,1.00141,-126.275,519.839,535.295,0.560453,38824.1,8.99461e-07,0.586475,110.864,87.0187,25.0447,25.1923,0.994141,570.159,587.688,0.64356 
5,3.49,1.51,5,13098.8,0,5,101,125,0,5,135,-11.7178,-13.2908,-9.73563,-8.33444,-11.8786,406.17,-9.56317,26708.3,-41.7635,16439.4,-13.2871,-14.8601,-12.8743,-9.9038,-13.4479,0.800005,-33.2997,24928,-65.5001,0.297585,-0.000763917,1.00143,-111.9,529.522,540.161,0.653983,37127.8,8.86166e-07,0.603516,111.428,86.9844,24.891,24.925,0.998636,563.184,575.285,0.64232 
6,3.99,1.01,6,15867.4,0,5,101,125,0,5,135,-12.7066,-9.60863,-13.3539,-14.6954,-11.0931,337.047,-41.3973,29382.3,-48.9355,16439.4,-14.0089,-10.9109,-15.9584,-15.9977,-12.3954,0.769624,-61.0943,27905,-68.6325,0.425883,-0.00125263,1.00134,-143.453,521.86,539.196,0.56139,39684.5,9.06057e-07,0.585457,111.13,87.3957,25.0791,25.2761,0.992206,571.729,591.608,0.641884 
7,0.49,4.51,7,15240.2,0,5,101,125,0,5,135,-4.12758,-8.31314,-15.3935,-9.93473,-8.01753,383.649,-21.1603,28521.8,-48.6752,16439.4,-5.60992,-9.79548,-18.3582,-11.4171,-9.49987,0.664264,-43.5807,26840.2,-71.0957,0.338109,-0.000928695,1.00144,-128.896,514.215,533.61,0.616519,38725.1,8.98696e-07,0.58287,111.006,86.5368,24.6513,24.8927,0.990303,552.39,573.795,0.626453 
8,0.99,4.01,8,17338.9,0,5,101,125,0,5,135,-13.1451,-3.62758,-12.6778,-16.0319,-11.3399,339.417,-32.2656,29970.4,-53.4129,16439.4,-14.4565,-4.93902,-15.3007,-17.3433,-12.6514,0.76348,-52.1011,28482.8,-73.2484,0.372153,-0.00104636,1.0014,-139.999,521.62,534.092,0.586938,40033.7,9.08707e-07,0.580846,111.1,87.2025,24.9588,25.0301,0.99715,566.256,580.148,0.630743 
9,0.01,4.99,9,17118.7,0,5,101,125,0,5,135,-4.27789,-6.65744,-11.3261,-10.1804,-8.41466,384.966,-36.6608,30311.6,-40.5017,16439.4,-5.76533,-8.14487,-14.3009,-11.6678,-9.90209,0.712723,-59.1582,28624.3,-62.9991,0.438999,-0.00118238,1.0012,-134.757,495.724,515.698,0.474758,40430.3,9.11697e-07,0.554583,111.149,86.3184,25.0171,25.2983,0.988886,568.906,592.645,0.636894 
10,1.99,3.01,10,18867.5,0,5,101,125,0,5,135,-10.9999,-10.7006,-4.47897,-8.03696,-9.18264,363.307,-18.4083,31752.4,-16.1354,16439.4,-12.4036,-12.1044,-7.28646,-9.4407,-10.5864,0.859393,-39.64,30160,-37.3671,0.469221,-0.000751607,1.00067,-84.4805,561.543,582.436,0.725577,42520.5,9.27146e-07,0.616833,110.903,87.0157,25.4413,25.6805,0.990684,588.362,610.69,0.646524 
11,2.49,2.51,11,13568.3,0,5,101,125,0,5,135,-12.4362,-12.2443,-18.1465,-7.63685,-3.60168,337.7,-9.61163,26674.8,-52.1842,16439.4,-13.741,-13.5491,-20.7561,-8.94165,-4.90649,0.664653,-29.3468,25194.6,-71.9194,0.253755,-0.000666046,1.00155,-115.65,523.599,534.727,0.637562,36366.5,8.80067e-07,0.601243,111.097,86.3953,24.8052,24.8538,0.998043,559.306,572.002,0.642699 
12,4.99,0.01,12,17885.8,0,5,101,125,0,5,135,-9.1373,-7.37668,-16.0033,-7.83378,-6.68443,302.225,-15.0227,30673.9,-59.3842,16439.4,-10.305,-8.54442,-18.3388,-9.00151,-7.85217,0.660656,-32.6848,29349.3,-77.0462,0.261185,-0.000636776,1.00143,-125.14,524.957,543.605,0.507566,40953.4,9.15612e-07,0.583434,110.943,86.2248,25.4946,25.7142,0.991461,590.829,612.289,0.656897 
13,1.49,3.51,13,15665.4,0,5,101,125,0,5,135,-7.40214,-6.45514,-19.6662,-6.27739,-11.4192,311.273,-27.1997,28911.7,-60.0868,16439.4,-8.60484,-7.65784,-22.0716,-7.48009,-12.6219,0.622296,-45.3904,27547.4,-78.2776,0.325792,-0.000942441,1.00154,-139.323,504.807,522.162,0.505678,39025.9,9.01017e-07,0.569813,111.043,87.3802,25.0111,25.2148,0.991921,568.632,588.74,0.642162 
14,2.99,2.01,14,16601.6,0,5,101,125,0,5,135,-8.14163,-8.90443,-3.37017,-6.0448,-7.5109,312.733,-36.5081,29625.1,-77.2805,16439.4,-9.34997,-10.1128,-5.78685,-7.25314,-8.71924,0.859617,-54.7843,28254.4,-95.5566,0.323302,-0.00110921,1.00184,-169.452,509.562,535.893,0.545208,39910.7,9.07775e-07,0.575651,111.117,87.0144,24.8737,25.298,0.983227,562.399,592.63,0.635969 
15,4.49,0.51,15,12674.7,0,5,101,125,0,5,135,-11.8725,-10.0014,-17.9489,-7.59064,-11.2119,299.544,-27.7038,26011.1,-67.0999,16439.4,-13.0298,-11.1588,-20.2637,-8.74802,-12.3693,0.690959,-45.2092,24698.2,-84.6053,0.3081,-0.00104707,1.00186,-146.735,531.154,545.813,0.677014,35799,8.75465e-07,0.615026,111.027,87.0697,24.8637,24.9787,0.995398,561.951,577.766,0.650858 
16,3.49,1.51,16,14598.2,0,5,101,125,0,5,135,-5.09147,-6.88506,-11.2009,-4.83784,-4.31029,360.835,-33.5001,28768.1,-44.0483,16439.4,-6.48567,-8.27925,-13.9893,-6.23203,-5.70449,0.656204,-54.5873,27186.6,-65.1355,0.411204,-0.00114868,1.0013,-132.75,549.806,591.914,1.05057,39735,9.06441e-07,0.629354,111.149,86.6981,24.7976,25.4935,0.972699,558.963,601.829,0.639865 
17,3.99,1.01,17,12514.9,0,5,101,125,0,5,135,-3.29056,-1.27232,-17.6779,-7.69152,-7.41682,330.442,-30.2951,26182,-57.7133,16439.4,-4.56733,-2.54908,-20.2314,-8.96828,-8.69359,0.55051,-49.6062,24733.7,-77.0244,0.349252,-0.00114738,1.00169,-142.035,500.233,544.508,0.600484,35896.1,8.76256e-07,0.595604,110.529,86.7439,24.3887,25.2099,0.967428,540.684,588.509,0.64375 
18,0.49,4.51,18,14673,0,5,101,125,0,5,135,-9.27235,-5.83626,-11.5331,-7.98019,-12.0541,372.956,-36.6334,28207.5,-50.5131,16439.4,-10.7134,-7.27729,-14.4151,-9.42121,-13.4951,0.739433,-58.4289,26572.8,-72.3087,0.402405,-0.00125805,1.00148,-145.199,486.4,530.858,497.066,36430,8.80579e-07,0.577056,110.824,86.9612,24.0869,24.854,0.969137,527.385,572.011,0.623732 
