cyc,delaytime,precharge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
21,10.99,10.02,44.723,21,34331,-0.490351,67.9144,11.7991,114.834,-0.124869,-908.876,460.994,1.12331,4.19167,4.31177,-0.859038,1.91394,18.391,62.4976,46.8432,35669.1,29780.4,1.00751,4.07586,4.08016,-0.974841,1.79814,0.591446,36.7024,45.8878,35643.3,0.00102866,0.31368,0.00236595,35680 
22,10.99,10.02,44.783,22,34429.2,-0.155,69.4415,11.3951,114.955,-0.150739,63.7052,2.49305e-09,2.71304,2.24257,-1.85183,-3.37822,2.18161,115.109,3008.88,63.8735,32751.4,26071.9,1.98823,1.51775,-3.30146,-4.10304,1.4568,-0.352103,2847.43,57.8938,32589.9,0.0803512,0.965642,0.0032617,35437.3 
23,10.99,10.02,44.923,23,33192.7,-0.00498547,65.4002,11.6025,114.946,-0.0298568,10.8891,500,1.81889,-0.24669,4.46117,-1.75518,2.71998,80.3135,157.551,49.4201,34309.5,24712.2,1.31318,-0.752403,3.44974,-2.26089,2.21427,0.12971,44.9036,45.2479,34196.8,0.00131137,0.361871,0.00243148,34241.7 
24,10.99,10.02,44.773,24,33778.7,-0.214898,67.8543,11.5005,115.039,0.184014,-12.518,500,1.26099,1.93976,0.122223,-2.98971,-1.16577,55.4265,1819.83,52.737,33314,25478.2,0.911989,1.59075,-0.575789,-3.33872,-1.51478,0.803253,1742.09,49.8577,33236.3,0.0498047,0.952305,0.00275572,34978.4 
25,10.99,10.02,44.833,25,32160.6,-0.0227609,66.2795,11.0997,114.718,-0.0521301,114.051,500,0.34151,-0.390836,1.9238,-1.02457,0.761118,86.2765,4380.01,73.4791,29108.8,24142.4,-0.20175,-0.934097,0.83728,-1.56783,0.217858,1.50789,4259,68.9972,28987.8,0.128102,0.972431,0.00436547,33246.8 
26,10.99,10.02,44.913,26,35206.2,-0.474531,69.8084,11.8006,114.787,0.559762,63.6779,3.7657e-09,4.94657,1.08453,2.1585,0.810192,-0.485396,21.8082,87.6525,36.362,36502.8,27977,4.80925,0.947206,1.88386,0.672871,-0.622717,0.755039,57.0644,35.2291,36472.3,0.00156215,0.480682,0.00177616,36529.3 
27,10.99,10.02,44.813,27,32671,-0.288164,67.916,11.1238,114.942,0.272776,203.713,2.85954e-09,4.22843,0.280884,1.8935,-1.46082,3.19839,73.7474,4230.05,61.1476,29847.8,26402.3,3.76407,-0.183484,0.964766,-1.92519,2.73402,0.819811,4126.61,57.3166,29744.4,0.121833,0.97627,0.00353713,33871 
28,10.99,10.02,44.863,28,34712,-0.12047,69.6282,11.413,114.973,0.125194,-54.8071,8.70944e-12,2.13034,1.16683,5.26743,2.19382,-0.355218,63.2993,2677.94,58.2146,33401.8,26092.4,1.73176,0.768252,4.47028,1.79524,-0.753797,0.442034,2589.16,54.9264,33313.1,0.072117,0.964204,0.00302805,35902.2 
29,10.99,10.02,44.803,29,34144.8,-0.059308,69.0118,11.3375,115.057,0.0900795,-92.9826,500,2.52215,1.27783,0.640534,0.0371658,0.242016,85.2372,4390.47,79.2216,31025.9,25743,1.98543,0.741112,-0.432898,-0.49955,-0.2947,1.28872,4270.91,74.7937,30906.4,0.121411,0.970265,0.00443813,35177.3 
30,10.99,10.02,44.903,30,33694.3,-0.153889,65.9958,11.7201,114.892,0.382712,-333.205,500,3.84793,1.51549,0.599919,2.96548,1.86751,46.9431,324.06,49.3748,34685.6,29330.5,3.55234,1.2199,0.00874218,2.66989,1.57192,0.999031,258.218,46.9362,34619.8,0.00740345,0.758669,0.00249123,34878 
