cyc,delaytime,precharge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
84,11.05,10.08,44.723,84,34410,-0.0674572,67.8839,11.7031,115.138,0.304525,-270.266,0.000467332,5.06937,3.61368,3.95948,1.90904,2.83648,10.1409,164.425,32.7401,35721.5,28541.2,5.00552,3.54982,3.83177,1.84518,2.77262,0.774667,150.202,32.2133,35707.3,0.00418886,0.727105,0.0016591,35857.5 
85,11.05,10.08,44.783,85,32927.7,-0.478439,67.8886,11.3347,115.03,-0.343895,1930.06,499.795,2.89396,2.00529,5.36346,-0.265912,0.296077,67.7669,1989.98,45.3189,32474.9,46656.4,2.46725,1.57858,4.51004,-0.692622,-0.130633,0.41675,1894.93,41.7986,32379.9,0.0552864,0.962833,0.0023723,34274.8 
86,11.05,10.08,44.923,86,34385.7,-0.0375063,67.4122,11.7007,114.988,-0.0103703,-0.992223,500,3.50717,3.13812,5.75314,-3.47334,1.76603,32.8483,130.676,36.6643,35611,25677.3,3.30033,2.93128,5.33947,-3.68018,1.55919,0.434983,84.6034,34.9579,35565,0.0023732,0.580351,0.00180739,35649.6 
87,11.05,10.08,44.773,87,34341.4,-0.0956013,67.3966,11.6792,114.59,0.262991,-427.124,1.71197e-11,4.08162,3.4577,5.32305,1.45024,-0.0476641,19.9574,1536.28,54.37,34171.8,29280.6,3.95595,3.33203,5.07171,1.32457,-0.173331,0.624622,1508.29,53.3333,34143.9,0.0423057,0.941726,0.00286914,35652.1 
88,11.05,10.08,44.833,88,35471.9,-0.384812,70.8359,11.5448,115.299,0.0629699,997.41,3.57386e-07,2.80573,2.20432,-0.0294936,-4.40812,-0.357149,64.7307,5253.79,77.6625,31526.1,28666.3,2.39814,1.79672,-0.844677,-4.81572,-0.764741,0.621267,5163,74.2998,31435.4,0.141072,0.975435,0.00433508,36598.3 
89,11.05,10.08,44.913,89,32134,0.0141899,64.0023,11.4661,114.851,-0.0349083,-0.255782,500,4.2333,2.66551,0.00456218,-1.74734,2.77391,-3.90055,243.6,41.6401,33168.6,23889.7,4.25786,2.69007,0.0536836,-1.72278,2.79847,0.993354,249.071,41.8427,33174,0.00745206,0.772803,0.00231808,33423.1 
90,11.05,10.08,44.813,90,32643.2,0.00306945,67.6136,11.0754,114.881,-0.0446065,42.4641,499.999,4.43075,1.76855,2.60586,-1.48078,1.6101,61.5721,4101.91,68.5887,29928.9,24439.1,4.04304,1.38085,1.83045,-1.86849,1.2224,0.723005,4015.55,65.3902,29842.5,0.118599,0.972292,0.00402014,33858.1 
91,11.05,10.08,44.863,91,32799.9,-0.0137955,66.9215,11.185,115.096,0.0720893,-65.5952,500,4.84099,-0.307582,4.85139,-0.607862,2.2717,19.364,3190.81,59.2397,30877.9,24520.6,4.71907,-0.429512,4.60753,-0.729792,2.14977,0.553407,3163.65,58.2337,30850.7,0.0930092,0.968793,0.0034651,34014.4 
92,11.05,10.08,44.803,92,35125.4,-0.427713,70.6037,11.4934,114.786,0.0904287,-244.459,151.718,3.39269,0.8373,1.1078,2.06086,0.426059,73.2912,3900.94,71.1909,32543,27136,2.9312,0.375805,0.184812,1.59937,-0.0354357,0.963445,3798.14,67.3836,32440.2,0.10481,0.969888,0.00381177,36238.4 
93,11.05,10.08,44.903,93,32095.4,-0.0565186,63.6507,11.4829,115.048,0.0961271,-131.709,440.817,3.47883,-1.64291,-3.17113,0.490524,0.61476,43.3432,539.932,52.4106,32868.1,24205.1,3.20591,-1.91583,-3.71697,0.217603,0.341839,-0.990399,479.139,50.159,32807.3,0.0143944,0.845166,0.00280848,33286.5 
94,11.05,10.08,44.733,94,33033.2,-0.0790245,65.0555,11.6969,115.047,-0.14426,242.545,8.70248e-12,0.392424,2.27081,0.0530993,-1.36359,2.86955,-10.3819,107.466,42.5456,34237,25910.4,0.457796,2.33618,0.183844,-1.29821,2.93492,0.96016,122.028,43.0849,34251.6,0.00355004,0.618093,0.00231182,34373.6 
95,11.05,10.08,44.843,95,34043.3,-0.420498,70.0882,11.2309,115.085,0.0361909,1480.26,4.81968,4.21336,2.26275,1.88188,1.98459,0.521301,4.72889,4409.12,49.1871,30923,27368.5,4.18359,2.23297,1.82233,1.95482,0.491525,0.829453,4402.49,48.9414,30916.4,0.12465,0.980917,0.00290762,35318.8 
96,11.05,10.08,44.793,96,35157.6,-0.321164,69.8549,11.5859,114.976,0.537525,56.938,4.07929e-10,3.25144,3.94798,0.464389,-2.20028,-0.823341,54.8317,3162.36,62.4559,33256.6,27342.6,2.90618,3.60272,-0.226133,-2.54554,-1.1686,1.08804,3085.46,59.6075,33179.7,0.0850806,0.967298,0.00329844,36265.1 
97,11.05,10.08,44.743,97,34024.2,-0.0784693,66.3598,11.7622,115.065,-0.188688,86.2096,1.71367e-08,4.5326,1.10743,2.35732,0.0774547,1.91279,39.0709,203.214,38.8846,35103.2,25938.7,4.28658,0.861407,1.86528,-0.168565,1.66677,0.780851,148.413,36.8549,35048.4,0.00421667,0.697073,0.00193331,35196.8 
98,11.05,10.08,44.853,98,34138.3,-0.052024,69.3505,11.2837,114.979,0.0789006,-21.7985,499.992,3.39355,2.02349,-2.01208,0.604568,1.23731,43.7388,4048.1,65.8828,31453.3,25529.9,3.11814,1.74808,-2.5629,0.329157,0.9619,1.71303,3986.76,63.6106,31392,0.112688,0.972836,0.00371884,35378.7 
99,11.05,10.08,44.763,99,33058,-0.291301,66.3286,11.5555,114.549,0.40926,-93.6288,10.6459,4.60959,-0.0103896,-0.022524,0.770208,1.00215,78.2417,855.979,41.0509,33653,26198.2,4.11692,-0.503057,-1.00786,0.277541,0.509483,1.29704,746.237,36.9864,33543.2,0.0217629,0.920186,0.00202708,34289.5 
100,11.05,10.08,44.893,100,33321.4,-0.438362,66.6169,11.6112,114.782,-0.415537,-73.8691,410.521,1.92494,2.16606,3.08961,1.66389,4.22663,34.5151,1125.29,38.3062,33571.5,26179.3,1.70761,1.94873,2.65494,1.44656,4.0093,0.774376,1076.88,36.5133,33523.1,0.0311238,0.943987,0.0020024,34599.9 
101,11.05,10.08,44.873,101,34655.2,-0.162034,69.4011,11.5163,114.85,0.366651,-112.793,8.42724e-12,2.03364,1.08231,5.51274,4.51345,1.55924,67.8817,2367.08,60.1126,33690.2,27364.3,1.60621,0.654874,4.65787,4.08602,1.13181,0.616219,2271.87,56.5863,33595,0.0633417,0.958233,0.00309319,35866.9 
102,11.05,10.08,44.823,102,33900.2,-0.0684874,69.0667,11.2105,114.932,0.066689,-81.725,500,5.45658,0.507394,1.39283,-1.64378,0.0423107,65.4959,4768.67,70.818,30474.2,25382.5,5.04417,0.0949843,0.568006,-2.05619,-0.370099,0.826873,4676.81,67.4156,30382.4,0.133398,0.975395,0.00407082,35059.2 
103,11.05,10.08,44.883,103,35485.4,-0.496407,71.1503,11.6246,115.041,0.64954,158.639,141.388,4.06,2.40391,4.97056,2.13056,0.470036,40.6575,1759.08,51.7086,35103.4,30278.9,3.80399,2.1479,4.45854,1.87455,0.214027,0.643288,1702.05,49.5965,35046.4,0.0463164,0.951481,0.00260011,36748.4 
