cyc,delaytime,precharge,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
42,11.01,10.04,44.723,42,33539.9,-0.0953538,65.6781,11.7078,114.626,0.158243,-20.285,500,0.34152,-0.307947,4.69007,1.68445,-1.40356,57.6403,183.204,45.5629,34709.7,25136.2,-0.021426,-0.670893,3.96418,1.32151,-1.76651,-0.402326,102.358,42.5686,34628.9,0.00294715,0.578775,0.00225935,34731.2 
43,11.01,10.04,44.783,43,35971.9,-0.0262352,71.6691,11.4595,114.835,0.0758102,60.8568,499.992,0.747426,5.01134,4.12685,-2.05267,1.99475,101.679,3151.94,57.6333,34105,26885.9,0.107182,4.3711,2.84636,-2.69291,1.3545,0.524515,3009.32,52.3513,33962.4,0.0813952,0.970456,0.00283147,36971.7 
44,11.01,10.04,44.923,44,34514.3,-0.12181,66.5465,11.9496,115.162,0.188927,-80.4453,5.76222e-10,1.49514,1.98369,3.92902,0.986937,2.01011,74.7865,84.8061,47.5222,35640.1,26381.3,1.02422,1.51278,2.9872,0.516026,1.5392,0.605881,-20.0893,43.6372,35535.2,-0.000565656,-0.35698,0.002257,35515.1 
45,11.01,10.04,44.773,45,35967.7,-0.0411407,70.9425,11.5724,114.777,0.0470893,-141.468,4.70936,4.70025,3.04112,3.88999,1.23126,3.16467,46.5584,2355.96,55.5114,34837.1,26942.3,4.40709,2.74796,3.30366,0.938095,2.87151,0.768462,2290.66,53.0928,34771.8,0.0618054,0.96102,0.00280481,37062.5 
46,11.01,10.04,44.833,46,34692.3,-0.381959,70.3901,11.321,115.112,-0.105182,134.24,394.757,3.20232,7.28177,2.95586,-0.562832,1.17699,51.2633,4527.13,69.7006,31387.6,26400.9,2.87953,6.95898,2.31027,-0.885623,0.854195,0.809342,4455.23,67.0376,31315.7,0.124549,0.974343,0.00392792,35770.9 
47,11.01,10.04,44.913,47,32646.5,0.0332384,64.3876,11.5562,114.853,0.00391552,-90.6924,500,1.09217,1.57544,2.56073,0.531024,2.72655,27.8948,148.671,56.7346,33813.7,24233.6,0.916528,1.39979,2.20943,0.355378,2.5509,0.702715,109.546,55.2855,33774.6,0.00323296,0.531015,0.00300627,33884.2 
48,11.01,10.04,44.813,48,34065,-0.0224591,68.8227,11.3051,114.948,0.0214205,16.5006,500,1.2163,1.0818,3.20007,-1.64273,-3.83898,120.022,4750.99,66.4122,30651.7,25339.6,0.460551,0.326051,1.68858,-2.39848,-4.59473,1.37374,4582.65,60.1773,30483.4,0.130686,0.977536,0.00362333,35066 
49,11.01,10.04,44.863,49,33510,-0.421915,67.9774,11.4237,114.787,1.41897,-1079.98,1.28712e-10,2.52277,2.49904,2.39449,-1.18019,-0.2082,78.2776,2255.64,51.2635,32588.5,75165.9,2.02988,2.00615,1.4087,-1.67308,-0.701093,0.541223,2145.85,47.1972,32478.7,0.0619747,0.962936,0.00266975,34624.5 
50,11.01,10.04,44.803,50,35098.4,-0.327683,70.5736,11.3755,115.188,-0.208576,648.207,3.96347,2.6823,2.06118,1.69718,0.589369,-1.31947,93.0271,4471.53,72.1782,31793.9,30535.4,2.09654,1.47542,0.525644,0.00360265,-1.90523,0.760632,4341.05,67.3457,31663.4,0.12057,0.973569,0.00390272,36004.5 
51,11.01,10.04,44.903,51,34137.1,-0.0478623,66.7734,11.7683,114.878,0.104325,-61.8475,9.03138e-12,1.07596,-0.0727396,3.15132,3.04612,-1.30186,43.7611,274.861,35.4165,35247.1,25790.7,0.800404,-0.348292,2.60021,2.77056,-1.57741,0.387534,213.482,33.1432,35185.7,0.0060307,0.786356,0.00173217,35399.2 
