,filename,ToTF,mu,popt,perr,SR,FM,CS,Ctilde,chi2,FDnorm,Convnorm
0,2024-06-12_S_e.dat,0.3,0.1,[0.00943843 0.13420919],[0.00217337 0.07327664],0.0096152410073119,-2.5206063328797557,-5.041212665759511,1.0228535776408534,0.0063593133704105,1.0189039973869438,1.0187332758986984
1,2024-06-12_S_e.dat,0.3,0.2,[0.01108901 0.20946176],[0.00215103 0.08942659],0.0112967585189037,-2.960560945760781,-5.921121891521562,1.201385680776064,0.0055390691291482,1.0189039973869438,1.018734293413058
2,2024-06-12_S_e.dat,0.3,0.3,[0.01318783 0.16315736],[0.00240341 0.09275125],0.0134348888153797,-3.5215265301750303,-7.0430530603500605,1.4290236294183518,0.0047417139151851,1.0189039973869438,1.0187339319324868
3,2024-06-12_S_e.dat,0.3,0.4,[0.01474173 0.11440422],[0.00268293 0.11289051],0.0150178977191807,-3.9371938695684854,-7.874387739136971,1.5977000386064948,0.0045318746404634,1.0189039973869438,1.018733915778613
4,2024-06-12_S_e.dat,0.3,0.5,[0.01603756 0.06472059],[0.00303993 0.14216165],0.0163380082720936,-4.284094730017349,-8.568189460034699,1.7384712417762591,0.0047452980757505,1.0189039973869438,1.0187339342767603
5,2024-06-12_S_e.dat,0.3,0.6,[0.01718276 0.0143055 ],[0.00344313 0.17809721],0.0175046633009212,-4.590893383188273,-9.181786766376543,1.862969104023852,0.0052395282189563,1.0189039973869438,1.0187340610942557
6,2024-06-12_S_e.dat,0.3,0.7,[ 0.01836278 -0.05545914],[0.00390923 0.21941404],0.0187067941816058,-4.907477567476695,-9.81495513495339,1.9914379019078776,0.0058728978100937,1.0189039973869438,1.0187341439559248
7,2024-06-12_S_e.dat,0.3,0.8,[ 0.01989863 -0.17181993],[0.00446072 0.25990504],0.0202714133510451,-5.3202932935262695,-10.64058658705254,2.1589571359858937,0.0065927886244616,1.0189039973869438,1.0187339314259
8,2024-06-12_S_e.dat,0.3,0.9,[ 0.02250166 -0.39307273],[0.00510351 0.27747252],0.0229231603425601,-6.021323897099812,-12.042647794199624,2.443432998617606,0.007599489019921,1.0189039973869438,1.0187336749468774
9,2024-06-12_S_e.dat,0.3,1.0,[ 0.02563437 -0.64798686],[0.00537351 0.25256729],0.026113848195789,-6.866089051890855,-13.73217810378171,2.786235859013961,0.0085809500323127,1.0189039973869438,1.0187317438593466
0,2024-07-17_I_e.dat,0.3,0.1,[0.0083994  0.36977129],[0.00051478 0.01878083],0.0085565894991944,-2.568462592532197,-5.136925185064394,1.042273486953739,0.0044284222187447,1.0189328976558822,1.01871423230746
1,2024-07-17_I_e.dat,0.3,0.2,[0.00984346 0.41021562],[0.00039778 0.02404545],0.0100276744574386,-3.009637952698308,-6.019275905396616,1.2213009652340712,0.0028154436046459,1.0189328976558822,1.0187143483371124
2,2024-07-17_I_e.dat,0.3,0.3,[0.01173874 0.44949673],[0.00029293 0.03088737],0.0119584295096192,-3.588651890972548,-7.177303781945096,1.456262875208761,0.0019876252399442,1.0189328976558822,1.018714770637683
3,2024-07-17_I_e.dat,0.3,0.4,[0.01409057 0.46855829],[0.00027605 0.03628178],0.0143542638445813,-4.3073535691712035,-8.614707138342407,1.74790960052747,0.0020728924533054,1.0189328976558822,1.0187142677288412
4,2024-07-17_I_e.dat,0.3,0.5,[0.01674905 0.46039276],[0.00031002 0.04504246],0.017062519686144,-5.120172365735403,-10.240344731470806,2.0777487361332145,0.0031924627752444,1.0189328976558822,1.0187157914979148
5,2024-07-17_I_e.dat,0.3,0.6,[0.01957538 0.43630086],[0.00043855 0.05561451],0.0199417358019147,-5.984656637914361,-11.96931327582872,2.4285535480858464,0.005344791365245,1.0189328976558822,1.0187152235511796
6,2024-07-17_I_e.dat,0.3,0.7,[0.02260637 0.39173119],[0.00059801 0.06915228],0.0230293816834878,-6.912307428063057,-13.824614856126114,2.804991120715806,0.0085325643419391,1.0189328976558822,1.0187118633700074
7,2024-07-17_I_e.dat,0.3,0.8,[0.02574811 0.33995448],[0.00085223 0.08482549],0.02622996213165,-7.874325196970906,-15.748650393941812,3.1953746978122166,0.0125974608236148,1.0189328976558822,1.0187141481036182
8,2024-07-17_I_e.dat,0.3,0.9,[0.02902572 0.27918708],[0.00115296 0.10290974],0.0295689107059512,-8.878485909227049,-17.756971818454097,3.6028597396688427,0.0173787883793046,1.0189328976558822,1.0187140596975155
9,2024-07-17_I_e.dat,0.3,1.0,[0.03241969 0.21216736],[0.00149434 0.12248331],0.0330263910731569,-9.918856972792025,-19.83771394558405,4.0250388203766505,0.022662206189545,1.0189328976558822,1.018713963020053
0,2024-07-17_J_e.dat,0.3,0.1,[0.00875393 0.16774114],[0.00055588 0.02362899],0.008917749662264777,-2.677333991576545,-5.35466798315309,1.0864531347482635,0.004825220046810724,1.018932897655883,1.01871423230746
1,2024-07-17_J_e.dat,0.3,0.2,[0.01064257 0.19512598],[0.00045031 0.02296671],0.01084174265925366,-3.2546684507298242,-6.5093369014596485,1.3207335177407193,0.0028862427945276145,1.018932897655883,1.0187143483371124
2,2024-07-17_J_e.dat,0.3,0.3,[0.01259479 0.24007236],[0.00033119 0.02086178],0.01283050260723776,-3.851113339388564,-7.702226678777128,1.562768848792669,0.0015354507986050125,1.018932897655883,1.018714770637683
3,2024-07-17_J_e.dat,0.3,0.4,[0.01462609 0.27754614],[0.0003374  0.02157687],0.0148998051994173,-4.471662280968156,-8.943324561936311,1.8145855235015513,0.0012790960858388035,1.018932897655883,1.0187142677288412
4,2024-07-17_J_e.dat,0.3,0.5,[0.01641108 0.29479979],[0.00054065 0.03356709],0.016718224660475296,-5.017109677809016,-10.034219355618031,2.035926243786165,0.002029514321704977,1.018932897655883,1.0187157914979148
5,2024-07-17_J_e.dat,0.3,0.6,[0.01786396 0.29754665],[0.0008285  0.05276837],0.018198284038800413,-5.461222877592583,-10.922445755185166,2.216145887508618,0.003320259781938407,1.018932897655883,1.0187152235511796
6,2024-07-17_J_e.dat,0.3,0.7,[0.01909549 0.29503077],[0.00112454 0.07588011],0.01945279711035665,-5.837745447719316,-11.675490895438632,2.368937480901409,0.004771703357102986,1.018932897655883,1.0187118633700074
7,2024-07-17_J_e.dat,0.3,0.8,[0.02021775 0.2829906 ],[0.00140891 0.10295782],0.020596109982849685,-6.181099404578767,-12.362198809157533,2.5082693625164136,0.006178109419064982,1.018932897655883,1.0187141481036182
8,2024-07-17_J_e.dat,0.3,0.9,[0.02130081 0.27094705],[0.00167864 0.1329049 ],0.02169943095045184,-6.512478440316932,-13.024956880633864,2.6427418613904092,0.007462320169780581,1.018932897655883,1.0187140596975155
9,2024-07-17_J_e.dat,0.3,1.0,[0.02237299 0.25889732],[0.00193728 0.16522555],0.02279168306843203,-6.8405620566059,-13.6811241132118,2.7758770901284575,0.008606375431287382,1.018932897655883,1.018713963020053
