cyc,freq,Vpp,time,wait time,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,tof,AR
0,5,1.8,0.1,10.9,4.09575e-07,9.3077e-07,1.28507e-29,0.440039,0.403344,8.00987e-14,71979.5,96470.3,1.19922,0.0066,1.43401 
1,5,1.8,1,10,4.14748e-07,9.41527e-07,1.29992e-29,0.440506,0.400461,-2.19772e-13,74504,98236.6,1.2005,0.0066,1.44271 
2,5,1.8,3,8,4.10703e-07,9.26444e-07,1.2791e-29,0.443311,0.383202,5.7975e-13,70980.6,96776.1,1.2082,0.0066,1.44489 
3,5,1.8,10,1,4.39248e-07,9.06096e-07,1.251e-29,0.48477,0.141936,1.08165e-13,66405.6,90087.4,1.32507,0.0066,1.42521 
4,5,1.8,8,3,4.33972e-07,9.1586e-07,1.26448e-29,0.473841,0.2032,9.08983e-13,68575.5,96405.3,1.29373,0.0066,1.43217 
5,5,1.8,2,9,3.91439e-07,9.05865e-07,1.25068e-29,0.432116,0.45287,5.66317e-13,66354.7,90274.4,1.17764,0.0066,1.45699 
6,5,1.8,6,5,4.29955e-07,9.14561e-07,1.26269e-29,0.470121,0.224408,5.70599e-13,68284.2,95242.2,1.28315,0.0066,1.42025 
7,5,1.8,4,7,4.34553e-07,9.36697e-07,1.29325e-29,0.463921,0.260195,5.48074e-13,73363.2,101203,1.26561,0.0066,1.4177 
8,5,1.8,5,6,4.38276e-07,9.35432e-07,1.2915e-29,0.468528,0.233551,-7.99612e-14,73066.5,98346.5,1.27863,0.0066,1.41231 
9,5,1.8,9,2,4.45531e-07,9.1954e-07,1.26956e-29,0.484515,0.143349,3.52611e-13,69405.4,96218.6,1.32434,0.0066,1.40969 
10,5,1.8,7,4,4.52451e-07,9.49681e-07,1.31118e-29,0.476424,0.188576,-3.38924e-13,76456.6,102578,1.30111,0.0066,1.41112 
11,5,1.8,0.1,10.9,3.79265e-07,9.17642e-07,1.26694e-29,0.413304,0.575014,-4.96054e-14,68976.5,90752.1,1.12737,0.0066,1.46798 
12,5,1.8,1,10,4.02238e-07,9.37505e-07,1.29437e-29,0.429052,0.472319,-3.29689e-13,73553.3,95137,1.16936,0.0066,1.46833 
13,5,1.8,3,8,4.22829e-07,9.36179e-07,1.29254e-29,0.451654,0.332623,-7.91314e-14,73241.8,98175.6,1.23127,0.0066,1.43809 
14,5,1.8,10,1,4.68404e-07,9.47699e-07,1.30844e-29,0.494254,0.0899983,-2.64644e-13,75978.9,103114,1.35256,0.0066,1.39848 
