cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,10.01,34.99,0,3917.41,0,5,101,125,0,5,135,-15.7845,-7.6245,-22.3291,-6.45551,-17.3252,352.247,-52.1832,18169.2,-40.2736,16439.4,-17.1455,-8.98551,-25.0512,-7.81652,-18.6862,0.677528,-72.7685,16625.3,-60.859,0.499101,-0.00250741,1.00199,-145.799,576.653,649.24,203.01,27180.5,7.9867e-07,0.766113,111.593,86.7487,25.307,26.591,0.951712,582.164,654.759,0.77303 
1,2.51,42.49,1,5660.3,0,5,101,125,0,5,135,-6.66488,-12.3145,-15.4098,-9.25175,-9.48966,392.274,-58.1094,19936.5,-27.2564,16439.4,-8.18055,-13.8301,-18.4412,-10.7674,-11.0053,0.703635,-81.0339,18217.1,-50.1809,0.573687,-0.00254832,1.0015,-141.251,583.756,664.496,3.68282e+09,29721.4,8.2282e-07,0.756932,112.04,86.247,25.3415,26.788,0.946003,583.756,664.498,0.756933 
2,20.01,24.99,2,5813.8,0,5,101,125,0,5,135,-11.9744,-11.6251,-26.6629,-7.87733,-9.83851,434.35,-76.826,20486.9,-30.1307,16439.4,-13.6527,-13.3033,-30.0194,-9.55557,-11.5168,0.615371,-102.209,18583.1,-55.5141,0.605412,-0.00315284,1.00162,-168.826,551.461,671.422,855.795,29927.7,8.2472e-07,0.737817,112.13,86.7045,25.5582,26.5872,0.961297,593.779,654.57,0.755934 
3,0.01,44.99,3,7102.03,0,5,101,125,0,5,135,-14.207,-3.45051,-20.041,-10.6335,-9.00768,404.146,-45.3296,20365.5,-51.805,16439.4,-15.7685,-5.01205,-23.1641,-12.195,-10.5692,0.652759,-68.9479,18594.1,-75.4233,0.432395,-0.00212339,1.00221,-159.456,572.394,627.064,9.96932e+09,29237.4,8.18329e-07,0.732109,111.071,86.2788,25.0937,26.0226,0.964306,572.395,627.066,0.73211 
4,25.01,19.99,4,6495.22,0,5,101,125,0,5,135,-7.354,-8.60404,-14.0127,-10.0691,-6.18163,420.527,-26.6388,19966.5,-41.7826,16439.4,-8.97883,-10.2289,-17.2624,-11.6939,-7.80647,0.691581,-51.2144,18123.3,-66.3583,0.391415,-0.0016174,1.00199,-130.844,584.928,631.874,306.882,29324.8,8.19144e-07,0.742175,111.754,86.8854,25.5781,26.1126,0.979533,594.708,631.41,0.748079 
5,7.51,37.49,5,6396.16,0,5,101,125,0,5,135,-9.57618,-10.8952,-13.0918,-5.78189,-12.6917,372.674,-25.5773,19712.4,-40.3461,16439.4,-11.0161,-12.3352,-15.9716,-7.22183,-14.1317,0.736774,-47.3564,18079,-62.1251,0.388465,-0.00149905,1.00187,-121.907,566.676,608.662,0.862104,28607.6,8.1241e-07,0.722903,111.595,87.1888,25.3367,26.0175,0.973831,583.532,626.822,0.744439 
6,5.01,39.99,6,6496.52,0,5,101,125,0,5,135,-12.3378,-8.4589,-13.6493,-9.89377,-7.13367,437.674,-58.6158,20667,-51.7939,16439.4,-14.0289,-10.15,-17.0315,-11.5849,-8.82476,0.723605,-84.1934,18748.7,-77.3716,0.475563,-0.00257268,1.00225,-177.039,561.47,616.73,0.707517,29926.4,8.24708e-07,0.713528,111.578,87.084,25.4938,26.4722,0.963039,590.79,648.922,0.750779 
7,15.01,29.99,7,9884.63,0,5,101,125,0,5,135,-11.7706,-7.64768,-21.8684,-7.0887,-7.25825,398.038,-40.8237,22719.9,-49.873,16439.4,-13.3085,-9.18561,-24.9443,-8.62664,-8.79619,0.615421,-64.085,20975.3,-73.1343,0.422039,-0.00174892,1.0019,-151.846,579.385,629.019,0.698568,32336.1,8.46274e-07,0.713353,111.549,86.7303,25.9242,26.753,0.969018,610.907,662.763,0.751892 
8,44.99,0.01,8,6766.68,0,5,101,125,0,5,135,-8.89823,-4.8103,-15.7899,-12.9239,-10.7489,367.495,-49.1034,20209.2,-54.0803,16439.4,-10.3182,-6.23023,-18.6298,-14.3439,-12.1689,0.698014,-70.5798,18598.5,-75.5567,0.43771,-0.00217324,1.00221,-161.248,568.813,625.174,0.60675,29545,8.21189e-07,0.726177,111.377,86.8121,25.9898,26.9947,0.962775,614.006,674.792,0.783842 
9,40.01,4.99,9,10237.4,0,5,101,125,0,5,135,-8.00268,-10.6957,-22.129,-9.64644,-10.0453,409.502,-49.3981,23622.8,-45.7778,16439.4,-9.58491,-12.2779,-25.2934,-11.2287,-11.6275,0.638729,-73.3294,21827.9,-69.7091,0.467125,-0.00192337,1.00174,-156.98,585.521,637.036,0.625685,33421.7,8.5564e-07,0.713776,111.218,86.6021,26.2975,27.1736,0.967759,628.627,683.763,0.766228 
10,12.51,32.49,10,6804.64,0,5,101,125,0,5,135,-3.30116,-5.48989,-17.733,-8.36122,-11.8893,454.754,-41.126,20548.2,-44.9096,16439.4,-5.05824,-7.24697,-21.2472,-10.1183,-13.6463,0.629304,-67.7018,18555,-71.4855,0.441099,-0.00208933,1.0021,-153.484,554.991,619.458,0.835423,29684.8,8.22482e-07,0.71289,111.403,86.5465,25.1081,26.2843,0.95525,573.049,639.741,0.736159 
11,30.01,14.99,11,7518.37,0,5,101,125,0,5,135,-8.03463,-7.54807,-11.6645,-8.35331,-10.4168,435.065,-43.0919,21118.6,-59.7093,16439.4,-9.71563,-9.22907,-15.0265,-10.0343,-12.0978,0.732165,-68.517,19211.8,-85.1345,0.401439,-0.00204211,1.00241,-170.678,576.761,623.303,0.727266,30481.6,8.29777e-07,0.722581,111.762,86.5945,25.7911,26.5671,0.970789,604.65,653.583,0.757602 
