cyc,amp (Vpp),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,0.48,0,19349.6,0,5,101,125,0,5,135,-5.63781,-5.03148,-16.082,-3.31818,-6.29839,-121.21,-2.30864,27778.4,-17.5689,16439.4,-5.16948,-4.56314,-15.1454,-2.84985,-5.83006,0.54868,4.77488,28309.7,-10.4854,-0.611571,9.63712e-05,1.0002,-7.80756,471.716,530.991,0.762733,36173.7,8.78509e-07,0.569689,109.968,85.2567,23.2529,24.4376,0.951521,491.496,553.007,0.593444 
1,0.04,1,20239.9,0,5,101,125,0,5,135,-7.97539,-4.25888,-8.2249,-6.94767,-7.99137,-102.117,-12.9249,28786.4,-31.903,16439.4,-7.58083,-3.86432,-7.43577,-6.55311,-7.59681,0.774884,-6.95718,29234,-25.9352,0.182702,-0.000136009,1.00048,-38.0795,420.348,475.693,0.515419,37228.2,8.86963e-07,0.504153,110.028,86.0926,22.7683,23.9912,0.949027,471.223,532.987,0.565022 
2,0.02,2,17882.8,0,5,101,125,0,5,135,-5.41372,-4.43154,-17.4073,-9.10033,-4.30418,-34.6441,-1.20137,26124.7,-28.4892,16439.4,-5.27986,-4.29768,-17.1396,-8.96648,-4.17033,0.569939,0.823227,26276.5,-26.4646,-0.0266121,1.79022e-05,1.00055,-30.9343,419.506,476.181,0.507382,34127.6,8.61623e-07,0.518726,109.978,85.5172,22.7952,24.0461,0.947978,472.338,535.431,0.583661 
3,0.96,3,20197,0,5,101,125,0,5,135,-5.71468,-4.39642,-11.4055,-6.24537,-6.15535,-19.4955,13.9336,28134.6,-22.0883,16439.4,-5.63935,-4.32109,-11.2548,-6.17004,-6.08002,0.663687,15.073,28220,-20.9489,-1.49745,0.00030512,1.0004,-10.0658,516.168,601.534,0.877964,36875.9,8.84157e-07,0.630226,109.51,85.6718,24.1635,25.843,0.935011,530.744,618.441,0.64798 
4,1.44,4,19933.5,0,5,101,125,0,5,135,-5.90022,-3.06137,-11.0275,-10.0411,-8.85213,-9.11997,8.40516,27897,1.56745,16439.4,-5.86498,-3.02613,-10.9571,-10.0059,-8.8169,0.716659,8.93813,27937,2.10042,0.780034,0.000182789,0.999959,11.4586,595.859,668.788,380925,36871.1,8.84119e-07,0.714011,108.779,84.9178,25.6028,26.8744,0.952686,595.857,668.788,0.71401 
5,0.01,5,16645.7,0,5,101,125,0,5,135,-3.24265,-3.13601,-12.6663,-7.93442,-9.10498,1.31417,4.15522,25752.1,-21.7271,16439.4,-3.24773,-3.14109,-12.6764,-7.93949,-9.11006,0.648997,4.07842,25746.3,-21.8039,-0.184659,9.05106e-05,1.00046,-22.0862,413.962,467.963,0.5578,33576.8,8.56962e-07,0.5136,109.658,86.0161,22.3624,23.5659,0.94893,454.57,514.257,0.564195 
6,0.24,6,18360.6,0,5,101,125,0,5,135,-6.15373,-4.28876,-5.21139,-6.86066,-6.77497,15.309,-9.81374,26812.1,-27.0607,16439.4,-6.21288,-4.34791,-5.32969,-6.91981,-6.83412,0.820213,-10.7084,26745,-27.9554,0.241971,-0.000228846,1.00057,-44.2548,410.608,465.198,0.469346,34835,8.67536e-07,0.503785,109.63,86.3461,22.8209,24.0573,0.948605,473.403,535.929,0.580606 
7,2,7,22479.9,0,5,101,125,0,5,135,-8.93473,-4.16025,-12.4274,-7.14587,-9.60275,6.70853,21.6265,30618.7,-24.6461,16439.4,-8.96065,-4.18617,-12.4793,-7.17179,-9.62867,0.705862,21.2345,30589.3,-25.0381,-2.40992,0.000396517,1.00044,-8.81127,623.086,727.06,0.852526,41050.9,9.16339e-07,0.734519,108.981,84.014,26.5921,28.4568,0.934473,642.794,749.868,0.757657 
8,0.08,8,22130.8,0,5,101,125,0,5,135,-6.38186,-8.22508,-13.1359,-8.05644,-10.0142,-13.7932,-10.8596,30162.6,-11.9652,16439.4,-6.32857,-8.17178,-13.0293,-8.00315,-9.96093,0.713602,-10.0535,30223,-11.1592,0.428821,-0.000190118,1.0002,-23.4445,422.165,486.856,0.466648,39132.5,9.01837e-07,0.502706,109.983,85.6539,23.1532,24.6346,0.939864,487.29,561.958,0.580254 
9,0.12,9,21933.8,0,5,101,125,0,5,135,-4.14803,-6.73915,-14.3293,-10.0666,-5.33533,8.87547,-9.45801,29950.7,-28.0544,16439.4,-4.18232,-6.77345,-14.3979,-10.1009,-5.36962,0.647319,-9.9767,29911.8,-28.5731,0.225389,-0.000190629,1.00052,-44.2644,424.894,487.168,0.475385,38764.3,8.98999e-07,0.506081,109.864,86.0937,23.1661,24.5624,0.943151,487.832,558.669,0.580702 
