cyc,ramptime,T,TF,EF,ToTF,wx,wy,wz,q,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SN,tof,AR,beta_visc
10,40,3.28825e-07,1.11045e-06,1.53314e-29,0.296119,1062.49,2846.28,2770.88,1.48514,-1.49401e-12,61115,37859.4,1.02069,23.6168,0.949541,21.9705,6.46314e-25,0.0066,1.0399,2.18576e-05 
11,50,3.43541e-07,1.1112e-06,1.53417e-29,0.309164,1062.49,2846.28,2770.88,1.32289,-1.00657e-12,61238.3,38712.3,1.05209,24.3595,0.969609,22.4499,2.61713e-24,0.0066,1.06639,2.20396e-05 
12,5,3.14097e-07,1.14877e-06,1.58606e-29,0.273419,1062.49,2846.28,2770.88,1.79419,-1.46516e-12,67663.7,41593.5,0.967526,23.1593,0.915807,21.9213,-3.05777e-24,0.0066,1.08198,2.08022e-05 
13,10,3.23324e-07,1.1085e-06,1.53045e-29,0.291677,1062.49,2846.28,2770.88,1.54281,-2.93745e-13,60794,39457.6,1.01013,23.3315,0.942819,21.7767,-4.98042e-26,0.0066,1.06245,2.18297e-05 
14,20,3.27052e-07,1.1228e-06,1.5502e-29,0.291282,1062.49,2846.28,2770.88,1.54799,-1.58413e-13,63177.7,40988.9,1.0092,23.6107,0.942225,22.0438,-1.12312e-25,0.0066,1.07257,2.15458e-05 
15,30,3.4354e-07,1.09039e-06,1.50545e-29,0.315061,1062.49,2846.28,2770.88,1.25273,-1.02888e-12,57862.6,36529.4,1.06647,24.2302,0.978842,22.2394,3.47496e-24,0.0066,1.04995,2.25524e-05 
16,40,3.36457e-07,1.1315e-06,1.56221e-29,0.297353,1062.49,2846.28,2770.88,1.46934,-7.40031e-13,64657.7,41161.6,1.02364,24.134,0.951419,22.4314,8.37403e-25,0.0066,1.07713,2.1469e-05 
17,50,3.35516e-07,1.0919e-06,1.50753e-29,0.307277,1062.49,2846.28,2770.88,1.34574,-8.79515e-13,58103.3,36756.5,1.04751,23.8324,0.966676,21.9934,2.33854e-24,0.0066,1.05904,2.23998e-05 
18,5,3.01078e-07,1.16015e-06,1.60176e-29,0.259516,1062.49,2846.28,2770.88,2.00328,-1.37437e-12,69693.5,42482.8,0.935982,22.6261,0.895912,21.6574,-5.52714e-24,0.0066,1.09236,2.03985e-05 
19,10,3.26201e-07,1.13839e-06,1.57171e-29,0.286547,1062.49,2846.28,2770.88,1.61102,-1.3328e-12,65844.7,41396.3,0.998034,23.6735,0.93513,22.1814,-8.7029e-25,0.0066,1.04008,2.11822e-05 
20,20,3.33247e-07,1.07551e-06,1.4849e-29,0.30985,1062.49,2846.28,2770.88,1.31462,-5.66512e-13,55525.6,35702.9,1.05375,23.6146,0.970679,21.7529,2.71802e-24,0.0066,1.04363,2.27817e-05 
21,30,3.34554e-07,1.10849e-06,1.53043e-29,0.301812,1062.49,2846.28,2770.88,1.41309,-7.2322e-13,60791.3,38833.8,1.03432,23.8898,0.958238,22.1325,1.51928e-24,0.0066,1.07102,2.19818e-05 
22,40,3.45169e-07,1.09907e-06,1.51743e-29,0.314056,1062.49,2846.28,2770.88,1.26455,-2.83011e-13,59255.2,38237.4,1.06401,24.3667,0.977262,22.3802,3.33024e-24,0.0066,1.07688,2.23586e-05 
23,50,3.43071e-07,1.10383e-06,1.524e-29,0.310801,1062.49,2846.28,2770.88,1.30321,-9.67877e-13,60027.9,38132.5,1.05607,24.2896,0.972163,22.3598,2.8574e-24,0.0066,1.07011,2.22119e-05 
24,5,3.08371e-07,1.16545e-06,1.60908e-29,0.264594,1062.49,2846.28,2770.88,1.92498,-1.07552e-12,70653,43822.5,0.947407,23.0069,0.903109,21.9311,-4.6058e-24,0.0066,1.08777,2.03788e-05 
25,10,3.32038e-07,1.12366e-06,1.55138e-29,0.295497,1062.49,2846.28,2770.88,1.49314,-4.29912e-13,63321.9,40954.5,1.01921,23.863,0.948597,22.2097,5.49665e-25,0.0066,1.0554,2.15915e-05 
