cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,EFkHz,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR,beta_visc
11,120,0.75,10,0.01,11,1.05904e-06,8.34472e-07,1.15211e-29,17.3876,1.26912,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.535,-3.70659e-29,-1.79009e-12,28234.5,41435.7,3.75492,65.289,3.47403,60.405,-1.22002,0.0066,1.14305,6.683e-06 
12,120,0.75,0.01,10,12,1.03379e-06,8.3688e-07,1.15544e-29,17.4378,1.23529,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.45613,-3.50563e-29,-1.32639e-12,28479.6,42792,3.65098,63.665,3.35739,58.5454,-1.14254,0.0066,1.13115,6.683e-06 
13,120,0.75,0.01,10,13,1.01879e-06,8.47631e-07,1.17028e-29,17.6618,1.20192,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.37638,-3.34259e-29,-9.46937e-13,29591.4,44719.7,3.54835,62.6701,3.24415,57.2974,-1.06428,0.0066,1.1669,6.683e-06 
14,120,0.75,0.01,10,14,1.04787e-06,8.40793e-07,1.16084e-29,17.5193,1.24628,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.48199,-3.59078e-29,-4.54539e-13,28880.9,44788.5,3.68479,64.5549,3.39511,59.48,-1.16793,0.0066,1.15659,6.683e-06 
15,120,0.75,10,0.01,15,1.07018e-06,8.24761e-07,1.13871e-29,17.1853,1.29756,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.59981,-3.84133e-29,-1.09823e-12,27260.2,41557,3.8422,66.0293,3.57348,61.4111,-1.28377,0.0066,1.13528,6.683e-06 
16,120,0.75,10,0.01,16,1.06392e-06,8.63729e-07,1.19251e-29,17.9972,1.23178,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.44784,-3.59565e-29,-1.1178e-12,31309.6,47670.8,3.6402,65.5135,3.34541,60.208,-1.1344,0.0066,1.13663,6.683e-06 
17,120,0.75,0.01,10,17,1.06342e-06,8.26585e-07,1.14122e-29,17.2232,1.28652,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.57481,-3.78036e-29,-1.3355e-12,27441.4,41622.3,3.80834,65.5919,3.53473,60.8795,-1.25917,0.0066,1.12379,6.683e-06 
18,120,0.75,10,0.01,18,1.03583e-06,8.35351e-07,1.15333e-29,17.4059,1.23999,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.46722,-3.5284e-29,-1.81234e-12,28323.8,42135.4,3.66544,63.8004,3.3735,58.7189,-1.15343,0.0066,1.08607,6.683e-06 
19,120,0.75,0.01,10,19,1.03507e-06,8.64132e-07,1.19306e-29,18.0056,1.19782,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.36642,-3.38178e-29,-1.40824e-12,31353.4,47120.1,3.5357,63.6625,3.23033,58.164,-1.05451,0.0066,1.13973,6.683e-06 
20,100,0.85,0.01,10,20,1.03926e-06,8.42396e-07,1.16305e-29,17.5527,1.23369,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.45237,-3.51879e-29,-1.68377e-12,29046.5,43307.2,3.64609,63.9986,3.35195,58.8357,-1.13885,0.0066,1.11953,6.683e-06 
21,100,0.85,10,0.01,21,1.04619e-06,8.60466e-07,1.188e-29,17.9292,1.21584,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.40989,-3.4809e-29,-1.54007e-12,30956.1,45891.7,3.59118,64.387,3.29117,59.0081,-1.09715,0.0066,1.14324,6.683e-06 
22,100,0.85,10,0.01,22,1.00242e-06,8.30753e-07,1.14698e-29,17.3101,1.20664,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.38777,-3.30464e-29,-1.09087e-12,27858.7,42006.7,3.56285,61.6734,3.26003,56.4315,-1.07545,0.0066,1.12972,6.683e-06 
23,100,0.85,10,0.01,23,1.01763e-06,8.15726e-07,1.12623e-29,16.997,1.24752,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.48487,-3.49123e-29,-1.1995e-12,26374.1,39595.7,3.68858,62.6947,3.39936,57.7788,-1.17077,0.0066,1.13784,6.683e-06 
24,100,0.85,10,0.01,24,1.15421e-06,8.53826e-07,1.17884e-29,17.7909,1.35181,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.71981,-4.33419e-29,-1.70433e-12,30245,45192.1,4.00841,71.3131,3.76658,67.0108,-1.40194,0.0066,1.13006,6.683e-06 
25,100,0.85,0.01,10,25,1.03662e-06,8.56224e-07,1.18215e-29,17.8408,1.21069,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.39753,-3.43137e-29,-1.80466e-12,30500.6,44651,3.57533,63.7868,3.27373,58.406,-1.08502,0.0066,1.15839,6.683e-06 
26,100,0.85,0.01,10,26,1.09797e-06,8.56078e-07,1.18194e-29,17.8378,1.28256,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.56579,-3.88951e-29,-8.04672e-13,30484.9,46845.9,3.79617,67.7153,3.52086,62.8044,-1.2503,0.0066,1.15611,6.683e-06 
27,100,0.85,10,0.01,27,1.06591e-06,8.47147e-07,1.16961e-29,17.6517,1.25823,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.50983,-3.69359e-29,-1.54044e-12,29540.8,44098.1,3.72149,65.6907,3.4363,60.6566,-1.19529,0.0066,1.1306,6.683e-06 
28,100,0.85,10,0.01,28,1.09485e-06,8.29717e-07,1.14555e-29,17.2885,1.31954,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.64898,-4.00421e-29,-1.10791e-12,27754.6,43054.2,3.90958,67.5909,3.65117,63.1234,-1.33217,0.0066,1.09179,6.683e-06 
29,100,0.85,0.01,10,29,1.00489e-06,8.23331e-07,1.13673e-29,17.1555,1.22051,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.42107,-3.35899e-29,-1.14455e-12,27118.7,41141.3,3.60556,61.855,3.30703,56.7337,-1.10812,0.0066,1.09732,6.683e-06 
30,100,0.85,0.01,10,30,1.05035e-06,8.15245e-07,1.12557e-29,16.987,1.28838,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.57904,-3.74003e-29,-1.20066e-12,26327.4,39863.2,3.81405,64.7891,3.54125,60.155,-1.26333,0.0066,1.11892,6.683e-06 
31,100,0.85,10,0.01,31,1.13358e-06,8.58231e-07,1.18492e-29,17.8826,1.32084,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.65185,-4.15037e-29,-2.38156e-12,30715.4,45115.9,3.91355,69.9846,3.65577,65.3749,-1.335,0.0066,1.13245,6.683e-06 
32,100,0.85,0.01,10,32,1.06725e-06,8.54612e-07,1.17992e-29,17.8072,1.24882,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.48791,-3.66595e-29,-1.45506e-12,30328.5,46042,3.69257,65.7545,3.40383,60.6128,-1.17375,0.0066,1.12065,6.683e-06 
33,100,0.85,0.01,10,33,1.00124e-06,7.93049e-07,1.09492e-29,16.5245,1.26252,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.51978,-3.48326e-29,-7.15361e-13,24235.1,36967.7,3.73468,61.7136,3.45116,57.0286,-1.20507,0.0066,1.15879,6.683e-06 
34,100,0.85,0.01,10,34,1.0229e-06,8.48419e-07,1.17137e-29,17.6782,1.20566,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.3854,-3.36883e-29,-1.08889e-12,29674,44833.1,3.55984,62.9315,3.25673,57.573,-1.07313,0.0066,1.15376,6.683e-06 
35,100,0.85,10,0.01,35,9.89555e-07,8.57367e-07,1.18372e-29,17.8646,1.15418,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.25861,-3.08577e-29,-1.0239e-12,30622.8,46214.4,3.40119,60.7611,3.08515,55.1152,-0.948895,0.0066,1.15396,6.683e-06 
36,100,0.85,10,0.01,36,1.07265e-06,8.45553e-07,1.16741e-29,17.6185,1.26858,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.53376,-3.75238e-29,-1.61853e-12,29374.3,43791.8,3.75327,66.1269,3.47216,61.1742,-1.21881,0.0066,1.14139,6.683e-06 
37,100,0.85,0.01,10,37,1.02622e-06,8.54758e-07,1.18012e-29,17.8103,1.2006,1301.28,3485.97,3393.63,6.32201,25.9163,24.8936,-2.37317,-3.36243e-29,-4.72481e-13,30344.1,47168.4,3.54427,63.1244,3.23969,57.6997,-1.06113,0.0066,1.13482,6.683e-06 
