cyc,freq,time,wait time,cyc2,T,TF,EF,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR
24,3,100,0.01,24,4.40411e-07,5.66921e-07,7.82719e-30,0.776848,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.13205,-6.88349e-30,-6.9824e-14,22730.8,34773.8,2.22846,26.3242,1.96471,23.2085,0.142879,0.0066,1.25379 
25,3,100,0.01,25,4.06956e-07,5.85496e-07,8.08366e-30,0.695061,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.825369,-4.63745e-30,-1.75284e-13,25039.1,36396.1,1.97155,24.0525,1.75626,21.426,0.435306,0.0066,1.32817 
26,3,0.01,100,26,3.97673e-07,5.72693e-07,7.90688e-30,0.694391,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.822728,-4.51717e-30,5.85766e-14,23432.1,34983.6,1.96945,23.5015,1.75461,20.9378,0.437818,0.0066,1.32867 
27,3,100,0.01,27,4.5794e-07,5.53932e-07,7.64786e-30,0.826708,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.30585,-8.25629e-30,-2.37995e-16,21203.9,33188.4,2.38425,27.5193,2.09813,24.2168,-0.024055,0.0066,1.2264 
29,3,100,0.01,29,4.13812e-07,5.71529e-07,7.89082e-30,0.724043,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.937377,-5.35551e-30,-7.70621e-14,23289.6,34784.8,2.06273,24.5645,1.82862,21.7765,0.328802,0.0066,1.30552 
30,3,100,0.01,30,4.23537e-07,5.66243e-07,7.81784e-30,0.747977,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.02705,-6.00575e-30,6.01783e-15,22649.3,34412.5,2.13791,25.2244,1.88962,22.2949,0.243287,0.0066,1.29128 
31,3,0.01,100,31,4.08767e-07,5.4979e-07,7.59068e-30,0.743496,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.01044,-5.70259e-30,-8.84406e-14,20731.8,30814.5,2.12384,24.3303,1.87812,21.5153,0.259139,0.0066,1.327 
32,3,100,0.01,32,4.18185e-07,5.66639e-07,7.8233e-30,0.73801,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.990018,-5.71604e-30,2.55107e-13,22696.9,35792,2.10659,24.8723,1.86408,22.0089,0.278616,0.0066,1.30708 
33,3,0.01,100,33,3.87371e-07,5.93845e-07,8.19892e-30,0.65231,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.652735,-3.49099e-30,1.96103e-13,26125.6,39802.5,1.837,22.7306,1.65264,20.4493,0.598884,0.0066,1.31861 
34,3,0.01,100,34,3.94988e-07,5.5357e-07,7.64286e-30,0.713529,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.897177,-4.89266e-30,6.15396e-15,21162.3,31756.4,2.02966,23.4112,1.80217,20.7872,0.367065,0.0066,1.2985 
35,3,100,0.01,35,4.19772e-07,5.50243e-07,7.59693e-30,0.762885,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.08169,-6.26903e-30,2.18816e-13,20783.1,32415.6,2.18469,25.0479,1.92819,22.1071,0.191073,0.0066,1.30571 
36,3,0.01,100,36,3.9114e-07,5.76941e-07,7.96554e-30,0.677955,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.757394,-4.09014e-30,-1.61395e-13,23957.5,34794.7,1.91771,23.0538,1.71435,20.6091,0.499792,0.0066,1.30734 
37,3,100,0.01,37,4.2028e-07,5.90437e-07,8.15188e-30,0.711812,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.890573,-5.16764e-30,1.29751e-13,25678.4,39718.6,2.02426,24.9039,1.79788,22.1188,0.373341,0.0066,1.26596 
38,3,0.01,100,38,3.90474e-07,6.02573e-07,8.31942e-30,0.648011,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.634853,-3.42254e-30,1.82872e-13,27294.5,41296.2,1.82348,22.8948,1.64242,20.6216,0.615794,0.0066,1.33558 
39,3,0.01,100,39,3.84906e-07,6.02982e-07,8.32507e-30,0.638337,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.594221,-3.15781e-30,2.06976e-13,27350.2,41296.5,1.79306,22.5282,1.61958,20.3486,0.654201,0.0066,1.33651 
40,3,0.01,100,40,3.97983e-07,5.85715e-07,8.08668e-30,0.679482,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.763521,-4.19536e-30,2.90873e-14,25067.2,37283.5,1.92252,23.463,1.71807,20.9678,0.493985,0.0066,1.33339 
41,3,0.01,100,41,3.78323e-07,5.82462e-07,8.04176e-30,0.649525,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.64116,-3.34899e-30,1.29608e-13,24651.8,37132.4,1.82824,22.1885,1.64601,19.9769,0.60983,0.0066,1.35185 
42,3,100,0.01,42,8.80373e-07,3.64047e-07,5.02621e-30,2.4183,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-4.44532,-5.40323e-29,-3.17112e-13,6018.91,32137.1,7.23905,54.9119,8.38993,63.6419,-3.1149,0.0066,743.291 
43,3,0.01,100,43,4.1198e-07,5.62917e-07,7.77191e-30,0.731866,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.966954,-5.50004e-30,5.17897e-13,22252.5,36474.1,2.08732,24.4828,1.84843,21.6808,0.300625,0.0066,1.32771 
44,3,100,0.01,44,4.4072e-07,5.4113e-07,7.47111e-30,0.814445,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.26397,-7.69099e-30,9.43522e-14,19767.5,31259.7,2.34597,26.4516,2.06488,23.2822,0.0162383,0.0066,1.23944 
45,3,100,0.01,45,4.1713e-07,5.81752e-07,8.03196e-30,0.717024,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.910589,-5.24418e-30,-2.35104e-14,24561.8,36581.3,2.04066,24.7364,1.81094,21.9518,0.354307,0.0066,1.29992 
46,3,0.01,100,46,4.03643e-07,5.30099e-07,7.31881e-30,0.761448,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.07646,-5.99902e-30,2.52604e-13,18583.1,29873.5,2.1802,24.0813,1.92446,21.2565,0.196079,0.0066,1.29681 
47,3,100,0.01,47,4.0845e-07,5.65928e-07,7.81349e-30,0.721734,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.928587,-5.23655e-30,3.81422e-13,22611.6,36161.4,2.05546,24.2381,1.82279,21.4944,0.337168,0.0066,1.2672 
48,3,100,0.01,48,4.33714e-07,5.81064e-07,8.02246e-30,0.746415,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.02127,-6.11546e-30,-5.8362e-14,24474.7,36862.5,2.13301,25.8253,1.88561,22.8298,0.248806,0.0066,1.30325 
49,3,100,0.01,49,4.36374e-07,5.79333e-07,7.99857e-30,0.753234,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.04643,-6.30454e-30,2.6367e-13,24256.7,37927.4,2.1544,26.0065,1.90318,22.9739,0.224767,0.0066,1.30864 
50,3,100,0.01,50,4.19555e-07,5.87988e-07,8.11805e-30,0.713545,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.897238,-5.19733e-30,9.55032e-14,25360.1,38961.1,2.02971,24.8674,1.80221,22.0801,0.367007,0.0066,1.28402 
