cyc,freq,time,wait time,cyc2,T,TF,EF,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR
94,4,0.01,100,94,3.82029e-07,5.7212e-07,7.89898e-30,0.667742,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.716128,-3.77721e-30,9.63356e-14,23361.9,34784.4,1.88556,22.4779,1.68961,20.142,0.538887,0.0066,1.33986 
95,4,100,0.01,95,4.60346e-07,6.00088e-07,8.28512e-30,0.76713,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.09709,-6.97285e-30,-3.46849e-14,26958.2,41414,2.198,27.4834,1.93925,24.2481,0.176343,0.0066,1.29362 
96,4,0.01,100,96,3.86748e-07,6.28264e-07,8.67413e-30,0.615582,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.496583,-2.65157e-30,1.98831e-13,30936.6,46745.2,1.72158,22.5371,1.56663,20.5086,0.746385,0.0066,1.33237 
97,4,100,0.01,97,4.61767e-07,6.01504e-07,8.30467e-30,0.767688,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.0991,-7.00719e-30,4.40829e-13,27149.6,44161.1,2.19976,27.5703,1.94071,24.3235,0.174427,0.0066,1.26757 
98,4,0.01,100,98,3.97756e-07,5.77156e-07,7.96851e-30,0.689164,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.802096,-4.4048e-30,1.80822e-13,23984.3,36558.4,1.953,23.4868,1.74175,20.9463,0.457399,0.0066,1.31269 
99,4,0.01,100,99,3.96588e-07,5.87568e-07,8.11225e-30,0.674965,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.745368,-4.08126e-30,-1.99889e-14,25305.8,37915.9,1.9083,23.3632,1.70708,20.8997,0.51119,0.0066,1.28121 
100,4,0.01,100,100,3.86055e-07,5.88819e-07,8.12953e-30,0.655644,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.666537,-3.55269e-30,2.43919e-13,25467.9,38558,1.84749,22.6668,1.66058,20.3737,0.585828,0.0066,1.33076 
101,4,0.01,100,101,3.90131e-07,5.65749e-07,7.81101e-30,0.689584,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.803766,-4.32937e-30,-1.07595e-13,22590.1,33136.7,1.95431,23.038,1.74278,20.5444,0.455808,0.0066,1.29845 
102,4,100,0.01,102,4.7468e-07,6.02123e-07,8.31322e-30,0.788344,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.17295,-7.68712e-30,-2.48519e-13,27233.5,41238,2.26446,28.4105,1.99505,25.0303,0.103687,0.0066,1.24173 
103,4,0.01,100,103,4.04446e-07,5.82471e-07,8.04189e-30,0.694363,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.822614,-4.59347e-30,-1.01288e-13,24653,36155.4,1.96936,23.9016,1.75454,21.2944,0.437926,0.0066,1.30962 
104,4,100,0.01,104,4.60544e-07,5.93791e-07,8.19818e-30,0.775598,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.12757,-7.16967e-30,-1.30681e-13,26118.5,39555.3,2.22456,27.5236,1.96142,24.2679,0.147174,0.0066,1.25873 
105,4,100,0.01,105,4.64073e-07,5.97082e-07,8.24362e-30,0.777235,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.13344,-7.26222e-30,-5.7633e-14,26555.2,41004,2.22967,27.7398,1.96572,24.4559,0.141547,0.0066,1.23884 
106,4,0.01,100,106,3.93063e-07,5.77148e-07,7.96839e-30,0.681043,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.769773,-4.17742e-30,3.05746e-13,23983.2,37454.8,1.92743,23.179,1.72187,20.7069,0.488057,0.0066,1.30953 
107,4,100,0.01,107,4.84408e-07,5.83023e-07,8.04951e-30,0.830856,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.3199,-8.82749e-30,-2.20675e-13,24723.1,37585.4,2.39716,29.1213,2.10944,25.626,-0.037603,0.0066,1.23045 
108,4,100,0.01,108,4.62344e-07,5.96364e-07,8.2337e-30,0.775271,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.1264,-7.19023e-30,-1.42986e-13,26459.5,39980.6,2.22352,27.63,1.96056,24.3624,0.14829,0.0066,1.25581 
109,4,100,0.01,109,4.54496e-07,5.80249e-07,8.01121e-30,0.783279,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.15497,-7.24746e-30,-1.9627e-13,24371.9,36440.1,2.24863,27.1869,1.98165,23.959,0.120936,0.0066,1.25958 
110,4,100,0.01,110,4.67285e-07,5.98755e-07,8.26672e-30,0.780427,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.14485,-7.3861e-30,1.20025e-15,26779,41425.7,2.23965,27.942,1.97412,24.6293,0.130602,0.0066,1.27028 
111,4,0.01,100,111,3.96361e-07,6.02179e-07,8.31399e-30,0.658212,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.677131,-3.70551e-30,9.81508e-14,27241,41001.7,1.85556,23.2825,1.66672,20.9129,0.575802,0.0066,1.31459 
112,4,100,0.01,112,4.62704e-07,5.96273e-07,8.23245e-30,0.775993,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.129,-7.21239e-30,-1.90287e-13,26447.4,39599.1,2.22578,27.6538,1.96246,24.3823,0.145803,0.0066,1.25935 
113,4,0.01,100,113,4.05197e-07,5.74634e-07,7.93369e-30,0.705139,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.864744,-4.83768e-30,2.28268e-14,23671.2,36013,2.00327,23.9861,1.78123,21.3275,0.397907,0.0066,1.32052 
114,4,0.01,100,114,3.84214e-07,6.319e-07,8.72434e-30,0.60803,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.463478,-2.45859e-30,-3.22863e-14,31477,45394.1,1.69792,22.356,1.5493,20.3991,0.777634,0.0066,1.36988 
115,4,100,0.01,115,4.45292e-07,6.12945e-07,8.46263e-30,0.72648,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.946616,-5.81973e-30,-1.22528e-13,28728.4,42696.8,2.07037,26.4422,1.83478,23.4333,0.319993,0.0066,1.31921 
116,4,0.01,100,116,3.89174e-07,6.1395e-07,8.47651e-30,0.633885,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.575368,-3.09153e-30,-5.47685e-14,28870,42138.6,1.77906,22.7589,1.60914,20.5851,0.672006,0.0066,1.3632 
117,4,100,0.01,117,4.49919e-07,6.16371e-07,8.50993e-30,0.729948,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.959717,-5.96157e-30,1.67663e-13,29212.8,44845.3,2.08129,26.7302,1.84356,23.6771,0.307522,0.0066,1.31229 
118,4,0.01,100,118,3.72535e-07,6.11882e-07,8.44795e-30,0.608836,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.46703,-2.40212e-30,1.26839e-13,28579.1,41977.1,1.70045,21.6799,1.55114,19.7764,0.774281,0.0066,1.39054 
119,4,0.01,100,119,3.94144e-07,5.79616e-07,8.00247e-30,0.680009,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.765636,-4.1664e-30,3.43206e-13,24292.3,37506.4,1.92418,23.2388,1.71935,20.765,0.491979,0.0066,1.32767 
120,2,0.01,100,120,3.79226e-07,5.93035e-07,8.18774e-30,0.639466,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.599025,-3.13636e-30,-9.79443e-14,26018.9,37689,1.79655,22.1997,1.62224,20.0457,0.649622,0.0066,1.31125 
121,2,0.01,100,121,4.02647e-07,5.66381e-07,7.81974e-30,0.710912,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.8871,-4.93152e-30,2.97322e-13,22665.9,35264.5,2.02143,23.8559,1.79563,21.1911,0.376648,0.0066,1.32703 
122,2,100,0.01,122,3.86696e-07,5.80771e-07,8.01841e-30,0.665833,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.708351,-3.78183e-30,1.74403e-13,24437.7,37291.3,1.87955,22.7451,1.68501,20.3908,0.546253,0.0066,1.32097 
123,2,0.01,100,123,4.00661e-07,6.13475e-07,8.46995e-30,0.653101,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.656015,-3.6289e-30,7.60599e-14,28803,42745,1.83948,23.5137,1.65452,21.1493,0.595781,0.0066,1.36459 
124,2,100,0.01,124,3.98484e-07,5.80448e-07,8.01396e-30,0.686511,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.791572,-4.35497e-30,1.9851e-13,24397,37434.8,1.94465,23.5197,1.73524,20.987,0.467384,0.0066,1.31138 
125,2,100,0.01,125,4.15335e-07,5.93505e-07,8.19423e-30,0.699802,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.843948,-4.83947e-30,-2.08515e-14,26080.7,38825.5,1.98648,24.5661,1.76798,21.864,0.417667,0.0066,1.31995 
126,2,0.01,100,126,3.98007e-07,6.03593e-07,8.33351e-30,0.659396,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.681996,-3.74762e-30,1.23623e-13,27433.4,41276.9,1.85931,23.3842,1.66955,20.9977,0.571208,0.0066,1.31704 
127,2,100,0.01,127,3.84919e-07,6.2036e-07,8.565e-30,0.620477,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.517851,-2.75206e-30,-4.4318e-14,29783.7,43037.7,1.73694,22.4521,1.57793,20.3966,0.72631,0.0066,1.39066 
128,2,100,0.01,128,4.02752e-07,5.91544e-07,8.16716e-30,0.680849,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.768996,-4.27608e-30,-8.37781e-15,25823.1,38530.1,1.92682,23.7496,1.7214,21.2176,0.488795,0.0066,1.32669 
129,2,100,0.01,129,3.95451e-07,5.98686e-07,8.26576e-30,0.660532,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.686667,-3.74906e-30,2.07115e-13,26769.8,40472.9,1.86287,23.2385,1.67227,20.861,0.566778,0.0066,1.32169 
130,2,100,0.01,130,4.01576e-07,5.97518e-07,8.24964e-30,0.672072,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.733692,-4.06785e-30,9.47294e-14,26613.4,40202.3,1.89919,23.6455,1.70007,21.1664,0.522251,0.0066,1.29131 
131,2,0.01,100,131,3.92896e-07,5.99811e-07,8.2813e-30,0.655033,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.664014,-3.60196e-30,-2.53096e-14,26920.9,39556.1,1.84556,23.0659,1.65912,20.7358,0.588213,0.0066,1.32488 
132,2,100,0.01,132,4.1622e-07,6.04838e-07,8.3507e-30,0.68815,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.798081,-4.58621e-30,1.64426e-13,27603.5,41782.4,1.9498,24.573,1.73926,21.9195,0.461207,0.0066,1.35068 
133,2,0.01,100,133,3.98155e-07,5.81053e-07,8.02231e-30,0.685231,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.78646,-4.32328e-30,2.5453e-13,24473.4,37518.7,1.94066,23.4959,1.7321,20.9709,0.472261,0.0066,1.32422 
134,2,0.01,100,134,4.30796e-07,6.09596e-07,8.41639e-30,0.706692,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.870778,-5.17921e-30,5.56735e-14,28260,42934.2,2.00816,25.5075,1.7851,22.6742,0.392168,0.0066,1.29436 
135,2,100,0.01,135,4.24993e-07,5.79179e-07,7.99644e-30,0.733786,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.97418,-5.71617e-30,4.04097e-14,24237.4,37076.4,2.09334,25.2627,1.85331,22.3661,0.293726,0.0066,1.2752 
136,2,0.01,100,136,4.10196e-07,5.83073e-07,8.0502e-30,0.703508,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.858406,-4.86148e-30,-1.3429e-13,24729.6,36389.8,1.99815,24.2761,1.77717,21.5914,0.403935,0.0066,1.29915 
137,2,100,0.01,137,4.26505e-07,5.76984e-07,7.96614e-30,0.739197,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.994438,-5.85579e-30,2.10295e-13,23962.9,37368.9,2.11034,25.3714,1.86711,22.4472,0.274412,0.0066,1.28757 
138,2,0.01,100,138,4.17024e-07,6.0331e-07,8.3296e-30,0.691228,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.810246,-4.66511e-30,1.44811e-13,27394.8,41819.1,1.9595,24.6328,1.74682,21.9592,0.449671,0.0066,1.30539 
139,2,0.01,100,139,4.12858e-07,5.78909e-07,7.99271e-30,0.713166,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.895786,-5.1061e-30,-2.91195e-15,24203.4,36667.3,2.02852,24.469,1.80126,21.7278,0.368385,0.0066,1.24933 
140,2,0.01,100,140,4.00012e-07,5.76869e-07,7.96454e-30,0.693419,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.818899,-4.52258e-30,2.93698e-13,23948.5,37416.7,1.96638,23.6359,1.75221,21.0616,0.441445,0.0066,1.33717 
141,2,0.01,100,141,4.09894e-07,5.84127e-07,8.06475e-30,0.701721,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.851447,-4.81852e-30,2.79404e-13,24863.8,38659.2,1.99252,24.2514,1.77274,21.5765,0.41054,0.0066,1.33619 
142,2,100,0.01,142,4.17507e-07,5.51775e-07,7.61809e-30,0.756661,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.05899,-6.10435e-30,3.81907e-14,20957.2,31888.3,2.16517,24.8933,1.91204,21.983,0.212779,0.0066,1.29906 
143,2,0.01,100,143,4.14468e-07,5.96591e-07,8.23683e-30,0.694728,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.824051,-4.71551e-30,-1.81352e-14,26489.6,39926.6,1.97051,24.4953,1.75544,21.8218,0.436562,0.0066,1.27647 
144,2,100,0.01,144,4.18013e-07,5.87966e-07,8.11776e-30,0.710947,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.887233,-5.12048e-30,-2.4125e-13,25357.3,36565,2.02154,24.7664,1.79571,21.9997,0.376521,0.0066,1.32199 
145,2,100,0.01,145,4.21779e-07,5.81567e-07,8.02941e-30,0.725246,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.941938,-5.48518e-30,2.48614e-14,24538.4,37372.9,2.06651,25.0418,1.83166,22.1958,0.324459,0.0066,1.31468 
146,2,0.01,100,146,4.08726e-07,6.12593e-07,8.45776e-30,0.667207,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.71395,-4.02888e-30,-6.86944e-14,28678.9,41744.1,1.88388,24.0465,1.68832,21.5504,0.540949,0.0066,1.33563 
147,2,100,0.01,147,4.04095e-07,5.84e-07,8.063e-30,0.691943,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.813082,-4.5363e-30,2.95722e-14,24847.7,37516.4,1.96176,23.8719,1.74858,21.2778,0.446981,0.0066,1.28222 
148,2,100,0.01,148,4.05691e-07,5.79469e-07,8.00044e-30,0.700109,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.845152,-4.73384e-30,-1.16554e-13,24273.7,35561.6,1.98744,23.9968,1.76874,21.3561,0.416522,0.0066,1.31353 
149,2,100,0.01,149,4.29742e-07,5.85295e-07,8.08088e-30,0.734232,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.975852,-5.78996e-30,4.47356e-14,25013.3,38302.5,2.09475,25.5466,1.85445,22.6161,0.292136,0.0066,1.31636 
150,2,100,0.01,150,4.1479e-07,5.53385e-07,7.64031e-30,0.74955,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.03286,-5.91497e-30,1.185e-13,21141.1,32421.2,2.14286,24.7086,1.89367,21.8353,0.237746,0.0066,1.32773 
151,2,0.01,100,151,4.04361e-07,5.8172e-07,8.03152e-30,0.695113,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.825574,-4.60902e-30,7.12848e-14,24557.7,37273,1.97172,23.8994,1.75639,21.2894,0.435112,0.0066,1.32899 
152,2,100,0.01,152,3.95791e-07,5.72481e-07,7.90396e-30,0.691361,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.810771,-4.43045e-30,-1.57061e-13,23406.1,34195.5,1.95992,23.3791,1.74715,20.841,0.449174,0.0066,1.29766 
153,2,0.01,100,153,4.14667e-07,5.74727e-07,7.93498e-30,0.721502,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.927706,-5.31121e-30,3.17316e-13,23682.8,37479.4,2.05473,24.6062,1.82221,21.8216,0.338006,0.0066,1.30345 
154,2,0.01,100,154,3.83264e-07,5.73701e-07,7.9208e-30,0.668056,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.717404,-3.79618e-30,1.13426e-13,23556.1,35239.8,1.88655,22.5518,1.69037,20.2067,0.537679,0.0066,1.3135 
155,2,100,0.01,155,4.03445e-07,5.7347e-07,7.91762e-30,0.703516,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.858438,-4.78164e-30,-1.12626e-13,23527.7,34621.3,1.99818,23.8766,1.7772,21.2361,0.403906,0.0066,1.28482 
156,2,0.01,100,156,3.97422e-07,5.88844e-07,8.12987e-30,0.674919,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.745183,-4.08882e-30,-1.08165e-13,25471,37252.9,1.90815,23.4121,1.70697,20.9437,0.511365,0.0066,1.30792 
157,2,100,0.01,157,4.25616e-07,6.15115e-07,8.49259e-30,0.691929,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.813023,-4.77754e-30,-3.16679e-13,29034.6,42072.5,1.9617,25.143,1.74854,22.411,0.44703,0.0066,1.32014 
158,2,0.01,100,158,4.06319e-07,5.87565e-07,8.11222e-30,0.69153,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.811437,-4.55203e-30,-1.33194e-13,25305.4,37334.3,1.96046,24.0016,1.74756,21.3952,0.448543,0.0066,1.27542 
159,2,0.01,100,159,4.12876e-07,6.04727e-07,8.34916e-30,0.682748,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.776583,-4.42681e-30,2.25007e-14,27588.3,41035.7,1.9328,24.3542,1.72603,21.7488,0.481601,0.0066,1.33709 
160,2,0.01,100,160,3.8762e-07,6.17061e-07,8.51945e-30,0.628172,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.550989,-2.94872e-30,7.64478e-14,29311,43660.8,1.7611,22.6433,1.59579,20.5178,0.695023,0.0066,1.32409 
161,2,0.01,100,161,4.04541e-07,6.11315e-07,8.44013e-30,0.661754,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.691679,-3.86323e-30,-2.38418e-13,28499.9,40995.2,1.86671,23.7778,1.6752,21.3384,0.562035,0.0066,1.3294 
162,2,100,0.01,162,4.16629e-07,6.0125e-07,8.30116e-30,0.692938,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.817004,-4.69956e-30,-4.69531e-14,27115.1,40342.9,1.96488,24.616,1.75103,21.9369,0.443251,0.0066,1.34047 
163,2,0.01,100,163,4.0182e-07,5.90692e-07,8.1554e-30,0.680253,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.76661,-4.25295e-30,-2.3684e-13,25711.7,37728.1,1.92494,23.6923,1.71994,21.1692,0.491056,0.0066,1.26259 
164,2,100,0.01,164,4.15149e-07,5.76481e-07,7.95919e-30,0.720144,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.922528,-5.28771e-30,-1.66243e-13,23900.2,35061.4,2.05046,24.63,1.81878,21.8471,0.342936,0.0066,1.29818 
165,2,100,0.01,165,4.49747e-07,5.61862e-07,7.75735e-30,0.800458,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-1.2155,-7.54757e-30,-1.1271e-13,22127.7,33847.4,2.30232,26.954,2.0273,23.7342,0.0628351,0.0066,1.28836 
166,2,0.01,100,166,4.15012e-07,5.85087e-07,8.078e-30,0.709317,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.880944,-5.04769e-30,-1.13424e-14,24986.6,38176.8,2.01641,24.5826,1.79164,21.8424,0.382502,0.0066,1.26936 
167,2,100,0.01,167,4.27766e-07,5.83872e-07,8.06123e-30,0.732636,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.969854,-5.72791e-30,-4.34146e-14,24831.3,37181.3,2.08973,25.4235,1.85039,22.5117,0.297855,0.0066,1.3094 
168,2,100,0.01,168,3.97648e-07,5.72362e-07,7.90231e-30,0.69475,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.82414,-4.52464e-30,8.4064e-14,23391.5,35856.9,1.97058,23.5013,1.75549,20.9362,0.436477,0.0066,1.30106 
169,2,100,0.01,169,4.1887e-07,6.00196e-07,8.28661e-30,0.697888,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.836459,-4.83735e-30,-3.30539e-14,26972.8,40022.9,1.98046,24.7678,1.76325,22.0513,0.42478,0.0066,1.30312 
170,2,100,0.01,170,4.02022e-07,5.59361e-07,7.72283e-30,0.718716,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.917073,-5.09024e-30,5.42877e-14,21833.5,33713.5,2.04597,23.8463,1.81519,21.1565,0.348128,0.0066,1.21908 
171,2,0.01,100,171,4.16927e-07,5.7164e-07,7.89234e-30,0.729353,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.95748,-5.51154e-30,4.11986e-14,23303.1,35554.8,2.07941,24.768,1.84205,21.9408,0.309648,0.0066,1.32003 
172,2,100,0.01,172,4.11354e-07,5.94611e-07,8.2095e-30,0.691803,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.81253,-4.61465e-30,2.59868e-13,26226.8,40354.7,1.96131,24.3,1.74823,21.6601,0.447497,0.0066,-1.33624 
173,2,0.01,100,173,3.98271e-07,6.29458e-07,8.69061e-30,0.632721,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.570415,-3.13656e-30,1.48521e-13,31113.3,45697.4,1.7754,23.2857,1.60641,21.0693,0.676683,0.0066,1.35097 
174,2,0.01,100,174,3.87925e-07,6.07715e-07,8.39043e-30,0.638333,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.594207,-3.18251e-30,-1.2169e-13,27999.3,39716,1.79305,22.7049,1.61957,20.5082,0.654214,0.0066,1.4019 
175,2,100,0.01,175,3.8239e-07,5.58088e-07,7.70525e-30,0.685179,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.786253,-4.151e-30,-8.33375e-14,21684.8,32607.2,1.94049,22.5654,1.73198,20.1406,0.472455,0.0066,1.24285 
176,2,0.01,100,176,4.24142e-07,5.8892e-07,8.13093e-30,0.720202,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.922748,-5.40353e-30,-1.47778e-13,25481,36799.3,2.05064,25.1637,1.81893,22.3203,0.342726,0.0066,-1.38691 
177,2,100,0.01,177,4.24564e-07,6.00704e-07,8.29362e-30,0.706778,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.871113,-5.10624e-30,-7.08915e-14,27041.3,40018.5,2.00843,25.1388,1.78531,22.3461,0.391851,0.0066,-1.32364 
178,2,0.01,100,178,3.97403e-07,5.68945e-07,7.85514e-30,0.698491,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.838823,-4.60241e-30,2.78826e-13,22975.1,35776.3,1.98235,23.5006,1.76474,20.9208,0.422533,0.0066,1.29926 
179,2,0.01,100,179,3.93839e-07,6.03103e-07,8.32675e-30,0.653021,950.317,2545.79,2478.35,4.67071,18.9019,18.1623,-0.655684,-3.56531e-30,-1.54097e-13,27366.6,39700.3,1.83923,23.113,1.65433,20.7893,0.596094,0.0066,1.31719 
