cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
13,1.49,3.51,13,16949.2,0,5,101,125,0,5,135,-6.70316,-9.26985,-27.889,-10.5941,-10.9212,494.998,-45.3952,34686.7,-72.0587,16439.4,-8.61573,-11.1824,-31.7142,-12.5066,-12.8337,0.587338,-74.3229,32517.1,-100.986,0.380155,-0.0013078,1.00169,-195.507,425.723,465.574,0.42672,45798.8,9.50385e-07,0.468445,111.184,86.6313,23.6116,24.4767,0.964658,506.777,554.775,0.557914 
14,2.99,2.01,14,14488.1,0,5,101,125,0,5,135,-12.0344,-14.1006,-28.8662,-10.3175,-16.6469,574.239,-67.5446,32975.8,-69.0893,16439.4,-14.2531,-16.3193,-33.3037,-12.5363,-18.8657,0.650458,-101.103,30458.9,-102.648,0.450789,-0.00190037,1.00183,-224.281,441.472,514.843,0.581819,44471.8,9.41117e-07,0.506577,110.985,86.5406,22.9809,24.5869,0.934684,480.067,559.781,0.550829 
15,4.49,0.51,15,17645.6,0,5,101,125,0,5,135,-7.38572,-17.7959,-19.1632,-8.8407,-9.69438,523.106,-56.2947,34932.9,-75.7639,16439.4,-9.4069,-19.8171,-23.2056,-10.8619,-11.7156,0.690621,-86.865,32640.1,-106.334,0.405029,-0.00152306,1.00177,-214.466,442.607,482.244,0.448929,46475.4,9.55043e-07,0.483748,111.196,86.2324,23.8716,24.686,0.967007,517.997,564.305,0.566106 
16,3.49,1.51,16,16402,0,5,101,125,0,5,135,-12.9677,-15.0534,-17.7318,-11.9488,-11.9495,515.458,-53.2006,33888.7,-78.3617,16439.4,-14.9594,-17.045,-21.7151,-13.9404,-13.9412,0.733887,-83.3239,31629.4,-108.485,0.390265,-0.00150763,1.00187,-213.506,460.255,524.249,0.545866,45117.9,9.45652e-07,0.519442,111.371,86.4912,23.65,25.0052,0.945801,508.425,578.995,0.573746 
17,3.99,1.01,17,16548.6,0,5,101,125,0,5,135,-9.3157,-10.6231,-24.9442,-17.3232,-10.4655,503.648,-66.6835,34012.4,-66.679,16439.4,-11.2617,-12.5691,-28.8362,-19.2692,-12.4115,0.658127,-96.1167,31804.9,-96.1122,0.454557,-0.00172989,1.00164,-211.451,454.399,525.432,0.588633,45655.8,9.49395e-07,0.514671,111.519,86.3,23.2873,24.8113,0.938577,492.951,570.047,0.558355 
18,0.49,4.51,18,17408.5,0,5,101,125,0,5,135,-9.27059,-13.9519,-24.6686,-14.4163,-11.1763,538.316,-65.3046,34921.1,-58.01,16439.4,-11.3505,-16.0319,-28.8285,-16.4963,-13.2562,0.664642,-96.7638,32561.7,-89.4692,0.474037,-0.00170101,1.00149,-204.127,437.386,485.592,0.437194,46408.1,9.54581e-07,0.482787,111.29,86.3005,23.834,24.8924,0.957483,516.369,573.78,0.570216 
19,0.99,4.01,19,17034.2,0,5,101,125,0,5,135,-14.7542,-16.9429,-23.9108,-9.13247,-13.1677,542.588,-72.2958,35436.8,-83.2437,16439.4,-16.8507,-19.0394,-28.1037,-11.2289,-15.2642,0.689417,-104.005,33058.6,-114.953,0.429864,-0.00180099,1.00189,-241.948,450.541,503.572,0.477293,47568.1,9.6247e-07,0.494892,110.928,86.8721,23.8322,24.9763,0.954191,516.29,577.656,0.567407 
20,0.01,4.99,20,19817.7,0,5,101,125,0,5,135,-14.5468,-7.83457,-25.3462,-14.6788,-13.7775,531.369,-49.2188,37322.8,-62.5426,16439.4,-16.5999,-9.88767,-29.4524,-16.7319,-15.8306,0.667214,-80.272,34993.8,-93.5958,0.416809,-0.00131252,1.00145,-192.587,461.724,521.261,0.528606,49173.5,9.73178e-07,0.504111,111.448,86.2567,23.7801,25.0368,0.949803,514.034,580.459,0.561293 
21,1.99,3.01,21,19590.4,0,5,101,125,0,5,135,-10.0859,-12.354,-21.7045,-14.5729,-11.7931,511.657,-27.0526,36640.3,-78.0012,16439.4,-12.0628,-14.331,-25.6584,-16.5498,-13.7701,0.688506,-56.9539,34397.7,-107.902,0.305486,-0.000947037,1.00171,-186.437,449.909,502.078,0.472365,48192.9,9.66665e-07,0.491668,111.372,86.1823,23.8708,24.9822,0.955511,517.964,577.93,0.565993 
22,2.49,2.51,22,19283.8,0,5,101,125,0,5,135,-7.21861,-9.57155,-20.8646,-13.9562,-18.5968,556.125,-49.0314,37418.2,-65.4693,16439.4,-9.36736,-11.7203,-25.1621,-16.105,-20.7456,0.697208,-81.5313,34980.7,-97.9692,0.409511,-0.00133364,1.00152,-199.094,444.321,495.969,0.434513,49159.7,9.73087e-07,0.482418,111.134,86.8482,24.0766,25.1956,0.955591,526.935,587.842,0.571949 
