cyc,freq (kHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
13,170,13,18616,0,5,101,125,0,5,135,-2.39062,-7.23214,-14.1631,-9.58437,-0.800343,-98.7412,3.65147,26479.7,0.322106,16439.4,-2.0091,-6.85062,-13.4,-9.20285,-0.418827,0.579692,9.4219,26912.5,6.09254,0.563075,0.000200014,0.999877,16.733,591.838,658.443,1.04892,34815.4,8.67373e-07,0.719705,109.664,85.3417,25.7357,26.8913,0.957027,602.055,669.63,0.732032 
14,20,14,19877.2,0,5,101,125,0,5,135,-4.17941,-7.2334,-15.6273,-5.14252,-8.1596,-73.0254,5.73792,28050.8,-10.8794,16439.4,-3.89725,-6.95124,-15.063,-4.86036,-7.87745,0.610265,10.0055,28370.8,-6.61177,4.83033,0.000201485,1.00013,2.0714,440.163,497.323,0.497065,35799.1,8.75466e-07,0.534425,109.68,85.6649,23.4221,24.657,0.949918,498.676,562.98,0.605224 
15,120,15,19690.5,0,5,101,125,0,5,135,-4.4779,-2.95356,-13.6634,-6.50648,-5.06789,-104.592,8.60684,27602.1,-11.387,16439.4,-4.07377,-2.54944,-12.8551,-6.10235,-4.66377,0.574959,14.7192,28060.5,-5.27463,1.75445,0.000299654,1.0001,8.38965,563.987,642.407,0.730259,35735.6,8.74948e-07,0.687951,109.647,84.7068,25.5124,26.962,0.946234,591.655,673.159,0.721292 
16,40,16,20473.8,0,5,101,125,0,5,135,-2.51346,-5.79264,-9.42398,-9.31235,-7.30356,-136.846,7.85263,28334.8,2.16879,16439.4,-1.98471,-5.26389,-8.36649,-8.78361,-6.77482,0.731615,15.8499,28934.6,10.1661,0.565076,0.000312922,0.999809,28.0492,530.761,595.183,0.676391,36402.6,8.80358e-07,0.638433,109.528,85.7663,24.8755,26.09,0.953451,562.485,630.319,0.676358 
17,160,17,18371.9,0,5,101,125,0,5,135,-3.01046,-7.39168,-3.55723,-8.18367,-5.91443,-172.021,10.5134,26229.4,-2.57693,16439.4,-2.34581,-6.72702,-2.22792,-7.51902,-5.24977,0.907438,20.5663,26983.4,7.47596,0.696279,0.000435344,0.99985,29.5375,577.343,644.216,0.819834,33997.8,8.60529e-07,0.708708,109.492,85.0944,25.6418,26.8272,0.955815,597.672,666.441,0.73341 
18,60,18,18691.4,0,5,101,125,0,5,135,-7.5205,-4.65167,-11.3167,-6.61212,-7.56815,-21.9657,11.6005,26921.5,-18.4118,16439.4,-7.43563,-4.5668,-11.1469,-6.52725,-7.48328,0.700028,12.8842,27017.8,-17.1281,-1.6799,0.000272427,1.00034,-7.6696,553.962,594.779,0.722598,34844.1,8.67611e-07,0.661596,109.445,85.474,25.2949,25.9574,0.974476,581.61,623.93,0.694319 
19,140,19,18434.6,0,5,101,125,0,5,135,-6.46763,-9.10178,-12.7239,-7.30893,-5.39503,-144.579,8.79479,26513.6,3.19069,16439.4,-5.90901,-8.54315,-11.6067,-6.75031,-4.83641,0.691685,17.244,27147.3,11.6399,0.552482,0.00036284,0.999767,31.2119,581.168,627.216,0.680621,34618.4,8.65734e-07,0.697389,109.825,85.0834,26.0255,26.7741,0.972039,615.693,663.809,0.738447 
20,130,20,18010.4,0,5,101,125,0,5,135,-14.0146,-1.94205,-6.81951,-9.80057,-7.00963,-129.084,2.45276,26054.7,-15.6672,16439.4,-13.5159,-1.44329,-5.822,-9.30181,-6.51088,0.840902,9.99644,26620.5,-8.1235,40.2693,0.000214535,1.00017,0.24824,594.807,633.581,0.786515,33888.8,8.59609e-07,0.714149,109.456,85.4117,26.0827,26.6593,0.978371,618.401,658.127,0.742146 
21,50,21,16807.1,0,5,101,125,0,5,135,-10.6143,-2.8686,-6.50094,-7.80123,-8.36104,-141.524,8.89686,24997.1,-29.2353,16439.4,-10.0675,-2.32178,-5.4073,-7.25441,-7.81423,0.83547,17.1675,25617.4,-20.9646,-2.14861,0.000382796,1.00044,-7.99007,531.926,602.925,0.895898,32419.5,8.47001e-07,0.66861,109.646,85.9368,24.5123,25.8524,0.948162,546.175,618.89,0.686418 
22,30,22,20956.4,0,5,101,125,0,5,135,-5.7195,-3.35687,-8.77881,-10.991,-2.89672,-187.481,19.6537,28836.8,0.0161711,16439.4,-4.99511,-2.63248,-7.33003,-10.2666,-2.17233,0.732447,30.6101,29658.6,10.9726,0.699225,0.000589414,0.999799,43.7772,497.465,543.825,0.589101,36564.8,8.81664e-07,0.58994,109.521,85.861,24.3847,25.2411,0.96607,540.505,589.97,0.640489 
23,90,23,18100.8,0,5,101,125,0,5,135,-4.27429,-3.70744,-9.80222,-6.24094,-8.61589,-141.653,10.8445,26007.1,-10.6803,16439.4,-3.72697,-3.16012,-8.70758,-5.69362,-8.06857,0.703388,19.1227,26628,-2.40214,1.1775,0.000410199,1.00005,16.2401,544.113,594.367,0.606173,33598.7,8.57148e-07,0.663462,109.519,85.5862,25.4335,26.3167,0.966439,588,641.321,0.716424 
24,10,24,16974.4,0,5,101,125,0,5,135,0.226506,-1.45442,-4.53357,-3.46652,-7.58064,-123.286,-5.76261,24732,-9.24109,16439.4,0.702858,-0.978069,-3.58086,-2.99017,-7.10429,0.743317,1.44221,25272.4,-2.03627,-1.44033,3.26085e-05,1.00004,-1.00131,428.972,486.786,0.628072,31470.5,8.38655e-07,0.54488,110.035,86.1011,22.4831,23.7157,0.948028,459.493,520.814,0.583308 
25,100,25,20889.2,0,5,101,125,0,5,135,-6.30431,-1.41583,-11.4702,-6.99888,-5.27371,-25.8718,6.56104,28778.2,-15.1428,16439.4,-6.20435,-1.31586,-11.2702,-6.89892,-5.17375,0.634831,8.07299,28891.6,-13.6309,-0.974524,0.000159645,1.00026,-8.28404,573.671,629.097,0.668184,37333.5,8.87799e-07,0.676668,109.592,84.0573,25.8914,26.8524,0.964214,609.365,667.694,0.718477 
