cyc,amplitude,wiggle time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,meanEk,meanEk_kHz,meanEtof,meanEtof_kHz,meanEtot,meanEtot_kHz
108,1.7,6.5,108,14496.3,0,5,101,125,0,5,135,0.876273,0.882527,-2.56592,0.306056,0.801604,-201.04,39.0288,17271,-36.5776,16439.4,1.65305,1.65931,-1.01237,1.08283,1.57838,1.20406,50.7776,18152.2,-24.8289,2.41995,0.00159592,1.00074,20.983,5.0688e-30,7.64979,8.40781e-30,12.689,1.68156e-29,25.378 
109,0.05,6.5,109,12137.9,0,5,101,125,0,5,135,0.14503,-0.318836,0.096219,2.55126,2.93571,-170.62,22.2434,14848.7,-33.441,16439.4,0.804272,0.340405,1.4147,3.2105,3.59495,0.848935,32.2144,15596.6,-23.4699,7.95324,0.00117888,1.00082,4.05047,4.68687e-30,7.07338,7.74658e-30,11.6911,1.54932e-29,23.3821 
110,0.95,6.5,110,14718.9,0,5,101,125,0,5,135,1.41552,-1.64494,0.256985,1.11379,4.05165,-136.117,28.3655,17749.6,-36.7557,16439.4,1.94145,-1.11901,1.30884,1.63972,4.57758,0.843226,36.3202,18346.2,-28.8011,20.6488,0.00112999,1.00085,1.75895,4.39272e-30,6.62945,7.52407e-30,11.3553,1.50481e-29,22.7105 
111,1.4,6.5,111,15985.6,0,5,101,125,0,5,135,0.168431,0.934855,2.12393,2.86055,0.268245,-131.587,41.9002,19038.3,-19.8102,16439.4,0.676858,1.44328,3.14078,3.36898,0.776672,0.666108,49.5901,19615,-12.1202,1.41501,0.00144259,1.00034,35.0459,5.00488e-30,7.55331,8.36046e-30,12.6175,1.67209e-29,25.2351 
112,0.5,6.5,112,14151.2,0,5,101,125,0,5,135,0.0346806,3.03648,1.47393,1.01053,2.95195,-161.024,28.8006,17083.1,-32.2852,16439.4,0.656844,3.65864,2.71826,1.63269,3.57411,0.77793,38.2108,17788.8,-22.875,3.55092,0.00122594,1.0007,10.7608,4.49056e-30,6.77711,7.69277e-30,11.6099,1.53855e-29,23.2197 
113,0.35,6.5,113,16536.1,0,5,101,125,0,5,135,-1.52416,1.28781,-0.898973,0.0077696,-3.19606,-109.158,36.0605,19238.3,-31.1984,16439.4,-1.10239,1.70957,-0.0554436,0.429534,-2.7743,0.969078,42.4397,19716.7,-24.8193,3.35317,0.00122847,1.00068,12.6566,4.50241e-30,6.79499,7.6622e-30,11.5637,1.53244e-29,23.1274 
114,0.8,6.5,114,12933.1,0,5,101,125,0,5,135,0.953084,0.397082,-4.10413,-1.61204,-0.68233,-104.052,37.8209,15626.6,-35.1412,16439.4,1.35512,0.799119,-3.30006,-1.21,-0.280294,-0.251864,43.9017,16082.7,-29.0604,4.86219,0.00155743,1.00098,9.0292,4.64826e-30,7.01511,7.78513e-30,11.7492,1.55703e-29,23.4985 
115,0.65,6.5,115,14447.9,0,5,101,125,0,5,135,-0.688934,-1.20136,-0.291319,-1.17813,1.02947,-70.9279,36.8101,17044.4,-39.7616,16439.4,-0.414883,-0.927305,0.256783,-0.904081,1.30352,1.37434,40.9551,17355.3,-35.6166,-22.9474,0.00134664,1.00112,-1.78474,4.76751e-30,7.19508,7.97417e-30,12.0345,1.59483e-29,24.0691 
116,0.2,6.5,116,12367.6,0,5,101,125,0,5,135,0.915353,-0.36132,-2.23896,-0.959131,1.73972,-118.65,37.3816,14887,-40.6765,16439.4,1.37379,0.0971212,-1.32208,-0.50069,2.19816,1.71607,44.3155,15407,-33.7426,11.5875,0.00164092,1.00119,3.82441,4.88159e-30,7.36725,8.00161e-30,12.076,1.60032e-29,24.1519 
117,1.55,6.5,117,15959.6,0,5,101,125,0,5,135,1.87232,4.93902,-1.88825,-0.51363,-2.6288,-108.024,42.1724,18688.9,-42.3389,16439.4,2.2897,5.35641,-1.05348,-0.0962471,-2.21142,1.24586,48.4854,19162.4,-36.026,9.22806,0.00144376,1.00102,5.25412,5.28708e-30,7.97921,8.67391e-30,13.0906,1.73478e-29,26.1812 
