cyc,freq (kHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
0,35,0,25269.3,0,5,101,125,0,5,135,-9.37225,-5.9979,-17.1263,-10.0401,-7.57243,-64.8605,12.1024,33543.1,-27.7488,16439.4,-9.12164,-5.74729,-16.6251,-9.78952,-7.32182,0.657958,15.8929,33827.3,-23.9584,-1.23611,0.000268399,1.00038,-12.8571,325.664,362.893,0.234406,43248.4,9.32406e-07,0.368696,110.625,86.0425,24.492,25.4784,0.961286,545.274,601.114,0.614018 
1,40,1,23552.3,0,5,101,125,0,5,135,-7.29294,-3.62426,-13.2226,-6.65817,-8.21848,-114.191,17.3959,31655.1,-36.1,16439.4,-6.85173,-3.18305,-12.3402,-6.21696,-7.77727,0.660697,24.0692,32155.6,-29.4267,-2.14085,0.000427546,1.0005,-11.2428,276.282,313.004,0.207632,40659.3,9.13416e-07,0.321945,110.628,85.8632,23.5992,24.7919,0.951891,506.245,569.158,0.587663 
2,45,2,27118.7,0,5,101,125,0,5,135,-9.77788,0.377769,-9.69494,-12.3084,-6.70955,-123.489,-3.32998,34914.4,-43.0017,16439.4,-9.30074,0.854906,-8.74066,-11.8312,-6.23242,0.752039,3.88672,35455.7,-35.785,-0.0995183,6.26372e-05,1.00055,-39.0553,303.138,338.848,0.211145,44988.4,9.44746e-07,0.33924,110.92,86.0668,24.5917,25.6564,0.9585,549.72,609.543,0.612714 
3,10,3,21712.4,0,5,101,125,0,5,135,-12.0617,-8.75331,-11.6939,-10.7351,-6.44799,-186.571,3.86307,29292.4,-21.7438,16439.4,-11.3409,-8.03243,-10.2522,-10.0142,-5.72712,0.774016,14.7663,30110.2,-10.8406,8.40148,0.000280154,1.0002,1.75758,267.44,296.831,0.195786,37672.4,8.90478e-07,0.316406,109.772,86.2138,23.751,24.692,0.961889,512.777,564.58,0.604232 
4,55,4,22012.1,0,5,101,125,0,5,135,-11.8002,-10.2483,-4.71395,-9.48036,-6.14213,-73.1538,6.60034,29925.6,-36.8339,16439.4,-11.5175,-9.96567,-4.14865,-9.19771,-5.85948,0.89804,10.8754,30246.3,-32.5588,-0.385721,0.000205423,1.00058,-28.1951,273.653,312.91,0.202135,38660.6,8.98196e-07,0.32579,110.245,86.2289,23.7419,25.0415,0.948102,512.387,580.676,0.607288 
5,95,5,21830.1,0,5,101,125,0,5,135,-7.74115,-5.07382,-14.563,-10.7541,-7.61288,-122.135,11.7543,29700.5,-29.3001,16439.4,-7.26924,-4.60191,-13.6192,-10.2821,-7.14098,0.682636,18.8919,30235.8,-22.1625,-2.4525,0.000356912,1.0004,-7.70311,283.284,308.717,0.206837,37861,8.91961e-07,0.331547,110.864,85.9869,23.9465,24.654,0.971301,521.254,562.845,0.607258 
6,20,6,21867.7,0,5,101,125,0,5,135,-5.54345,-7.10923,-13.5891,-9.28685,-4.39656,-130.255,5.71027,29762.8,-32.5651,16439.4,-5.04017,-6.60595,-12.5826,-8.78357,-3.89328,0.65906,13.3224,30333.7,-24.953,-0.801528,0.000250905,1.00045,-16.6212,246.319,268.522,0.174342,38696.3,8.98473e-07,0.286243,110.562,85.9582,23.9208,24.6295,0.971226,520.136,561.724,0.60161 
7,30,7,21188.2,0,5,101,125,0,5,135,-4.28842,-7.80111,-9.44997,-10.4725,-12.6871,-150.486,-0.0789758,29034.5,-33.6431,16439.4,-3.70697,-7.21967,-8.28707,-9.89102,-12.1056,0.798908,8.71545,29694.1,-24.8487,-0.412996,0.000167691,1.00045,-21.103,262.833,295.389,0.196955,37264.3,8.87251e-07,0.314044,110.939,86.0713,23.5107,24.5104,0.959212,502.454,556.307,0.595881 
8,70,8,23341,0,5,101,125,0,5,135,-11.4566,-9.03641,-7.40426,-8.51572,-5.10849,-165.922,0.568185,31045.8,-26.6846,16439.4,-10.8155,-8.39532,-6.12208,-7.87463,-4.4674,0.837503,10.2647,31773.1,-16.9881,-1.01419,0.000184573,1.00029,-10.1211,246.117,275.819,0.172307,39808.2,9.06998e-07,0.287261,110.735,86.1458,24.0354,25.0931,0.957851,525.132,583.068,0.610081 
9,85,9,24503.3,0,5,101,125,0,5,135,-7.57306,-0.750362,-2.40205,-8.91134,-1.585,-158.408,-3.97587,32339.4,-32.2187,16439.4,-6.961,-0.138305,-1.17793,-8.29928,-0.972946,0.932879,5.28149,33033.7,-22.9613,-0.237135,9.13529e-05,1.00038,-22.2721,287.199,324.07,0.203995,41727.7,9.21347e-07,0.331122,110.91,86.0743,24.2826,25.4356,0.95467,535.99,599.097,0.615041 
10,75,10,23478.1,0,5,101,125,0,5,135,-6.48747,0.55179,-10.3839,-7.95705,-9.09416,-106.122,3.59625,31066.9,-11.596,16439.4,-6.07743,0.961823,-9.56379,-7.54702,-8.68413,0.690598,9.79799,31532.1,-5.39426,2.94687,0.000177529,1.00009,3.32488,263.53,295.666,0.189089,39431.6,9.04128e-07,0.308735,111.034,86.4147,23.9707,25.022,0.957984,522.308,579.772,0.608642 
11,60,11,21636.7,0,5,101,125,0,5,135,-5.40438,-5.18816,-9.53417,-7.62516,-5.80486,-182.93,10.434,29355.2,-18.6027,16439.4,-4.69758,-4.48135,-8.12055,-6.91835,-5.09806,0.722998,21.1244,30157,-7.91223,1.81641,0.000400115,1.00014,11.6297,252.939,294.279,0.193631,37386,8.88215e-07,0.307163,110.375,86.0514,23.285,24.7328,0.941463,492.853,566.444,0.594866 
12,65,12,25233.4,0,5,101,125,0,5,135,-8.05144,-8.08503,-9.51575,-7.37583,-6.45126,-138.352,-2.32347,33108.3,-31.9938,16439.4,-7.51688,-7.55047,-8.44662,-6.84127,-5.9167,0.767131,5.7618,33714.7,-23.9085,-0.251295,9.76468e-05,1.00039,-22.9285,306.517,341.309,0.218495,42739.3,9.28734e-07,0.348265,110.742,86.1382,24.408,25.4014,0.960892,541.54,597.487,0.612475 
13,15,13,25839.1,0,5,101,125,0,5,135,-4.4703,-2.52981,-9.30995,-10.7179,-7.89592,-184.866,-2.80673,33279.5,-20.6663,16439.4,-3.75601,-1.81552,-7.88138,-10.0036,-7.18164,0.74276,7.99685,34089.8,-9.86268,-2.0834,0.000134029,1.00016,-3.83837,275.12,308.943,0.193801,42855.3,9.29572e-07,0.31363,110.184,86.3083,24.2055,25.2952,0.95692,532.591,592.501,0.604308 
14,90,14,26121.9,0,5,101,125,0,5,135,-7.52134,-7.40034,-12.9478,-10.0691,-9.47433,-109.212,-7.63442,33747.1,-13.3213,16439.4,-7.09937,-6.97837,-12.1038,-9.64714,-9.05236,0.730313,-1.25208,34225.8,-6.93901,0.130713,-2.0905e-05,1.00011,-9.5789,292.865,328.2,0.207899,43378.9,9.33343e-07,0.332171,111.027,86.4257,24.3006,25.3597,0.958238,536.783,595.524,0.60577 
15,100,15,24088.8,0,5,101,125,0,5,135,-5.50717,-4.1081,-10.7418,-7.93464,-3.59389,-170.445,5.1573,31687.5,-17.8788,16439.4,-4.8486,-3.44954,-9.42465,-7.27607,-2.93532,0.662612,15.1181,32434.6,-7.91795,2.6917,0.000266278,1.00013,5.61658,302.213,333.272,0.226695,40632.1,9.13212e-07,0.347524,110.907,86.6026,23.8721,24.7425,0.964824,518.022,566.89,0.593406 
