cyc,time (ms),#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,Tx,Ty,LiToTF,LiNfit,TFcalc,ToTFcalc,G_ctr_x,G_ctr_y,G_sigma_x,G_sigma_y,G_ar,G_Tx,G_Ty,G_ToTFcalc
12,4.99,0.01,12,14319.7,0,5,101,125,0,5,135,-8.78989,-6.62447,-17.2726,-8.86406,-6.37874,305.884,-30.8017,27958.3,-66.0447,16439.4,-9.97177,-7.80635,-19.6363,-10.0459,-7.56062,0.643112,-48.6776,26617.6,-83.9206,0.325859,-0.00104611,1.00171,-149.382,538.378,556.214,0.593368,38324.2,8.95584e-07,0.611024,111.019,87.0496,25.3276,25.5167,0.99259,583.116,602.923,0.662067 
13,1.49,3.51,13,12091.5,0,5,101,125,0,5,135,-7.32739,-9.29821,-13.7182,-7.79933,-11.5689,327,-47.5806,25870.2,-69.7319,16439.4,-8.59085,-10.5617,-16.2451,-9.06279,-12.8323,0.716454,-66.6905,24437,-88.8418,0.384825,-0.00156191,1.00198,-173.301,528.754,550.81,0.725507,35621.1,8.74012e-07,0.617462,110.657,87.2023,24.6849,24.9711,0.988535,553.894,577.416,0.647054 
14,2.99,2.01,14,15601.1,0,5,101,125,0,5,135,-10.3182,-5.31323,-21.2094,-8.06295,-10.0114,340.546,-34.9683,28736.5,-56.2192,16439.4,-11.634,-6.62903,-23.841,-9.37875,-11.3272,0.620427,-54.8698,27243.9,-76.1206,0.375269,-0.0011522,1.00152,-146.215,526.936,541.914,0.584683,38824.8,8.99466e-07,0.5941,111.318,87.021,25.0936,25.2235,0.994849,572.39,589.148,0.645615 
15,4.49,0.51,15,15855.8,0,5,101,125,0,5,135,-9.08188,-6.64957,-14.8545,-6.31917,-10.5785,267.022,-30.1735,28893.8,-17.3202,16439.4,-10.1136,-7.68129,-16.918,-7.35089,-11.6102,0.684801,-45.7783,27723.4,-32.925,0.536748,-0.000944462,1.00065,-85.2882,529.105,545.784,0.562172,38869.8,8.99814e-07,0.597213,111.071,87.0613,25.2547,25.4227,0.993389,579.76,598.489,0.654636 
16,3.49,1.51,16,15015.7,0,5,101,125,0,5,135,-8.2214,-7.86123,-16.1122,-7.27622,-12.2441,321.607,-17.2972,28101.8,-70.2026,16439.4,-9.46403,-9.10386,-18.5975,-8.51885,-13.4867,0.685699,-36.092,26692.2,-88.9973,0.252588,-0.000773256,1.00181,-142.889,539.461,548.221,0.610101,38036.8,8.9334e-07,0.608753,111.178,86.3721,25.2809,25.2568,1.00096,580.967,590.702,0.655758 
17,3.99,1.01,17,14606.4,0,5,101,125,0,5,135,-11.1952,-13.7142,-13.9076,-5.8628,-7.38974,331.511,-25.595,28351,-57.903,16439.4,-12.476,-14.9951,-16.4694,-7.14369,-8.67063,0.724384,-44.9685,26898,-77.2765,0.326568,-0.000956236,1.00156,-137.7,500.173,508.74,0.451147,38362.5,8.95882e-07,0.563063,111.146,86.8101,25.3611,25.3448,1.00064,584.658,594.828,0.658258 
18,0.49,4.51,18,11377.9,0,5,101,125,0,5,135,-5.38157,-9.27455,-9.59036,-8.84562,-8.82432,376.59,-7.85554,25069.5,-47.8355,16439.4,-6.83664,-10.7296,-12.5005,-10.3007,-10.2794,0.753183,-29.8635,23419,-69.8434,0.262708,-0.000729207,1.00162,-113.676,506.381,510.943,0.57393,34457,8.64386e-07,0.58846,111.192,86.728,24.6436,24.5339,1.00447,552.044,557.371,0.641728 
19,0.99,4.01,19,16531,0,5,101,125,0,5,135,-6.88363,-10.7797,-28.531,-5.3371,-12.539,354.538,-19.8096,30070.2,-41.557,16439.4,-8.2535,-12.1495,-31.2707,-6.70697,-13.9088,0.567424,-40.5288,28516.3,-62.2762,0.351629,-0.000812804,1.00119,-115.26,541.902,547.296,0.612287,40638.4,9.13259e-07,0.596318,111.016,86.6755,25.3284,25.2306,1.00388,583.152,589.479,0.641994 
20,0.01,4.99,20,14359.5,0,5,101,125,0,5,135,-10.2504,-7.16433,-14.7465,-8.43239,-6.19565,363.845,-24.2775,28289.7,-54.2422,16439.4,-11.6562,-8.57016,-17.5582,-9.83821,-7.60148,0.682057,-45.5406,26695,-75.5052,0.334496,-0.000975787,1.00154,-136.147,474.718,482.824,0.441044,37976.6,8.92868e-07,0.536198,110.945,86.9702,24.7794,24.7852,0.999765,558.143,568.848,0.631079 
21,1.99,3.01,21,17069.3,0,5,101,125,0,5,135,-7.10253,-16.0502,-22.9154,-10.8352,-7.36566,307.87,-28.5767,30381,-34.4477,16439.4,-8.29208,-17.2398,-25.2945,-12.0248,-8.55521,0.645766,-46.5687,29031.6,-52.4396,0.425299,-0.000917453,1.00098,-109.496,517.218,532.022,0.544399,40620.7,9.13126e-07,0.574475,110.967,86.9754,25.0582,25.1976,0.99447,570.778,587.937,0.634407 
