cyc,amplitude,wiggle time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,meanEk,meanEk_kHz,meanEtof,meanEtof_kHz,meanEtot,meanEtot_kHz
144,1.7,8.5,144,9737.44,0,5,101,125,0,5,135,-0.362351,-3.6923,0.976479,2.47718,1.81493,-102.23,18.0368,12134.6,-23.8505,16439.4,0.0326467,-3.2973,1.76647,2.87218,2.20993,0.507112,24.0112,12582.7,-17.8761,9.37993,0.00108925,1.00077,2.55985,5.69926e-30,8.60127,9.12435e-30,13.7704,1.82487e-29,27.5408 
145,0.05,8.5,145,11178.3,0,5,101,125,0,5,135,1.71589,0.47923,-0.24719,4.56356,-2.07065,-124.035,21.0156,13730.3,-34.1818,16439.4,2.19513,0.958479,0.711307,5.0428,-1.5914,0.902778,28.2642,14274,-26.9331,-6.9692,0.00113022,1.00103,-4.05558,4.52685e-30,6.83187,7.59451e-30,11.4616,1.5189e-29,22.9231 
146,0.95,8.5,146,13088.9,0,5,101,125,0,5,135,1.02659,-0.201876,-0.237679,-1.94436,-0.978985,-84.541,22.8184,15431,-19.6514,16439.4,1.35324,0.124774,0.41562,-1.61771,-0.652336,2.10414,27.759,15801.5,-14.7109,2.74679,0.00100284,1.00051,10.106,5.52116e-30,8.33249,8.85828e-30,13.3688,1.77166e-29,26.7376 
147,1.4,8.5,147,10766.4,0,5,101,125,0,5,135,2.3114,0.706357,2.28709,-1.01886,-2.63469,-120.441,23.3375,13243,-29.803,16439.4,2.77676,1.17172,3.21782,-0.553503,-2.16932,0.275833,30.3761,13770.9,-22.7644,9.93075,0.00125888,1.0009,3.05879,5.43674e-30,8.20507,8.77488e-30,13.243,1.75498e-29,26.4859 
148,0.5,8.5,148,13367.7,0,5,101,125,0,5,135,-2.40972,0.862918,-2.65804,0.695717,0.523905,-117.914,30.278,15827,-34.384,16439.4,-1.95413,1.31851,-1.74685,1.15131,0.979502,-5.94175,37.1689,16343.8,-27.4931,8.89803,0.00129785,1.00091,4.17721,5.12288e-30,7.7314,8.36719e-30,12.6277,1.67344e-29,25.2554 
149,0.35,8.5,149,14003.8,0,5,101,125,0,5,135,0.898571,0.398462,0.79897,-1.59124,0.201579,-99.0522,20.4891,16391.4,-21.9876,16439.4,1.28129,0.78118,1.56441,-1.20852,0.584297,0.478992,26.2777,16825.5,-16.199,3.84236,0.000891647,1.00052,6.83896,4.83236e-30,7.29295,7.99187e-30,12.0612,1.59837e-29,24.1225 
150,0.8,8.5,150,9868.89,0,5,101,125,0,5,135,1.40118,-1.92551,-0.65944,2.65215,0.148158,-104.316,22.8452,12413.6,-34.2894,16439.4,1.80424,-1.52245,0.146674,3.05521,0.551215,0.963649,28.9415,12870.8,-28.1932,-5.91806,0.00128327,1.00119,-4.89036,5.41485e-30,8.17203,8.75379e-30,13.2111,1.75076e-29,26.4223 
151,0.65,8.5,151,11361.4,0,5,101,125,0,5,135,-1.25388,1.24763,1.62381,1.67502,1.15076,-72.7581,27.8034,13857,-37.1065,16439.4,-0.97276,1.52875,2.18605,1.95614,1.43188,0.643389,32.0553,14175.9,-32.8545,-4.34938,0.00129048,1.00126,-7.3701,4.73459e-30,7.14539,7.75745e-30,11.7075,1.55149e-29,23.4149 
152,0.2,8.5,152,11147.5,0,5,101,125,0,5,135,-1.70269,-0.416849,-2.47787,-0.124913,0.716747,-106.767,22.5596,13641.9,-42.9715,16439.4,-1.29016,-0.0043212,-1.65281,0.287614,1.12927,-0.0799829,28.7991,14109.8,-36.732,-1.88483,0.00116496,1.00142,-15.2794,4.77046e-30,7.19954,7.88175e-30,11.8951,1.57635e-29,23.7901 
153,1.55,8.5,153,11998.5,0,5,101,125,0,5,135,1.27479,-2.31354,2.46273,2.15112,-0.711271,-140.317,35.1904,14446.1,-35.2537,16439.4,1.81694,-1.77138,3.54704,2.69328,-0.169114,0.420112,43.3905,15061.1,-27.0535,3.97122,0.00164356,1.00098,10.9262,5.33556e-30,8.05237,8.74297e-30,13.1948,1.74859e-29,26.3896 
154,1.1,8.5,154,11193.8,0,5,101,125,0,5,135,0.507883,3.19117,-1.2504,-0.413411,2.65954,-116.997,27.762,13775.5,-27.915,16439.4,0.959937,3.64322,-0.346297,0.0386426,3.11159,1.04675,34.5993,14288.3,-21.0777,3.71793,0.00138181,1.0008,9.30608,4.93366e-30,7.44584,8.19828e-30,12.3728,1.63966e-29,24.7455 
155,1.25,8.5,155,14959.5,0,5,101,125,0,5,135,0.154209,-0.787348,-0.678177,-0.75616,-0.838451,-199.864,34.841,17567.7,-43.5515,16439.4,0.926443,-0.0151134,0.866293,0.0160747,-0.0662159,0.498523,46.5211,18443.7,-31.8714,5.62166,0.00143925,1.00094,8.27533,4.97414e-30,7.50693,8.2797e-30,12.4956,1.65594e-29,24.9913 
156,1.7,8.5,156,13204.5,0,5,101,125,0,5,135,0.0920325,-2.05086,-3.33916,-0.706401,-1.15707,-84.1585,35.7928,15636.5,-25.2889,16439.4,0.417204,-1.72569,-2.68882,-0.381229,-0.831899,0.483955,40.711,16005.4,-20.3707,2.5028,0.00145137,1.00069,16.2662,5.61538e-30,8.47467,9.10402e-30,13.7397,1.8208e-29,27.4794 
157,0.05,8.5,157,12101.9,0,5,101,125,0,5,135,-0.246852,-2.31929,-2.34973,-2.10827,-0.842314,-106.591,32.8271,14770.1,-37.3819,16439.4,0.164993,-1.90744,-1.52604,-1.69642,-0.430469,0.717157,39.0562,15237.3,-31.1527,23.3448,0.00146254,1.00111,1.67302,4.3483e-30,6.56242,7.34859e-30,11.0904,1.46972e-29,22.1808 
158,0.95,8.5,158,12124,0,5,101,125,0,5,135,0.465373,-3.40895,-4.64839,-0.293853,-0.053625,-52.5896,17.9221,14590.1,-37.7898,16439.4,0.668569,-3.20575,-4.242,-0.0906568,0.149571,0.368775,20.9954,14820.6,-34.7165,-1.01602,0.000808854,1.00127,-20.6643,5.34707e-30,8.06974,8.70416e-30,13.1362,1.74083e-29,26.2725 
159,1.4,8.5,159,9396.01,0,5,101,125,0,5,135,0.604312,-0.447988,-3.52828,-0.329216,0.795338,-172.175,37.4236,12155.9,-30.4562,16439.4,1.26956,0.217262,-2.19778,0.336033,1.46059,3.02438,47.4855,12910.6,-20.3943,2.06348,0.00209732,1.00086,23.0124,4.37307e-30,6.59979,7.57786e-30,11.4364,1.51557e-29,22.8729 
160,0.5,8.5,160,14342.4,0,5,101,125,0,5,135,-1.24979,0.589522,0.0741037,0.851804,-2.79922,-118.561,38.0346,16939,-37.549,16439.4,-0.791699,1.04762,0.990294,1.3099,-2.34113,-3.60632,44.9633,17458.6,-30.6203,5.47069,0.00146951,1.00095,8.21895,4.706e-30,7.10225,7.81231e-30,11.7903,1.56246e-29,23.5805 
161,0.35,8.5,161,13506.3,0,5,101,125,0,5,135,0.31276,-0.537853,-2.93645,0.00753557,-0.598126,-43.75,17.9802,15938.7,-35.5694,16439.4,0.481802,-0.368811,-2.59837,0.176577,-0.429084,0.0509579,20.5369,16130.4,-33.0127,-1.07645,0.000727002,1.00111,-19.0783,4.70832e-30,7.10575,7.82406e-30,11.808,1.56481e-29,23.616 
162,0.8,8.5,162,12233.3,0,5,101,125,0,5,135,-1.16416,-2.71386,-3.10308,0.942933,0.160322,-116.866,37.2412,14581.4,-32.3382,16439.4,-0.712617,-2.26231,-2.19999,1.39448,0.611868,0.305684,44.0709,15093.6,-25.5086,3.27407,0.0016657,1.00092,13.4606,4.91069e-30,7.41116,8.21684e-30,12.4008,1.64337e-29,24.8016 
163,0.65,8.5,163,10115.8,0,5,101,125,0,5,135,0.222303,0.00138874,-4.96064,-0.404396,-0.421302,-165.072,16.4759,12342.1,-32.6744,16439.4,0.860109,0.639195,-3.68503,0.23341,0.216504,-1.12294,26.1227,13065.6,-23.0276,-17.2948,0.00114118,1.00096,-1.51043,5.56483e-30,8.39838,8.76274e-30,13.2246,1.75255e-29,26.4493 
164,0.2,8.5,164,14472.1,0,5,101,125,0,5,135,-3.96213,0.0459682,-1.64447,0.0583211,-0.334064,-99.623,16.2403,16881,-26.5151,16439.4,-3.5772,0.430892,-0.874628,0.443245,0.0508594,0.752008,22.0622,17317.7,-20.6932,-7.96593,0.000727453,1.00065,-2.76957,4.78937e-30,7.22808,7.96812e-30,12.0254,1.59362e-29,24.0508 
