cyc,freq,amplitude,time,waittime,T,TF,EF,ToTF,q,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,ENoEF3,EkHz3,tof,AR
140,15,0.4,10,1,4.02502e-07,8.10123e-07,1.1185e-29,0.496841,0.0760272,-1.2334e-13,47460.8,63317.9,1.3601,22.9589,1.3086,22.0896,1.05899,17.8759,0.0066,1.43271 
141,15,0.4,2,9,3.94343e-07,8.1816e-07,1.12959e-29,0.481988,0.157386,6.07227e-13,48887.3,67116.2,1.31706,22.4528,1.27858,21.7968,1.03811,17.6975,0.0066,1.43658 
142,15,0.4,5,6,4.01202e-07,8.09118e-07,1.11711e-29,0.495851,0.0813591,2.70488e-13,47284.4,65055.7,1.35721,22.8816,1.30659,22.0282,1.05758,17.8301,0.0066,1.41807 
143,15,0.4,0.1,10.9,3.71171e-07,7.84433e-07,1.08303e-29,0.473171,0.207003,-1.05218e-13,43087.3,56562.3,1.29182,21.1148,1.261,20.611,1.02588,16.768,0.0066,1.46621 
144,15,0.4,3,8,3.95866e-07,7.5318e-07,1.03988e-29,0.525593,-0.0743683,-3.891e-13,38139.8,50002.8,1.44501,22.6776,1.36819,21.4719,1.10032,17.2682,0.0066,1.44387 
145,15,0.4,9,2,3.97085e-07,8.02846e-07,1.10845e-29,0.494597,0.0881439,3.99942e-13,46193.3,63813.1,1.35355,22.6431,1.30403,21.8147,1.05581,17.6623,0.0066,1.43424 
146,15,0.4,8,3,4.01056e-07,8.02055e-07,1.10736e-29,0.500035,0.0588722,-4.07721e-14,46056.9,61103,1.36944,22.8863,1.31513,21.9786,1.06352,17.7737,0.0066,1.42697 
147,15,0.4,7,4,4.09542e-07,7.39983e-07,1.02166e-29,0.553447,-0.212212,7.25764e-14,36169.9,48847.9,1.529,23.5752,1.4277,22.0134,1.14152,17.6009,0.0066,1.42233 
148,15,0.4,1,10,3.89977e-07,7.87881e-07,1.08779e-29,0.49497,0.086127,6.41639e-14,43657.9,58434.7,1.35464,22.2389,1.30479,21.4205,1.05634,17.3417,0.0066,1.45478 
149,15,0.4,6,5,4.02093e-07,8.1196e-07,1.12103e-29,0.495213,0.0848108,1.01035e-13,47784.3,63864.4,1.35535,22.9305,1.30529,22.0835,1.05668,17.8775,0.0066,1.46532 
