cyc,freq,Vpp,time,wait time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,meanEk,meanEk_kHz,meanEtof,meanEtof_kHz,meanEtot_kHz
88,30,1.286,0.1,10.9,88,33004.5,0,5,101,125,0,5,135,-1.66183,10.4189,7.44375,-3.79409,-4.76659,-235.36,18.7134,33638.9,3.75749,16439.4,-0.752442,11.3283,9.26252,-2.8847,-3.8572,0.292745,32.4678,34670.4,17.5119,0.607078,0.00053484,0.999726,53.4822,6.77671e-30,10.2274,1.0937e-29,16.506,33.012 
89,30,1.286,1,10,89,33973.8,0,5,101,125,0,5,135,-5.03855,-8.72585,-11.0697,2.36744,9.36731,-115.484,11.8205,34352.4,27.6873,16439.4,-4.59234,-8.27964,-10.1772,2.81365,9.81352,0.0234904,18.5694,34858.5,34.4362,0.310043,0.000304311,0.999464,59.8928,7.21412e-30,10.8875,1.16331e-29,17.5566,35.1133 
90,30,1.286,3,8,90,33161.5,0,5,101,125,0,5,135,3.6045,-6.40047,-12.1662,3.27558,0.809457,-81.446,35.7683,33672.8,16.7132,16439.4,3.91919,-6.08578,-11.5368,3.59027,1.12415,-0.283438,40.528,34029.7,21.4729,0.611324,0.000680085,0.999658,66.2954,7.49141e-30,11.306,1.21393e-29,18.3204,36.6409 
91,30,1.286,10,1,91,32995.4,0,5,101,125,0,5,135,-2.52859,-7.86077,-14.5767,9.20231,3.98525,-83.0354,8.84419,33324,10.7046,16439.4,-2.20776,-7.53994,-13.935,9.52315,4.30608,-0.414222,13.6968,33688,15.5572,0.423191,0.000232276,0.999749,32.3655,7.21055e-30,10.8821,1.17528e-29,17.7372,35.4745 
92,30,1.286,8,3,92,34197.3,0,5,101,125,0,5,135,2.12437,3.30384,-1.59606,-1.03297,-2.76736,-90.0966,24.5012,34616.3,28.8389,16439.4,2.47248,3.65196,-0.89983,-0.684858,-2.41924,1.42435,29.7664,35011.2,34.1041,0.421076,0.000485591,0.999471,70.6914,7.85803e-30,11.8593,1.26732e-29,19.1263,38.2526 
93,30,1.286,2,9,93,32681,0,5,101,125,0,5,135,-8.79398,-9.45893,-4.51754,5.36779,2.2522,-254.402,23.6265,33295.3,-1.52119,16439.4,-7.81102,-8.47597,-2.55163,6.35075,3.23515,0.72423,38.4938,34410.3,13.3461,0.70619,0.000638831,0.999789,54.509,6.88499e-30,10.3908,1.11129e-29,16.7714,33.5429 
94,30,1.286,6,5,94,30686.8,0,5,101,125,0,5,135,-2.08484,3.7673,2.67317,-2.41025,3.63074,-126.806,14.6293,31080.2,26.3258,16439.4,-1.59488,4.25725,3.65308,-1.9203,4.12069,0.571026,22.0399,31636,33.7363,0.352506,0.000397939,0.999421,62.5234,7.04871e-30,10.6378,1.14134e-29,17.225,34.4499 
95,30,1.286,4,7,95,32343.1,0,5,101,125,0,5,135,-2.44818,1.45777,-2.62266,6.44802,-2.1101,-88.3675,18.5511,32995.1,22.5711,16439.4,-2.10675,1.7992,-1.93979,6.78945,-1.76867,1.69941,23.7153,33382.5,27.7353,0.416076,0.000405785,0.999549,56.9976,7.23215e-30,10.9147,1.17883e-29,17.7908,35.5816 
96,30,1.286,5,6,96,30638.1,0,5,101,125,0,5,135,-2.24115,15.58,9.44666,-9.31584,-8.32839,-114.206,13.6246,31480,24.3152,16439.4,-1.79988,16.0213,10.3292,-8.87457,-7.88712,-0.326143,20.2988,31980.5,30.9894,0.353108,0.000362567,0.999474,57.486,6.93804e-30,10.4708,1.1336e-29,17.1082,34.2164 
97,30,1.286,9,2,97,34754,0,5,101,125,0,5,135,1.26125,0.355455,-0.369509,-2.28087,4.37913,-166.24,10.1916,34965.1,17.4244,16439.4,1.90357,0.997774,0.915129,-1.63855,5.02145,0.872888,19.9067,35693.8,27.1395,0.379362,0.000318588,0.999587,52.474,7.50064e-30,11.3199,1.21431e-29,18.3262,36.6524 
98,30,1.286,7,4,98,32982.7,0,5,101,125,0,5,135,11.3403,7.15616,7.44628,-8.1713,-1.16238,-156.29,24.927,33625.8,8.32064,16439.4,11.9442,7.76003,8.65402,-7.56742,-0.558507,0.572267,34.0606,34310.8,17.4542,0.61922,0.00056694,0.999724,55.0057,7.52758e-30,11.3606,1.21032e-29,18.2661,36.5321 
99,30,1.286,0.1,10.9,99,33899.3,0,5,101,125,0,5,135,-11.4423,-7.91598,10.0873,3.95703,-3.25819,-102.697,4.98821,34193.3,14.834,16439.4,-11.0455,-7.51918,10.8809,4.35383,-2.86139,2.75744,10.9898,34643.4,20.8356,0.305336,0.00018124,0.999674,35.9925,6.74832e-30,10.1845,1.09944e-29,16.5927,33.1853 
100,30,1.286,1,10,100,34206.3,0,5,101,125,0,5,135,7.05823,5.1014,-3.8301,-6.36866,-5.82851,-142.075,9.1568,34505.1,33.2946,16439.4,7.60719,5.65036,-2.7322,-5.81971,-5.27955,-3.76056,17.4597,35127.8,41.5975,0.259136,0.000283938,0.999358,67.3766,7.28717e-30,10.9977,1.1765e-29,17.7556,35.5111 
101,30,1.286,3,8,101,33815.2,0,5,101,125,0,5,135,-8.94108,-9.19809,3.92589,-2.26447,-4.94829,-186.658,15.3273,34309.8,12.444,16439.4,-8.21986,-8.47688,5.36831,-1.54326,-4.22708,1.31396,26.2356,35127.9,23.3523,0.483531,0.000426595,0.999639,54.2584,7.14579e-30,10.7843,1.15126e-29,17.3747,34.7493 
102,30,1.286,10,1,102,33803.2,0,5,101,125,0,5,135,4.27879,4.38021,6.0599,-7.16728,-2.46037,-154.683,34.9251,34597.5,17.3408,16439.4,4.87645,4.97788,7.25523,-6.56962,-1.86271,0.163878,43.9647,35275.5,26.3805,0.58138,0.00071168,0.999594,75.6214,7.59463e-30,11.4617,1.23137e-29,18.5837,37.1674 
103,30,1.286,8,3,103,32948.4,0,5,101,125,0,5,135,-4.20809,-9.51549,-3.43409,3.57552,-2.01161,-157.986,19.3567,33344.1,32.8851,16439.4,-3.59766,-8.90507,-2.21324,4.18594,-1.40118,0.8145,28.5894,34036.6,42.1178,0.361293,0.000479747,0.999329,79.1307,7.54547e-30,11.3875,1.22101e-29,18.4274,36.8548 
