cyc,freq,amplitude,time,waittime,cyc2,T,TF,EF,ToTF,wx,wy,wz,bx,by,bz,q,mu0,offs,N,Npix,ENoEF,EkHz,ENoEF2,EkHz2,SNkB,tof,AR
0,5,0.9,0.01,20,0,3.58733e-07,6.77188e-07,9.3496e-30,0.529739,1007.96,2700.22,2628.69,4.93618,20.0562,19.2699,-0.0953502,-4.72255e-31,2.01191e-13,32467.2,45805.1,1.45739,20.5643,1.37693,19.429,1.12739,0.0066,1.41513 
1,5,0.9,20,0.01,1,3.75179e-07,6.90616e-07,9.53499e-30,0.543252,1007.96,2700.22,2628.69,4.93618,20.0562,19.2699,-0.162598,-8.42244e-31,5.46057e-13,34437.2,49661.7,1.49806,21.5572,1.40571,20.2284,1.06299,0.0066,1.41061 
2,5,0.9,20,0.01,2,3.74524e-07,6.5391e-07,9.02821e-30,0.572745,1007.96,2700.22,2628.69,4.93618,20.0562,19.2699,-0.303679,-1.57028e-30,3.25136e-13,29232.9,42041.5,1.58813,21.6388,1.46995,20.0285,0.928699,0.0066,1.40445 
3,5,0.9,0.01,20,3,3.68862e-07,6.52371e-07,9.00696e-30,0.565417,1007.96,2700.22,2628.69,4.93618,20.0562,19.2699,-0.269308,-1.3715e-30,3.67557e-13,29027,41486,1.5656,21.2816,1.45381,19.7619,0.96133,0.0066,1.41816 
4,5,0.9,0.01,20,4,3.6335e-07,6.68126e-07,9.22448e-30,0.543835,1007.96,2700.22,2628.69,4.93618,20.0562,19.2699,-0.16546,-8.30044e-31,3.13842e-13,31181.2,44369.6,1.49981,20.8797,1.40696,19.5871,1.06025,0.0066,1.39927 
5,5,0.9,0.01,20,5,3.72207e-07,6.90568e-07,9.53434e-30,0.538987,1007.96,2700.22,2628.69,4.93618,20.0562,19.2699,-0.14156,-7.27459e-31,4.07731e-15,34430.1,48100.5,1.48517,21.3704,1.39659,20.0956,1.0831,0.0066,1.41814 
6,5,0.9,20,0.01,6,3.86455e-07,6.44178e-07,8.89385e-30,0.599919,1007.96,2700.22,2628.69,4.93618,20.0562,19.2699,-0.427514,-2.28104e-30,1.54365e-13,27947.1,40187.4,1.67256,22.45,1.53082,20.5475,0.811586,0.0066,1.35905 
7,5,0.9,20,0.01,7,3.67755e-07,6.82436e-07,9.42205e-30,0.538886,1007.96,2700.22,2628.69,4.93618,20.0562,19.2699,-0.141062,-7.16232e-31,5.75396e-13,33227.9,48104.7,1.48487,21.1143,1.39637,19.8559,1.08358,0.0066,1.41848 
8,5,0.9,20,0.01,8,3.81742e-07,6.61074e-07,9.12712e-30,0.577457,1007.96,2700.22,2628.69,4.93618,20.0562,19.2699,-0.32554,-1.71576e-30,-3.7331e-13,30204.2,41574.3,1.60271,22.0766,1.48039,20.3917,0.907998,0.0066,1.36456 
9,5,0.9,0.01,20,9,3.71752e-07,6.33132e-07,8.74134e-30,0.587164,1007.96,2700.22,2628.69,4.93618,20.0562,19.2699,-0.370057,-1.89936e-30,3.86858e-13,26533.8,38307.8,1.63281,21.5406,1.50205,19.8155,0.865871,0.0066,1.41431 
