Run           ,B (G)       ,omega (kHz)     ,Amplitude   ,f0 (MHz)     ,Width      ,Offset      ,median    ,lower     ,upper     ,sigma_M    ,sigma_P    ,N_fits      
50us          ,      202.10,      2.5000,    -2415.91,     43.2267,        0.03,    26729.64,       43.23,       43.09,       43.39,        0.14,        0.16,         100
209us         ,      202.10,      2.5000,    -2812.43,     43.2324,        0.06,    26689.98,       43.23,       43.11,       43.46,        0.12,        0.23,         100
409us         ,      202.10,      2.5000,    -4213.23,     43.1916,        0.03,    25584.16,       43.19,       43.06,       43.35,        0.13,        0.16,         100
529us         ,      202.10,      2.5000,    -2392.21,     43.1818,        0.03,    25144.49,       43.18,       43.02,       43.39,        0.16,        0.21,         100
