Run           ,B (G)       ,omega (kHz)     ,Amplitude   ,f0 (MHz)     ,Width      ,Offset      ,median    ,lower     ,upper     ,sigma_M    ,sigma_P    ,N_fits      
50us          ,      202.10,      2.5000,    -3659.35,     43.2020,        0.02,    26865.43,       43.20,       42.97,       43.37,        0.24,        0.17,         100
209us         ,      202.10,      2.5000,    -2612.18,     43.2130,        0.06,    26700.92,       43.21,       43.08,       43.39,        0.13,        0.17,         100
409us         ,      202.10,      2.5000,    -4190.02,     43.2071,        0.04,    25566.80,       43.21,       43.04,       43.38,        0.16,        0.17,         100
529us         ,      202.10,      2.5000,    -2767.54,     43.1791,        0.03,    25109.43,       43.18,       43.03,       43.32,        0.15,        0.14,         100
