Run		   ,B (G)	   ,Exclude	 ,Offset	  ,Amplitude   ,T (kHz)	 ,fB (kHz)	,median_f	,lower_f	 ,upper_f	 ,sigma_fM	,sigma_fP	,N_fits	  
dimers2d_2023-03-12_C_LAT2_120ER_199p7G_FM,      199.70,           0,     5743.46,      1.7161,       18.63,     -111.02,     -111.02,     -117.18,     -103.80,        6.16,        7.23,        1000
dimers2d_2023-05-01_H_LAT2_120ER_200G_FM_8msblackman,      200.00,           0,     8249.77,      1.3347,       14.84,      -63.50,      -63.50,      -67.39,      -59.55,        3.90,        3.95,        1000
dimers2d_2022-08-23_G_LAT2_40ER_199p4G_FM,      199.40,           0,    15671.03,      2.0401,       29.99,      -36.49,      -36.49,      -44.06,      -30.82,        7.57,        5.67,        1000
