cyc,delay from wiggle start,start of charge column,wait between wiggle 1st period and pulse,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
17,95,0.88,0.06,44.74,17,24552.9,-1.26498,50.5876,13.3783,116.393,1.85772,1160.53,246.886,-18.0522,-3.95534,-17.4481,-8.4034,-3.28379,-1237.2,763.816,142.15,28968,92214.2,-10.2619,3.83499,-1.86743,-0.613066,4.50654,0.575664,2499.11,206.42,30703.3,0.075269,0.873709,0.0122331,33202.4 
18,95,0.88,0.06,44.85,18,21934.9,-1.07743,45.9633,13.0243,116.551,-0.675194,527.851,498.333,-5.51708,-10.6194,-14.9648,-9.53387,-2.04111,-1141.07,4380.3,175.269,22355.2,31089.9,1.66794,-3.43438,-0.594698,-2.34884,5.14392,2.37043,5980.76,234.546,23955.6,0.199782,0.935778,0.0177162,29936.4 
19,95,0.88,0.06,44.76,19,22497.8,0.0289337,46.8887,12.7413,116.567,0.00910029,-17.0482,492.84,-18.5075,-7.27565,-17.8785,-2.58067,-11.8601,-1270.67,1900.71,159.615,25665.3,19453.1,-10.5064,0.725452,-1.87633,5.42044,-3.85896,0.814148,3682.95,225.624,27447.5,0.118307,0.903173,0.0149166,31130.5 
20,95,0.88,0.06,44.88,20,22290.4,-0.125785,47.9521,12.5035,116.229,0.48498,-138.489,499.997,-8.47836,-1.59977,-15.9533,2.1958,-1.76833,-1268.83,1939.43,148.814,25721.4,21704.3,-0.488897,6.38969,0.0255914,10.1853,6.22114,0.998854,3719.08,214.727,27501,0.119125,0.908233,0.0141792,31220.1 
21,95,0.88,0.06,44.9,21,20575.6,-0.0256909,44.6928,12.2806,116.155,-0.00514801,7.01584,500,-7.60632,2.18072,-13.0412,3.82641,-4.17806,-1221.61,586.087,120.496,24961.6,17868.2,0.0858451,9.87289,2.34313,11.5186,3.51411,0.91428,2299.52,183.956,26675,0.0793635,0.877196,0.0125442,28974.5 
22,95,0.88,0.06,44.75,22,24646.6,-0.0170096,48.5986,13.0982,116.373,-0.00620168,-9.16541,500,-5.29217,-1.09846,-7.74231,-6.30475,-3.1005,-1273.9,1630.85,187.731,27760.8,20723.7,2.72924,6.92296,8.30052,1.71666,4.92092,0.662447,3417.62,253.908,29547.6,0.103673,0.884945,0.0155829,32965.2 
23,95,0.88,0.06,44.8,23,23036,-1.2069,48.7809,13.0633,116.994,1.25564,-27.1167,326.55,-7.74946,-6.91575,3.38007,-6.99007,-3.96032,-1237.94,5248.05,172.703,22922.1,21852.7,0.0455109,0.879218,18.97,0.804898,3.83465,0.226796,6984.38,237.011,24658.4,0.220726,0.943944,0.0173979,31642.8 
24,95,0.88,0.06,44.81,24,24872.9,-1.11991,51.3455,12.9958,116.806,-2.38194,1577.83,298.544,-17.6599,-8.64784,-13.4645,-10.1967,-1.64334,-1096.12,5972.22,155.948,23558.6,144067,-10.7579,-1.74587,0.339423,-3.29477,5.25863,1.03328,7509.63,212.89,25096,0.230317,0.952734,0.0153862,32605.6 
25,95,0.88,0.06,44.89,25,21852.7,-0.159661,47.96,12.2185,116.203,-0.124586,47.3091,1.3061,0.92159,-6.06358,-14.9312,1.20082,-14.995,-1290.52,901.669,116.694,26066.7,19268,9.04767,2.0625,1.32095,9.3269,-6.86895,0.911281,2711.75,183.734,27876.8,0.0886526,0.893998,0.0119956,30588.5 
26,95,0.88,0.06,44.82,26,23082.7,-0.0310136,47.7212,12.4936,116.634,0.0179354,11.5643,0.00303288,-13.4748,-3.25074,-15.113,-5.16759,-9.98459,-1029.31,5655.29,149.073,22080.4,19415.4,-6.99354,3.23053,-2.15042,1.31368,-3.50332,0.734617,7098.99,202.544,23524.1,0.231818,0.952445,0.015613,30623.1 
