cyc,delay from wiggle start,start of charge column,wait between wiggle 1st period and pulse,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
68,245,0.73,0.21,44.74,68,24517.7,-0.605662,50.3983,12.8509,116.392,0.218318,404.893,3.60992e-08,0.849672,-4.63389,-6.15684,-15.2405,-11.4667,-1125.85,849.141,134.794,28318.5,23961.1,7.93882,2.45526,8.02146,-8.15137,-4.37752,-0.362652,2428.25,193.279,29897.6,0.075118,0.877737,0.0117685,32325.8 
69,245,0.73,0.21,44.85,69,23294,-1.10571,49.3871,12.7841,116.503,1.31685,-630.081,7.73732,-3.56469,-6.29459,-12.693,-4.2794,-5.38319,-896.869,4354.43,121.693,23215.5,47563.3,2.08266,-0.647245,-1.39829,1.36795,0.26415,1.83769,5612.37,168.283,24473.5,0.186545,0.950144,0.0125082,30085.8 
70,245,0.73,0.21,44.76,70,24693.4,-1.13335,50.8795,13.0681,116.192,0.758244,1436.35,320.779,-6.72769,-6.44433,-8.52975,-7.23922,-1.11762,-895.631,1423.46,122.513,27573.3,57098.7,-1.08814,-0.804779,2.74936,-1.59966,4.52193,0.272408,2679.67,169.039,28829.5,0.0850441,0.900581,0.0106856,31509.2 
71,245,0.73,0.21,44.88,71,24833.7,-1.0871,51.0924,12.9707,116.498,0.766808,461.986,500,-11.2696,-9.46483,-4.57173,-14.7578,-10.0323,-1012.95,2084.55,126.886,26953,33105.4,-4.89135,-3.08655,8.18482,-8.37948,-3.65406,1.69207,3505.32,179.507,28373.8,0.109957,0.917753,0.0115198,31879.1 
72,245,0.73,0.21,44.9,72,25443.3,-0.130984,52.0684,12.7259,116.522,-0.241767,128.393,4.72243,-8.15961,1.85381,-0.49895,-5.96178,-1.57332,-1019.78,699.855,81.4523,29068.9,22580.9,-1.73831,8.27511,12.3437,0.459519,4.84798,0.489678,2130.2,134.428,30499.2,0.0652846,0.900548,0.00805385,32629.4 
73,245,0.73,0.21,44.75,73,24339.5,-0.193319,51.7238,12.1747,116.201,0.084966,18.4254,9.61187e-06,2.0243,-9.46388,-11.2264,-14.374,2.27732,-1061.87,755.452,89.8064,28130.4,20550.6,8.71061,-2.77757,2.14619,-7.68769,8.96363,0.770588,2244.83,144.968,29619.8,0.0704489,0.898462,0.00893528,31864.6 
74,245,0.73,0.21,44.8,74,24212.7,-1.05771,50.3797,12.8203,116.505,1.04271,928.231,440.833,2.72724,-5.58939,-8.66321,-1.10303,-2.93738,-1031.92,5117.31,146.418,23459.5,52533.1,9.22499,0.908357,4.3323,5.39472,3.56037,0.815023,6564.69,200.024,24906.9,0.208591,0.949377,0.014578,31471.6 
75,245,0.73,0.21,44.81,75,24185.5,-1.02544,50.7494,12.7242,116.577,9.73381,9895.39,11.1497,-2.82364,-5.01773,-19.7687,-0.290548,-7.78701,-956.098,5149.93,124.355,23337.2,3.15655e+06,3.19666,1.00256,-7.72815,5.72975,-1.76671,18.8027,6490.95,174.022,24678.2,0.208249,0.955185,0.0128233,31169.2 
76,245,0.73,0.21,44.89,76,25430.8,-1.15951,53.3137,12.9233,116.548,-0.183868,924.152,2.8859e-10,-1.52916,-3.87766,-19.7245,-9.71769,-4.86802,-1129.33,1519.27,109.866,28791.7,27960.4,5.58195,3.23345,-5.50228,-2.60658,2.24309,2.86541,3103.27,168.533,30375.7,0.0926931,0.913209,0.0101171,33479 
77,245,0.73,0.21,44.82,77,24835.7,-0.735363,49.8503,12.9328,116.597,1.90429,1325.59,0.0597045,-9.20552,-3.0135,-5.21053,-3.03362,-6.50188,-809.986,5655.72,148.904,23017.8,103162,-4.10526,2.08677,4.99,2.06665,-1.40162,-0.372182,6791.8,190.982,24153.9,0.219475,0.953099,0.0143562,30945.7 
78,245,0.73,0.21,44.83,78,26194.5,-1.05312,53.3891,12.8942,116.325,0.154519,-1183.02,115.102,-4.9569,1.18028,-11.3947,-9.83806,-10.4219,-722.42,5716.48,145.491,24693.3,28360.7,-0.408017,5.72916,-2.29691,-5.28917,-5.873,0.717753,6729.74,183.019,25706.5,0.207476,0.95457,0.0129452,32436.3 
79,245,0.73,0.21,44.87,79,25562.3,-1.21365,53.6084,12.931,116.339,1.00041,-369.681,274.83,-9.92889,-9.01949,-31.3913,-12.4427,-6.33025,-1176.47,3263.04,121.802,27243.2,34605.5,-2.52098,-1.61159,-16.5755,-5.03481,1.07765,0.327981,4913.15,182.917,28893.3,0.145332,0.938833,0.0115275,33806.4 
80,245,0.73,0.21,44.79,80,24101.8,-1.09484,50.8264,12.7431,116.582,0.721378,-308.981,462.371,-1.981,-4.47888,0.205242,-10.2234,-7.80027,-1019.85,3773.12,129.694,24865.6,28340.2,4.44074,1.94286,13.0487,-3.80165,-1.37852,0.0844388,5203.56,182.674,26296,0.165195,0.942121,0.0126351,31499.6 
81,245,0.73,0.21,44.77,81,25416.7,-0.110281,51.9671,12.6083,116.69,0.0493375,-66.9565,8.76606e-09,-3.19084,-1.93128,-9.98287,-3.9272,-9.62256,-1090.87,2663.76,135.707,27533.7,21437.1,3.67806,4.93761,3.75492,2.9417,-2.75367,0.701009,4193.81,192.375,29063.7,0.126101,0.925691,0.0120461,33257.5 
82,245,0.73,0.21,44.86,82,26097,0.0536665,53.1738,12.483,116.385,-0.142989,79.4699,5.22688e-12,-12.9719,0.933284,-8.59069,-5.21353,-9.44855,-1005.63,4275.73,134.001,26451.7,21977.9,-6.6397,7.26546,4.07366,1.11865,-3.11637,-0.507818,5686.22,186.241,27862.2,0.169493,0.945789,0.0121635,33548.4 
83,245,0.73,0.21,44.84,83,27030,-0.00494436,55.6379,12.1997,116.531,-0.0520674,4.63572,1.64416e-12,2.22882,-7.54161,-12.6458,-7.33514,-8.84623,-911.526,5894.85,126.596,25474.2,22103.9,7.96845,-1.80197,-1.16658,-1.59551,-3.10659,4.91721,7173.35,173.948,26752.8,0.211441,0.959291,0.0118357,33926.1 
84,245,0.73,0.21,44.78,84,27889.6,-0.0542672,55.6055,12.624,116.516,0.0400028,-60.5857,500,-1.058,-9.97369,-5.97682,-9.62434,-15.6752,-914.923,3301.44,118.393,28855.5,22930.1,4.70302,-4.21267,5.54522,-3.86332,-9.91421,1.71626,4584.71,165.921,30138.8,0.132035,0.940439,0.0100394,34723.5 
