cyc,delaytime,timecol,chargecol,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,10,0.01,0.76,44.723,0,32885.6,-0.490336,66.1539,11.6385,114.746,8.47975,-4043.44,157.566,2.4608,4.37275,-1.82464,2.22169,0.636922,32.7668,143.938,30.8453,34058.6,1.14123e+06,2.25447,4.16643,-2.23729,2.01536,0.430598,1.33747,97.979,29.1431,34012.7,0.00287239,0.657668,0.00157588,34110.6 
1,10,0.01,0.76,44.793,1,33301.8,-0.464822,68.0581,11.4031,115.154,-0.00658546,103.092,107.598,0.771427,2.47231,4.12305,4.53272,1.74038,99.2155,2858.47,69.5234,31691.9,25286,0.146693,1.84758,2.87358,3.90798,1.11564,0.709489,2719.31,64.3693,31552.7,0.0793449,0.960223,0.00374393,34272.1 
2,10,0.01,0.76,44.783,2,32466.9,-0.47749,67.3451,11.2759,115.265,-0.942417,1650.05,315.185,1.38408,0.93165,0.847296,0.116109,-1.867,55.9703,2378.32,44.6651,31422.6,75342,1.03165,0.579219,0.142436,-0.236321,-2.21943,1.20277,2299.82,41.7575,31344.1,0.0683576,0.969204,0.0024481,33643.9 
3,10,0.01,0.76,44.883,3,33938.6,-0.497242,68.1898,11.6379,115.037,0.53876,-138.275,2.93856,4.88199,-0.714649,5.18028,2.39401,1.84689,44.9782,359.768,27.0796,34936.6,28259,4.59878,-0.997865,4.61384,2.11079,1.56367,0.61193,296.682,24.7431,34873.5,0.00843562,0.872639,0.00130528,35170.2 
4,10,0.01,0.76,44.763,4,33093.7,-0.0620671,67.654,11.3324,114.997,0.0620914,-53.9908,500,0.798288,5.51579,6.2739,1.78703,0.415857,49.0625,1495.92,37.2779,33017.7,25067.2,0.489354,5.20686,5.65603,1.4781,0.106923,0.562811,1427.11,34.7292,32948.9,0.0415146,0.959153,0.00193788,34376 
5,10,0.01,0.76,44.923,5,30648.6,-0.03126,62.7065,11.3343,114.994,0.00256901,-268.682,500,1.75482,0.210962,5.03832,-0.135522,0.274008,31.4941,123.569,22.6962,31961,23159.2,1.55651,0.0126522,4.6417,-0.333832,0.0756984,0.22024,79.3957,21.0601,31916.8,0.00248141,0.682968,0.00121403,31996.2 
6,10,0.01,0.76,44.863,6,30206.2,-0.102654,62.8044,11.1424,114.746,-0.373947,815.048,87.618,2.96953,1.23432,1.72819,3.77605,2.6197,65.7555,936.045,37.3101,30669.3,32702.3,2.55549,0.820276,0.900104,3.362,2.20565,0.908559,843.817,33.8942,30577.1,0.0268553,0.934323,0.00203779,31420.9 
7,10,0.01,0.76,44.813,7,33543.8,-0.458822,68.5499,11.3881,114.651,-0.0300623,183.763,476.991,1.71584,5.19269,0.517784,3.73508,2.2812,44.1242,2852.67,55.7485,31989.7,25592.7,1.438,4.91485,-0.0378929,3.45724,2.00336,1.00322,2790.78,53.4564,31927.9,0.0803829,0.967567,0.00307473,34718.6 
8,10,0.01,0.76,44.743,8,34383.9,-0.0216598,68.1631,11.6404,114.729,-0.0732024,35.2077,0.116443,5.59331,3.30185,5.15042,5.65526,1.76351,33.6896,574.388,42.0067,35283.3,25913.1,5.38118,3.08971,4.72615,5.44312,1.55137,0.765934,527.135,40.2566,35236,0.0147396,0.88211,0.00210015,35763.1 
9,10,0.01,0.76,44.823,9,35128.6,-0.488336,70.3242,11.6351,114.82,0.901609,-751.135,346.996,4.41381,3.13245,0.177673,3.81595,1.75528,61.5398,2821.28,67.3724,33621.2,48682.2,4.02631,2.74495,-0.597327,3.42845,1.36778,1.05445,2734.96,64.1755,33534.9,0.075406,0.960556,0.00351284,36269.9 
10,10,0.01,0.76,44.833,10,34468.3,-0.177344,68.8442,11.5189,115.227,-0.24596,580.201,0.00135625,5.44352,0.920814,3.18073,0.993873,-1.21543,79.9,2568.16,51.8597,33070.7,30460.6,4.94041,0.417705,2.17451,0.490764,-1.71854,0.655105,2456.09,47.709,32958.6,0.0693524,0.967124,0.00265944,35414.7 
11,10,0.01,0.76,44.753,11,34864.7,-0.0817768,69.5865,11.6216,115.175,0.0753042,-82.3531,1.99286e-11,2.32434,2.5146,2.43051,4.73636,2.03226,47.5459,966.878,39.773,35220.6,26527.9,2.02495,2.21522,1.83174,4.43698,1.73288,0.85037,900.19,37.3031,35153.9,0.0249678,0.932385,0.00195091,36054.1 
