cyc,delaytime,timecol,chargecol,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
168,260,0.26,0.51,44.723,168,31371.9,-0.127348,62.769,11.4533,114.777,-0.587499,1363,0.000102497,4.42891,0.487435,5.71892,2.8417,1.52853,14.5546,157.479,30.8912,32421.2,49470.3,4.33726,0.395788,5.53563,2.75005,1.43688,0.61706,137.064,30.1351,32400.8,0.00421246,0.722149,0.00171036,32537.9 
169,260,0.26,0.51,44.793,169,33549.4,-0.148782,67.0818,11.479,114.816,0.0765919,39.5351,0.000159034,4.18952,3.24284,2.35328,2.50715,1.5845,5.7315,1448.13,45.5216,33392.5,25165.6,4.15343,3.20675,2.2811,2.47106,1.54841,0.833018,1440.09,45.2239,33384.5,0.0413526,0.947907,0.00248917,34824.6 
170,260,0.26,0.51,44.783,170,32154,-0.0826205,64.8324,11.3472,114.832,-0.456559,1075.04,0.0404473,5.91466,2.46056,4.74605,2.04789,2.57575,-0.218655,996.75,40.9236,32397.4,39926.2,5.91604,2.46194,4.7488,2.04927,2.57713,0.73251,997.057,40.935,32397.7,0.0298567,0.932968,0.00232212,33394.7 
171,260,0.26,0.51,44.883,171,33907.8,-0.293517,67.5515,11.573,114.97,4.44493,-3061.52,499.984,4.61911,3.72449,5.19059,0.753789,1.3322,12.9509,1842.52,47.1144,33305.3,468443,4.53756,3.64295,5.0275,0.67224,1.25065,0.667733,1824.35,46.4417,33287.2,0.0519588,0.957351,0.00256349,35111.5 
172,260,0.26,0.51,44.763,172,33240.8,-0.322749,65.3757,11.7077,115.097,-0.43713,-1084.59,177.269,1.89307,0.973647,4.95622,1.87386,2.28154,-4.43336,331.478,46.9788,33975.6,40349.9,1.92099,1.00156,5.01205,1.90178,2.30946,0.587344,337.696,47.2091,33981.8,0.00983977,0.803441,0.00255261,34319.5 
173,260,0.26,0.51,44.923,173,32178.7,-0.0176729,63.8416,11.5304,114.684,-0.038795,79.2059,500,3.61029,0.358668,2.69502,3.46822,1.08523,26.0933,272.643,36.735,33267,24063.2,3.44599,0.194365,2.36641,3.30391,0.920926,0.768715,236.045,35.3795,33230.4,0.00705319,0.792206,0.0019574,33466.4 
174,260,0.26,0.51,44.863,174,34616.5,-0.0978291,68.488,11.5145,114.702,-0.0421979,132.385,500,5.12522,1.55681,3.78549,0.12127,-1.00795,44.9754,2923.31,53.7417,32820.8,25853.5,4.84202,1.27361,3.2191,-0.161929,-1.29115,0.591571,2860.23,51.4053,32757.8,0.080303,0.969507,0.0028824,35618 
175,260,0.26,0.51,44.813,175,33851.3,-0.0257787,67.6435,11.4684,115.049,-0.0646497,-61.6814,496.508,1.36231,1.85887,-0.816943,2.53894,0.0677117,19.956,2695.37,45.5244,32431.4,25383.3,1.23665,1.73321,-1.06826,2.41328,-0.0579462,1.25095,2667.38,44.4877,32403.4,0.076057,0.971641,0.0025227,35070.8 
176,260,0.26,0.51,44.743,176,32700.9,0.0046482,64.5653,11.5797,114.818,-0.0684082,141.066,500,4.71287,2.56377,1.35545,0.448283,-1.05884,45.0666,78.4884,34.5748,33889.4,24652.6,4.42909,2.27999,0.787905,0.16451,-1.34262,0.875309,15.2781,32.2337,33826.2,0.00045146,0.213122,0.00175231,33841.4 
177,260,0.26,0.51,44.823,177,32071.5,0.010534,65.5895,11.137,114.524,-0.0624197,79.2619,500,1.85906,-0.404433,0.0498281,2.34796,-1.4546,57.159,2918.82,55.3966,30333.5,23940.3,1.49915,-0.764348,-0.670002,1.98804,-1.81451,3.81127,2838.65,52.4273,30253.3,0.0857806,0.968691,0.00318211,33091.9 
178,260,0.26,0.51,44.833,178,32241,-0.0891059,65.483,11.2337,114.812,0.122141,135.914,500,6.09754,1.43014,2.58593,0.9224,-2.42247,13.9771,3463.25,50.2566,29967.4,24487.1,6.00953,1.34213,2.40991,0.83439,-2.51048,0.701946,3443.65,49.5305,29947.8,0.103129,0.975447,0.00303739,33391.5 
179,260,0.26,0.51,44.753,179,32862.4,-0.256717,65.8108,11.6158,114.611,-1.37713,1985.79,22.5799,2.96032,2.96622,2.3104,1.47976,0.450598,36.4274,138.033,39.5933,34163.3,113909,2.73095,2.73684,1.85166,1.25038,0.221225,0.78937,86.9403,37.7009,34112.2,0.00254218,0.568546,0.00203176,34199.2 
180,260,0.26,0.51,44.873,180,32361.8,-0.028508,65.4514,11.3071,115.132,-0.0101309,42.5847,500,3.60733,1.13505,1.51675,0.29911,1.38535,17.0966,2371.95,55.0139,31244.6,24105.7,3.49968,1.0274,1.30144,0.191457,1.2777,0.821663,2347.97,54.1258,31220.7,0.0699454,0.961223,0.0031834,33568.6 
181,260,0.26,0.51,44.803,181,31360.3,-0.11843,63.9269,11.3254,114.678,0.284069,-1009.64,2.28919e-09,2.34631,-0.392131,-2.35247,4.54655,-0.527195,37.4058,1983.67,31.5236,30743,32904.9,2.11077,-0.627665,-2.82354,4.31101,-0.76273,2.27886,1931.2,29.5804,30690.6,0.0591999,0.973895,0.00177233,32621.8 
182,260,0.26,0.51,44.913,182,31040.5,-0.0729038,62.3331,11.3844,114.854,-0.0696632,157.977,0.0529071,5.39822,2.23579,2.00503,3.41248,0.577092,9.19465,437.955,42.1742,31795.9,23458.9,5.34033,2.1779,1.88924,3.35459,0.519195,0.857752,425.058,41.6965,31783,0.0131973,0.853484,0.00241085,32208.1 
183,260,0.26,0.51,44.903,183,33594.2,-0.428597,66.6142,11.684,114.86,0.0382843,148.222,497.613,4.83684,4.29415,3.15972,2.18845,-0.224303,-29.8997,867.062,37.7879,34017.1,25521.6,5.02511,4.48242,3.53626,2.37672,-0.0360325,0.770141,908.999,39.3411,34059.1,0.0259951,0.929593,0.00212327,34968.1 
184,260,0.26,0.51,44.893,184,32239.1,-0.0160627,64.597,11.3576,114.587,-0.057741,44.4815,500,3.97221,1.30176,3.03129,-0.979123,1.37711,-27.6419,1315.63,43.5347,32068.2,23967,4.14627,1.47581,3.3794,-0.805069,1.55117,0.653309,1354.4,44.9707,32107,0.0404765,0.945085,0.00257351,33461.4 
185,260,0.26,0.51,44.773,185,31991.1,-0.0573844,63.2274,11.5737,114.773,-0.00216023,2.70723,500,5.09496,-2.48253,1.00683,4.02823,-1.06279,4.62701,538.253,34.5602,32650.3,23821.8,5.06583,-2.51166,0.948559,3.9991,-1.09192,0.852016,531.763,34.3198,32643.8,0.0160287,0.898517,0.00193294,33175.6 
186,260,0.26,0.51,44.853,186,30817.9,-0.0334514,62.9302,11.1691,114.644,-0.00127556,-159.281,500,3.7159,1.45443,1.03463,2.98726,-0.95357,48.2051,3323.26,54.3354,28620.3,22887.5,3.41237,1.1509,0.427563,2.68373,-1.2571,0.933375,3255.65,51.8313,28552.7,0.102352,0.972894,0.0033328,31808.4 
187,260,0.26,0.51,44.843,187,31254.7,-0.0142733,63.9398,11.1478,114.838,-0.0518764,125.489,500,4.09118,-0.748274,3.66812,0.969547,0.393819,36.9864,3388.88,47.6805,29042.5,23415.5,3.85828,-0.981167,3.20233,0.736654,0.160926,0.541018,3337,45.7591,28990.7,0.103224,0.976565,0.00289917,32327.7 
188,260,0.26,0.51,44.733,188,32162.6,0.0218679,64.5143,11.4353,114.496,-0.0156773,-43.7371,500,1.72017,0.687755,6.37829,0.899433,1.37374,-10.078,102.02,30.7207,33444.2,24038.2,1.78362,0.751214,6.5052,0.962891,1.4372,0.43137,116.155,31.2442,33458.3,0.00345962,0.679935,0.00171725,33574.5 
