,filename,time,B,e_B,A,x0,sigma,C,e_A,e_x0,e_sigma,e_C
0,2024-04-05_G_e_delaytime=10.dat,15.0,202.04334682768305,0.0024026177915743574,0.08198662659625285,44.807887046787954,0.0988609973308977,0.0013804939684983863,0.0009613611076427713,0.0003753724281651642,0.0012973427044931899,0.0007283905433609692
1,2024-04-05_G_e_delaytime=200.dat,205.0,202.05798454733957,0.002775213035363322,0.10193358300142599,44.81017392554755,0.09906592756694675,0.0010648665647002766,0.0013832085835659195,0.00043356548883368296,0.0015337333917015141,0.001069355973982493
2,2024-04-05_G_e_delaytime=220.dat,225.0,202.06622998018844,0.0037857767220259575,0.09856519680349347,44.81146208100216,0.09916447849265948,0.0008009323822381378,0.0018266556832206764,0.0005914281266443032,0.0021189815088444343,0.001427415639831956
3,2024-04-05_G_e_delaytime=240.dat,245.0,202.16584684693535,0.0033175410539740824,0.09662267664594268,44.827022363528435,0.0977970393727859,0.0027939046859306095,0.0015739464058909848,0.0005181242232279321,0.0018964628245073548,0.0012437749516814557
4,2024-04-05_G_e_delaytime=260.dat,265.0,202.2582438481912,0.003756720529310087,0.09877739185700618,44.84145074064278,0.09767994329348446,0.002484935857951187,0.0018098526415238822,0.0005865511746661084,0.0019432214756175722,0.0013157617286077112
5,2024-04-05_G_e_delaytime=280.dat,285.0,202.1722791183043,0.0029748778633518214,0.09617985164405742,44.82802693287485,0.09481388355368169,0.004040057435807459,0.001407128472424337,0.00046459933081090347,0.0016003038885405553,0.0010433717660166034
6,2024-04-05_G_e_delaytime=30.dat,35.0,202.10861718708765,0.002670365651283646,0.08830213061715655,44.818083585141274,0.09676402225269976,0.0023976995645235695,0.0011574051544165377,0.0004171221529450328,0.0014911962626998566,0.0008933854138219586
7,2024-04-05_G_e_delaytime=50.dat,55.0,202.225160008268,0.0034456983252084683,0.09307600942519714,44.83628494869837,0.09504842708129037,0.002126878358114319,0.0015773863631825787,0.0005380436901825026,0.0017912259249600337,0.0011395049883462854
8,2024-04-05_G_e_delaytime=70.dat,75.0,202.23330550714473,0.0033387197436240967,0.09335903603026072,44.83755685441713,0.09514535893480745,0.0038549973539387062,0.0015327841073253202,0.0005213264045541514,0.001724589185222067,0.001101837120670739
9,2024-04-05_G_e_delaytime=90.dat,95.0,202.10808913585043,0.0028688394434652764,0.09588362598930865,44.818001100959734,0.09705770247959376,0.003395705503715429,0.0013501412508095056,0.00044812515583605213,0.0016107036214835487,0.0010481402532011373
