cyc,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,9,0,9013.66,-0.277321,18.9121,12.6104,93.128,0.117953,43.8142,500,-4.07427,0.692367,-5.69378,-3.83893,4.76163,-237.296,987.055,33.3371,10060.2,7931.84,-2.58008,2.18655,-2.70541,-2.34474,6.25582,4.33118,1319.88,57.9912,10393,0.134105,0.928601,0.0101741,9842.15 
1,2.8,1,7618.7,-0.475702,18.183,12.0681,93.4566,0.614642,-27.4054,184.16,-1.36697,1.84437,-0.223503,-3.15139,-1.55832,-295.329,4045.56,48.4701,5838.05,7691.69,0.492637,3.70399,3.49572,-1.29178,0.301287,0.478395,4459.79,79.1537,6252.27,0.465208,0.969876,0.0227896,9586.66 
2,1.35,2,9632.37,-0.0219546,20.0717,11.9581,93.0745,0.00523998,3.21122,500,-3.598,-0.910669,-7.06291,-3.28167,-2.10002,-232.027,21.3818,50.1231,11342.7,7813.99,-2.13699,0.550342,-4.14089,-1.82066,-0.639004,0.494224,346.822,74.2298,11668.1,0.0349807,0.727511,0.0115833,9914.66 
3,1.2,3,8914.13,-0.339349,19.2389,12.0647,93.0659,0.0774105,-13.6496,456.175,-6.61975,-4.43721,-8.41116,-9.40155,-1.08719,-163.485,-63.7489,29.0442,10750.9,7590.39,-5.59033,-3.40779,-6.35232,-8.37213,-0.0577689,0.732875,165.555,46.0297,10980.2,0.0180554,0.672695,0.00766306,9169.29 
4,1.4,4,10071.1,-0.34465,21.0584,12.2442,92.7056,-0.304438,1021.6,27.2451,-2.49135,0.563169,2.16856,-7.87691,3.47549,-199.535,55.1673,33.4002,11775.2,18518.1,-1.23493,1.81959,4.6814,-6.62049,4.73191,-0.386065,335.035,54.1311,12055,0.0327818,0.779578,0.00820381,10220.2 
5,1.45,5,9677.64,-0.0317311,20.0429,12.0383,92.7754,0.0283707,-48.9256,500,-5.28923,-3.02032,-6.31544,-2.35854,-3.90161,-206.356,132.28,22.9814,11175.2,7899.75,-3.98986,-1.72095,-3.7167,-1.05917,-2.60224,0.716042,421.715,44.421,11464.6,0.0429326,0.844356,0.00708685,9822.72 
6,8,6,7968.35,-0.452853,18.0907,12.4303,93.1904,0.403049,81.3107,500,-0.480726,-1.23886,-0.159535,-4.55866,-4.22507,-314.776,2065.25,37.197,8146.93,8387.22,1.50133,0.743197,3.80458,-2.57661,-2.24301,-2.09443,2506.76,69.901,8588.43,0.262508,0.953472,0.0147714,9549.27 
7,2,7,9262.69,-0.43321,20.2783,12.3445,93.0288,0.348101,151.063,494.426,2.47599,3.52414,0.694679,-2.9755,-1.84577,-229.285,1344.42,50.7641,10013.4,9860.77,3.91974,4.96789,3.58217,-1.53175,-0.402022,0.660007,1666.01,74.586,10335,0.16429,0.927346,0.0131198,10140.7 
8,1.3,8,9189.77,-0.104022,19.4656,11.8554,92.6631,0.0947382,24.7511,500,-1.40925,-1.30867,-2.56665,-2.03153,-1.46063,-259.329,19.6353,41.4442,10774.6,7588.75,0.223675,0.324257,0.699192,-0.398611,0.172292,0.315057,383.369,68.3874,11138.4,0.0402833,0.762094,0.0111837,9516.82 
9,1.75,9,8875.85,-0.0821629,19.1281,11.7716,92.8932,-0.0180849,56.244,500,1.85467,-2.35283,-6.48063,0.22859,1.04032,-239.584,450.336,23.0389,10137.6,7363.1,3.36327,-0.844231,-3.46344,1.73719,2.54892,2.03643,786.376,47.9308,10473.7,0.0838819,0.903616,0.00835956,9374.8 
